ID,英文名稱,中文名稱,圖片,更新日期
3657994,senior high school (學校名稱用);upper secondary school (學制層級),高級中等學校,,2019-01-24
3657995,general high school (學校名稱用);general senior high school (學制層級),普通型高級中等學校,,2019-01-24
3657996,vocational high school (學校名稱用);vocational senior high school (學制層級),技術型高級中等學校,,2019-01-24
3657997,comprehensive high school (學校名稱用);comprehensive senior high school (學制層級),綜合型高級中等學校,,2019-01-24
3657998,specialized high school (學校名稱用);specialized senior high school (學制層級),單科型高級中等學校(體育、藝術、科學、外文),,2019-01-24
3657999,alternative curriculum,彈性學習課程,,2019-01-24
3658000,alternative learning period,彈性學習時間,,2019-01-24
3658001,theme/project/issue-based inquiry,主題/專題/議題探究,,2019-01-24
3658002,curriculum framework,課程架構,,2019-01-24
3658003,curriculum planning,課程規劃,,2019-01-24
3658004,MOE-required courses,部定必修,,2019-01-24
3658005,"category, cluster, department",類、群、科,,2019-01-24
3658006,course arrangement by year,授課年段,,2019-01-24
3658007,course arrangement by year and credit allocation,授課年段與學分配置,,2019-01-24
3658008,hands-on course,實習課/實作課,,2019-01-24
3658009,specialized subject,專精科目,,2019-01-24
3658010,vocational subject,專業科目,,2019-01-24
3658011,learning;study,學習,,2019-01-24
3658012,school-developed required course,校訂必修,,2019-01-24
3658013,school-specific course,學校本位課程,,2019-01-24
3658014,vocational curriculum;vocational course,技藝課程,,2019-01-24
3658015,self-directed learning,自主學習,,2019-01-24
3658016,student-directed activities,自治活動,,2019-01-24
3658017,enrichment program,充實（增廣）課程,,2019-01-24
3658018,offer,開設,,2019-01-24
3658019,subject-specific teaching,分科教學,,2019-01-24
3658020,service learning,服務學習,,2019-01-24
3658021,second foreign language other than English,英語文以外之第二外國語文課程,,2019-01-24
3658022,schools in indigenous areas and schools with special indigenous focus,原住民族地區及原住民重點學校,,2019-01-24
3658023,subject-group curriculum research committee,群課程研究會,,2019-01-24
3658024,project-based practical course,專題實作,,2019-01-24
3658025,Fundamental Readings in Chinese Culture,中華文化基本教材,,2019-01-24
3658026,art talent class,藝術才能班,,2019-01-24
3658027,sport talent class,體育班,,2019-01-24
3658028,aptitude and interest test,性向及興趣測驗,,2019-01-24
3658029,academic portfolio,學習歷程檔案,,2019-01-24
3658030,ability-grouping teaching,依群之屬性實施分組教學,,2019-01-24
3658031,teaching objectives,教學目標,,2019-01-24
3658032,academic program,學術學程,,2019-01-24
3658033,logical sequence,課程之“邏輯性”,,2019-01-24
3658034,independent study,獨立研究,,2019-01-24
3658035,affective development,情意發展,,2019-01-24
3658036,parental expectations,家長期望,,2019-01-24
3658037,learning outcomes,學習成果,,2019-01-24
3658038,annual curriculum plan filing and school evaluation,年度課程計畫備查及校務評鑑,,2019-01-24
3658039,academic organization,學術團體,,2019-01-24
3658040,competent authority,主管機關,,2019-01-24
3658041,teaching sessions,教學節數,,2019-01-24
3658042,learning focus,學習重點,,2019-01-24
3658043,course(s) in the special needs domain,特殊需求領域課程,,2019-01-24
3658044,school-distinctive event,學校特色活動,,2019-01-24
3658045,skill domain,技能領域,,2019-01-24
3658046,teaching and research committee,教學研究會,,2019-01-24
3658047,differentiated elective courses;differentially tracked elective courses,分流選修,,2019-01-24
3658048,joint course,合作課程,,2019-01-24
3658049,course handbook,課程手冊,,2019-01-24
3658050,core competency/competencies,核心素養,,2019-01-24
3658051,domain-specific curriculum,領域學習課程,,2019-01-24
3658052,Three Dimensions and Nine Items of Core Competencies,三大面向與九大項目,,2019-01-24
3658053,Minnan (language),閩南語,,2019-01-24
3658054,cross-curricular,跨領域、跨學科,,2019-01-24
3658055,nurture by nature,適性揚才,,2019-01-24
3658056,inspiring students to unleash their full potential,啟發生命潛能,,2019-01-24
3658057,native languages of new immigrants,新住民語文,,2019-01-24
3658058,MOE-mandated curriculum,部定課程,,2019-01-24
3658059,MOE-mandated courses,部定必修課程,,2019-01-24
3658060,Expression & Communication in Mandarin Chinese,語文表達與傳播應用,,2019-01-24
3658061,Windows on Literature,各類文學選讀,,2019-01-24
3658062,Topical Readings and Studies,專題閱讀與研究,,2019-01-24
3658064,English Listening and Speaking,英語聽講,,2019-01-24
3658065,English Reading and Writing,英文閱讀與寫作,,2019-01-24
3658066,English Composition,英文作文,,2019-01-24
3658067,Second Foreign Language,第二外國語文,,2019-01-24
3658068,Math Enrichment I (Elective),選修數學甲,,2019-01-24
3658069,Math Enrichment II (Elective),選修數學乙,,2019-01-24
3658070,"History of Ethnicity, Gender and Nation",(歷史)族群、性別與國家的歷史,,2019-01-24
3658071,"History of Technology, Environment and Art",(歷史)科技、環境與藝術的歷史,,2019-01-24
3658072,Geospatial Information Technology,(地理)空間資訊科技,,2019-01-24
3658073,Global Social- Environmental Issues,(地理)社會環境議題,,2019-01-24
3658074,Modern Society and Economy,(公民與社會)現代社會與經濟,,2019-01-24
3658075,Democratic Politics and Law,(公民與社會)民主政治與法律,,2019-01-24
3658076,Inquiry and Practice: Historical Inquiry,探究與實作：歷史學探究,,2019-01-24
3658077,Inquiry and Practice: Geographic Perspectives in the Humanities and Social Sciences,探究與實作：地理與人文社會科學研究,,2019-01-24
3658078,Inquiry and Practice: Public Issues and Social Inquiry,探究與實作：公共議題與社會探究,,2019-01-24
3658079,Mechanics I,(選修物理)力學一,,2019-01-24
3658080,Mechanics II and Thermal Physics,(選修物理)力學二與熱學,,2019-01-24
3658081,"Waves, Sound and Light",(選修物理)波動、光及聲音,,2019-01-24
3658082,Electromagnetic Phenomena I,(選修物理)電磁現象一,,2019-01-24
3658083,Electromagnetic Phenomena II and Quantum Phenomena,(選修物理)電磁現象二與量子現象,,2019-01-24
3658084,Matter and Energy,(選修化學)物質與能量,,2019-01-24
3658085,Chemical Structure and Kinetics,(選修化學)物質構造與反應速率,,2019-01-24
3658086,Chemical Reaction and Equilibrium I,(選修化學)化學反應與平衡一,,2019-01-24
3658087,Chemical Reaction and Equilibrium II,(選修化學)化學反應與平衡二,,2019-01-24
3658088,Organic Chemistry and Applications,(選修化學)有機化學與應用科技,,2019-01-24
3658089,Cell and Genetics,(選修生物)細胞與遺傳,,2019-01-24
3658090,"Origin of Life, and Plant Structure & Function",(選修生物)生命的起源與植物體的構造與功能,,2019-01-24
3658091,Animal Structure & Function,(選修生物)動物體的構造與功能,,2019-01-24
3658092,"Ecology, Evolution and Biodiversity",(選修生物)生態、演化及生物多樣性,,2019-01-24
3658093,Geology and the Environment,(選修地球科學)地質與環境,,2019-01-24
3658094,"Atmosphere, Ocean and Astronomy",(選修地球科學)大氣、海洋及天文,,2019-01-24
3658095,Performance Creation,表演創作,,2019-01-24
3658096,Multimedia Music,多媒體音樂,,2019-01-24
3658097,Basic Design,基本設計,,2019-01-24
3658098,New Media Art,新媒體藝術,,2019-01-24
3658099,Thinking: The Beginning of Wisdom,思考：智慧的啟航,,2019-01-24
3658100,Future Imagination and Career Path,未來想像與生涯進路,,2019-01-24
3658101,Innovative Life and Family,創新生活與家庭,,2019-01-24
3658102,Advanced Programming,進階程式設計,,2019-01-24
3658103,Engineering Design Project,工程設計專題,,2019-01-24
3658104,Robotics Project,機器人專題,,2019-01-24
3658105,Applied Technology Project,科技應用專題,,2019-01-24
3658106,Safety Education and Injury Prevention,安全教育與傷害防護,,2019-01-24
3658107,Exercise and Health,運動與健康,,2019-01-24
3658108,Health and Leisure,健康與休閒生活,,2019-01-24
