ID,英文詞彙,中文詞彙,更新日期
21343116,i,主我,
21343117,use,使用,
21343118,year,年,
21343119,time,時；時間,
21343120,work,工作；功；作品,
21343121,need,需要,
21343122,day,日；天,
21343123,want,慾求,
21343124,state,國家；狀態,
21343125,help,求助,
21343126,right,右；右側,
21343127,company,連,
21343128,show,展示,
21343129,world,世界,
21343130,thing,物,
21343131,service,服務；保養；禮拜；配種,
21343132,game,對局,
21343133,start,啟動；起動,
21343134,call,呼叫；哨笛,
21343135,play,局；放；遊戲,
21343136,life,生命；壽命；年限,
21343137,change,變化；變更；修改；變遷；變革,
21343138,home,追蹤；本地的；起站,
21343139,part,部分；零件,
21343140,team,團隊；作業組,
21343141,business,業務；商業；營業車；商務區,
21343142,place,位；放；地方；地點；場所；通路,
21343143,government,政府,
21343144,report,報告；通報；報表,
21343145,point,點；尖端；潘特,
21343146,country,國別,
21343147,school,學校；群；學校機構,
21343148,information,資料；資訊；知識；訊息；信息,
21343149,end,端末；繩頭,
21343150,number,數；數量,
21343151,set,套；安排；調整；設置；定位；設定；場景；集合；凝結,
21343152,man,人；就位,
21343153,child,兒童；幼兒,
21343154,system,系；系統；體系；裝置；譜表,
21343155,city,城市；都市,
21343156,case,個案；病例；外殼,
21343157,support,支持；支援；支架；支承；支座,
21343158,family,科；系；族；家庭；家族；族系,
21343159,group,組；屬；群；團體；大隊；群組,
21343160,include,包含,
21343161,area,區；面；區域；面積,
21343162,month,月,
21343163,student,學生,
21343164,share,股份；犁頭,
21343165,issue,問題；發出,
21343166,mean,平均；均值；平均值；平均數,
21343167,market,市場,
21343168,create,建立；創造,
21343169,offer,提供,
21343170,program,計畫；方案；程式；節目單；節目手冊,
21343171,put,放；期貨買賣,
21343172,love,愛情,
21343173,experience,經驗,
21343174,name,名稱；姓名,
21343175,plan,計畫；計劃；平面圖,
21343176,post,柱；樁；支柱,
21343177,member,件；段；肢；構體；構件,
21343178,move,移動,
21343179,public,公眾,
21343180,community,社區；群落,
21343181,lead,鉛；引線；導言；礦脈；導程,
21343182,comment,評論；註釋,
21343183,result,結果；成果,
21343184,order,目；階；序；命令；等級；柱式,
21343185,hold,保持；保留；船艙；停駐；持定；握持,
21343186,health,衛生；健康,
21343187,top,頂；頂端；陀螺；頂部；堤頂,
21343188,house,家；房屋；內務,
21343189,product,產品；產物,
21343190,win,贏,
21343191,lot,批,
21343192,level,階；層次；音量；位準；水平線；水平儀；水準儀,
21343193,problem,問題,
21343194,pay,薪資,
21343195,data,資料；數據,
21343196,power,力；能力；權力；動力；功率,
21343197,president,大學校長,
21343198,days,日；日期；日份,
21343199,news,新聞,
21343200,water,水,
21343201,base,鹼；底層；基座；基底；底座；鹼基；底面；片基；基極,
21343202,read,讀取,
21343203,project,計畫；專案；項目；專題；投影；投射；專案計畫；計畫專案；專案計劃,
21343204,story,層,
21343205,write,寫,
21343206,turn,轉換；轉彎；同轉,
21343207,times,乘；倍,
21343208,question,問題；詢問,
21343209,event,事件,
21343210,police,警察,
21343211,season,季,
21343212,design,設計,
21343213,party,集團,
21343214,price,價格,
21343215,process,突；處理；過程；程序；作用；歷程；製程；突起,
21343216,line,行；線；管線；直線；譜線,
21343217,children,子,
21343218,receive,收取；接收,
21343219,site,地點；網站；場域；廠址,
21343220,book,圖書；預定,
21343221,side,側；側面,
21343222,job,工作；批；任務；批次；工件,
21343223,center,中心,
21343224,head,頭；落差；頸部；標題；水頭；高差；頭砂,
21343225,course,層；方向；水道；航線；科目；航道；航向,
21343226,return,報酬；回程；回傳,
21343227,form,形；年級；形式；形狀；格式；模板；變型；曲式,
21343228,cost,成本；費用,
21343229,money,貨幣,
21343230,build,建立,
21343231,university,大學,
21343232,law,法律；定律,
21343233,feature,特色；特徵；圖徵,
21343234,face,面；臉；面子；界面,
21343235,study,研究；檢查；修業；練習曲,
21343236,talk,通話；滑石,
21343237,hand,手；手感,
21343238,left,左,
21343239,person,個人,
21343240,note,註；音符；註解；備考,
21343241,require,要求；需要；需求的,
21343242,test,殼；測驗；試驗,
21343243,development,發展；發生；開發；發育；顯影；發展部；顯像,
21343244,cause,原因,
21343245,hour,時；小時,
21343246,rate,率；費率；速率,
21343247,control,控制；管制；對照,
21343248,food,食物,
21343249,release,釋出；釋放；放手；放行；鬆開,
21343250,increase,增加,
21343251,car,車；汽車；車箱；礦車；吊艙,
21343252,meet,與；交,
21343253,media,媒體；媒介；中層；介質,
21343254,list,串列；織邊,
21343255,value,值；價值；明度,
21343256,research,研究,
21343257,view,視面；視圖；視像,
21343258,record,紀錄；記錄；唱片；檔案,
21343259,friend,朋友關係,
21343260,deal,板材；買賣合約,
21343261,account,客戶；帳戶；帳號,
21343262,night,夜的,
21343263,fact,事實,
21343264,industry,工業,
21343265,force,力,
21343266,customer,客戶；顧客,
21343267,policy,政策,
21343268,video,錄影帶；視訊；錄像；視像,
21343269,idea,觀念；構想,
21343270,body,體；身體；主體；本文；物體；本體；布身；堤體,
21343271,act,行為；法律,
21343272,content,內容；含量,
21343273,hope,希望,
21343274,example,案例；範例,
21343275,website,網站,
21343276,states,狀態,
21343277,technology,技術；工藝；技學,
21343278,online,線上,
21343279,send,發送,
21343280,fall,下降；落差；瀑布；墜落；面紗；落砂,
21343281,access,入口；出入口；存取,
21343282,file,檔案；銼,
21343283,security,安全；安全性；可靠性；安全保證,
21343284,user,用戶；使用者,
21343285,sign,症狀；符號；記號；徵象,
21343286,type,型；模式；形式；類型；型式；活字；模式標本,
21343287,south,南,
21343288,drive,驅動；驅力,
21343289,light,光；電燈,
21343290,bank,組；銀行；庫；堤；暫存區；觸排,
21343291,step,級；步驟；台階；踏板；走步；音級,
21343292,word,字；字組；字語,
21343293,remain,剩下,
21343294,action,行動；動作；作用；戰鬥；開始拍攝,
21343295,watch,錶；守視,
21343296,focus,焦點；聚焦；震源,
21343297,image,像；象；印象；形象；影像；鏡像,
21343298,stop,止；停止；止動；止檔,
21343299,option,選項；選擇權,
21343300,building,廈；建物,
21343301,visit,拜訪；就診,
21343302,check,支票；核對；校對；檢核,
21343303,official,正式的；法定的,
21343304,article,文章；關節；技術論文,
21343305,claim,要求；主張,
21343306,photo,光；像；像片,
21343307,minute,分；分鐘；微小的,
21343308,leader,引導；領導者；引線；導線；導帶；指線,
21343309,cover,蓋；封面；蓋子；掩蔽,
21343310,sell,銷售,
21343311,room,室；房室,
21343312,charge,充電；加料；電荷；填料,
21343313,kind,種類；實物,
21343314,film,膜；薄膜；膠片；膠膜；軟片,
21343315,statement,敘述；陳述；述語,
21343316,road,道路,
21343317,contact,接觸；接頭,
21343318,board,台；板；董事會,
21343319,decision,決定；判決；決策,
21343320,risk,危險；風險；危險度,
21343321,matter,物質；有重物,
21343322,department,部門,
21343323,needs,需求,
21343324,break,破裂；轉折,
21343325,bit,比；位元；鑽頭,
21343326,date,日；日期,
21343327,position,位置；安置,
21343328,serve,伺服,
21343329,interest,興趣；利息,
21343330,stay,牽條,
21343331,death,死；死亡,
21343332,human,人,
21343333,review,審查；評論；核閱,
21343334,key,鍵；關鍵；沙洲；檢索表；電鍵,
21343335,history,史；歷史；病歷；歷史記錄,
21343336,term,項；期限；足月,
21343337,space,空間；太空,
21343338,series,統；系列；串聯；級數；職系；圖組；音列,
21343339,goal,目標；目的,
21343340,present,現在,
21343341,address,地址；位址,
21343342,age,期；齡；年齡；老化；年積,
21343343,hit,衝擊；命中；點擊,
21343344,benefit,利益；福利；效益；受益,
21343345,quality,品質；乾度,
21343346,management,管理,
21343347,condition,情況；狀況；條件,
21343348,attack,攻擊；衝擊；上升；發作；侵蝕；起音,
21343349,source,源；來源；源頭；源極；流源；源點,
21343350,role,角色,
21343351,reach,到達；觸及；河段；河口,
21343352,education,教育；教育程度,
21343353,class,級；類；綱；分類；艙；階級；類別；類目；船級,
21343354,choose,選取,
21343355,press,壓；壓力；出版社；壓機；沖床,
21343356,rule,規則,
21343357,performance,完成；表現；表演；作業；績效；性能,
21343358,field,場；現場；機場；欄；欄位；照野；圖場,
21343359,products,產品,
21343360,property,財產；特性；性質；財物；屬性,
21343361,link,連結；連鎖；接合；連桿；鏈接；連句；鏈環；鍵合,
21343362,stand,林分；起立；領座,
21343363,model,模式；模樣；模型,
21343364,activity,活動；作業；活性,
21343365,pass,通道；道次；穿經；通行証,
21343366,effect,效果；效應；功效,
21343367,star,星；明星；星形,
21343368,music,音樂,
21343369,range,距離；範圍；幅度；全距；音域,
21343370,store,倉庫；儲存；貯存；外載,
21343371,tax,賦稅,
21343372,period,期；期間；周期；週期；樂段,
21343373,percent,百分比；百分率,
21343374,organization,組織；體制；組織化,
21343375,standard,標準；制式；標準型,
