ID,英文名稱,中文名稱,圖片,一般職稱類別,職等,備註,更新日期
1500719,Secretary-general,秘書長,,行政,13-14,,2012-11-26
1500720,Member of Taiwan Provincial  Consultative Council ,諮議員,,省諮議會,13-14,,2012-11-26
1500721,Advisor,顧問,,行政,13-14,,2012-11-26
1500722,Counselor,參事,,行政,12-13,,2012-11-26
1500723,Deputy Secretary-general,副秘書長,,行政,12-13,,2012-11-26
1500724,Executive Secretary,執行秘書,,行政,11-12,,2012-11-26
1500725,Advisor,行務委員 (中央銀行),,行政,11-12,,2012-11-26
1500726,Member of ____ Committee,委員,,行政,11-12,,2012-11-26
1500727,Senior Researcher,研究委員,,行政,10-12,,2012-11-26
1500728,Deputy Executive Secretary,副執行秘書,,行政,10,,2012-11-26
1500729,Chief Secretary,主任秘書,,行政,9-12,,2012-11-26
1500730,1.Senior Inspector (簡任),督學,,,8-12,,2012-11-26
1500731,簡任：1.Senior Specialist (具專業技術);  2.Senior Executive Officer (一般行政)    薦任：1.Specialist (具專業技術);  2.Executive Officer (一般行政),視察,,行政,8-12,,2012-11-26
1500732,1.Senior Executive Officer(簡任); 2.Executive Officer(薦任),參議,,行政,9-11,,2012-11-26
1500733,1.Senior Specialist (具專業技術); 2.Senior Executive Officer (一般行政) ; 3.Assistant Director-General (屬輔佐主管性質),專門委員,,行政,10-11,,2012-11-26
1500734,1.Senior Consumer Ombudsman Officer (簡任); 2.Consumer Ombudsman Officer (薦任),消費者保護官,,行政,8-11,,2012-11-26
1500735,簡任：1.Senior Specialist (具專業技術);  2.Senior Executive Officer (一般行政)  / 薦任：1.Specialist (具專業技術) ; 2.Executive Officer (一般行政),編纂,,行政,8-11,,2012-11-26
1500736,1.Senior Secretary (簡任),秘書,,,7-11,,2012-11-26
1500737,1.Senior Auditor (簡任); 2.Auditor (薦任),稽核,,行政,7-11,,2012-11-26
1500738,簡任：1.Senior Specialist (具專業技術) ;  2.Senior Executive Officer (一般行政)  / 薦任：1.Specialist (具專業技術); 2.Executive Officer (一般行政),編審,,行政,7-10,,2012-11-26
1500739,簡任：1.Senior Foreign-language Writer (如新聞局英文編譯 Senior English Writer) 2.Senior Editor   / 薦任：1.Foreign-language Writer (如新聞局英文編譯 English Writer) 2.Editor,編譯 ,,行政,7-10,,2012-11-26
1500740,1.Specialist (具專業技術); 2.Executive Officer (一般行政),專員,,行政,7-9,,2012-11-26
1500741,1.Specialist (具專業技術); 2.Executive Officer (一般行政),諮議,,行政,7-9,,2012-11-26
1500742,Executive Officer,視導,,行政,7-8,,2012-11-26
1500743,1.Editor (一般編輯),編輯,,,6-8,,2012-11-26
1500744,Officer,科員,,行政,5-7,,2012-11-26
1500745,Officer,組員,,行政,5-7,,2012-11-26
1500746,Officer,課員,,行政,5-7,,2012-11-26
1500747,Officer,里幹事,,行政,4-6,,2012-11-26
1500748,Junior Officer,佐理員,,行政,4-6,,2012-11-26
1500749,Junior Officer,助理員,,行政,4-6,,2012-11-26
1500750,Junior Officer,管理員,,行政,4-6,,2012-11-26
1500751,Junior Officer,戶籍員,,行政,4-6,,2012-11-26
1500752,Junior Officer,屠宰管理員,,行政,4-6,,2012-11-26
1500753,Junior Officer,就業助理員,,行政,4-6,,2012-11-26
1500754,Clerk,助理幹事,,行政,3-5,,2012-11-26
1500755,Clerk,辦事員,,行政,3-5,,2012-11-26
1500756,Clerk ,資料員,,行政,3-5,,2012-11-26
1500757,Associate Clerk,書記,,行政,1-3,,2012-11-26
1500758,Secretary,機要秘書,,行政,,,2012-11-26
1500759,Executive Officer,機要專員,,行政,,,2012-11-26
1500760,調用職稱之英譯,調用人員,,行政,,,2012-11-26
1500761,Meeting Recorder,紀錄,,行政,,,2012-11-26
1500762,Assistant,業務助理,,行政,,,2012-11-26
1500763,本職或兼職之英譯。,兼主任,,行政,兼職,,2012-11-26
