ID,英文名稱,中文名稱,圖片,職等,機關名稱,一級單位名稱中文,一級單位名稱英譯,一級單位主管職稱中文,一級單位主管職稱英譯,職等.1,二級單位名稱中文,二級單位名稱英譯,備註,更新日期
1499784,Director-general,組長,,,行政院,組,,,,,,,,2012-11-26
1499785,Director-general,主任,,,行政院,室,,,,,,,,2012-11-26
1499786,Director-general (涉外單位)/Director (一般單位),司長,,,部,司,,,,,,,,2012-11-26
1499787,Deputy Director-general (涉外單位) / Deputy Director (一般單位),副司長,,,部,司,,,,,,,,2012-11-26
1499788,Director-general (涉外單位) / Director (一般單位),處長,,,中央局、會、署,處,,,,,,,,2012-11-26
1499789,Deputy Director-general (涉外單位) / Deputy Director (一般單位),副處長,,,中央局、會、署,處,,,,,,,,2012-11-26
1499790,Director,主任,,,部、會、局、處、署,室,,,,,,,,2012-11-26
1499791,Deputy Director,副主任,,,部、會、局、處、署,室,,,,,,,,2012-11-26
1499792,Director,主任,,,部、會、局、處、署,中心,,,,,,,,2012-11-26
1499793,Deputy Director,副主任,,,部、會、局、處、署,中心,,,,,,,,2012-11-26
1499794,Chairperson,主任委員,,,部、會、局、處、署,內部委員會或小組  ,,,,,,,,2012-11-26
1499795,Vice Chairperson,副主任委員,,,部、會、局、處、署,內部委員會或小組  ,,,,,,,,2012-11-26
1499796,Chairperson,召集人 ,,,部、會、局、處、署,內部委員會或小組  ,,,,,,,,2012-11-26
1499797,Vice Chairperson,副召集人,,,部、會、局、處、署,內部委員會或小組  ,,,,,,,,2012-11-26
1499798,Executive Secretary,執行秘書,,,部、會、局、處、署,內部委員會或小組  ,,,,,,,,2012-11-26
1499799,Deputy Executive Secretary,副執行秘書,,,部、會、局、處、署,內部委員會或小組  ,,,,,,,,2012-11-26
1499800,Chairperson,會長,,,外交部,協會〈亞東關係協會〉,,,,,,,,2012-11-26
1499801,Vice Chairperson,副會長,,,外交部,協會〈亞東關係協會〉,,,,,,,,2012-11-26
1499802,Director,組長,,,外交部,組,,,,,,,,2012-11-26
1499803,Deputy Director,副組長,,,外交部,組,,,,,,,,2012-11-26
1499804,Publisher,社長,,,僑務委員會,僑委會華僑通訊社,,,,,,,,2012-11-26
1499805,Deputy Publisher,副社長,,,僑務委員會,僑委會華僑通訊社,,,,,,,,2012-11-26
1499806,…..Chief,組長,,,部、會、局、處、署,小組〈任務編組〉,,,,,,,,2012-11-26
1499807,Consumer Ombudsman Officer,消費者保護官,,,行政院消費者保護委員會,消費者保護官,,,,,,,,2012-11-26
1499808,Director,組長,,,行政院消費者保護委員會,組,,,,,,,,2012-11-26
1499809,Deputy Director,副組長,,,行政院消費者保護委員會,組,,,,,,,,2012-11-26
1499810,Director,總隊長,,,行政院環境保護署,總隊〈環境督察總隊〉,,,,,,,,2012-11-26
1499811,Deputy Director,副總隊長,,,行政院環境保護署,總隊〈環境督察總隊〉,,,,,,,,2012-11-26
1499812,Director,隊長,,,行政院海岸巡防署,隊,,,,,,,,2012-11-26
1499813,Deputy Director,副隊長,,,行政院海岸巡防署,隊,,,,,,,,2012-11-26
