ID,英文名稱,中文名稱,圖片,中央機關銜稱中文,中央機關銜稱英譯,一級單位名稱中文,一級單位名稱英譯,備註,更新日期
1490506,Telecommunications Section,電務科 ,,行政院,,第七組 ,Seventh Directorate,,2012-11-26
1490507,Monitoring Section,稽催科,,行政院,,第七組 ,Seventh Directorate,,2012-11-26
1490508,Microform Section,縮攝科 ,,行政院,,第七組 ,Seventh Directorate,,2012-11-26
1490509,Security Unit,警衛組 ,,行政院,,第七組 ,Seventh Directorate,,2012-11-26
1490510,Citizen Participation Section,公民參政科 ,,內政部,,民政司 ,Department of Civil Affairs,,2012-11-26
1490511,Local Affairs Section,地方行政科 ,,內政部,,民政司 ,Department of Civil Affairs,,2012-11-26
1490512,Religious Affairs Section,宗教輔導科 ,,內政部,,民政司 ,Department of Civil Affairs,,2012-11-26
1490513,Folk Custom Section,禮儀民俗科 ,,內政部,,民政司 ,Department of Civil Affairs,,2012-11-26
1490514,Population Policy Section,人口政策科 ,,內政部,,戶政司 ,Department of Household Registration Affairs,,2012-11-26
1490515,Household Survey Section,戶口調查科 ,,內政部,,戶政司 ,Department of Household Registration Affairs,,2012-11-26
1490516,Personnel Training Section,戶政人員培訓科,,內政部,,戶政司 ,Department of Household Registration Affairs,,2012-11-26
1490517,Population Registry Section,戶籍行政科 ,,內政部,,戶政司 ,Department of Household Registration Affairs,,2012-11-26
1490518,Population Information Management Section,戶籍作業科 ,,內政部,,戶政司 ,Department of Household Registration Affairs,,2012-11-26
1490519,Nationality Affairs Section,國籍行政科 ,,內政部,,戶政司 ,Department of Household Registration Affairs,,2012-11-26
1490520,Territorial Administration Section,方域科 ,,內政部,,地政司 ,Department of Land Administration,,2012-11-26
1490521,Land Use Section,地用科 ,,內政部,,地政司 ,Department of Land Administration,,2012-11-26
1490522,Land Valuation Section,地價科 ,,內政部,,地政司 ,Department of Land Administration,,2012-11-26
1490523,Land Cadastre Section,地籍科 ,,內政部,,地政司 ,Department of Land Administration,,2012-11-26
1490524,Land Rights Section,地權科 ,,內政部,,地政司 ,Department of Land Administration,,2012-11-26
1490525,Land Survey Section,測量科 ,,內政部,,地政司 ,Department of Land Administration,,2012-11-26
1490526,Satellite Survey Center,衛星測量中心 ,,內政部,,地政司 ,Department of Land Administration,,2012-11-26
1490527,Senior Citizens' Welfare Section,老人福利科 ,,內政部,,社會司 ,Department of Social Affairs,,2012-11-26
1490528,Disabled Persons' Welfare Section,身心障礙福利科,,內政部,,社會司 ,Department of Social Affairs,,2012-11-26
1490529,Social Insurance Section,社會保險科 ,,內政部,,社會司 ,Department of Social Affairs,,2012-11-26
1490530,Social Assistance Section,社會救助科 ,,內政部,,社會司 ,Department of Social Affairs,,2012-11-26
1490531,Civic Associations Section,社會團體科 ,,內政部,,社會司 ,Department of Social Affairs,,2012-11-26
1490532,Women's Welfare Section,婦女福利科 ,,內政部,,社會司 ,Department of Social Affairs,,2012-11-26
1490533,Property Section,保管科 ,,內政部,,總務司,Department of General Affairs,,2012-11-26
1490534,Evaluation and Training Section,考核訓練科 ,,內政部,,人事處,Department of Personnel,,2012-11-26
1490535,Retirement Welfare Section,退休福利科 ,,內政部,,人事處,Department of Personnel,,2012-11-26
1490536,Appointing and Dismissal Section,編制任免科 ,,內政部,,人事處,Department of Personnel,,2012-11-26
1490537,Investigation Section,查處維謢科 ,,內政部,,政風處,Department of Civil Service Ethics ,,2012-11-26
1490538,Anti-Corruption Section,貪瀆預防科 ,,內政部,,政風處,Department of Civil Service Ethics ,,2012-11-26
1490539,Budget Review Section,審核科 ,,內政部,,會計處,Department of Accounting,,2012-11-26
1490540,Analysis Section,分析科 ,,內政部,,統計處,Department of Statistics,,2012-11-26
1490541,Edit and Compilation Section,編審科 ,,內政部,,統計處,Department of Statistics,,2012-11-26
1490542,Survey Section,調查科 ,,內政部,,統計處,Department of Statistics,,2012-11-26
1490543,Operation Section,作業設計科 ,,內政部,,資訊中心,Information Management Center ,,2012-11-26
1490544,Mechanical Operation Section,機器操作科 ,,內政部,,資訊中心,Information Management Center ,,2012-11-26
1490545,Mobilization Committee,動員準備業務會報 ,,內政部,,秘書室,Secretariat,,2012-11-26
1490546,Protection and Assistance Section,保護扶助組 ,,內政部,,家庭暴力及性侵害防治委員會 ,Domestic Violence and Sexual Assault Prevention Committee,,2012-11-26
1490547,Education and Counseling Section,教育輔導組 ,,內政部,,家庭暴力及性侵害防治委員會 ,Domestic Violence and Sexual Assault Prevention Committee,,2012-11-26
1490548,Violence Prevention Section,暴力防治組 ,,內政部,,家庭暴力及性侵害防治委員會 ,Domestic Violence and Sexual Assault Prevention Committee,,2012-11-26
1490549,Personnel Training Section,戶政人員培訓科  ,,內政部,,中部辦公室戶政司 ,Department of Household Registration Affairs,,2012-11-26
1490550,Local Partnership Section,地方督導科 ,,內政部,,中部辦公室民政司 ,Department of Civil Affairs,,2012-11-26
1490551,Local Government Personnel Training Section,自治人員培訓科 ,,內政部,,中部辦公室民政司 ,Department of Civil Affairs,,2012-11-26
1490552,Local Public Enterprises Section,自治事業科 ,,內政部,,中部辦公室民政司 ,Department of Civil Affairs,,2012-11-26
1490553,Local Infrastructure Section,基層建設科 ,,內政部,,中部辦公室民政司 ,Department of Civil Affairs,,2012-11-26
1490554,Zoning Section,土地使用編定管制科  ,,內政部,,中部辦公室地政司 ,Department of Land Administration,,2012-11-26
1490555,Land Readjustment Section,土地重劃科,,內政部,,中部辦公室地政司 ,Department of Land Administration,,2012-11-26
1490556,Land Registration Section,土地登記科,,內政部,,中部辦公室地政司 ,Department of Land Administration,,2012-11-26
1490557,Real Estate Section,不動產交易科,,內政部,,中部辦公室地政司 ,Department of Land Administration,,2012-11-26
1490558,Public Land Section,公地行政科,,內政部,,中部辦公室地政司 ,Department of Land Administration,,2012-11-26
1490559,Land Information Management Section,地政資訊作業科  ,,內政部,,中部辦公室地政司 ,Department of Land Administration,,2012-11-26
1490560,Zone Expropriation Section,區段征收科,,內政部,,中部辦公室地政司 ,Department of Land Administration,,2012-11-26
1490561,Cooperatives Management Section,合作行政管理科  ,,內政部,,中部辦公室社會司 ,Department of Social Affairs,,2012-11-26
1490562,Cooperatives Guidance Section,合作事業輔導科  ,,內政部,,中部辦公室社會司 ,Department of Social Affairs,,2012-11-26
1490563,Senior Citizens' Institution Section,老人福利機構輔導科  ,,內政部,,中部辦公室社會司 ,Department of Social Affairs,,2012-11-26
1490564,Disabled Persons' Institution Section,身心障礙福利機構輔導科  ,,內政部,,中部辦公室社會司 ,Department of Social Affairs,,2012-11-26
1490565,Community and Juvenile Welfare Section,社區及少年福利科  ,,內政部,,中部辦公室社會司 ,Department of Social Affairs,,2012-11-26
1490566,Social Development Section,社會發展科,,內政部,,中部辦公室社會司 ,Department of Social Affairs,,2012-11-26
1490567,Vocational Associations Section,職業團體科,,內政部,,中部辦公室社會司 ,Department of Social Affairs,,2012-11-26
1490568,Property Section,財產科,,法務部,,總務司,Department of General Affairs,,2012-11-26
1490569,Civil Engineering Section,工程組,,法務部,,總務司,Department of General Affairs,,2012-11-26
1490570,Transportation Section,車輛科,,法務部,,總務司,Department of General Affairs,,2012-11-26
1490571,First Section,第一科,,行政院國軍退除役官兵輔導委員會,,第一處,First Department,,2012-11-26
1490572,Second Section,第二科,,行政院國軍退除役官兵輔導委員會,,第一處,First Department,,2012-11-26
1490573,Third Section,第三科,,行政院國軍退除役官兵輔導委員會,,第一處,First Department,,2012-11-26
1490574,First Section,第一科,,行政院國軍退除役官兵輔導委員會,,第二處,Second Department,,2012-11-26
1490575,Second Section,第二科,,行政院國軍退除役官兵輔導委員會,,第二處,Second Department,,2012-11-26
1490576,Third Section,第三科,,行政院國軍退除役官兵輔導委員會,,第二處,Second Department,,2012-11-26
1490577,First Section,第一科,,行政院國軍退除役官兵輔導委員會,,第三處,Third Department,,2012-11-26
1490578,Second Section,第二科,,行政院國軍退除役官兵輔導委員會,,第三處,Third Department,,2012-11-26
1490579,Third Section,第三科,,行政院國軍退除役官兵輔導委員會,,第三處,Third Department,,2012-11-26
1490580,First Section,第一科,,行政院國軍退除役官兵輔導委員會,,第四處,Fourth Department,,2012-11-26
1490581,Second Section,第二科,,行政院國軍退除役官兵輔導委員會,,第四處,Fourth Department,,2012-11-26
1490582,First Section,第一科,,行政院國軍退除役官兵輔導委員會,,第五處,Fifth Department,,2012-11-26
1490583,Second Section,第二科,,行政院國軍退除役官兵輔導委員會,,第五處,Fifth Department,,2012-11-26
1490584,Third Section,第三科,,行政院國軍退除役官兵輔導委員會,,第五處,Fifth Department,,2012-11-26
1490585,First Section,第一科,,行政院國軍退除役官兵輔導委員會,,第六處,Sixth Department,,2012-11-26
1490586,Second Section,第二科,,行政院國軍退除役官兵輔導委員會,,第六處,Sixth Department,,2012-11-26
1490587,Third Section,第三科,,行政院國軍退除役官兵輔導委員會,,第六處,Sixth Department,,2012-11-26
1490588,First Section,第一科,,行政院國軍退除役官兵輔導委員會,,第七處,Seventh Department,,2012-11-26
1490589,Second Section,第二科,,行政院國軍退除役官兵輔導委員會,,第七處,Seventh Department,,2012-11-26
1490590,First Section,第一科,,行政院國軍退除役官兵輔導委員會,,第八處,Eighth Department,,2012-11-26
1490591,Second Section,第二科,,行政院國軍退除役官兵輔導委員會,,第八處,Eighth Department,,2012-11-26
1490592,Third Section,第三科,,行政院國軍退除役官兵輔導委員會,,第八處,Eighth Department,,2012-11-26
1490593,First Section,第一科,,行政院國軍退除役官兵輔導委員會,,第九處,Ninth Department,,2012-11-26
1490594,Second Section,第二科,,行政院國軍退除役官兵輔導委員會,,第九處,Ninth Department,,2012-11-26
1490595,Third Section,第三科,,行政院國軍退除役官兵輔導委員會,,第九處,Ninth Department,,2012-11-26
1490596,First Section (Secretary),第一科 (機要),,行政院國軍退除役官兵輔導委員會,,秘書處,Secretariat,,2012-11-26
1490597,Second Section (Research and Evaluation),第二科 (研考),,行政院國軍退除役官兵輔導委員會,,秘書處,Secretariat,,2012-11-26
1490598,Third Section (Documentation),第三科 (文書),,行政院國軍退除役官兵輔導委員會,,秘書處,Secretariat,,2012-11-26
1490599,Fourth Section (Archives),第四科 (檔案中心),,行政院國軍退除役官兵輔導委員會,,秘書處,Secretariat,,2012-11-26
1490600,First Section (Organization),第一科 (編制),,行政院國軍退除役官兵輔導委員會,,人事處,Department of Personnel,,2012-11-26
1490601,Second Section (Appointing and Dismissal),第二科 (任免),,行政院國軍退除役官兵輔導委員會,,人事處,Department of Personnel,,2012-11-26
1490602,Third Section (Evaluation),第三科 (考核),,行政院國軍退除役官兵輔導委員會,,人事處,Department of Personnel,,2012-11-26
1490603,First Section (Medical Fund),第一科 (醫療基金會),,行政院國軍退除役官兵輔導委員會,,會計處,Department of Accounting ,,2012-11-26
1490604,Second Section (Job Placement Fund),第二科 (安置基金會),,行政院國軍退除役官兵輔導委員會,,會計處,Department of Accounting ,,2012-11-26
1490605,"Third Section (Budget, Accounting and Auditing)",第三科 (預算會計稽核),,行政院國軍退除役官兵輔導委員會,,會計處,Department of Accounting ,,2012-11-26
1490606,First Section (Data Analysis),第一科 (資料分析),,行政院國軍退除役官兵輔導委員會,,統計處,Department of Statistics,,2012-11-26
