ID,英文名稱,中文名稱,圖片,備註,更新日期
1489748,Executive Yuan,行政院,,,2012-11-26
1489749,Ministry of the Interior,內政部,,,2012-11-26
1489750,Ministry of Foreign Affairs,外交部,,,2012-11-26
1489751,Ministry of National Defense,國防部,,,2012-11-26
1489752,Ministry of Finance,財政部,,,2012-11-26
1489753,Ministry of Education,教育部,,,2012-11-26
1489754,Ministry of Justice,法務部,,,2012-11-26
1489755,Ministry of Economic Affairs,經濟部,,,2012-11-26
1489756,Ministry of Transportation and Communications,交通部,,,2012-11-26
1489757,Mongolian and Tibetan Affairs Commission,蒙藏委員會,,,2012-11-26
1489758,Overseas Compatriot Affairs Commission,僑務委員會,,94年5月4日會地字第0950005411號函復變更機關名稱,2012-11-26
1489759,Central Bank of the Republic of China,中央銀行,,,2012-11-26
1489760,"Directorate-General of Budget, Accounting and Statistics, Executive Yuan",行政院主計處,,,2012-11-26
1489761,"Central Personnel Administration, Executive Yuan",行政院人事行政局,,,2012-11-26
1489762,"Government Information Office, Executive Yuan",行政院新聞局,,,2012-11-26
1489763,"Department of Health, Executive Yuan",行政院衛生署,,,2012-11-26
1489764,"Environmental Protection Administration, Executive Yuan",行政院環境保護署,,,2012-11-26
1489765,National Palace Museum,國立故宮博物院,,,2012-11-26
1489766,"Mainland Affairs Council, Executive Yuan",行政院大陸委員會,,,2012-11-26
1489767,"Council for Economic Planning and Development, Executive Yuan",行政院經濟建設委員會,,,2012-11-26
1489768,"Veterans Affairs Commission, Executive Yuan",行政院國軍退除役官兵輔導委員會,,,2012-11-26
1489769,"National Youth Commission, Executive Yuan",行政院青年輔導委員會,,,2012-11-26
1489770,"Atomic Energy Council, Executive Yuan",行政院原子能委員會,,,2012-11-26
1489771,"National Science Council, Executive Yuan",行政院國家科學委員會,,,2012-11-26
1489772,"Research, Development and Evaluation Commission, Executive Yuan",行政院研究發展考核委員會,,,2012-11-26
1489773,"Council of Agriculture, Executive Yuan",行政院農業委員會,,,2012-11-26
1489774,"Council for Cultural Affairs, Executive Yuan",行政院文化建設委員會,,,2012-11-26
1489775,"Council of Labor Affairs, Executive Yuan",行政院勞工委員會,,,2012-11-26
1489776,"Fair Trade Commission, Executive Yuan",行政院公平交易委員會,,,2012-11-26
1489777,"Public Construction Commission, Executive Yuan",行政院公共工程委員會,,,2012-11-26
1489778,"Sports Affairs Council, Executive Yuan",行政院體育委員會,,960521會地字0960009671號函復同意變更。,2012-11-26
1489779,"Council of Indigenous Peoples, Executive Yuan",行政院原住民族委員會,,,2012-11-26
1489780,"Coast Guard Administration, Executive Yuan",行政院海岸巡防署,,,2012-11-26
1489781,"Consumer Protection Commission, Executive Yuan",行政院消費者保護委員會,,,2012-11-26
1489782,"Council for Hakka Affairs, Executive Yuan",行政院客家委員會,,,2012-11-26
1489783,Central Election Commission,中央選舉委員會,,,2012-11-26
