ID,英文名稱,中文名稱,圖片,所屬機關名稱,職等,備註,更新日期
19196835,"1.Member of___Council; 2.Member, Council  of___",委員,,,,,2022-07-15
19196836,Administrative Deputy Minister,常務次長,,,,交通部,2022-07-15
19196837,Assistant Deputy Manager,主任,,13,,財政部,2022-07-15
19196838,Captain,隊長,,,,交通部民用航空局,2022-07-15
19196839,Chairman / Chairwoman / Chairperson,主任委員,,,,行政院飛航安全委員會,2022-07-15
19196840,Chairperson,主任委員,,13,,財政部,2022-07-15
19196841,Chairperson,所長,,11-13,,行政院勞工委員會,2022-07-15
19196842,Chairperson,董事長,,,,交通部,2022-07-15
19196843,Chairperson,諮議長,,,,臺灣省諮議會,2022-07-15
19196844,Chief,分台長,,9-10,,國立教育廣播電台,2022-07-15
19196845,Chief,分所長,,11,,中華電信股份有限公司各所(總公司所屬一級機構),2022-07-15
19196846,Chief,分場長,,9,,行政院農業委員會,2022-07-15
19196847,Chief,主任,,,,交通部中央氣象局,2022-07-15
19196848,Chief,站長,,,,交通部臺灣區國道高速公路局,2022-07-15
19196849,Chief,場長,,,,臺灣省自來水股份有限公司,2022-07-15
19196850,Chief,總台長,,9,,法務部調查局,2022-07-15
19196851,Chief of the General Staff,參謀總長(軍令),,,,國防部,2022-07-15
19196852,Chief Prosecutor,檢察長,,13-14,,法務部,2022-07-15
19196853,Chief Secretary,主任秘書,,,,各機關,2022-07-15
19196854,Commander,隊長,,9,,內政部警政署,2022-07-15
19196855,Deputy Director,副院長,,,,國立故宮博物院,2022-07-15
19196856,Deputy Executive  Director,副執行長,,,,行政院九二一震災災後重建推動委員會,2022-07-15
19196857,Deputy Minister,副主計長,,,,行政院主計處,2022-07-15
19196858,Deputy Minister,副局長,,,,行政院新聞局,2022-07-15
19196859,Deputy Minister,副委員長,,,,僑務委員會,2022-07-15
19196860,Deputy Minister,副署長,,,,行政院海岸巡防署,2022-07-15
19196861,Deputy Secretary-general,副秘書長,,,,委員會,2022-07-15
19196862,Director,分局長,,10,,財政部北高兩市及各區國稅局,2022-07-15
19196863,Director,分所長,,10,,行政院農業委員會家畜衛生試驗所,2022-07-15
19196864,Director,主任,,12,,行政院體育委員會,2022-07-15
19196865,Director,台長,,12,,教育部,2022-07-15
19196866,Director,局長,,11-12,,行政院海岸巡防署海岸巡防總局,2022-07-15
19196867,Director,所長,,12,,行政院環境保護署,2022-07-15
19196868,Director,院長,,10,,內政部,2022-07-15
19196869,Director,處長,,11,,行政院農業委員會,2022-07-15
19196870,Director,場長,,11,,行政院農業委員會,2022-07-15
19196871,Director,園長,,11,,教育部,2022-07-15
19196872,Director,經理,,13-14,,財政部,2022-07-15
19196873,Director,團長,,12,,行政院文化建設委員會,2022-07-15
19196874,Director,廠長,,12,,行政院國軍退除役官兵輔導委員會,2022-07-15
19196875,Director,館長,,11,,教育部,2022-07-15
19196876,Director,總台長,,10,,內政部警政署,2022-07-15
19196877,Director,總臺長,,,,交通部民用航空局,2022-07-15
19196878,Director- general,局長,,13,,行政院國家科學委員會,2022-07-15
19196879,Director- general,總局長,,13,,行政院海岸巡防署,2022-07-15
19196880,Director-general,主任,,13,,行政院人事行政局,2022-07-15
19196881,Director-general,局長,,11-13,,行政院勞工委員會,2022-07-15
19196882,Director-general,所長,,13,,行政院農業委員會,2022-07-15
19196883,Director-general,處長,,13,,經濟部,2022-07-15
19196884,Director-general,署長,,13,,行政院農業委員會,2022-07-15
19196885,Director-general,館長,,13,,教育部,2022-07-15
19196886,Director-general,總局長,,13,,財政部,2022-07-15
19196887,Executive Director,執行長,,,,行政院九二一震災災後重建推動委員會,2022-07-15
19196888,Executive Manager,執行長,,14-15,,中國石油股份有限公司,2022-07-15
19196889,General Commander,大隊長,,,,內政部警政署,2022-07-15
19196890,General Commander,總隊長,,12,,內政部警政署,2022-07-15
19196891,General Manager,經理,,13-14,,財政部,2022-07-15
19196892,Governor,省主席,,,,臺灣省政府,2022-07-15
19196893,Governor,總裁,,,,中央銀行,2022-07-15
19196894,Head,台長,,7-8,,法務部調查局總台,2022-07-15
19196895,Head,園長,,,,教育部,2022-07-15
19196896,Head,業務員,,7,,臺灣菸酒股份有限公司各營業處,2022-07-15
19196897,Manager,分廠長,,,,教育部,2022-07-15
19196898,Manager,台長,,10,,行政院農業委員會漁業署,2022-07-15
19196899,Manager,處長,,,,教育部,2022-07-15
19196900,Manager,場長,,9,,行政院農業委員會畜產試驗所,2022-07-15
19196901,Manager,經理,,,,中華電信股份有限公司分公司(總公司所屬一級機構),2022-07-15
19196902,Manager,廠長,,10,,內政部警政署,2022-07-15
19196903,Manager,總公司副總經理兼分公司經理,,,,中華電信股份有限公司,2022-07-15
19196904,Manager,總經理,,,,交通部臺灣鐵路管理局,2022-07-15
19196905,Manger,經理,,,,臺鹽實業股份有限公司,2022-07-15
19196906,Military Strategy Advisor to the President,戰略顧問,,,,,2022-07-15
19196907,Minister,主計長,,,,行政院主計處,2022-07-15
19196908,Minister,局長,,,,行政院新聞局,2022-07-15
19196909,Minister,委員長,,,,僑務委員會,2022-07-15
19196910,Minister,部長,,,,交通部,2022-07-15
19196911,Minister,署長,,,,行政院海岸巡防署,2022-07-15
19196912,Minister of State (若未兼管部會，則譯為Minister of State without Portfolio；若兼管部會，如內政部長，則譯為Minister of State and Minister of Interior。),政務委員,,,,行政院,2022-07-15
19196913,National Policy Advisor to the President,國策顧問,,,,,2022-07-15
19196914,Political Deputy Minister,政務次長,,,,交通部,2022-07-15
19196915,Premier,院長,,,,行政院,2022-07-15
19196916,President,校長,,,,教育部,2022-07-15
19196917,President,院長,,,,教育部,2022-07-15
19196918,President,團長,,12,,教育部,2022-07-15
19196919,President,總統,,,,,2022-07-15
19196920,President,總經理,,15,,中央銀行,2022-07-15
19196921,President Academia Sinica,中央研究院院長,,,,,2022-07-15
19196922,President and CEO,總經理,,,,行政院勞工委員會,2022-07-15
19196923,President of the Legislative Yuan,院長,,,,,2022-07-15
19196924,Principal,院長,,9,,法務部,2022-07-15
19196925,Prosecutor General,檢察總長,,14,,法務部,2022-07-15
19196926,Secretary-general,秘書長,,,,行政院,2022-07-15
19196927,Senior Advisor to the President,資政,,,,,2022-07-15
19196928,Superintendent,分院長,,11-12,,行政院衛生署署立醫療院,2022-07-15
19196929,Superintendent,所長,,9、10-11,,法務部,2022-07-15
19196930,Superintendent,院長,,13,,行政院國軍退除役官兵輔導委員會,2022-07-15
19196931,Vice Chairman / Vice Chairwoman / Vice Chairperson,副主任委員,,,,行政院原子能委員會,2022-07-15
19196932,Vice Governor,副總裁,,,,中央銀行,2022-07-15
19196933,Vice Minister (Armaments),副部長(軍備),,,,國防部,2022-07-15
19196934,Vice Minister (Policy),副部長(軍政),,,,國防部,2022-07-15
19196935,Vice Premier,副院長,,,,行政院,2022-07-15
19196936,Vice President,副總統,,,,,2022-07-15
