ID,英文名稱,中文名稱,圖片,界,門,綱,目,科,屬,種,資料來源,更新日期
3598843,Clementia vatheleti,薄殼和平蛤,,Animalia動物界,Mollusca軟體動物門,Bivalvia雙殼綱,Veneroida簾蛤目,Veneridae簾蛤科,Clementia花簾蛤屬,vatheleti,中央研究院生物多樣性中心臺灣物種名錄http://taibnet.sinica.edu.tw/home.php,2018-08-30
3598844,Parahepomadus vaubani,長額擬肝刺蝦,,Animalia動物界,Arthropoda節肢動物門,Malacostraca軟甲綱,Decapoda十足目,Aristeidae長鬚蝦科,Parahepomadus擬肝刺蝦屬,vaubani,中央研究院生物多樣性中心臺灣物種名錄http://taibnet.sinica.edu.tw/home.php,2018-08-30
3598845,Deltocyathus vaughani,佛氏角杯珊瑚,,Animalia動物界,Cnidaria刺胞動物門,Anthozoa珊瑚蟲綱,Scleractinia石珊瑚目,Deltocyathidae角杯珊瑚科,Deltocyathus,vaughani,中央研究院生物多樣性中心臺灣物種名錄http://taibnet.sinica.edu.tw/home.php,2018-08-30
3598846,Fungia vaughani,佛氏圓珊瑚,,Animalia動物界,Cnidaria刺胞動物門,Anthozoa珊瑚蟲綱,Scleractinia石珊瑚目,Fungiidae蕈珊瑚科,Fungia蕈珊瑚屬,vaughani,中央研究院生物多樣性中心臺灣物種名錄http://taibnet.sinica.edu.tw/home.php,2018-08-30
3598847,Acanthogorgia vegae,星棘柳珊瑚,,Animalia動物界,Cnidaria刺胞動物門,Anthozoa珊瑚蟲綱,Gorgonacea柳珊瑚目,Acanthigorgiidae棘柳珊瑚科,Acanthogorgia棘柳珊瑚屬,vegae,中央研究院生物多樣性中心臺灣物種名錄http://taibnet.sinica.edu.tw/home.php,2018-08-30
3598848,Cretonia vegeta,赭藕鈍夜蛾,,Animalia動物界,Arthropoda節肢動物門,Insecta昆蟲綱,Lepidoptera鱗翅目,Noctuidae夜蛾科,Cretonia,vegeta,中央研究院生物多樣性中心臺灣物種名錄http://taibnet.sinica.edu.tw/home.php,2018-08-30
3598849,Helicosporium vegetum,強壯螺旋孢黴,,Fungi真菌界,Ascomycota子囊菌門,Dothideomycetes座囊菌綱,Pleosporales格孢菌目,Tubeufiaceae毛筒殼科,Helicosporium螺旋孢黴屬,vegetum,中央研究院生物多樣性中心臺灣物種名錄http://taibnet.sinica.edu.tw/home.php,2018-08-30
3598850,Lycopodium veitchii,玉山石松,,Plantae植物界,Lycopodiophyta石松門,Lycopodiopsida石松綱,Lycopodiales石松目,Lycopodiaceae石松科,Lycopodium石松屬,veitchii,中央研究院生物多樣性中心臺灣物種名錄http://taibnet.sinica.edu.tw/home.php,2018-08-30
3598851,Apophylia velai,黃腳翠螢金花蟲,,Animalia動物界,Arthropoda節肢動物門,Insecta昆蟲綱,Coleoptera鞘翅目,Chrysomelidae金花蟲科,Apophylia翠螢金花蟲屬,velai,中央研究院生物多樣性中心臺灣物種名錄http://taibnet.sinica.edu.tw/home.php,2018-08-30
3598852,Halimeda velasquezii,未狀仙掌藻,,Plantae植物界,Chlorophyta綠藻植物門,Bryopsidophyceae羽藻綱,Bryopsidales羽藻目,Halimedaceae仙掌藻科,Halimeda仙掌藻屬,velasquezii,中央研究院生物多樣性中心臺灣物種名錄http://taibnet.sinica.edu.tw/home.php,2018-08-30
