ID,英文名稱,中文名稱,圖片,更新日期
3542160,principal's office,校長室,,2018-06-15
3542161,principal,校長,,2018-06-15
3542162,vice principal,副校長,,2018-06-15
3542163,secretary,秘書,,2018-06-15
3542164,reception room,會客室,,2018-06-15
3542165,principal's suite,起居室,,2018-06-15
3542166,educational affairs office,教務處,,2018-06-15
3542167,educational affairs director,教務主任,,2018-06-15
3542168,section chief,組長,,2018-06-15
3542169,deputy section chief,副組長,,2018-06-15
3542170,curriculum and instruction section ,教學組,,2018-06-15
3542171,curriculum and instruction section chief,教學組長,,2018-06-15
3542172,curriculum development section,課研組,,2018-06-15
3542173,curriculum development section chief,課研組長,,2018-06-15
3542174,research and development section,研究發展組,,2018-06-15
3542175,research and development section chief,研究發展組長,,2018-06-15
3542176,registration section,註冊組,,2018-06-15
3542177,registration section chief,註冊組長,,2018-06-15
3542178,information technology section,資訊組,,2018-06-15
3542179,executive secretary of information technology,資訊執行祕書,,2018-06-15
3542180,equipment section,設備組,,2018-06-15
3542181,equipment section chief,設備組長,,2018-06-15
3542182,examinations section,試務組,,2018-06-15
3542183,examinations section chief,試務組長,,2018-06-15
3542184,curriculum section,課務組,,2018-06-15
3542185,curriculum section chief,課務組長,,2018-06-15
3542186,practicum/internship administration section,實習組,,2021-09-14
3542187,practicum/internship administration section chief,實習組長,,2021-09-14
3542188,career guidance section,就業輔導組,,2018-06-15
3542189,career guidance section chief,就業輔導組長,,2018-06-15
3542190,student lab section,實驗研究組,,2018-06-15
3542191,student lab section chief,實驗研究組長,,2018-06-15
3542192,comprehensive high school section,綜合高中組,,2018-06-15
3542193,comprehensive high school section chief,綜合高中組長,,2018-06-15
3542194,music education section,音樂組,,2018-06-15
3542195,music education section chief,音樂組長,,2018-06-15
3542196,art section,美術組,,2018-06-15
3542197,art section chief,美術組長,,2018-06-15
3542198,dance section,舞蹈組,,2018-06-15
3542199,dance section chief,舞蹈組長,,2018-06-15
3542200,deputy administrative officer,行政協辦,,2018-06-15
3542201,clerk; officer,幹事,,2018-06-15
3542202,teaching materials prep room,教材製作室,,2018-06-15
3542203,printing room,印刷室,,2018-06-15
3542204,registrar records room,學籍檔案室,,2018-06-15
3542205,teaching equipment room,教學設備及器材室,,2018-06-15
3542206,storeroom,儲藏室,,2018-06-15
3542207,student affairs office,學生事務處,,2018-06-15
3542208,student affairs director,學務主任,,2018-06-15
3542209,health & hygiene section,衛生組,,2018-06-15
3542210,health & hygiene section chief,衛生組長,,2018-06-15
3542211,clubs & activities section,社團活動組,,2018-06-15
3542212,clubs & activities section chief,社團活動組長,,2018-06-15
3542213,Student Activities Section,訓育組,,2018-06-15
3542214,Student Activities Section Chief,訓育組長,,2018-06-15
3542215,Student Conduct Section;Student Conduct and Safety Section,生活輔導組,,2018-06-15
3542216,Student Conduct Section Chief;Student Conduct and Safety Section Chief,生活輔導組長,,2018-06-15
3542217,Student Conduct Section;Student Conduct and Safety Section,生活教育組(生教組),,2018-06-15
3542218,Student Conduct Section Chief;Student Conduct and Safety Section Chief,生活教育組長,,2018-06-15
3542219,physical education section,體育組,,2018-06-15
3542220,physical education section chief,體育組長,,2018-06-15
3542221,physical education section chief,體育班組長,,2018-06-15
3542222,coach,運動教練,,2018-06-15
3542223,sports injury assistant,運動傷害防護員,,2018-06-15
3542224,swimming coach,游泳教練,,2018-06-15
3542225,lifeguard,救生員,,2018-06-15
3542226,nurse's office,保健室,,2018-06-15
3542227,health center,健康中心,,2018-06-15
3542228,school nurse,校護,,2018-06-15
3542229,recovery room,休養室,,2018-06-15
3542230,restroom,盥洗間,,2018-06-15
3542231,school doctor,駐校醫師,,2018-06-15
3542232,breastfeeding room,哺乳室,,2018-06-15
3542233,nurse,護士,,2018-06-15
3542234,dietitian,營養師,,2018-06-15
3542235,registered nurse,護理師,,2018-06-15
3542236,health and nursing teacher,護理教師,,2018-06-15
3542237,dorm adviser (正式稱呼);dorm parent (暱稱),住宿生輔導員,,2018-06-15
3542238,PE equipment room,體育設備及器材室,,2018-06-15
3542239,military intructors and nursing teachers room,軍護室,,2018-06-15
3542240,armory,軍械庫,,2018-06-15
3542241,public address room,廣播室,,2018-06-15
3542242,extension school,補校,,2018-06-15
3542243,extension school director,補校主任,,2018-06-15
3542244,extension school director,校務主任,,2018-06-15
3542245,counseling office,輔導處(室),,2018-06-15
3542246,counseling director,輔導主任,,2018-06-15
3542247,(school) guidance counselor,專任輔導教師,,2019-09-17
3542248,part-time counseling teacher,兼任輔導教師,,2018-06-15
3542249,psychology tests room,心理測驗室,,2018-06-15
3542250,counseling room,諮商室,,2018-06-15
3542251,individual counseling room,個別諮商室,,2018-06-15
3542252,group counseling room,團體輔導室,,2018-06-15
3542253,display room,資料陳列室,,2018-06-15
3542254,guidance board,輔導專欄,,2018-06-15
3542255,audiovisual equipment room,視聽器材室,,2018-06-15
3542256,observation room,觀察室,,2018-06-15
3542257,guidance activities classroom,輔導活動專科教室,,2018-06-15
3542258,counseling center,輔導中心,,2018-06-15
3542259,counseling center director,輔導中心主任,,2018-06-15
3542260,counseling section,輔導組,,2018-06-15
3542261,counseling section chief,輔導組長,,2018-06-15
3542262,career guidance section,生涯輔導組,,2018-06-15
3542263,career guidance section chief,生涯輔導組長,,2018-06-15
3542264,student records section,資料組,,2018-06-15
3542265,student records section chief,資料組長,,2018-06-15
3542266,physical rehabilitation section,復健組,,2018-06-15
3542267,physical rehabilitation section chief,復健組長,,2018-06-15
3542268,physical rehabilitation center,復健中心,,2018-06-15
3542269,military instructor's office (一位教官辦公室);military instructors office (多位教官辦公室),教官室,,2018-06-15
3542270,chief military instructor,主任教官,,2018-06-15
3542271,military instructor,軍訓教官,,2018-06-15
3542272,licensed social worker,社工師,,2018-06-15
3542273,social workers office,社工室,,2018-06-15
3542274,counselor,諮商師,,2018-06-15
3542275,physical rehabilitation counseling room,復健諮商室,,2018-06-15
3542276,physical therapist,物理治療師,,2018-06-15
3542277,physical therapy room,物理治療室,,2018-06-15
3542278,specialized treatment room,專業治療室,,2018-06-15
3542279,calming room,情緒轉換室,,2018-06-15
3542280,occupational therapist,職能治療師,,2018-06-15
3542281,occupational therapy room,職能治療室,,2018-06-15
3542282,counseling psychologist,諮商心理師,,2018-06-15
3542283,clinical psychologist,臨床心理師,,2018-06-15
3542284,speech therapist,語言治療師,,2018-06-15
3542285,reception room,會客接待室,,2018-06-15
3542286,career development resources room,生涯發展資料室,,2018-06-15
3542287,group counseling room,團體諮商室,,2018-06-15
3542288,student records storage room,學生資料檔案室,,2018-06-15
3542289,general affairs office,總務處,,2018-06-15
3542290,general affairs director,總務主任,,2018-06-15
3542291,general affairs section,事務組,,2018-06-15
3542292,general affairs section chief,事務組長,,2018-06-15
3542293,miscellaneous affairs section,庶務組,,2018-06-15
3542294,miscellaneous affairs section chief,庶務組長,,2018-06-15
3542295,cashier’s section,出納組,,2018-06-15
3542296,cashier section chief,出納組長,,2018-06-15
3542297,mail and documents section,文書組,,2018-06-15
3542298,mail and documents section chief,文書組長,,2018-06-15
3542299,assistant,助理員,,2018-06-15
3542300,custodian,管理員,,2018-06-15
3542301,junior clerk,書記,,2018-06-15
3542302,junior technical specialist,技工,,2018-06-15
3542303,associate technician (薦任)junior technician (委任)assistant technician (技佐),技佐,,2018-06-15
3542304,technical specialist,技士,,2018-06-15
3542305,senior technical specialist,技正,,2018-06-15
3542306,electrical superintendent,電氣管理員,,2018-06-15
3542307,support worker,工友,,2018-06-15
3542308,archive and document room,文書檔案室,,2018-06-15
3542309,treasury room,金庫室,,2018-06-15
3542310,personnel office,人事室,,2018-06-15
