ID,英文名稱,中文名稱,圖片,更新日期
3538021,(boarding) gate,登機門,,2018-05-23
3538022,(cargo) storage charge,貨物囤存費,,2018-05-23
3538023,(cargo) transportation priority,貨物輸送順序,,2018-05-23
3538024,(development) impact fees,開發影響費,,2018-05-23
3538025,(Draft) Principles for Formulating Urban Design and Detailed Plans,研擬細部計畫、都市設計準則(草案),,2018-05-23
3538026,(handling) urban planning related matters,都市計畫相關業務之處理,,2018-05-23
3538027,(loading and unloading) time sheet; timesheet,裝卸時間記錄表,,2018-05-23
3538028,(pile) group efficiency,群樁效率,,2018-05-23
3538029,(rail/track) twist;planarity,平面性,,2018-05-23
3538030,(telecommunications) value-added service(s),電信加值服務,,2018-05-23
3538031,(traffic) incident (occurrence); (traffic) accident (occurrence),事故發生,,2018-05-23
3538032,(transportation) off-season,(運輸)淡季,,2018-05-23
3538033,(vessel radio) call sign,船舶無線電呼號,,2018-05-23
3538034,"1978 International Convention on Standards of Training, Certification and Watchkeeping for Seafarers, as amended in 1995 and later amendments (STCW95)",1978年航海人員訓練、發證及當值標準國際公約，其1995年修正案及後續生效之修正案。,,2018-05-23
3538035,access road,連絡道,,2018-05-23
3538036,accident severity,事故嚴重性,,2018-05-23
3538037,Accounting Standards and Regulations for Type I Telecommunications Enterprises,第一類電信事業會計制度及會計處理準則,,2018-05-23
3538038,Act for Encouraging Private Participation in Transportation Infrastructure Projects,獎勵民間參與交通建設條例 簡稱: 獎參條例,,2018-05-23
3538039,active surface of the slide,主動滑動面,,2018-05-23
3538040,added stop(s),增停,,2018-05-23
3538041,additional commitment,額外承諾,,2018-05-23
3538042,address matching,地址定位,,2018-05-23
3538043,adit,橫坑,,2018-05-23
3538044,adjustable fire damper,防火可調門,,2018-05-23
3538045,advance planning,先期規劃,,2018-05-23
3538046,advanced shoring method;movable scaffold system,支撐先進工法,,2018-05-23
3538047,Advanced Traffic Management Services (ATMS),先進交通管理服務,,2018-05-23
3538048,advanced vehicle control and safety systems (AVCSS),先進車輛控制及安全(服務)系統,,2018-05-23
3538049,aeration and chemical dosing machine room,鼓風機及加藥機房,,2018-05-23
3538050,aerotriangulation,空中三角測量,,2018-05-23
3538051,aerotropolis,航空城,,2018-05-23
3538052,air freight forwarding (services);air freight forwarder(s),航空貨運承攬業,,2018-05-23
3538053,air traffic control event/activity,航管活動,,2018-05-23
3538054,aircraft dispatcher; flight dispatcher,航空器簽派員,,2018-05-23
3538055,Aircraft Registration Rules,航空器登記規則,,2018-05-23
3538056,Airline Transport Pilot Certificate/License,民航運輸駕駛員執照,,2018-05-23
3538057,airport beacon; aerodrome beacon,機場標燈,,2018-05-23
3538058,airport capacity,機場容量,,2018-05-23
3538059,airport layout planning and design,機場佈設規劃與設計,,2018-05-23
3538060,airport master plan,機場主計畫,,2018-05-23
3538061,airport systems planning,機場系統規劃,,2018-05-23
3538062,allocate; allocation,撥用,,2018-05-23
3538063,allocation process for replacement land and priority buyback land,抵價地及優先買回土地分配作業,,2018-05-23
3538064,allocation rate,攤分費率,,2018-05-23
3538065,all-red interval,全紅時段,,2018-05-23
3538066,Amateur Radio Regulations,業餘無線電管理辦法,,2018-05-23
3538067,anchor chock; anchorage,錨座,,2018-05-23
3538068,anemometer,風速計,,2018-05-23
3538069,anemometer,風速計,,2018-05-23
3538070,Anping Commercial Port Land Acquisition and Phase 1 Construction Plan,安平商港區土地徵收暨第一期工程計畫,,2018-05-23
3538071,anti-theft alarm,防盜警鈴,,2018-05-23
3538072,"APEC Virtual Centre for Transportation Research, Development and Education",亞太經合會運輸研究發展及教育虛擬網站,,2018-05-23
