ID,英文名稱,中文名稱,圖片,更新日期
3167878,(Antrum cardiacum),(賁門竇),,2017-07-24
3167879,(B. cubiti interossea),(肘骨間囊),,2017-07-24
3167880,(Bulbus cornu posterioris),(後角球),,2017-07-24
3167881,(Bursa pharyngica),(咽囊),,2017-07-24
3167882,(Cartilago sesamoides),種子狀軟骨,,2017-07-24
3167884,(Crista buccinatoria),頰肌嵴,,2017-07-24
3167885,(Ductulus aberrans superior ) (epididymidis),(附睪)上迷管,,2017-07-24
3167886,(Ductus incisivus),(門齒管),,2017-07-24
3167887,(Ductus paraurethrales),(尿道旁管),,2017-07-24
3167888,(Ductus thyreoglossus),甲狀舌管,,2017-07-24
3167889,(Fasciculus labialis) (m. orbic. oculi),(眼輪帀肌)(脣束),,2017-07-24
3167890,(Foramen frontale mediale),(額內側孔),,2017-07-24
3167891,(Foramen thyreoideum),(甲狀軟骨孔),,2017-07-24
3167892,(Fossa iliacosubfascialis),髂筋膜下窩,,2017-07-24
3167893,(Fovea submaxillaris),(頜下腺凹),,2017-07-24
3167894,(Funiculus scleræ),(鞏膜索),,2017-07-24
3167895,(Gl. thyreoidea accessoria suprahyoidea),(舌骨上副甲狀腺),,2017-07-24
3167896,(Gl. tympanicæ),(鼓腺),,2017-07-24
3167897,(Impressio gastrica (renis)),(腎)胃壓跡,,2017-07-24
3167898,(Impressio hepatica (renis)),(腎)(肝壓跡),,2017-07-24
3167899,(Impressio muscularis (renis)),(腎)(肌壓跡),,2017-07-24
3167900,(Lig. duodenorenale),(十二指腸腎韌帶),,2017-07-24
3167901,(Lig. hepatocolicum),肝結腸韌帶,,2017-07-24
3167902,(Lobus medius) (prostatæ),(前列腺)中葉,,2017-07-24
3167903,(M. ceratocricoideus),(角環肌),,2017-07-24
3167904,(M. epitrochleoanconæus),(滑車上肘肌),,2017-07-24
3167905,(M. longissimus capitis),(頭最長肌),,2017-07-24
3167907,(M. pyramidalis auriculæ [Jungi]),(耳郭錐肌),,2017-07-24
3167908,(M. scalenus minimus),(小斜角肌),,2017-07-24
3167909,(N. depressor),制止神經,,2017-07-24
3167910,(Nn. splanchnicus imus),內臟最下神經,,2017-07-24
3167911,(Organon vomeronasale),犂鼻器,,2017-07-24
3167912,(Os trigonum),(三角骨),,2017-07-24
3167913,(Ossa suprasternalia),(胸上骨),,2017-07-24
3167914,(pinguecula),(瞼裂斑),,2017-07-24
3167915,(Processus marginalis (oss. zygomatici)),(顴骨)緣突,,2017-07-24
3167916,(Processus paramastoideus),(乳突旁突),,2017-07-24
3167917,(Processus pterygospinalis),(翼棘突),,2017-07-24
3167918,(Processus suprasternalis),胸骨上突,,2017-07-24
3167919,(Ramus costalis lateralis),(肋外側枝),,2017-07-24
3167921,(Raphe chorioideæ),(脈絡膜縫),,2017-07-24
3167922,(Raphe scleræ),(鞏膜縫),,2017-07-24
3167923,(Recessus phrenicohepatici),(膈肝隱窩),,2017-07-24
