ID,英文名稱,中文名稱,圖片,更新日期
167524,nephrolithiasis,腎結石,,2012-11-26
167525,nephrogenic diabetes insipidus,腎性尿崩症,,2012-11-26
167526,nephrocalcinosis,腎鈣沉積病,,2012-11-26
167527,Nelson's syndrome,尼爾森氏症,,2012-11-26
167528,negative feedback,負回饋,,2012-11-26
167529,necrobiosis lipoidica diabeticorum,糖尿病脂性漸進壞死,,2012-11-26
167530,natriuretic hormone,利尿鈉激素,,2012-11-26
167531,natriuresis,鈉尿；尿鈉排泄,,2012-11-26
167532,nartremia,鈉血症,,2012-11-26
167533,myxedema coma,黏液水腫昏迷,,2012-11-26
167534,myxedema,黏液水腫,,2012-11-26
167535,myotonia dystrophica,失養性肌強直病,,2012-11-26
167536,myositis ossificans progressiva,進行性骨化肌炎,,2012-11-26
167537,myopathy,肌病變,,2012-11-26
167538,myokinase,肌激酶,,2012-11-26
167539,myasthenia gravis,重症肌無力,,2012-11-26
167540,mutation,突變,,2012-11-26
167541,mutase,變位酶；歧化酶,,2012-11-26
167542,muscle,肌,,2012-11-26
167543,multiple endocrine neoplasia (MEN),多發性內分泌瘤病,,2012-11-26
167544,multiple endorcrine adenomatosis (MEAⅠ; Ⅱ),多發性內分泌腺瘤病 (MEAⅠ； Ⅱ型),,2012-11-26
167545,Müllerian inhibitory factor (MIF),穆勒氏管抑制因子,,2012-11-26
167546,mucopolysaccharidosis,黏多糖病,,2012-11-26
167547,MSH (melanocyte-stimulating hormone),黑素細胞促素；促黑細胞素,,2012-11-26
167548,MSA (multiplication-stimulating activity),增殖刺激活性,,2012-11-26
167549,motilin,腸動素,,2012-11-26
167550,mosaicism,鑲嵌現象,,2012-11-26
167551,mononeuropathy,單神經病變,,2012-11-26
167552,monomer,單分子,,2012-11-26
167553,3-monoiodo-L-tyrosine,3-單碘-L-酪胺酸,,2012-11-26
167554,5'-monodeiodinase,5'-去單碘酶,,2012-11-26
167555,monoamine oxidase (MAO),單胺氧化酶,,2012-11-26
167556,molecular cloning,分子選殖,,2012-11-26
167557,mitogenesis,致有絲分裂,,2012-11-26
167558,mineralocorticoid,鹽皮質素；礦皮質素,,2012-11-26
167559,mineralization,礦質化,,2012-11-26
167560,milk let-down reflex,溢乳反射,,2012-11-26
167561,milk-alkali syndrome,牛奶－鹼劑症,,2012-11-26
167562,middle-age spread,中年發福,,2012-11-26
167563,microalbuminuria,微量白蛋白尿(症),,2012-11-26
167564,microadenoma,微腺瘤,,2012-11-26
167565,micro-,微,,2012-11-26
167566,MHC (major histocompatibility complex),主要組織相容複合體,,2012-11-26
167567,methyrapone test,甲[口比]丙酮試驗；甲基二[口比]啶基丙酮試驗,,2012-11-26
167568,methyltestosterone,甲基睪固酮,,2012-11-26
167569,methylnorepinephrine,甲基去甲腎上腺素,,2012-11-26
167570,methylmetatyrosine,甲基偏酪胺酸,,2012-11-26
167571,methyldopa,甲基多巴,,2012-11-26
167572,met-enkephalin,甲硫腦素,,2012-11-26
167573,metachromatic leukodystrophy,異染性白質失養症,,2012-11-26
167574,metabolic insufficiency,代謝不全,,2012-11-26
167575,metabolic alkalosis,代謝性鹼中毒,,2012-11-26
167576,metabolic acidosis,代謝性酸中毒,,2012-11-26
167577,metastasis,轉移,,2012-11-26
167578,mesenchymal epithelium,間質上皮,,2012-11-26
167579,menstruation,月經,,2012-11-26
167580,menstrual cycle,月經週期,,2012-11-26
167581,menopause,停經；閉經,,2012-11-26
167582,menarche,初經,,2012-11-26
167583,MEN (multiple endocrine neoplasia),多發性內分泌瘤,,2012-11-26
167584,mellituria,糖尿(症),,2012-11-26
167585,melatonin,抑黑素；褪黑激素,,2012-11-26
167586,melasma,黑皮病,,2012-11-26
167587,melanotropin (MSH),黑促素；促黑素,,2012-11-26
167588,melanotropic cell,黑促素細胞；促黑素細胞,,2012-11-26
167589,melanocyte-stimulating hormone (MSH),黑色素細胞促素；促黑素細胞素,,2012-11-26
167590,melanocyte,黑色素細胞,,2012-11-26
167591,melanin,黑色素,,2012-11-26
167592,megakaryocyte,巨核細胞,,2012-11-26
167593,medullary thyroid carcinoma (MCT),甲狀腺髓質癌；髓質性甲狀腺癌,,2012-11-26
167594,medullary,髓質 ( 性 ),,2012-11-26
167595,medroxyprogesterone,甲羥助孕酮,,2012-11-26
167596,mediate,媒,,2012-11-26
167597,median eminence,中突,,2012-11-26
167598,mechanism,機制,,2012-11-26
167599,McCune-Albright syndrome,馬－亞二氏症,,2012-11-26
167600,McArdle's disease,麥克阿德爾氏病,,2012-11-26
167601,maturity-onset diabetes of the young (MODY),年輕人成年型糖尿病,,2012-11-26
