ID,英文名稱,中文名稱,圖片,中國大陸譯名,更新日期
2452213,Atractylodis Macrocephalae Rhizoma,白朮,,白术,2015-09-16
2452214,Ligustici Chuanxiong Rhizoma,川芎,,川芎,2015-09-16
2452215,abdominal examination,腹診,,腹诊,2015-09-16
2452216,abductive dispersion,消導法,,消[导]法,2015-09-16
2452217,Acanthopanacis Cortex,五加皮,,五加皮,2015-09-16
2452218,Acanthopanacis Senticosi Radix et Caulis,刺五加,,刺五加,2015-09-16
2452219,acanthopanax [root bark],五加皮,,五加皮,2015-09-16
2452220,accumulation and stagnation,積滯,,积滞,2015-09-16
2452221,accumulations and gatherings,積聚,,积聚,2015-09-16
2452222,achyranthes root,牛膝,,牛膝,2015-09-16
2452223,Achyranthis Bidentatae Radix,牛膝,,牛膝,2015-09-16
2452224,aconite [accessory root],附子,,附子,2015-09-16
2452225,Aconiti Lateralis Praeparata Radix,附子,,附子,2015-09-16
2452226,Acori Tatarinowii Rhizoma,石菖蒲,,石菖蒲,2015-09-16
2452227,acorus root,石菖蒲,,石菖蒲,2015-09-16
2452228,acrid,辛,,辛,2015-09-16
2452229,acumoxatherapy;acupuncture and moxibustion,針灸學,,针灸学,2015-09-16
2452230,"acupuncture anesthesia,acuanesthesia",針刺麻醉,,针刺麻醉,2015-09-16
2452231,acupuncture point injection therapy,穴位注射療法,,穴位注射疗法,2015-09-16
2452232,"acupuncture,needling",刺法,,刺法,2015-09-16
2452233,acute fright wind,急驚風,,急惊风,2015-09-16
2452234,acute lumbar muscle sprain,急性腰扭傷,,急性腰扭伤,2015-09-16
2452235,acute nipple most,急乳蛾,,急乳蛾,2015-09-16
2452236,Agastache Qi-Righting Powder,藿香正氣散,,藿香正气散,2015-09-16
2452237,Agrimoniae Herba,仙鶴草,,仙鹤草,2015-09-16
2452238,agrimony,仙鶴草,,仙鹤草,2015-09-16
2452239,alisma [tuber];water plantain,澤瀉,,泽泻,2015-09-16
2452240,Alismatis Rhizoma,澤瀉,,泽泻,2015-09-16
2452241,Allii Macrostemonis Bulbus,薤白,,薤白,2015-09-16
2452243,aloe,蘆薈,,芦荟,2015-09-16
2452244,Alpiniae Katsumadai Semen,草豆蔻,,草豆蔻,2015-09-16
2452245,alum,白礬,,白矾,2015-09-16
2452246,Alumen,白礬,,白矾,2015-09-16
2452247,amenorrhea,閉經,,闭经,2015-09-16
2452248,American ginseng,西洋參,,西洋参,2015-09-16
2452249,Amomi Fructus,砂仁,,砂仁,2015-09-16
2452250,Amomi Fructus Rotundus,白豆蔻,,白豆蔻,2015-09-16
2452251,amomum [fruit],砂仁,,砂仁,2015-09-16
2452252,anal fissure,肛裂,,肛裂,2015-09-16
2452253,anal fistula,肛瘻,,肛瘘,2015-09-16
