ID,英文名稱,中文名稱,圖片,中國大陸譯名,更新日期
3181452,(striped) hyena,[條紋] 鬣狗；土狼,,鬣狗〈动物〉,2017-07-24
3181453,aardvark,土豚,,土豚 〈动物〉,2017-07-24
3181454,aardwolf,土狼,,土狼〈动〉,2017-07-24
3181455,abalone,鮑魚；九孔,,鲍〈动〉,2017-07-24
3181456,abiogenesis,無生源說；無生源論；自生論；非生物成因；自然發生；自然發生論；生物自生,,自然发生 〈动〉,2017-07-24
3181457,abiotic factor,非生物因子,,非生物因子,2017-07-24
3181458,abundance,豐度；豐富度,,多度〈动〉,2017-07-24
3181459,Accipiter brevipes,東方雀鷹；東雀鷹,,东方雀鹰,2017-07-24
3181460,Accipiter gentilis,蒼鷹,,苍鹰〈动物〉,2017-07-24
3181461,accumulated temperature,積溫；積算溫度；累積温度,,积温 〈动〉,2017-07-24
3181462,Acinonyx jubatus,獵豹,,猎豹 〈动物〉,2017-07-24
3181463,Acipenser sturio,斑點鱘,,鲟〈动物〉,2017-07-24
3181464,Acridotheres,八哥屬,,八哥〈动物〉,2017-07-24
3181465,actinia,紅海葵；紅海葵屬〔腔腸類〕；海葵類,,海葵 〈动物〉,2017-07-24
3181466,active accumulated temperature,活動積溫,,活动积温,2017-07-24
3181467,adaptability,適應性；適應力；調適力；適合性；適應能力,,适应性 〈动〉,2017-07-24
3181468,adaptive dispersal,適應性擴散,,适应性～扩散,2017-07-24
3181469,adaptive selection,適應性選汰,,适应性选择,2017-07-24
3181470,adipose fin,脂鰭,,脂鳍,2017-07-24
3181471,adult,成體；成蟲,,成体 〈动物〉,2017-07-24
3181472,Aedes,斑蚊屬,,伊蚊〈动物〉,2017-07-24
3181473,Aegypius monachus,禿鷲,,秃鹫,2017-07-24
3181474,Aegypius monachus,禿鷲,,秃鹫,2017-07-24
3181475,aestivation,夏眠,,夏眠 = 夏蜇 〈动物〉,2017-07-24
3181476,african ant bear,土豚,,土豚〈动物〉,2017-07-24
3181477,african harrier-hawk,非洲獵鷹,,猎鹰〈动物〉,2017-07-24
3181478,african spoonbill,非洲琵鷺,,琵鹭〈动物〉,2017-07-24
3181479,afrotropical realm,非洲區,,热带界〈动〉,2017-07-24
3181480,Agkistrodon piscivorus,食魚蝮,,水蝮蛇〈动物〉,2017-07-24
3181481,Ailuropoda melanoleuca,大貓熊,,大熊猫〈动〉,2017-07-24
