ID,英文名稱,中文名稱,圖片,中國大陸譯名,更新日期
3151167,(basic)lead white,鉛白,,铅白,2017-07-20
3151168,(potash)alum,礬；明礬,,明矾,2017-07-20
3151169,"1,2-diazine",鄰二【口井】,,哒嗪,2017-07-20
3151170,"1,2-diazole","1,2-二[氮]唑；吡唑",,吡唑,2017-07-20
3151171,"1,3-diazole","1,3-二[氮]唑；咪唑",,咪唑,2017-07-20
3151172,"1,4-diazine","1,4-二【口井】；吡【口井】",,吡嗪,2017-07-20
3151173,10-azaanthracene,10-吖蒽,,吖啶,2017-07-20
3151174,"2,4,6-trinitrophenylmethylnitramine",三硝苯基甲硝胺；特出兒,,特屈儿,2017-07-20
3151175,"2,4,6-trinitrotoluene","2,4,6-三硝甲苯；三硝甲苯；TNT；黃色炸藥",,梯恩梯,2017-07-20
3151176,"3,4-dihydroxy-3-cyclobutene-1,2-dione",方酸,,方酸,2017-07-20
3151177,6-methylionone,6-甲基紫羅酮；鳶尾酮,,鸢尾酮,2017-07-20
3151178,abluent,清潔劑,,清洗剂,2017-07-20
3151179,abradant,磨擦物,,磨料,2017-07-20
3151180,abrasive,磨擦物；研磨材；研磨物；磨擦料,,磨料,2017-07-20
3151181,abscisic acid,脫落酸,,脱落酸,2017-07-20
3151182,absinthiin,苦艾素,,苦艾素,2017-07-20
3151183,absinthin,苦艾素,,苦艾素,2017-07-20
3151184,accelerant,催速劑；促進劑,,促进剂,2017-07-20
3151185,accumulator,蓄電池；累積器,,蓄电池,2017-07-20
3151186,accumulator battery,蓄電池組；蓄電池,,蓄电池,2017-07-20
3151187,acenaphthene,乙烷合萘,,苊,2017-07-20
3151188,acetaldehyde,乙醛,,乙醛,2017-07-20
3151189,acetate,乙酸酯；醋[酸]酯,,醋酯,2017-07-20
3151190,acetic acid,醋酸；乙酸,,乙酸,2017-07-20
3151191,acetic anhydride,乙酐,,乙酐,2017-07-20
3151192,acetic oxide,乙酐,,乙酐,2017-07-20
3151193,acetone,丙酮,,丙酮,2017-07-20
3151194,acetonitrile,乙腈,,乙腈,2017-07-20
3151195,acetophenetid(in)e,非那西汀,,非那西汀,2017-07-20
3151196,acetosalicylic acid,乙醯柳酸；阿司匹靈,,阿司匹林,2017-07-20
3151197,acetylene,乙炔,,乙炔,2017-07-20
3151198,acetylformic acid,乙醯甲酸；丙酮酸,,丙酮酸,2017-07-20
