ID,英文名稱,中文名稱,圖片,中國大陸譯名,更新日期
2446385,earth and geography,地球與地理,,地球与地理,2015-09-16
2446386,earth,地球,,地球,2015-09-16
2446387,northern hemisphere,北半球,,北半球,2015-09-16
2446388,southern hemisphere,南半球,,南半球,2015-09-16
2446389,western hemisphere,西半球,,西半球,2015-09-16
2446390,eastern hemisphere,東半球,,东半球,2015-09-16
2446391,revolution,公轉,,公转,2015-09-16
2446392,rotation,自轉,,自转,2015-09-16
2446393,ecliptic,黃道,,黄道,2015-09-16
2446394,equator,赤道,,赤道,2015-09-16
2446395,biosphere,生物圈,,生物圈,2015-09-16
2446396,hydrosphere,水圈,,水圈,2015-09-16
2446397,origin of the earth,地球起源,,地球起源,2015-09-16
2446398,accretion,凝積[作用],,吸积,2015-09-16
2446399,polar,極地,,极地,2015-09-16
2446400,Arctic,北極,,北极,2015-09-16
2446401,Antarctic,南極,,南极,2015-09-16
2446402,aurora,極光,,极光,2015-09-16
2446403,polar circle,極圈,,极圈,2015-09-16
2446404,Antarctic Circle,南極圈,,南极圈,2015-09-16
2446405,Arctic Circle,北極圈,,北极圈,2015-09-16
2446406,vault of heaven,天穹,,天穹,2015-09-16
2446407,celestial body,天體,,天体,2015-09-16
2446408,moon,月球,,月球,2015-09-16
2446409,new moon,朔；新月,,朔,2015-09-16
2446410,full moon,望；滿月,,望,2015-09-16
2446411,geography,地理學,,地理学,2015-09-16
2446412,map,地圖,,地图,2015-09-16
2446413,Earth Science,地球科學,,地球科学,2015-09-16
2446414,globe,地球儀,,地球仪,2015-09-16
2446415,longitude and latitude,經緯度,,经纬度,2015-09-16
2446416,longitude,經度,,经度,2015-09-16
2446417,latitude,緯度,,纬度,2015-09-16
2446418,east longitude,東經,,东经,2015-09-16
2446419,west longitude,西經,,西经,2015-09-16
2446420,South latitude,南緯,,南纬,2015-09-16
2446421,North latitude,北緯,,北纬,2015-09-16
2446422,International Date Line,國際換日線,,国际日期变更线,2015-09-16
2446423,date line,換日線,,日界线,2015-09-16
2446424,time zone,時區,,标准时区,2015-09-16
2446425,standard time,標準時,,标准时,2015-09-16
2446426,Beijing time,北京時間,,北京时间,2015-09-16
2446427,meridian,經線,,经线,2015-09-16
2446428,parallel,緯線,,纬线,2015-09-16
