ID,英文名稱,中文名稱,圖片,中國大陸譯名,更新日期
2451489,(of rivers) capture,襲奪,,袭夺,2015-09-16
2451490,accumulation,堆積,,堆积［作用］,2015-09-16
2451491,acidic rock,酸性岩,,酸性岩,2015-09-16
2451492,acritarchs,疑源類,,疑源类,2015-09-16
2451493,actinolite,陽起石,,阳起石,2015-09-16
2451494,aftershock,餘震,,余震,2015-09-16
2451495,agalmatolite,壽山石；凍石,,寿山石,2015-09-16
2451496,agate,瑪瑙,,玛瑙,2015-09-16
2451497,age,期；時代；年齡,,期,2015-09-16
2451498,age dating,定年,,计时,2015-09-16
2451499,A-jadeite,A貨,,A货,2015-09-16
2451500,alexandrite,"變石,變色石,亞歷山大石",,变石,2015-09-16
2451501,alkali rock,鹼性岩,,碱性岩,2015-09-16
2451502,alluvial facies,沖積相,,冲积(相),2015-09-16
2451503,alunite,明礬石,,明矾石,2015-09-16
2451504,amazonite,天河石，微斜長石,,天河石,2015-09-16
2451505,amber,琥珀,,琥珀,2015-09-16
2451506,ammonite,菊石,,菊石,2015-09-16
2451507,amphibole,角閃石，角閃石類,,闪石,2015-09-16
2451508,ancient anthropoid,類人猿,,古猿,2015-09-16
2451509,ancient ape,古人猿；古猿類,,古猿,2015-09-16
2451510,ancient seismograph,候風地動儀,,候风地动仪,2015-09-16
2451511,andalusite,紅柱石,,红柱石,2015-09-16
2451512,andesite,安山岩,,安山岩,2015-09-16
2451513,anhydrite,硬石膏,,硬石膏,2015-09-16
2451514,anthracite,無煙煤,,无烟煤,2015-09-16
2451515,anticline,背斜,,背斜,2015-09-16
2451516,apatite,磷灰石,,磷灰石,2015-09-16
2451517,applied geophysics,應用地球物理學,,地球物理学,2015-09-16
2451518,aquamarine,海藍寶石,,海蓝宝石,2015-09-16
2451519,aquifer,含水層,,含水层,2015-09-16
2451520,aquifuge,不透水層,,不透水层,2015-09-16
2451521,aragonite,霰石；文石,,文石,2015-09-16
2451522,Archaeopteryx,始祖鳥,,始祖鸟,2015-09-16
2451523,Archean Eon,太古宙;太古元,,太古宙,2015-09-16
2451524,Archean Eonothem,太古宇,,太古宇,2015-09-16
2451525,arenite,砂屑岩,,砂屑岩,2015-09-16
2451526,argentite,輝銀礦,,辉银矿,2015-09-16
2451527,argillaceous rocks,泥質岩,,泥质岩,2015-09-16
2451528,arsenopyrite,毒砂；砷黃鐵礦,,毒砂,2015-09-16
2451529,artesian water,受壓水,,自流水,2015-09-16
2451530,artesian well,受壓井,,自流井,2015-09-16
2451531,asbestos,石綿,,石棉,2015-09-16
2451532,assimilation,同化作用,,同化作用,2015-09-16
2451533,asterism,星彩效應;星彩性,,星光效应,2015-09-16
2451534,asthenosphere,軟流圈,,软流圈,2015-09-16
2451535,astrogeology,天文地質學；天體地質學,,天体地质学,2015-09-16
2451536,atoll,環礁,,环礁,2015-09-16
2451537,attitude,位態,,产状,2015-09-16
2451538,autochthonus burial,原地埋藏,,原地埋藏,2015-09-16
2451539,avalanche,冰崩，雪崩，岩崩,,崩塌,2015-09-16
2451540,avalanche,冰崩，雪崩，岩崩,,山崩,2015-09-16
2451541,aventurescence,閃耀效應,,砂金效应,2015-09-16
2451542,aventurine,砂金石,,砂金石,2015-09-16
2451543,azurite,藍銅礦；石青,,蓝铜矿,2015-09-16
2451544,B+C-jadeite,B+C貨,,B+C货,2015-09-16
2451545,barite,重晶石,,重晶石,2015-09-16
2451546,barrier lake,堰塞湖,,堰塞湖,2015-09-16
2451547,basalt,玄武岩,,玄武岩,2015-09-16
2451548,basic rock,鹼性岩；基性火成岩；基性岩,,基性岩,2015-09-16
2451549,batholith,岩基,,岩基,2015-09-16
2451550,bauxite,鋁土，鋁土礦,,铝矾土,2015-09-16
2451551,bedding,層理；層面,,层理,2015-09-16
2451552,bedding plane,層面,,层面,2015-09-16
2451553,bedding surface,層面,,层面,2015-09-16
2451554,bedrock,底岩；基岩；基盤,,基岩,2015-09-16
2451555,belt,帶,,带,2015-09-16
2451556,beryl,綠柱石,,绿柱石,2015-09-16
2451557,Bienotherium,卞氏獸,,卞氏兽,2015-09-16
2451558,biogenic rock,生物岩,,生物岩,2015-09-16
2451559,biogeochemistry,生物地球化學,,生物地球化学,2015-09-16
2451560,biolith,生物岩,,生物岩,2015-09-16
