ID,英文名稱,中文名稱,圖片,中國大陸譯名,更新日期
2441288,atmospheric science,大氣科學,,大气科学,2015-09-16
2441289,meteorology,氣象學,,气象学,2015-09-16
2441290,atmosphere,大氣；〔大〕氣圈；大氣壓,,大气(大气圈、大气层),2015-09-16
2441291,atmospheric ionization,大氣電離〔作用〕,,大气离子,2015-09-16
2441292,lower atmosphere,低層大氣,,低层大气,2015-09-16
2441293,middle atmosphere,中層大氣,,中层大气,2015-09-16
2441294,upper atmosphere,高層大氣,,高层大气,2015-09-16
2441295,troposphere,對流層,,对流层,2015-09-16
2441296,stratosphere,平流層,,平流层,2015-09-16
2441297,mesosphere,中氣層,,中间层,2015-09-16
2441298,thermosphere,增温層；熱氣層,,热层,2015-09-16
2441299,exosphere,外氣層,,外[逸]层,2015-09-16
2441300,neutrosphere,中性層,,中性层,2015-09-16
2441301,ionosphere,電離層,,电离层,2015-09-16
2441302,magnetosphere,磁層,,磁层,2015-09-16
2441303,ozonosphere,臭氧層,,臭氧层,2015-09-16
2441304,chemosphere,光化層,,光化层,2015-09-16
2441305,homosphere,均勻層,,均质层,2015-09-16
2441306,heterosphere,不〔均〕勻層,,非均质层,2015-09-16
2441307,significant level,特性層,,特性层,2015-09-16
2441308,transition layer,過渡層,,过渡层,2015-09-16
2441309,atmospheric boundary layer,大氣邊界層,,大气边界层,2015-09-16
2441310,planetary boundary layer,行星邊界層,,大气边界层,2015-09-16
2441311,friction layer,摩擦層,,大气边界层,2015-09-16
2441312,model atmosphere,模式大氣,,模式大气,2015-09-16
2441313,atmospheric model,大氣模式,,大气模式,2015-09-16
2441314,barotropic atmosphere,正壓大氣,,正压大气,2015-09-16
2441315,homogeneous atmosphere,均勻大氣,,均质大气,2015-09-16
2441316,polytropic atmosphere,多元大氣,,多元大气,2015-09-16
2441317,free atmosphere,自由大氣,,自由大气,2015-09-16
2441318,standard atmosphere,標準大氣,,标准大气,2015-09-16
2441319,adiabatic atmosphere,絕熱大氣,,绝热大气,2015-09-16
2441320,isothermal atmosphere,等温大氣,,等温大气,2015-09-16
2441321,surface observation,地面觀測,,气象观测,2015-09-16
2441322,surface weather observation,地面天氣觀測,,地面气象观测,2015-09-16
2441323,weather symbol,天氣符號,,天气符号,2015-09-16
2441324,cloud,雲,,云,2015-09-16
2441325,cloud height,雲高,,云高,2015-09-16
2441326,cloud amount,雲量,,云量,2015-09-16
2441327,clear sky,碧空,,晴,2015-09-16
2441328,partly cloudy,少雲,,少云,2015-09-16
2441329,cloudy,多雲,,多云,2015-09-16
2441330,overcast,密[雲]；陰[天],,阴,2015-09-16
2441331,cloud classification,雲分類,,云分类,2015-09-16
2441332,cloud form,雲狀,,云状,2015-09-16
2441333,cumulus,積雲,,积云,2015-09-16
2441334,cumulus humilis,淡積雲,,淡积云,2015-09-16
