ID,英文名稱,中文名稱,圖片,中國大陸譯名,更新日期
3183946,abacus,算盤,,算盘,2017-07-24
3183947,abacus computation,算盤計算,,珠算,2017-07-24
3183948,absolute error,絕對誤差,,绝对误差,2017-07-24
3183949,absolute error bounds,絕對誤差界,,绝对误差界,2017-07-24
3183950,absolute inequality,絕對不等式,,绝对不等式,2017-07-24
3183951,absolute value,絕對值,,绝对值,2017-07-24
3183952,abstract algebra,抽象代數[學],,抽象代数,2017-07-24
3183953,accuracy,準確[性]；準確度,,精确度,2017-07-24
3183954,acute angle,銳角,,锐角,2017-07-24
3183955,acute angle trigonometric function,銳角三角函數,,锐角三角函数,2017-07-24
3183956,acute triangle,銳角三角形,,锐角三角形,2017-07-24
3183957,addition,加法,,加法,2017-07-24
3183958,adjacent angles on a straight line,一條直線上的鄰角,,邻补角,2017-07-24
3183959,al-Khowarizmi,阿爾·花拉子密,,阿尔·花拉子米,2017-07-24
3183960,algebra,代數學；代數,,代数学,2017-07-24
3183961,algebra of logic,邏輯代數；邏輯運算,,逻辑代数,2017-07-24
3183962,algebraic complement minor,代數餘子式,,代数余子式,2017-07-24
3183963,algebraic equation,代數方程,,代数方程,2017-07-24
3183964,algebraic expression,代數表示,,代数式,2017-07-24
3183965,algebraic function,代數函數,,代数函数,2017-07-24
3183966,algebraic geometry,代數幾何[學],,代数几何,2017-07-24
3183967,algebraic number,代數數,,代数数,2017-07-24
3183968,algebraic sum,代數和,,代数和,2017-07-24
3183969,algorithm,演算法；算則,,算法,2017-07-24
3183970,algorithmic language,算法語言；ALGOL 語言,,算法语言,2017-07-24
3183971,alternate exterior angle,外錯角,,外错角,2017-07-24
3183972,alternate interior angle,內錯角,,内错角,2017-07-24
3183973,altitude,高[線],,高,2017-07-24
3183974,analytic expression,解析式,,解析式,2017-07-24
3183975,analytic geometry,解析幾何[學],,解析几何,2017-07-24
3183976,analytic geometry of plane,平面解析幾何[學],,平面解析几何,2017-07-24
3183977,analytic geometry of space,空間解析幾何[學],,空间解析几何,2017-07-24
3183978,analytic number theory,解析數論,,解析数论,2017-07-24
