ID,英文名稱,中文名稱,圖片,中國大陸譯名,更新日期
3181263,(common/florists) cineraria,瓜葉菊,,瓜叶菊,2017-07-24
3181264,(of seedlings)to lift,起苗,,起苗,2017-07-24
3181265,(resin/ wood) tapping,採脂,,采脂,2017-07-24
3181266,(spring) orchid,(春)蘭,,春兰,2017-07-24
3181267,Abies alba,銀冷杉,,银冷杉,2017-07-24
3181268,acerose leaf,針狀葉,,针叶树,2017-07-24
3181269,aerial seeding,航空播種,,飞机播种,2017-07-24
3181270,afforest,造林,,营林,2017-07-24
3181271,afforestation,造林,,造林,2017-07-24
3181272,African violet,非洲菫,,非洲堇,2017-07-24
3181273,aglaia,樹蘭,,米兰,2017-07-24
3181274,Aglaia odorata,樹蘭,,米兰,2017-07-24
3181275,Aglaonema modestum,粗肋草；廣東萬年青,,广东万年青,2017-07-24
3181276,air seeding,航空播種,,飞机播种,2017-07-24
3181277,Albizzia julibrissin,合歡,,合欢,2017-07-24
3181278,Aloe vera,蘆薈,,芦荟,2017-07-24
3181279,amaryllis,石蒜,,朱顶红,2017-07-24
3181280,Anthurium scherzeranum,火鶴花,,红掌,2017-07-24
3181281,Anthurium spp,火鶴,,花烛 =火鹤,2017-07-24
3181282,Arabian jasmine；Jasminum sambac,茉莉花,,茉莉,2017-07-24
3181283,Asplenium nidus,巢蕨；山蘇,,巢蕨,2017-07-24
3181284,assize,測樹,,测树,2017-07-24
3181285,azalea,躑躅；杜鵑花,,杜鹃,2017-07-24
3181286,barbados lily,孤挺花,,朱顶红,2017-07-24
3181287,bark graft,皮接法,,皮接,2017-07-24
3181288,barrel cactus,金琥,,金琥,2017-07-24
3181289,Bellis perennis,雛菊,,雏菊 =春菊,2017-07-24
3181290,Bird Cherishing Week,愛鳥週,,爱鸟周,2017-07-24
3181291,bird's eye grain,鳥眼木理,,鸟眼纹理,2017-07-24
3181292,Bird-Loving Week,愛鳥週,,爱鸟周,2017-07-24
3181293,bird-nest fern,巢蕨；山蘇,,巢蕨,2017-07-24
3181294,bird-of-paradise flower,天堂鳥,,鹤望兰,2017-07-24
3181295,blind tree,盲樹,,盲树,2017-07-24
3181296,bracket plant,吊蘭,,吊兰 = 挂兰,2017-07-24
3181297,Brazil wood,巴西蘇木,,巴西木,2017-07-24
3181298,broadleaf cactus,曇花,,昙花,2017-07-24
3181299,burned area,火燒跡地,,火烧迹地,2017-07-24
3181300,butterfly orchid,蝴蝶蘭,,蝴蝶兰,2017-07-24
3181301,butterfly palm,孔雀椰,,散尾葵,2017-07-24
3181302,Caesalpinia brasiliensis,巴西蘇木,,巴西木,2017-07-24
3181303,Calceolaria herbeohybrida,荷包花,,荷包花=蒲包花,2017-07-24
3181304,Calendula officinalis,金盞花；金盞菊,,金盏菊 =金盏花,2017-07-24
3181305,Campanula medium,風鈴草,,风铃草,2017-07-24
3181306,canterbury bell,風鈴草,,风铃草,2017-07-24
3181307,Castanospermum australe,栗豆樹；綠元寶,,栗豆树,2017-07-24
3181308,Catheranthus roseus,長春花,,长春花,2017-07-24
3181309,cattleya,洋蘭；嘉德麗亞蘭,,卡特兰,2017-07-24
3181310,Cattleya hybrida,洋蘭；嘉德麗亞蘭,,卡特兰,2017-07-24
3181311,Celosia cristata,雞冠花,,鸡冠花,2017-07-24
3181312,Centaurea cyanus,矢車菊,,矢车菊,2017-07-24
3181313,ceriman,蓬萊蕉,,龟背竹,2017-07-24
3181314,China green,粗肋草；廣東萬年青,,广东万年青,2017-07-24
3181315,China rose,月季,,月季,2017-07-24
3181316,Chinese evergreen,粗肋草；廣東萬年青,,广东万年青,2017-07-24
3181317,Chinese ivy,常春藤,,常春藤,2017-07-24
3181318,Chlorophytum comosum,吊蘭,,吊兰 = 挂兰,2017-07-24
3181319,Chrysalidocarpus lutescens,黃椰子,,散尾葵,2017-07-24
3181320,chrysanthemum,菊花,,菊花,2017-07-24
3181321,chulan tree,樹蘭,,米兰,2017-07-24
3181322,clear weed,冷水花,,冷水花,2017-07-24
3181323,Clivia miniata,君子蘭,,君子兰,2017-07-24
3181324,closing the land for reforestation,封山造林,,封山育林,2017-07-24
3181325,clove pink；Dianthus caryophyllus,康乃馨,,香石竹 =康乃馨,2017-07-24
3181326,cockscomb,雞冠花,,鸡冠花,2017-07-24
