ID,英文名稱,中文名稱,圖片,中國大陸譯名,更新日期
3182869,(common/florists) cineraria,瓜葉菊,,瓜叶菊,2017-07-24
3182870,(of seedlings)to lift,起苗,,起苗,2017-07-24
3182871,(resin/ wood) tapping,採脂,,采脂,2017-07-24
3182872,(spring) orchid,(春)蘭,,春兰,2017-07-24
3182873,Abies alba,銀冷杉,,银冷杉,2017-07-24
3182874,acerose leaf,針狀葉,,针叶树,2017-07-24
3182875,acicular crystal,針晶；針晶束,,针晶体,2017-07-24
3182876,aerial seeding,航空播種,,飞机播种,2017-07-24
3182877,afforest,造林,,营林,2017-07-24
3182878,afforestation,造林,,造林,2017-07-24
3182879,African violet,非洲菫,,非洲堇,2017-07-24
3182880,aglaia,樹蘭,,米兰,2017-07-24
3182881,Aglaia odorata,樹蘭,,米兰,2017-07-24
3182882,Aglaonema modestum,粗肋草；廣東萬年青,,广东万年青,2017-07-24
3182883,air sac,氣囊,,气囊,2017-07-24
3182884,air seeding,航空播種,,飞机播种,2017-07-24
3182885,Albizzia julibrissin,合歡,,合欢,2017-07-24
3182886,Aloe vera,蘆薈,,芦荟,2017-07-24
3182887,amaryllis,石蒜,,朱顶红,2017-07-24
3182888,amoeboid tapetum,變形蟲型營養層,,周缘质团绒毡层；变形绒毡层,2017-07-24
3182889,androcyte,精原細胞,,雄细胞,2017-07-24
3182890,androspore,小孢子；雄孢子,,小孢子,2017-07-24
3182891,Anthurium scherzeranum,火鶴花,,红掌,2017-07-24
3182892,Anthurium spp,火鶴,,花烛 =火鹤,2017-07-24
3182893,apparent photosynthesis,淨光合作用,,净光合,2017-07-24
3182894,Arabian jasmine；Jasminum sambac,茉莉花,,茉莉,2017-07-24
3182895,Asplenium nidus,巢蕨；山蘇,,巢蕨,2017-07-24
3182896,assize,測樹,,测树,2017-07-24
3182897,azalea,躑躅；杜鵑花,,杜鹃,2017-07-24
3182898,barbados lily,孤挺花,,朱顶红,2017-07-24
3182899,bark graft,皮接法,,皮接,2017-07-24
3182900,barrel cactus,金琥,,金琥,2017-07-24
3182901,bast fiber,韌皮部纖維,,韧皮纤维,2017-07-24
3182902,beak,喙,,喙,2017-07-24
3182903,Bellis perennis,雛菊,,雏菊 =春菊,2017-07-24
3182904,Bird Cherishing Week,愛鳥週,,爱鸟周,2017-07-24
3182905,bird's eye grain,鳥眼木理,,鸟眼纹理,2017-07-24
3182906,Bird-Loving Week,愛鳥週,,爱鸟周,2017-07-24
3182907,bird-nest fern,巢蕨；山蘇,,巢蕨,2017-07-24
3182908,bird-of-paradise flower,天堂鳥,,鹤望兰,2017-07-24
3182909,bladder,氣囊,,气囊,2017-07-24
3182910,blind tree,盲樹,,盲树,2017-07-24
3182911,bougainvillea,九重葛；南美紫茉莉,,宝巾花,2017-07-24
3182912,Bougainvillea spectabilis,九重葛；南美紫茉莉,,宝巾花,2017-07-24
3182913,bracket plant,吊蘭,,吊兰 = 挂兰,2017-07-24
3182914,Brazil wood,巴西蘇木,,巴西木,2017-07-24
3182915,broadleaf cactus,曇花,,昙花,2017-07-24
3182916,burned area,火燒跡地,,火烧迹地,2017-07-24
3182917,butterfly orchid,蝴蝶蘭,,蝴蝶兰,2017-07-24
3182918,butterfly palm,孔雀椰,,散尾葵,2017-07-24
3182919,Caesalpinia brasiliensis,巴西蘇木,,巴西木,2017-07-24
3182920,Calceolaria herbeohybrida,荷包花,,荷包花=蒲包花,2017-07-24
3182921,Calendula officinalis,金盞花；金盞菊,,金盏菊 =金盏花,2017-07-24
3182922,calyptra,蒴帽,,根冠,2017-07-24
3182923,Campanula medium,風鈴草,,风铃草,2017-07-24
3182924,canterbury bell,風鈴草,,风铃草,2017-07-24
3182925,Castanospermum australe,栗豆樹；綠元寶,,栗豆树,2017-07-24
3182926,cataphysis,假側絲,,假侧丝,2017-07-24
3182927,Catheranthus roseus,長春花,,长春花,2017-07-24
3182928,cattleya,洋蘭；嘉德麗亞蘭,,卡特兰,2017-07-24
3182929,Cattleya hybrida,洋蘭；嘉德麗亞蘭,,卡特兰,2017-07-24
3182930,Celosia cristata,雞冠花,,鸡冠花,2017-07-24
3182931,Centaurea cyanus,矢車菊,,矢车菊,2017-07-24
3182932,ceriman,蓬萊蕉,,龟背竹,2017-07-24
3182933,China green,粗肋草；廣東萬年青,,广东万年青,2017-07-24
3182934,China rose,月季,,月季,2017-07-24
3182935,Chinese evergreen,粗肋草；廣東萬年青,,广东万年青,2017-07-24
3182936,Chinese ivy,常春藤,,常春藤,2017-07-24
3182937,Chlorophytum comosum,吊蘭,,吊兰 = 挂兰,2017-07-24
3182938,Chrysalidocarpus lutescens,黃椰子,,散尾葵,2017-07-24
3182939,chrysanthemum,菊花,,菊花,2017-07-24
3182940,chulan tree,樹蘭,,米兰,2017-07-24
3182941,clear weed,冷水花,,冷水花,2017-07-24
3182942,Clivia miniata,君子蘭,,君子兰,2017-07-24
3182943,closing the land for reforestation,封山造林,,封山育林,2017-07-24
3182944,clove pink；Dianthus caryophyllus,康乃馨,,香石竹 =康乃馨,2017-07-24
3182945,coccus,分果瓣；球菌{細菌},,分果瓣,2017-07-24
3182946,cockscomb,雞冠花,,鸡冠花,2017-07-24
3182947,Coleus blumei,彩葉草,,彩叶草,2017-07-24
3182948,commercial forest,經濟林,,用材林,2017-07-24
3182949,common callalily；Zantedeschia aethiopica,馬蹄蓮,,马蹄莲,2017-07-24
3182950,common coleus,彩葉草,,彩叶草,2017-07-24
3182951,common dahlia,大理花；大理菊,,大丽花,2017-07-24
3182952,common dracaena（Cordyline terminalis）,朱蕉,,朱蕉,2017-07-24
3182953,common fuchsia,吊鐘花,,倒挂金钟 =吊钟花,2017-07-24
3182954,common petunia,矮牽牛,,矮牵牛,2017-07-24
3182955,complementary tree,伴生樹種,,伴生树种,2017-07-24
3182956,cone,毬果；孢子囊穗,,球果,2017-07-24
3182957,coniferous forest,針葉樹林；松柏林,,针叶林,2017-07-24
3182958,conservative thinning,保護性疏伐,,保护性疏伐,2017-07-24
3182959,cork (outer covering of the cork oak),木栓,,栓皮,2017-07-24
3182960,corona,副花冠,,根颈,2017-07-24
3182961,coxcomb,雞冠花,,鸡冠花,2017-07-24
3182962,crab cactus,蟹爪仙人掌；蟹爪蘭,,蟹爪兰,2017-07-24
3182963,cruise,測樹,,测树,2017-07-24
3182964,cutover areaa (area where timber has been cut),伐採跡地,,采伐迹地,2017-07-24
3182965,cutting,伐採,,采伐,2017-07-24
3182966,cutting-blank,伐採跡地,,采伐迹地,2017-07-24
3182967,cymbidium,建蘭,,春兰,2017-07-24
3182968,Cymbidium goeringii,春蘭,,春兰,2017-07-24
3182969,Cymbidium spp,建蘭,,兰花,2017-07-24
3182970,dahlia,大理花；大理菊,,大丽花,2017-07-24
3182971,Dendranthemum morifolium,菊花,,菊花,2017-07-24
3182972,diameter at breast height；DBH,胸高直徑；胸徑,,胸围,2017-07-24
3182973,diameter at breast height；DBH,胸高直徑；胸徑,,胸径,2017-07-24
3182974,Dianthus chinensis,石竹,,石竹,2017-07-24
3182975,Dracaena reflexa,百合竹；萬年青,,富贵竹 =百合竹,2017-07-24
3182976,dune fixation afforestation,沙丘固定造林,,固沙造林,2017-07-24
3182977,Dutchman’s-pipe,馬兜鈴,,昙花,2017-07-24
3182978,Echinocactus grusonii,金琥,,金琥,2017-07-24
3182979,endoporus,內孔,,内孔,2017-07-24
3182980,epibiotic speccies,孑遺種,,孑遗种；残遗种,2017-07-24
3182981,epiphyllum,曇花,,昙花,2017-07-24
3182982,Epiphyllum oxypetalum,曇花,,昙花,2017-07-24
3182983,evergreen broadleaved forest,常綠闊葉林,,常绿阔叶林,2017-07-24
3182984,excessive felling,過度伐採,,过伐,2017-07-24
3182985,Fatsia japonica,八角金盤,,八角金盘,2017-07-24
3182986,felling,伐採,,采伐,2017-07-24
3182987,female cone,大孢子囊穗；雌毬花,,大孢子叶球；雌球花,2017-07-24
3182988,female gametophyte,雌配子體,,雌配子体,2017-07-24
3182989,final cutting,主伐,,终伐,2017-07-24
3182990,final felling,主伐,,终伐,2017-07-24
3182991,flaming lily,火鶴花,,红掌,2017-07-24
3182992,flamingo flower,火鶴花,,花烛 =火鹤,2017-07-24
3182993,flamingo lily,火鶴花,,花烛 =火鹤,2017-07-24
3182994,flood wood,漂浮木,,浮木,2017-07-24
3182995,flowering stone,石頭玉,,生石花,2017-07-24
3182996,for woods regeneration,封山造林,,封山育林,2017-07-24
3182997,forest,森林,,林木,2017-07-24
3182998,forest by-product；minor/subsidiary forest product,森林副產物,,林副产品,2017-07-24
3182999,forest canopy,林冠,,林冠层,2017-07-24
3183000,forest form,林相,,林相,2017-07-24
3183001,forest limit,森林界限,,森林线,2017-07-24
3183002,forest line,森林界限,,森林线,2017-07-24
3183003,forest plantation,人工林,,人工林,2017-07-24
3183004,forest product,林產品,,林产,2017-07-24
3183005,forestry land,林地,,林地,2017-07-24
3183006,garden croton,變葉木,,变叶木,2017-07-24
3183007,garden dahlia,大理花；大理菊,,大丽花,2017-07-24
3183008,garden pansy；Viola tricolor,三色堇,,三色堇 =鬼脸花,2017-07-24
3183009,gardenia,梔子花,,栀子花,2017-07-24
3183010,Gardenia jasminoides,梔子花,,栀子花,2017-07-24
3183011,geoflora,古植物區系,,古植物区系,2017-07-24
3183012,Gerbera jamesonii,非洲菊,,非洲菊,2017-07-24
3183013,Gladiolus hybridus,唐菖蒲；劍蘭,,唐菖蒲,2017-07-24
3183014,golden–ball cactus,金琥,,金琥,2017-07-24
3183015,goldfish grass；Antirrhinum majus,金魚草,,金鱼草,2017-07-24
3183016,goosefoot plant,合果芋,,合果芋,2017-07-24
3183017,gooseley plant,鵝掌柴,,鹅掌柴,2017-07-24
3183018,gourd,瓠果；瓜果,,瓠果,2017-07-24
3183019,greening,綠化,,绿化,2017-07-24
3183020,grow seedlings,育苗,,育苗,2017-07-24
3183021,growing stock tree,主林木,,主伐,2017-07-24
3183022,guzmania,觀賞鳳梨,,果子蔓,2017-07-24
3183023,Guzmania lingulata,擎天鳳梨,,果子蔓,2017-07-24
3183024,halodrymium,紅樹林；紅樹林群落,,红树林,2017-07-24
3183025,harvest cutting,主伐,,主伐,2017-07-24
3183026,Hedera nepalensis,常春藤,,常春藤,2017-07-24
3183027,heeling-in,假植,,假植,2017-07-24
3183028,hill-closure,封山造林,,封山育林,2017-07-24
3183029,Hippeastrum vittatum,孤挺花,,朱顶红,2017-07-24
3183030,hygrodrymium,熱帶雨林,,雨林,2017-07-24
3183031,hypnospore,休眠孢子,,休眠孢子,2017-07-24
3183032,inch plant,紫背鴨跖草,,吊竹梅,2017-07-24
3183033,Indian mahogany,大葉桃花心木,,印度红木,2017-07-24
3183034,Indian oleander,夾竹桃,,夹竹桃,2017-07-24
3183035,iris,鳶尾,,鸢尾,2017-07-24
3183036,isolated tree,孤立木,,孤立木,2017-07-24
3183037,ivy arum；Scindapsus aureus,黃金葛,,绿萝 =黄金葛,2017-07-24
3183038,ivy arum；Scindapsus aureus,黃金葛,,黄金葛,2017-07-24
3183039,Japanese fatsia,八角金盤,,八角金盘,2017-07-24
3183040,kafir lily,君子蘭,,君子兰,2017-07-24
3183041,Kranz structure,花環構造,,克兰茨结构,2017-07-24
3183042,lade’s-eardrop Fuchsia hybrida,吊鐘花,,倒挂金钟 =吊钟花,2017-07-24
3183043,lady’s pocketbook,荷包花,,荷包花=蒲包花,2017-07-24
3183044,Lantana camara,馬纓丹,,五色梅,2017-07-24
3183045,Lavandula officinalis,薰衣草,,薰衣草,2017-07-24
