ID,英文名稱,中文名稱,圖片,中國大陸譯名,更新日期
3142531,[Montevideo]Declaration of the Law of the Sea,海洋法宣言,,海洋法宣言,2017-07-20
3142532,abrasion landform,海蝕地形,,海蚀地貌,2017-07-20
3142533,abrasion platform,海蝕平台,,海蚀台地,2017-07-20
3142534,abrasion terrace,海蝕階地,,海蚀阶地,2017-07-20
3142535,abyssal hill,深海丘陵,,深海丘陵,2017-07-20
3142536,abyssal zone,深淵區,,深渊带,2017-07-20
3142537,aqualung,水肺,,轻便潜水器,2017-07-20
3142538,atoll,環礁,,环礁,2017-07-20
3142539,barrier,堰洲,,沙坝,2017-07-20
3142540,barrier reef,堡礁,,堡礁,2017-07-20
3142541,bathyal zone,深海區,,深海带,2017-07-20
3142542,bathymetry,測深學,,水深测量,2017-07-20
3142543,bathysphere,球形深海潛水器,,深潜球,2017-07-20
3142544,bay,海灣,,海湾,2017-07-20
3142545,beach,海灘,,海滩,2017-07-20
3142546,beach rock,海灘岩,,海滩岩,2017-07-20
3142547,bench,岸灘,,岩滩,2017-07-20
3142548,benthos,底棲生物,,底栖生物,2017-07-20
3142549,billow,巨浪,,巨浪,2017-07-20
3142550,Bohai Sea,渤海,,渤海,2017-07-20
3142551,calm sea,無浪，靜海,,无浪,2017-07-20
3142552,circum-Pacific region,環太平洋地區,,环太平洋地区,2017-07-20
3142553,coast,海岸,,海岸,2017-07-20
3142554,coastal current,沿岸流,,沿岸流,2017-07-20
3142555,coastal engineering,海岸工程,,海岸工程,2017-07-20
3142556,coastal terrace,海岸階地,,海岸阶地,2017-07-20
3142557,coastal zone,沿岸帶；海岸帶,,海岸带,2017-07-20
3142558,coastline,海岸線,,海岸线,2017-07-20
3142559,cofferdam,圍堰,,围堰,2017-07-20
3142560,cold｛ocean｝current,冷｛洋｝流,,寒流,2017-07-20
3142561,confused sea,暴濤,,暴涛,2017-07-20
3142562,continental crust,大陸地殼,,陆壳,2017-07-20
3142563,continental margin,大陸邊緣,,大陆边缘,2017-07-20
3142564,continental rise,大陸隆堆，大陸緣積,,大陆隆,2017-07-20
3142565,continental shelf,大陸棚，大陸架,,大陆架,2017-07-20
3142566,continental shelf break,大陸棚裂,,大陆架坡折,2017-07-20
3142567,continental slope,大陸斜坡，大陸坡,,大陆坡,2017-07-20
3142568,continental terrace,大陸階地,,大陆阶地,2017-07-20
3142569,Convention of the Law of the Sea,海洋法公約,,海洋法公约,2017-07-20
3142570,coral reef,珊瑚礁,,珊瑚礁,2017-07-20
3142571,countercurrent,反流；逆流,,逆流,2017-07-20
3142572,deep sea,深海,,深海,2017-07-20
3142573,deep unmaned submersible ｛=DUMS｝,深水無人載具,,深海遥控潜水器,2017-07-20
3142574,density current,密度流,,密度流,2017-07-20
3142575,density current,密度流,,异重流,2017-07-20
3142576,depth contour,等深線,,等深线,2017-07-20
3142577,diver,潛水人員；蛙人,,潜水员,2017-07-20
3142578,diving suit,潛水衣,,潜水服,2017-07-20
3142579,Donghai Sea,東海,,东海,2017-07-20
3142580,downwelling,沉降流；下降流,,下降流,2017-07-20
3142581,East China Sea,東海；東中國海,,东海,2017-07-20
3142582,ebb,退潮,,落潮,2017-07-20
3142583,ebb tide,退潮,,落潮,2017-07-20
3142584,epeiric sea,陸緣海,,陆表海,2017-07-20
3142585,epicontinental sea,陸緣海,,陆表海,2017-07-20
3142586,Equatorial Current,赤道洋流,,赤道流,2017-07-20
3142587,eustasy,全球性海平面升降,,海平面升降,2017-07-20
3142588,eustatic movement,全球性海面升降運動,,海平面升降运动,2017-07-20
3142589,flood,漲潮,,涨潮,2017-07-20
3142590,flood tide,漲潮,,涨潮,2017-07-20
3142591,flood water,潮水,,潮水,2017-07-20
3142592,fringing reef,裙礁,,岸礁,2017-07-20
3142593,frogman,潛水人員；蛙人,,潜水员,2017-07-20
3142594,groin,突堤,,丁坝,2017-07-20
3142595,gulf,海灣,,海湾,2017-07-20
3142596,Gulf Stream,灣流,,湾流,2017-07-20
3142597,guyot,海桌山,,平顶海山,2017-07-20
3142598,hadal zone,超深淵區,,超深渊带,2017-07-20
3142599,halocline,斜鹽層；鹽度躍層,,盐跃层,2017-07-20
3142600,harbor entrance,港口門,,口门,2017-07-20
3142601,high sea,1.公海；2.狂浪,,狂浪,2017-07-20
3142602,high water｛=HW｝,高潮；滿潮,,高潮,2017-07-20
3142603,inshore,近岸,,内滨,2017-07-20
3142604,intertidal zone,潮間帶,,潮间带,2017-07-20
3142605,island｛=in the sea｝,[海]島,,海岛,2017-07-20
3142606,Kuroshio,黑潮,,黑潮,2017-07-20
3142607,lagoon,潟湖,,潟湖,2017-07-20
3142608,law of the sea,海洋法,,海洋法,2017-07-20
3142609,life-support system,維生系統,,生命支持系统,2017-07-20
3142610,light boat,燈標船,,灯船,2017-07-20
3142611,lighthouse,燈塔,,灯塔,2017-07-20
3142612,lightship,燈船,,灯船,2017-07-20
3142613,littoral current,順岸流,,沿岸流,2017-07-20
3142614,longshore current,沿岸流,,顺岸流,2017-07-20
3142615,low water｛=LW｝,低潮；乾潮,,低潮,2017-07-20
3142616,mangrove coast,紅樹林海岸,,红树林海岸,2017-07-20
3142617,marine acoustics,海洋聲學,,海洋声学,2017-07-20
3142618,marine algae,海藻,,海洋藻类,2017-07-20
3142619,marine animal,海洋動物,,海洋动物,2017-07-20
3142620,marine bioacoustics,海洋生物聲學,,,2017-07-20
3142621,marine bio-acoustics,海洋生物聲學,,海洋生物声学,2017-07-20
3142622,marine biochemistry,海洋生物化學,,海洋生物化学,2017-07-20
3142623,marine biogeography,海洋生物地理學,,海洋生物地理学,2017-07-20
3142624,marine biology,海洋生物學,,海洋生物学,2017-07-20
3142625,marine chemistry,海洋化學,,海洋化学,2017-07-20
3142626,marine climate,海洋氣候,,海洋气候,2017-07-20
3142627,marine climatology,海洋氣候學,,海洋气候学,2017-07-20
3142628,marine ecology,海洋生態學,,海洋生态学,2017-07-20
3142629,marine economics,海洋經濟學,,海洋经济学,2017-07-20
3142630,marine ecosystem,海洋生態系,,海洋生态系,2017-07-20
3142631,marine environmental assessment,海洋環境評估,,海洋环境评价,2017-07-20
3142632,marine environmental monitoring,海洋環境監測,,海洋环境监测,2017-07-20
3142633,marine environmental science,海洋環境科學,,海洋环境科学,2017-07-20
3142634,marine erosion,海蝕,,海蚀作用,2017-07-20
3142635,marine fishery,海洋漁業,,海洋渔业,2017-07-20
3142636,marine geochemistry,海洋地球化學,,海洋地球化学,2017-07-20
3142637,marine geology,海洋地質學,,海洋地质学,2017-07-20
3142638,marine geomorphology,海洋地形學,,海洋地貌学,2017-07-20
3142639,marine geophysics,海洋地球物理學,,海洋地球物理学,2017-07-20
3142640,marine hydrography,海洋水文學,,海洋水文学,2017-07-20
3142641,marine hydrology,海洋水文學,,海洋水文学,2017-07-20
3142642,marine meteorology,海洋氣象學,,海洋气象学,2017-07-20
3142643,marine microorganism,海洋微生物,,海洋微生物,2017-07-20
3142644,marine optics,海洋光學,,海洋光学,2017-07-20
3142645,marine organic chemistry,海洋有機化學,,海洋有机化学,2017-07-20
3142646,marine organism,海洋生物,,海洋生物,2017-07-20
3142647,marine pharmacognosy,海洋生藥學,,海洋生药学,2017-07-20
3142648,marine physics,海洋物理學,,海洋物理学,2017-07-20
3142649,marine plant,海洋植物,,海洋植物,2017-07-20
3142650,marine ranching,海洋牧場,,海洋牧场,2017-07-20
3142651,marine resource chemistry,海洋資源化學,,海洋资源化学,2017-07-20
3142652,marine resources,海洋資源,,海洋资源,2017-07-20
3142653,marine sciences,海洋科學,,海洋科学,2017-07-20
3142654,marine sedimentology,海洋沉積學,,海洋沉积学,2017-07-20
3142655,marine tecnology,海洋技術,,海洋技术,2017-07-20
3142656,mean sea level｛=MSL｝,平均海平面,,平均海平面,2017-07-20
3142657,mid-ocean ridge,中洋脊,,洋中脊,2017-07-20
3142658,mid-oceanic ridge,中洋脊,,大洋中脊,2017-07-20
3142659,mid-oceanic rise,中洋隆起,,洋中隆,2017-07-20
3142660,moderate sea,中浪,,中浪,2017-07-20
3142661,Nanhai Sea,南海,,南海,2017-07-20
3142662,neap｛=tide｝,小潮,,小潮,2017-07-20
3142663,nearshore zone,近岸區,,近滨带,2017-07-20
3142664,ocean,洋,,洋,2017-07-20
3142665,ocean,洋,,海洋,2017-07-20
3142666,ocean basin,洋盆,,洋盆,2017-07-20
3142667,ocean climate,海洋氣候,,海洋气候,2017-07-20
3142668,ocean current,洋流,,海流,2017-07-20
3142669,ocean engineering,海洋工程,,海洋工程,2017-07-20
3142670,ocean exploitation,海洋開發,,海洋开发,2017-07-20
3142671,ocean optics,海洋光學,,海洋光学,2017-07-20
3142672,ocean sciences,海洋科學,,海洋科学,2017-07-20
3142673,ocean wave,海浪,,海浪,2017-07-20
3142674,ocean weather station,海洋氣象站,,海洋气象站,2017-07-20
3142675,oceanic crust,海洋地殼,,洋壳,2017-07-20
3142676,oceanic ridge,洋脊,,海岭,2017-07-20
3142677,oceanographic investigation,海洋調查,,海洋调查,2017-07-20
3142678,oceanographic investigation,海洋調查,,海洋调查,2017-07-20
3142679,oceanographic research vessel,海洋研究船,,海洋调查船,2017-07-20
3142680,oceanographic survey,海洋調查,,海洋调查,2017-07-20
3142681,oceanography,海洋學,,海洋学,2017-07-20
3142682,oceanology,海洋學,,海洋学,2017-07-20
3142683,offshore,離岸；近海,,外滨,2017-07-20
3142684,offshore bar,離岸沙洲,,滨外坝,2017-07-20
3142685,offshore drilling,海域鑽井,,海上钻探,2017-07-20
3142686,offshore engineering,離岸工程,,近海工程,2017-07-20
3142687,offshore fishing ground,近海漁場,,海洋渔场,2017-07-20
3142688,open caisson,沉箱,,沉井,2017-07-20
3142689,Oyashio,親潮,,亲潮,2017-07-20
3142690,paleoceanography,古海洋學,,古海洋学,2017-07-20
3142691,Pangaea,盤古大陸,,泛大陆,2017-07-20
3142692,Panthalassa,泛古洋,,泛大洋,2017-07-20
3142693,parallel dike,順壩,,顺坝,2017-07-20
3142694,patch reef,塊礁,,点礁,2017-07-20
3142695,precipitous sea,怒濤,,怒涛,2017-07-20
3142696,pycnocline,斜密層；密躍層；密度躍層,,密度跃层,2017-07-20
3142697,reef,礁,,礁石,2017-07-20
3142698,reef flat,礁坪；礁灘,,礁滩,2017-07-20
3142699,regional oceanography,區域性海洋學,,区域海洋学,2017-07-20
3142700,rise,隆起；隆堆,,海隆,2017-07-20
3142701,rough sea,強浪,,大浪,2017-07-20
3142702,salinity,鹽度,,盐度,2017-07-20
3142703,salt marsh,鹽沼,,盐沼,2017-07-20
3142704,sandbar,沙洲,,沙坝,2017-07-20
3142705,scuba,水肺,,轻便潜水器,2017-07-20
3142706,sea cliff,海崖,,海蚀崖,2017-07-20
3142707,sea dike,海堤,,海堤,2017-07-20
3142708,sea horse,海馬,,海马,2017-07-20
3142709,sea ice,海冰,,海冰,2017-07-20
3142710,sea level｛=SL｝,海平面,,海平面,2017-07-20
3142711,sea noise,海洋噪音,,海洋噪声,2017-07-20
3142712,sea notch,海蝕凹壁,,海蚀龛,2017-07-20
3142713,sea plateau,海底高原,,海底高原,2017-07-20
3142714,sea stack,海蝕柱,,海蚀柱,2017-07-20
3142715,sea surface,海面,,海面,2017-07-20
3142716,sea water,海水,,海水,2017-07-20
3142717,sea water desalination,海水淡化,,海水淡化,2017-07-20
3142718,seabed,海床,,海床,2017-07-20
3142719,seabed,海床,,海底,2017-07-20
3142720,seacoast,海岸,,海岸,2017-07-20
3142721,seamount,海底山,,海山,2017-07-20
3142722,seascarp,海底懸崖,,海崖,2017-07-20
3142723,seashore,海岸；海濱,,海滨,2017-07-20
3142724,seaside,海濱；海邊,,海滨,2017-07-20
3142725,shallow sea,淺海,,浅海,2017-07-20
3142726,shallows,淺水處,,浅海,2017-07-20
3142727,ship lock,船閘,,船闸,2017-07-20
3142728,shoal,淺灘,,浅滩,2017-07-20
3142729,shore,岸，濱,,滨,2017-07-20
3142730,shore protection engineering,海岸防護工程,,护岸工程,2017-07-20
3142731,shore reef,岸礁,,岸礁,2017-07-20
3142732,sinking well,沈井,,沉井,2017-07-20
3142733,slight sea,小浪,,轻浪,2017-07-20
3142734,smooth sea,微浪,,微浪,2017-07-20
3142735,South China Sea,南海；南中國海,,南海,2017-07-20
3142736,spit,沙嘴,,沙嘴,2017-07-20
3142737,spring tide,大潮,,大潮,2017-07-20
3142738,spur dike,沉沙壩,,丁坝,2017-07-20
3142739,still tide,平潮,,平潮,2017-07-20
3142740,storm surge,暴潮,,风暴潮,2017-07-20
3142741,strait,海峽,,海峡,2017-07-20
3142742,submarine canyon,海底峽谷,,海底峡谷,2017-07-20
3142743,submarine tectonics,海底構造學,,海底构造学,2017-07-20
3142744,submarine valley,海底谷,,海底谷,2017-07-20
3142745,submarine volcano,海底火山,,海底火山,2017-07-20
3142746,submersible,水下載具,,潜水器,2017-07-20
3142747,submersible,水下載具,,深潜器,2017-07-20
3142748,subsea beacon,水下信標,,水下信标,2017-07-20
3142749,subtidal zone,亞潮帶；潮下帶,,潮下带,2017-07-20
3142750,supertidal zone,潮上帶,,潮上带,2017-07-20
3142751,swell,湧浪,,涌浪,2017-07-20
3142752,syzygial tide,朔望潮,,朔望潮,2017-07-20
3142753,thermocline,斜溫層；溫躍層；溫度躍層,,温跃层,2017-07-20
3142754,tidal bore,潮湧,,涌潮,2017-07-20
3142755,tidal current,潮流,,潮流,2017-07-20
3142756,tidal flat,潮灘,,潮滩,2017-07-20
3142757,tidal level,潮位,,潮位,2017-07-20
3142758,tidal water,潮水,,潮水,2017-07-20
3142759,tidal wave,潮波,,潮波,2017-07-20
3142760,tide,潮；潮汐,,潮汐,2017-07-20
3142761,tide amplitude,潮幅,,潮幅,2017-07-20
3142762,tide curve,潮汐曲線,,潮位曲线,2017-07-20
3142763,tide prediction,潮汐預報,,潮汐预报,2017-07-20
3142764,tide range,潮差,,潮差,2017-07-20
3142765,tide station,驗潮站,,潮汐测站,2017-07-20
3142766,tide table,潮汐表,,潮汐表,2017-07-20
3142767,tidewater,潮水,,潮水,2017-07-20
3142768,trench,海溝,,海沟,2017-07-20
3142769,trestle,棧橋,,栈桥,2017-07-20
3142770,trough,海槽,,海槽,2017-07-20
3142771,tsunami,海嘯,,海啸,2017-07-20
3142772,upwelling,上升流；湧升流,,上升流,2017-07-20
3142773,very high sea,狂濤,,狂涛,2017-07-20
3142774,very rough sea,巨浪,,巨浪,2017-07-20
3142775,warm current,暖流,,暖流,2017-07-20
3142776,water stand,停潮,,停潮,2017-07-20
3142777,wave,波浪；波；浪,,波浪,2017-07-20
3142778,wave base,波浪基面,,浪基面,2017-07-20
3142779,wave forecast,波浪預報,,波浪预报,2017-07-20
3142780,Yellow Sea,黃海,,黄海,2017-07-20
