ID,英文名稱,中文名稱,圖片,中國大陸譯名,更新日期
2451397,prime  meridian,本初子午線,,本初子午线,2015-09-16
2451398,scale,比例尺；縮尺,,比例尺,2015-09-16
2451399,staff,標尺；標桿,,标尺,2015-09-16
2451400,rod,標尺；標桿,,标尺,2015-09-16
2451401,band,波段,,波段,2015-09-16
2451402,measuring  mark,測標,,测标,2015-09-16
2451403,altimeter,高度計；測高計；測高儀,,测高仪,2015-09-16
2451404,surveying  and  mapping,測繪；測量製圖,,测绘,2015-09-16
2451405,surveying,測量[學],,测量,2015-09-16
2451406,measuring,量測,,测量,2015-09-16
2451407,survey mark,測量標,,测量标志,2015-09-16
2451408,observation  target,[觀測]覘標,,测量觇标,2015-09-16
2451409,survey line,測線,,测线,2015-09-16
2451410,vertical angle,垂直角；縱角,,垂直角,2015-09-16
2451411,geodesy,大地測量[學],,大地测量学,2015-09-16
2451412,geoid,大地水準面,,大地水准面,2015-09-16
2451413,contour inteval,等高線間距,,等高距,2015-09-16
2451414,contour,等高線,,等高线,2015-09-16
2451415,equivalent  projection,等積投影　,,等积投影,2015-09-16
2451416,conformal projection,正形投影；等角投影,,等角投影,2015-09-16
2451417,equidistant  projection,等距投影,,等距投影,2015-09-16
2451418,"geographic information system, GIS",地理資訊系統,,地理信息系统,2015-09-16
2451419,geographic coodinate,地理坐標,,地理坐标,2015-09-16
2451420,globe,地球儀,,地球仪,2015-09-16
2451421,earth  resource  satellite（ERS）,地球資源衛星,,地球资源卫星,2015-09-16
2451422,map,地圖,,地图,2015-09-16
2451423,atlas,地圖集,,地图集,2015-09-16
2451424,map projection,地圖投影,,地图投影,2015-09-16
2451425,cartography,地圖學,,地图学,2015-09-16
2451426,topography,地形,,地形,2015-09-16
2451427,topographic survey,地形測量,,地形测量,2015-09-16
2451428,topographic  map,地形圖,,地形图,2015-09-16
2451429,electronic map,電子地圖,,电子地图,2015-09-16
2451430,multimedia  map,多媒體地圖,,多媒体地图,2015-09-16
2451431,resolution,解析度,,分辨率,2015-09-16
2451432,height,高度,,高程,2015-09-16
2451433,angle of elevation,高度角；仰俯角,,高度角,2015-09-16
2451434,engineering surveying,工程測量,,工程测量,2015-09-16
2451435,holing through surveying,貫通測量,,贯通测量,2015-09-16
2451436,breakthrough surveying,貫通測量,,贯通测量,2015-09-16
2451437,height above sea level,海拔[高],,海拔,2015-09-16
2451438,aerial survey,航空測量；航測,,航测,2015-09-16
2451439,aerial photography,航空攝影,,航空摄影,2015-09-16
2451440,aerial photogrammetry,航空攝影測量,,航空摄影测量,2015-09-16
2451441,aerophotogrammetry,航空攝影測量,,航空摄影测量,2015-09-16
2451442,airborne remote sensing,空載遙感探測,,航空遥感,2015-09-16
2451443,aerial photograph,航照,,航摄相片,2015-09-16
2451444,spaceborne remote sensing,太空遙測,,航天遥感,2015-09-16
2451445,space remote sensing,太空遙測,,航天遥感,2015-09-16
2451446,grey level,灰階；灰度,,灰度级,2015-09-16
2451447,gray scale,灰階；灰度,,灰阶,2015-09-16
2451448,false color image,假色影像,,假彩色图像,2015-09-16
2451449,interpretation,判釋,,解译,2015-09-16
2451450,transit,經緯儀,,经纬仪,2015-09-16
2451451,precision,精度,,精度,2015-09-16
2451452,control point,控制點,,控制点,2015-09-16
2451453,mine survey,礦區測量,,矿山测量,2015-09-16
2451454,radar remote sensing,雷達遙感探測；雷達遙測,,雷达遥感,2015-09-16
2451455,analog map,類比地圖,,模拟地图,2015-09-16
2451456,global navigation satellite system;  GNSS,全球導航[衛星]系統,,全球导航卫星系统,2015-09-16
2451457,"global positioning system,GPS",全球定位系統,,全球定位系统,2015-09-16
2451458,triangulation,三角測量,,三角测量,2015-09-16
2451459,trigonometrical survey,三角測量,,三角测量,2015-09-16
2451460,triangulation  point,三角點,,三角点,2015-09-16
2451461,triangulation  network,三角網,,三角网,2015-09-16
2451462,photographic surveying,攝影測量,,摄影测量,2015-09-16
2451463,photogrammetry,攝影測量[學],,摄影测量学,2015-09-16
2451464,range  of visibility,能見度,,视距,2015-09-16
2451465,horizontal angle,水平角,,水平角,2015-09-16
2451466,leveling,水準測量,,水准测量,2015-09-16
2451467,benchmark,水準點,,水准点,2015-09-16
2451468,level surface,水準面,,水准面,2015-09-16
2451469,level plane,水準面,,水准面,2015-09-16
2451470,level,水準儀,,水准仪,2015-09-16
2451471,zenith  distance,天頂距,,天顶距,2015-09-16
2451472,zenith angle,天頂距,,天顶距,2015-09-16
2451473,astronomical point,天文點,,天文点,2015-09-16
2451474,legend,圖例,,图例,2015-09-16
2451475,image coding,影像編碼,,图像编码,2015-09-16
2451476,image processing,影像處理,,图像处理,2015-09-16
2451477,image analysis,影像分析,,图像分析,2015-09-16
2451478,image recognition,影像識別,,图像识别,2015-09-16
2451479,satellite  positioning,衛星定位,,卫星定位,2015-09-16
2451480,relative  altitude,相對高度,,相对高度,2015-09-16
2451481,relative height,相對高度,,相对高度,2015-09-16
2451482,signal-to-noise ratio,訊噪比,,信噪比,2015-09-16
2451483,remote sensing,遙感探測；遙測,,遥感,2015-09-16
2451484,map-making,地圖製作,,制图,2015-09-16
2451485,gravity field,重力場,,重力场,2015-09-16
2451486,thematic map,主題地圖,,专题地图,2015-09-16
2451487,meridian,經線；子午線,,子午线,2015-09-16
2451488,coordinate grid,坐標網格,,坐标格网,2015-09-16
