ID,英文名稱,中文名稱,圖片,中國大陸譯名,更新日期
2444988,barbel,鲃[亞科]；觸鬚,,鲃（类）〈渔〉,2015-09-16
2444989,Spanish mackerel (Scomberomorus      niphonius),鰆(日本馬加鰆),,"鲅  =蓝点马鲛,鲌〈渔〉",2015-09-16
2444990,Chinese river dolphin；white-flag dolphin (Lipotes vexillifer),白鱀豚；中國江豚,,白暨豚 〈渔〉,2015-09-16
2444991,channel catfish (Ictalurus punctatus),斑真鮰,,"斑点叉尾鮰  =沟鲇,河鲇 〈渔〉",2015-09-16
2444992,tiger shrimpprawn (Penaeus monodon),草蝦,,斑节对虾 =草虾，米虾 〈渔〉,2015-09-16
2444993,freshwater mussels,淡水蚌類,,蚌(类)   〈渔〉,2015-09-16
2444994,clam,蛤；蚌；蜆,,,2015-09-16
2444995,unionids,貽貝,,,2015-09-16
2444996,abalonegeneric term for genus Haliotis,鮑魚[屬],,鲍 〈渔〉,2015-09-16
2444997,variously colored abalone(Haliotis diversicolor),九孔螺,,杂色鲍,2015-09-16
2444998,disk abalone (Haliotis discus hannai),皺紋盤鮑,,皱纹盘鲍,2015-09-16
2444999,shellfishes,貝類與甲殼類等,,贝(类)   〈渔〉,2015-09-16
2445000,mollusks,軟體動物,,,2015-09-16
2445001,shells,貝類,,,2015-09-16
2445002,flatfish; flounder,鰈[形目]；比目魚,,比目鱼  =偏口鱼〈渔〉→牙鲆,2015-09-16
2445003,swimair bladder,鰾,,鳔  （渔）,2015-09-16
2445004,softshell turtle,鱉；甲魚,,鳖=甲鱼 〈渔〉,2015-09-16
2445005,culter,鮊[屬],,鲌  =白鱼 〈渔〉,2015-09-16
2445006,(of fishing) catch,捕獲量；漁獲量,,捕获量 〈渔〉,2015-09-16
2445007,seasonal catch,季節捕獲量；季節漁獲量,,季节捕获量,2015-09-16
2445008,to catch whales,捕鲸,,捕鲸〈渔〉,2015-09-16
2445009,to catch fish；to fish,捕魚,,捕鱼 动〈渔〉,2015-09-16
2445010,pearl boat；lugger,採珠船,,采珍船 〈渔〉,2015-09-16
2445011,lugger,單桅帆船,,,2015-09-16
2445012,grass carp(Ctenopharyngodon idellus),草魚；鯇,,草鱼=鲩 〈渔〉,2015-09-16
2445013,spawning migration,產卵洄游,,产卵洄游,2015-09-16
2445014,egg-laying spawning season,產卵季,,产卵期(季节),2015-09-16
2445015,butterfish,鯧,,鲳 〈渔〉,2015-09-16
2445016,silvery pomfret,銀鯧,,,2015-09-16
2445017,large yellow croaker (Pseudosciaena crocea),大黃魚；大黃花魚,,大黄鱼  =黄花鱼〈渔〉,2015-09-16
2445018,turbot(Scophthatmus maximus),大菱鮃,,大菱鲆  =多宝鱼 〈渔〉,2015-09-16
2445019,"chumketa salmon, dog salmon   (Oncorhynchus keta)",鈎吻鮭,,大麻哈鱼 〈渔〉,2015-09-16
2445020,Atlantic salmon  (Salmon salar),大西洋鮭,,大西洋鲑 =三文鱼 〈渔〉,2015-09-16
2445021,① prawn ②=中国对虾 Chinese shrimp (Penaeus chinensis),明蝦,,大虾〈渔〉,2015-09-16
2445022,Chinese shrimp (Penaeus chinensis),明蝦,,中国对虾,2015-09-16
2445023,silver fish(Protosalanx),大銀魚,,大银鱼 =面条鱼 〈渔〉,2019-08-27
2445024,(silvery)hairtail；beltcutlass fish  (Trichiurus lepturus ),白帶魚,,带鱼 〈渔〉,2015-09-16
2445025,ｄàｎｓｈｕǐ   freshsweet water,淡水[fresh(sweet) water],,淡水,2015-09-16
2445026,freshwater fish,淡水魚,,淡水鱼,2015-09-16
2445027,freshwater fish culture farming,淡水養殖漁業,,淡水养鱼,2015-09-16
2445028,freshwater aquaculture,淡水養殖,,淡水养殖,2015-09-16
2445029,freshwater pearl,淡水珍珠,,淡水珍珠,2015-09-16
2445030,oscar(Astronotus ocellatus),圖麗魚(地圖魚),,地图鱼 〈渔〉,2015-09-16
2445031,line fishing boat,釣具漁船,,钓船   〈渔〉,2015-09-16
2445032,(fish) bait,釣餌,,钓饵 〈渔〉,2015-09-16
2445033,（fish）rodpole,釣竿,,钓竿 〈渔〉,2015-09-16
2445034,（fish）hook,釣鉤,,钓钩  〈渔〉,2015-09-16
2445035,（fish）line,釣線,,钓丝 =钓线 〈渔〉,2015-09-16
2445036,line fishery,釣具漁業,,钓鱼业  〈渔〉,2015-09-16
2445037,（fish）hook,釣鉤,,钓针  〈渔〉,2015-09-16
2445038,pleuronectid; butterflygeneric term for family Pleuronectidae,鰈[科],,鲽（类） 〈渔〉,2015-09-16
2445039,penaeus shrimp；prawngeneric term for family Penaeidea,對蝦[屬],,对虾 〈渔〉,2015-09-16
2445040,Chinese shrimp (Penaeus chinensis),明蝦,,中国对虾,2015-09-16
2445041,bait feed；fishing bait,誘餌料；釣餌料,,饵料  〈渔〉,2015-09-16
2445042,eyed eggs,發眼卵,,发眼卵 〈渔〉,2015-09-16
2445043,"breed (fish, silkworm, etc)in a suitable environment; culture",繁殖,,放养  〈渔，牧〉,2015-09-16
2445044,amount of stocking,放養量,,放养量,2015-09-16
2445045,stocking rate,放養率,,放养率,2015-09-16
2445046,tilapia；African carp,吳郭魚,,非洲鲫鱼  =罗非鱼 〈渔〉,2015-09-16
2445047,Pacific herring clupeoid；herringgeneric term for family Clupeidae,鯡[科],,鲱（类） 〈渔〉,2015-09-16
2445048,sheltostshek；yellowcheek （voracious） carp（Elopichthys bambusa）,鳡,,鳡  =黄钻 〈渔〉,2015-09-16
2445049,Panope generose,象拔蚌,,高雅海神蛤 =象拔蚌 〈渔〉,2015-09-16
