ID,英文名稱,中文名稱,圖片,中國大陸譯名,更新日期
3152725,[current] carrier,載[流]子,,载流子,2017-07-20
3152726,[electric power] grid,電力網,,电力网,2017-07-20
3152727,[electric] cable,電纜,,电缆,2017-07-20
3152728,[magnetic] hysteresis loop,磁滯迴線；磁滯曲線,,磁滞回线,2017-07-20
3152729,[magnetic] monopole,磁單極,,磁单极子,2017-07-20
3152730,[power] semiconductor diode,半導體二極體,,半导体二极管,2017-07-20
3152731,[universal] gas constant,普適氣體常數,,普适气体常量,2017-07-20
3152732,aberration,像差；光行差 ｛天文｝,,像差,2017-07-20
3152733,absolute error,絕對誤差,,绝对误差,2017-07-20
3152734,absolute humidity,絕對濕度,,绝对湿度,2017-07-20
3152735,absolute motion,絕對運動,,绝对运动,2017-07-20
3152736,absorbed dose,吸收劑量,,吸收剂量,2017-07-20
3152737,acceleration,加速度,,加速度,2017-07-20
3152738,acceleration of gravity,重力加速度,,重力加速度,2017-07-20
3152739,accelerator,加速器,,加速器,2017-07-20
3152740,accidental error,偶然誤差,,偶然误差,2017-07-20
3152741,admittance,導納,,导纳,2017-07-20
3152742,air humidity,空氣濕度,,空气的湿度,2017-07-20
3152743,air-condition,空調,,空调,2017-07-20
3152744,alternating current｛=AC｝,交流電,,交变电流,2017-07-20
3152745,amorphous solid,非晶[態固]體,,非晶态固体,2017-07-20
3152746,Ampère circuital theorem,安培環路定理,,安培环路定理,2017-07-20
3152747,Ampere's rule,安培定則,,安培定则,2017-07-20
3152748,angle of friction,摩擦角,,摩擦角,2017-07-20
3152749,angular acceleration,角加速度,,角加速度,2017-07-20
3152750,angular displacement,角移,,角位移,2017-07-20
3152751,angular momentum,角動量,,角动量,2017-07-20
3152752,angular velocity,角速度,,角速度,2017-07-20
3152753,antiparticle,反粒子,,反粒子,2017-07-20
3152754,antireflecting film,抗反射膜,,减反射膜,2017-07-20
3152755,antireflection coating,抗反射鍍膜,,减反射膜,2017-07-20
3152756,Archimedes principle,阿基米德原理,,阿基米德原理,2017-07-20
3152757,artificial earth satellite,人造地球衛星,,人造地球卫星,2017-07-20
3152758,artificial precipitation,人造雨,,人工降水,2017-07-20
3152759,atomic bomb,原子彈,,原子弹,2017-07-20
3152760,atomic magnetic moment,原子磁矩,,原子磁矩,2017-07-20
3152761,atomic nucleus,原子核,,原子核,2017-07-20
3152762,atomic spectrum of hydrogen,氫原子光譜,,氢原子光谱,2017-07-20
3152763,atomic structure,原子結構,,原子结构,2017-07-20
3152764,automatic control,自動控制,,自动控制,2017-07-20
3152765,autotransformer,自耦變壓器,,自耦变压器,2017-07-20
3152766,average life,平均壽命,,平均寿命,2017-07-20
3152767,average velocity  ,平均速度,,平均速度,2017-07-20
3152768,Avogadro constant｛Avogadro number｝,亞佛加厥常數,,阿伏伽德罗常量,2017-07-20
3152769,axle,軸；車軸；輪軸。,,轮轴,2017-07-20
3152770,barometer,氣壓計,,气压计,2017-07-20
3152771,baryon,重子,,重子,2017-07-20
3152772,base station｛=BS｝,基地台,,基站,2017-07-20
3152773,Bernoulli equation,白努利方程[式],,伯努利方程,2017-07-20
3152774,betatron,貝他｛β｝加速器,,电子感应加速器,2017-07-20
3152775,binaural localization,雙耳定位,,双耳定位,2017-07-20
3152776,Biot-Savart law,必歐-沙伐定律,,毕奥-萨伐尔定律,2017-07-20
3152777,birefringence,雙折射,,双折射,2017-07-20
3152778,black body radiation,黑體輻射,,黑体辐射,2017-07-20
3152779,black hole,黑洞,,黑洞,2017-07-20
