ID,英文名稱,中文名稱,圖片,中國大陸譯名,更新日期
2438749,accumulating organ；storage organ,蓄積器官,,蓄积器官,2015-09-16
2438750,acid deposition,酸沈降,,酸沉降,2015-09-16
2438751,acid fog,酸霧,,酸雾,2015-09-16
2438752,acid rain,酸雨,,酸雨,2015-09-16
2438753,activated sludge,活性污泥,,活性污泥,2015-09-16
2438754,aerosol,氣膠,,气溶胶,2015-09-16
2438755,aflatoxin,黃麯黴毒素,,黄曲霉毒素,2016-08-02
2438756,air pollution；atmospheric pollution,空氣污染,,大气污染,2015-09-16
2438757,algae bloom,藻華,,藻花,2015-09-16
2438758,algae toxin,藻毒素,,藻毒素,2015-09-16
2438759,artificial environment,人工環境,,人工环境,2015-09-16
2438760,atmospheric deposition,大氣沈降,,大气沉降,2015-09-16
2438761,atmospheric environment,大氣環境,,大气环境,2015-09-16
2438762,background noise,背景雜音,,背景噪声,2016-08-02
2438763,bacterial toxin,細菌毒素,,细菌毒素,2015-09-16
2438764,bioaccumulation,生物累積,,生物积累,2015-09-16
2438765,biochemical oxygen demand（BOD）,生化需氧量,,生化需氧量,2015-09-16
2438766,bioconcentration,生物濃縮,,生物浓缩,2015-09-16
2438767,bioenrichment,生物富集,,生物富集,2015-09-16
2438768,bioinvasion；biotic intrusion,生物入侵,,生物入侵,2015-09-16
2438769,biological indicator,生物指標,,生物指标,2015-09-16
2438770,biological pollution,生物污染,,生物污染,2015-09-16
2438771,biological purification,生物淨化,,生物净化,2015-09-16
2438772,biomagnification,生物放大,,生物放大,2015-09-16
2438773,bioremediation,生物修復,,生物修复,2015-09-16
2438774,biosafety,生物安全,,生物安全,2015-09-16
2438775,biotic environment,生物環境,,生物环境,2015-09-16
2438776,carbon footprint,碳足跡,,碳足迹,2015-09-16
2438777,carbon source,碳源,,碳源,2015-09-16
2438778,carcinogen,致癌物,,致癌物,2015-09-16
2438780,chemical oxygen demand（COD）,化學需氧量,,化学需氧量,2015-09-16
2438781,concentration monitoring,濃度監測,,浓度监测,2015-09-16
2438782,conservation-oriented society,節約型社會,,节约型社会,2015-09-16
2438783,cosmic environment,宇宙環境,,宇宙环境,2015-09-16
2438784,courtyard environment,院落環境,,院落环境,2015-09-16
2438785,cumulative action,蓄積作用,,蓄积作用,2015-09-16
2438786,dedusting；dust removal,除塵,,除尘,2015-09-16
2438787,dematerialization,非物質化,,非物质化,2015-09-16
2438788,desertification,沙漠化,,沙化,2015-09-16
2438789,desertification,沙漠化,,荒漠化,2015-09-16
2438790,desulfurization； desulfuration；desulphurization,脫硫,,脱硫,2015-09-16
2438791,digital environmental protection,數字環境保護,,数字环境保护,2015-09-16
2438792,disposal of sludge,污泥處理,,污泥处理,2015-09-16
2438793,domestic refuse,生活垃圾,,生活垃圾,2015-09-16
2438794,dry deposition；dry precipitation,乾沈降,,干沉降,2015-09-16
2438795,dust,粉塵,,粉尘,2015-09-16
2438796,dustfall,落塵,,降尘,2015-09-16
2438797,eco pond,生態塘,,生态塘,2015-09-16
2438798,eco-agriculture,生態農業,,生态农业,2015-09-16
2438799,eco-industrial park,生態工業園區,,生态工业园区,2015-09-16
2438800,eco-industry,生態工業,,生态工业,2015-09-16
2438801,ecological assessment,生態評估,,生态评价,2015-09-16
2438802,ecological degeneration,生態退化,,生态退化,2015-09-16
2438803,ecological demonstration area,生態示範區,,生态示范区,2015-09-16
2438804,ecological design,生態設計,,生态设计,2015-09-16
2438805,ecological disturbance；ecological imbalance,生態擾動,,生态失调,2015-09-16
2438806,ecological footprint,生態足跡,,生态足迹,2015-09-16
2438807,ecological housing；ecological residence,生態住宅,,生态住宅,2015-09-16
2438808,ecological migration,生態移民,,生态移民,2015-09-16
2438809,ecological restoration,生態恢復,,生态恢复,2015-09-16
2438810,ecomaterial,生態材料,,环境材料,2015-09-16
2438811,electromagnetic pollution,電磁污染,,电磁污染,2015-09-16
2438812,El-Nino phenomenon,尼諾(聖嬰)現象,,厄尔尼诺现象,2015-09-16
2438813,emergency monitoring,緊急監測,,应急监测,2015-09-16
2438814,energy flow,能量流,,能量流动,2015-09-16
2438815,energy recovery,能量回收,,能量回收,2015-09-16
2438816,environment,環境,,环境,2015-09-16
2438817,environmental acoustics,環境聲學,,环境声学,2015-09-16
2438818,environmental ambient assessment,環境現狀評估,,环境现状评价,2015-09-16
2438819,environmental assessment of single element,單一因素評估,,单要素评价,2015-09-16
2438820,environmental background value,環境背景值,,环境背景值,2015-09-16
2438821,environmental biology,環境生物學,,环境生物学,2015-09-16
2438822,environmental capacity,環境容量,,环境容量,2015-09-16
2438823,environmental carrying capacity,環境承載力,,环境承载力,2015-09-16
2438824,environmental chemistry,環境化學,,环境化学,2015-09-16
2438825,environmental crisis,環境危機,,环境危机,2015-09-16
2438826,environmental degradation,環境退化,,环境退化,2015-09-16
2438827,environmental design,環境設計,,环境设计,2015-09-16
2438828,environmental disaster；environmental hazards,環境災害,,环境灾害,2015-09-16
2438829,environmental ecology,環境生態學,,环境生态学,2015-09-16
2438830,environmental effect,環境效應,,环境效应,2015-09-16
2438831,environmental electromagnetics,環境電磁學,,环境电磁学,2015-09-16
2438832,environmental elements；environmental factors,環境要素,,环境要素,2015-09-16
2438833,environmental emergency response,環境緊急應變,,环境应急,2015-09-16
2438834,environmental engineering,環境工程；環境工程學,,环境工程学,2015-09-16
2438835,environmental evolution,環境演化,,环境演化,2015-09-16
2438836,environmental exposure,環境暴露,,环境暴露,2015-09-16
2438837,environmental forecasting,環境預測,,环境预测,2015-09-16
2438838,environmental function,環境功能,,环境功能,2015-09-16
2438839,environmental geoscience,環境地球科學,,环境地学,2015-09-16
2438840,environmental heat,環境熱學,,环境热学,2015-09-16
2438841,environmental hormone,環境荷爾蒙,,环境激素,2015-09-16
2438842,environmental impact assessment （EIA）,環境影響評估,,环境影响评价,2015-09-16
2438843,environmental information,環境資訊,,环境信息,2015-09-16
2438844,environmental label,環保標章,,环境标志,2015-09-16
2438845,environmental mapping,環境製圖,,环境制图,2015-09-16
2438846,environmental medicine,環境醫學,,环境医学,2015-09-16
2438847,environmental monitoring,環境監測,,环境监测,2015-09-16
2438848,environmental optics,環境光學,,环境光学,2015-09-16
2438849,environmental physics,環境物理學,,环境物理学,2015-09-16
2438850,environmental pollution,環境污染,,环境污染,2015-09-16
2438851,environmental production,環境生產,,环境生产,2015-09-16
2438852,environmental protection,環境保護,,环境保护,2015-09-16
2438853,environmental quality,環境品質,,环境质量,2015-09-16
2438854,environmental quality assessment,環境品質評估,,环境质量评价,2015-09-16
2438855,environmental quality comprehensire evaluation,環境品質綜合評估,,环境质量综合评价,2015-09-16
2438856,environmental refugees,環境難民,,环境难民,2015-09-16
2438857,environmental regionalization； environmental zoning；environmental division,環境區劃,,环境区划,2015-09-16
2438858,environmental remote sensing,環境遙測,,环境遥感,2015-09-16
2438859,environmental review assessment,環境回顧評估,,环境回顾评价,2015-09-16
2438860,environmental risk,環境風險,,环境风险,2015-09-16
