ID,英文名稱,中文名稱,圖片,中國大陸譯名,更新日期
2444341,a stud bull,種公牛,,种公牛,2015-09-16
2444342,hasten parturition,催生,,催产 =催生,2015-09-16
2444343,inventory livestock,在養畜,,存栏家畜,2015-09-16
2444344,to lose weight,減重,,掉膘 〈牧〉,2015-09-16
2444345,(as of horses) dourine,馬媾疫,,媾疫 〈兽医〉,2015-09-16
2444346,(bee) colony,蜂群,,蜂群〈牧〉,2015-09-16
2444347,(bee) venom apitoxin,蜂毒,,蜂毒〈牧〉,2015-09-16
2444348,(domestic) sheep,綿羊,,绵羊 〈牧〉,2015-09-16
2444349,(esp of a cow) beastings,初乳,,初乳 〈牧〉,2015-09-16
2444350,(feed) trough,飼槽,,饲槽 〈牧〉,2015-09-16
2444351,（natural）silk,蠶絲,,蚕丝 〈牧〉,2015-09-16
2444352,(of a silkworm) molt to go through the chrysalis state,蠶眠(蛻皮前不吃不動的階段),,蚕眠  〈农〉,2015-09-16
2444353,"(of all the pigs, sheep, etc in a pen) to die of epidemic disease or for want of proper care",倒畜,,倒圈  〈畜〉,2015-09-16
2444354,(of livestock )to become thin,體態調整,,掉膘 〈牧〉,2015-09-16
2444355,(of livestock) lose weight,失重；減重,,落膘 〈牧〉→掉膘 ｌｕòｂｉāｏ〈牧〉〈农〉,2015-09-16
2444356,(of nomads) to settle down,定牧,,定牧 〈牧〉,2015-09-16
2444357,(of pigs/sheep) to be taken to the slaughterhouse,出欄,,出栏 〈牧〉,2015-09-16
2444358,(water) buffalo,水牛,,水牛,2015-09-16
2444359,a bee mite,蜂蟎,,蜂螨〈农〉,2015-09-16
2444360,a bruchid weevil,蠶豆象(豆象科),,蚕豆象 〈农〉,2015-09-16
2444361,a duckling,雛鴨,,鸭雏儿 →育[yù],2015-09-16
2444362,a female bee,雌蜂,,雌蜂 〈农〉,2015-09-16
2444363,a fledgling,雛鳥,,雏〈牧〉,2015-09-16
2444364,a hummingbird,蜂鳥,,蜂鸟〈农〉,2015-09-16
2444365,a livestock pen,畜欄,,畜栏,2015-09-16
2444366,a male pig,雄豬,,公猪 〈农〉,2015-09-16
2444367,a male sheep,公綿羊,,公羊 〈农〉,2015-09-16
2444368,a nestling,雛鳥,,雏〈牧〉,2015-09-16
2444369,a pig suffering from cysticercosis,豆豬；米豬（豬肉內絛蟲的囊狀幼蟲）,,豆猪=米猪〈牧〉〈畜〉,2015-09-16
2444370,a queen bee,蜂后,,雌蜂 〈农〉,2015-09-16
2444371,a ram,公綿羊,,公羊 〈农〉,2015-09-16
2444372,a silkworm cocoon,蠶繭,,蚕茧 〈牧〉〈农〉,2015-09-16
2444373,a worker bee,工蜂,,雌蜂 〈农〉,2015-09-16
2444374,a young animal,幼畜,,幼畜,2015-09-16
2444375,agrostology,草類植物學；草學,,牧草学 〈牧〉,2015-09-16
2444376,an animal disease prevention and treatment centre,動物疾病防治中心,,畜疫防治站 〈畜〉,2015-09-16
2444377,an epidemic disease of domestic animals,動物流行病,,畜疫〈畜〉,2015-09-16
2444378,anaplasmosis,邊蟲病,,边虫病〈兽医〉,2015-09-16
2444379,animal  agriculture,畜牧業,,畜牧业〈牧〉,2015-09-16
2444380,animal breeding,動物育種（學）；家畜育種（學）,,家畜繁育,2015-09-16
2444381,animal epidemic disease or epidemic,動物流行病,,兽疫〈牧〉,2015-09-16
2444382,animal farm,動物農場,,畜牧场 〈牧〉,2015-09-16
2444383,animal force,畜力,,畜力〈牧〉,2015-09-16
2444385,animal husbandry,畜牧業,,畜牧业〈牧〉,2015-09-16
2444386,animal improvement station,家畜改良站,,家畜改良站,2015-09-16
2444387,animal industry,畜產業,,畜牧业〈牧〉,2015-09-16
2444388,animal power,畜力,,畜力〈牧〉,2015-09-16
2444389,animal production,畜產,,畜牧〈牧〉,2015-09-16
2444390,animal science,動物科學,,畜牧学 〈牧〉,2015-09-16
2444391,animals and fowls,畜禽,,畜禽 〈牧〉,2015-09-16
2444392,animals in stock,在養畜,,存栏家畜,2015-09-16
2444393,antelope,羚羊,,羚羊,2015-09-16
2444394,anthrax,炭疽病；炭疽；脾脫疽,,炭疽 〈牧〉,2015-09-16
2444395,aphthous fever,口蹄疫,,口蹄疫〈牧〉,2015-09-16
2444396,aphthovirus,口蹄疫病毒,,口蹄疫病毒,2015-09-16
2444397,Apis mellifera,蜜蜂,,蜜蜂 〈牧〉,2015-09-16
2444398,apitheraoy,蜂針療法；蜂療法,,蜂疗〈牧〉,2015-09-16
2444399,Arab horse,阿拉伯馬,,阿拉伯马 〈牧〉,2015-09-16
2444400,Arabian horse,阿拉伯馬,,阿拉伯马 〈牧〉,2015-09-16
2444401,artificial breed,人工配種,,人工授精   〈牧〉,2015-09-16
2444402,artificial fertilization,人工受精,,人工授精   〈牧〉,2015-09-16
2444403,artificial insemination,人工授精,,人工授精   〈牧〉,2015-09-16
2444404,artificial service,人工配種,,人工授精   〈牧〉,2015-09-16
2444405,avian influenza,家禽流行性感冒；禽流感,,禽流感 〈牧〉,2015-09-16
2444406,avian influenza  virus,家禽流行性感冒病毒；禽流感病毒,,禽流感病毒,2015-09-16
2444407,backfat,背脂,,背膘 〈牧〉,2015-09-16
2444408,bamboo tray（ for raising silkworms）,竹製蠶箔,,蚕箔 = 蚕匾〈牧〉,2015-09-16
2444409,barn (of livestock),畜舍,,畜舍 〈牧〉,2015-09-16
2444410,become thin,變瘦,,落膘 〈牧〉→掉膘 ｌｕòｂｉāｏ〈牧〉〈农〉,2015-09-16
2444411,bee,蜜蜂,,蜂   →黄; 马 ②〈牧〉,2015-09-16
2444412,bee bread,蜂糧,,蜂粮〈牧〉,2015-09-16
2444413,bee dance,蜂舞,,蜂舞 〈牧〉,2015-09-16
2444414,bee glue,蜂膠,,蜂胶〈牧〉,2015-09-16
2444415,bee milk,蜂王乳,,蜂王浆 =蜂乳  王浆; 蜂王精;〈牧〉,2015-09-16
2444416,bee nest,蜂巢；蜂室；蜂窩,,蜂巢=蜂房〈牧〉,2015-09-16
2444417,beef cattle,肉（用）牛,,菜牛,2015-09-16
2444418,beehive,蜂巢；蜂室；蜂窩,,蜂巢=蜂房〈牧〉,2015-09-16
2444419,bees wax,蜂蠟,,蜂蜡〈牧〉,2015-09-16
2444420,beesting,蜂針,,蜂刺〈牧〉,2015-09-16
2444421,bellwether,領頭羊,,头羊,2015-09-16
2444422,billy goat,公山羊,,公山羊,2015-09-16
2444423,bird flu,家禽流行性感冒；禽流感,,禽流感 〈牧〉,2015-09-16
2444424,bird flu virus,家禽流行性感冒病毒；禽流感病毒,,禽流感病毒,2015-09-16
2444425,black finless porpoise,黑露脊鼠海豚,,江猪,2015-09-16
2444426,blackleg disease,黑腿病,,黑腿病 〈畜牧〉,2015-09-16
2444427,bloat,鼓脹,,瘤胃臌胀 〈兽医〉,2015-09-16
2444428,blue tongue,藍舌病,,蓝舌病 〈兽医〉,2015-09-16
2444429,boar,公豬,,公猪,2015-09-16
2444430,Bombyx mori,家蠶,,桑蚕,2015-09-16
2444431,bone dust,骨粉,,骨粉 〈农〉,2015-09-16
2444432,bone meal,骨粉,,骨粉 〈农〉,2015-09-16
2444433,Bos grunniens,犛牛,,牦牛 ﹦旄牛〈牧〉,2015-09-16
2444434,Bos indicus,印度牛；肩峰牛,,瘤牛 〈牧〉,2015-09-16
2444435,Bos taurus,歐洲牛,,黄牛〈牧〉,2015-09-16
2444436,bovine spongiform encephalopathy (BSE),牛隻海綿樣腦病變 (狂牛症),,疯牛病 〈牧〉→牛海绵状脑病 〈牧〉,2015-09-16
2444437,breeding,繁殖,,繁育  〈牧〉,2015-09-16
2444438,breeding system,育種制度,,繁育体系,2015-09-16
2444439,broiler,肉雞；童子雞,,肉仔鸡,2015-09-16
2444440,bronen muscarine,硬化病(由真菌引起；在台灣有黃僵病、白僵病、綠僵病、黑僵病),,蚕褐僵病 〈农〉,2015-09-16
2444441,Bubalus bubalis,亞洲水牛,,水牛 〈牧〉,2015-09-16
2444442,buck,公山羊；雄鹿；公兔,,公山羊,2015-09-16
2444443,buffalo cow,母水牛,,母水牛,2015-09-16
2444444,bull,公牛；公象,,公牛,2015-09-16
2444445,bull stag,閹牛,,犍牛 =阉牛〈牧〉,2015-09-16
2444446,bullfrog,牛蛙,,牛蛙 〈牧〉,2015-09-16
2444447,bullock,閹牛,,犍牛 =阉牛〈牧〉,2015-09-16
2444448,bunk,飼槽,,饲槽 〈牧〉,2015-09-16
2444449,burro,（家）驢；驢,,驴〈牧〉,2015-09-16
2444450,Cairina moschate,番鴨,,番鸭 〈牧〉,2015-09-16
2444451,calf,犢；小鹿,,犊牛,2015-09-16
2444452,calving,產犢,,产犊〈牧〉,2015-09-16
2444453,Capra hircus,山羊,,山羊〈牧〉,2015-09-16
2444454,carabao,水牛,,水牛 〈牧〉,2015-09-16
2444455,carabull,菲律賓公水牛,,公水牛,2015-09-16
2444456,caracalf,菲律賓犢水牛,,水牛犊,2015-09-16
2444457,caracow,菲律賓母水牛,,母水牛,2015-09-16
2444458,carastag,菲律賓閹水牛,,犍水牛,2015-09-16
2444459,carasteer,菲律賓閹水牛,,犍水牛,2015-09-16
2444460,carrying capacity (of a pasture),載牧力,,载畜量  “=载牧量”〈牧〉,2015-09-16
2444461,cashmere goat,喀什米爾山羊；罽賓山羊,,绒山羊,2015-09-16
2444462,cassowary,食火雞,,鹤鸵  =食火鸡〈农〉,2015-09-16
2444463,castor silkworm,蓖蔴蠶,,樗蚕=椿蚕〈牧〉,2015-09-16
2444464,Casuarius casuarius,食火雞,,鹤鸵  =食火鸡〈农〉,2015-09-16
2444465,cattle,牛,,黄牛,2015-09-16
2444466,cattle plague,牛瘟,,牛瘟 〈农〉,2015-09-16
2444467,cavy,兔豚鼠,,荷兰猪 =(popular term for 豚鼠)〈农〉,2015-09-16
2444468,chew the cud,反芻,,倒嚼 〈牧〉 =倒噍 (→反刍的俗称) 〈畜〉,2015-09-16
2444469,chick,小雞；雛雞,,雏鸡,2015-09-16
2444470,chicken,雞,,雏鸡,2015-09-16
2444471,chicken,雞,,鸡 jī〈牧〉﹦家鸡,2015-09-16
2444472,chicken farm,養雞場,,养鸡场,2015-09-16
2444473,chicken pest,雞瘟,,鸡瘟 〈牧〉,2015-09-16
2444474,chicken ranch,養雞場,,养鸡场,2015-09-16
2444475,chicken run,養雞場,,养鸡场,2015-09-16
2444476,chickling,小雞；雛雞,,雏鸡,2015-09-16
2444477,Chinese mulberry silkworm,家蠶,,桑蚕,2015-09-16
2444478,Chinese veterinary medicine,中獸醫學,,中兽医 〈牧〉,2015-09-16
2444479,coarse wool sheep,粗毛綿羊,,粗毛羊,2015-09-16
2444480,coarse wooled sheep,粗毛綿羊,,粗毛羊〈畜〉,2015-09-16
2444481,coat color of livestock,家畜毛色,,毛色〈牧〉,2015-09-16
2444482,cock,公雞,,公鸡 〈农〉,2015-09-16
2444483,cock fighting,鬥雞競賽,,斗鸡 〈牧〉,2015-09-16
2444484,cockfight game,鬥雞博弈,,斗鸡 〈牧〉,2015-09-16
2444485,cockscomb,雞冠,,鸡冠 〈牧〉﹦鸡冠子,2015-09-16
2444486,cocooning frame,蠶簇；簇器(有各種材質),,蚕蔟 〈牧〉,2015-09-16
2444487,collie,牧羊犬,,牧羊犬 〈牧〉,2015-09-16
2444488,colostral milk (first milk after parturition),初乳,,初乳 〈牧〉,2015-09-16
2444489,colostrum,初乳,,初乳 〈牧〉,2015-09-16
2444490,colostrum corpuscle,初乳小體,,初乳细胞,2015-09-16
2444491,colt,公駒；小公馬,,公驹,2015-09-16
2444492,colt,公駒；小公馬,,马驹,2015-09-16
2444493,comb,雞冠,,鸡冠 〈牧〉﹦鸡冠子,2015-09-16
2444494,comb honey,蜂巢蜂蜜,,巢蜜 〈牧〉,2015-09-16
2444495,commercial crossbreeding,商用雜交育種,,经济杂交 〈畜牧〉,2015-09-16
2444496,common quail,鵪鶉,,鹌鹑 〈牧〉,2015-09-16
2444497,concentrate,精料,,精料 〈牧〉,2015-09-16
2444498,concentrated feed,濃縮飼料,,精料 〈牧〉,2015-09-16
2444499,conception,受胎；受孕,,受胎  〈牧〉,2015-09-16
2444500,conception rate,受胎率；受孕率,,受胎率,2015-09-16
2444501,confinement rearing,圈飼,,集约饲养,2015-09-16
2444502,contagious bovine pleuropneumonia,牛接觸傳染性胸膜肺炎,,牛传染性脑膜肺炎 〈兽医〉,2015-09-16
2444503,contagious bovine typhus,牛瘟,,牛瘟 〈农〉,2015-09-16
2444504,coot,白冠雞；白骨頂,,骨顶鸡,2015-09-16
2444505,corral(of animal),柵欄,,畜圈 〈牧〉,2015-09-16
2444506,cottontail,棉尾兔,,棉尾兔   〈农〉,2015-09-16
2444507,cottontail rabbit,棉尾兔,,棉尾兔   〈农〉,2015-09-16
2444508,Coturnix  coturnix,鵪鶉,,鹌鹑 〈牧〉,2015-09-16
2444509,cow,母牛,,母牛,2015-09-16
2444510,cramming duck,填鴨,,填鸭〈牧〉,2015-09-16
2444511,cramming machine,填餵機,,填鸭〈牧〉,2015-09-16
2444512,cynthia silk moth,蓖蔴蠶,,樗蚕=椿蚕〈牧〉,2015-09-16
2444513,cysticercosis cellulosae,囊蟲症,,猪囊虫病 〈牧〉,2015-09-16
2444514,cysticercosis of swine,豬囊蟲症,,猪囊虫病 〈牧〉,2015-09-16
2444515,daily gain,日增重,,日增重 〈牧〉,2015-09-16
2444516,daily liveweight gain,日增重,,日增重 〈牧〉,2015-09-16
2444517,dairy,乳業,,奶业 〈牧〉,2015-09-16
2444518,dairy cattle,乳牛,,奶牛  =乳牛〈牧〉,2015-09-16
2444519,dairy cow,乳用母牛,,奶牛  =乳牛〈牧〉,2015-09-16
2444520,dairy ewe,乳用母綿羊,,奶羊,2015-09-16
2444521,dairy goat,乳用山羊,,奶羊,2015-09-16
2444522,dam,母畜,,母畜,2015-09-16
2444523,day-old chick,一日齡雛雞,,初生雏,2015-09-16
2444524,deliver lambs,分娩(出)羔羊,,接羔  〈畜牧〉,2015-09-16
2444525,derriengue,病毒性癱瘓,,牛病毒性瘫痪 〈兽医〉,2015-09-16
2444526,directive breeding,定向育種,,定向培育  〈农业〉,2015-09-16
2444527,doe,母山羊,,母山羊,2015-09-16
2444528,dolphin,海豚,,海猪,2015-09-16
2444529,domestic animal,家畜,,家畜〈牧〉,2015-09-16
2444530,domestic animal,家畜,,畜〈牧〉,2015-09-16
2444531,domestic ass,（家）驢；驢,,驴〈牧〉,2015-09-16
2444532,domestic bird fowl,家禽,,家禽 〈牧〉,2015-09-16
2444533,domestic fowl,家禽,,鸡 jī〈牧〉﹦家鸡,2015-09-16
2444534,donkey,（家）驢；驢,,驴〈牧〉,2015-09-16
2444535,donkey foal,小驢,,驴驹,2015-09-16
