ID,英文名稱,中文名稱,圖片,中國大陸譯名,更新日期
2458381,a bateau neck (of a garment),船型領,,船领,2015-09-16
2458382,a raglan sleeve,連肩袖；斜肩袖,,插肩袖,2015-09-16
2458383,academic costume,學位服,,学位服　,2015-09-16
2458384,accelerating agent,促染劑,,促染剂,2015-09-16
2458385,accelerator,促染劑,,促染剂,2015-09-16
2458386,accessory,配件,,辅料,2015-09-16
2458387,acrylic,聚丙烯腈系纖維；壓克力纖維,,腈纶,2015-09-16
2458388,agraffe,搭扣；搭鉤,,搭扣,2015-09-16
2458389,air-jet loom,噴氣式織機,,喷气织机　,2015-09-16
2458390,alpaca wool,駝羊毛,,羊驼毛　,2015-09-16
2458391,anti-crease,防皺,,防皱,2015-09-16
2458392,anti-dust wear,防塵衣,,防尘服,2015-09-16
2458393,anti-static,抗靜電,,防静电,2015-09-16
2458394,apparel,成衣,,服饰,2015-09-16
2458395,apron,圍裙；皮圈(紡織機械上的零件),,围裙　,2015-09-16
2458396,asbestos,石綿,,石棉纤维　,2015-09-16
2458397,attire,衣服；服裝,,衣服　,2015-09-16
2458398,attire  clothes,衣服；衣著,,衣裳　,2015-09-16
2458399,Australian wool,澳洲綿羊毛,,澳大利亚羊毛　,2015-09-16
2458400,back belt,背後腰帶,,背带　,2015-09-16
2458401,bamboo fibre,竹纖維,,竹纤维　,2015-09-16
2458402,bast fabric,韌皮織物,,麻织物,2015-09-16
2458403,bathing suit,游泳衣；浴衣,,游泳衣　,2015-09-16
2458404,batik dyeing,蠟染,,蜡染,2015-09-16
2458405,beach wear,海灘服,,海滩装,2015-09-16
2458406,beach wear,海灘服,,沙滩装　,2015-09-16
2458407,bedspread,床罩,,床罩,2015-09-16
2458408,binding,滾邊；粘著,,滚边,2015-09-16
2458409,bleaching,漂白,,漂白,2015-09-16
2458410,blend spinning,混合紡絲,,混纺,2015-09-16
2458411,bloomers,燈籠褲,,健身服,2015-09-16
2458412,body painting,人體彩繪,,人体彩绘　,2015-09-16
2458413,boiled-off silk,熟絲；精練蠶絲,,熟丝　,2015-09-16
2458414,bra,胸罩,,胸罩　,2015-09-16
2458415,brassiere,胸罩,,胸罩　,2015-09-16
2458416,breast pin,胸針,,胸针　,2015-09-16
2458417,briefs,緊身褲,,衬裤,2015-09-16
2458418,broadloom,寬幅織機,,宽幅,2015-09-16
2458419,brocade,錦緞,,锦缎,2015-09-16
2458420,brooch,胸針；飾針,,胸针　,2015-09-16
2458421,bubble sleeve,泡泡袖,,泡泡袖　,2015-09-16
2458422,bulked yarn,蓬鬆紗,,膨体纱　,2015-09-16
2458423,bullet proof clothing,防彈衣,,防弹衣　,2015-09-16
2458424,burnt-out fabrics,燒花織物,,烂花布,2015-09-16
2458425,button,鈕扣,,衣纽　,2015-09-16
2458426,calendaring,壓光,,轧光　,2015-09-16
2458427,camel wool,駝羊毛,,骆驼绒,2015-09-16
2458428,camouflage clothing,偽裝服；迷彩服,,迷彩服　,2015-09-16
2458429,cape,斗篷，披風,,披肩　,2015-09-16
2458430,carcoat,短大衣,,短大衣,2015-09-16
2458431,carding,分梳；梳理；梳棉工程,,梳理　,2015-09-16
2458432,cashmere,喀什米爾山羊毛,,山羊绒　,2015-09-16
2458433,cashmere sweater,喀什米爾山羊毛衫,,～衫　,2015-09-16
2458434,cavalry twill,厚馬褲呢,,马裤呢　,2015-09-16
2458435,cerecloth,蠟布,,蜡布,2015-09-16
2458436,check,格子組織,,格子,2015-09-16
2458437,Chef hat,廚師帽,,厨师帽,2015-09-16
2458438,chemical fibre,化學纖維,,化学纤维,2015-09-16
2458439,chiffon,雪紡紗綢,,薄绸,2015-09-16
2458440,chiffon,雪紡紗綢,,雪纺绸　,2015-09-16
2458441,China grass,苧麻,,苎麻　,2015-09-16
2458442,Chinese jacket,馬褂,,pants短衫,2015-09-16
2458443,choice materials,精選衣料,,～考究,2015-09-16
2458444,cloky effect yarn,泡泡紗,,泡泡纱　,2015-09-16
