ID,英文名稱,中文名稱,圖片,中國大陸譯名,更新日期
2440587,ability of anti-nuclear-radiation,抗核輻射能力,,抗核辐射能力,2015-09-16
2440588,absolute blackbody,絕對黑體,,绝对黑体,2015-09-16
2440589,active homing guidance,魚雷飛彈主動歸向導引,,主动寻的制导,2015-09-16
2440590,actuator,制動器,,舵机,2015-09-16
2440591,aero-optical effect,氣動光學效應,,气动光学效应,2015-09-16
2440592,aerospace plane,太空飛機,,空天飞机,2015-09-16
2440593,aerospace project,航太計畫,,航天型号,2015-09-16
2440594,aiming equipment on submarine,潛水艇上瞄準設備,,艇上瞄准设备,2015-09-16
2440595,aiming system,瞄準系統,,瞄准系统,2015-09-16
2440596,air bearing gyroscope,充氣軸承陀螺儀,,气浮陀螺仪,2015-09-16
2440597,Air Defense Initiative（ADI）,防空倡議,,防空计划,2015-09-16
2440598,airglow,氣輝,,气辉,2015-09-16
2440599,air-launched launch vehicle,空中發射載具,,空中发射运载火箭,2015-09-16
2440600,airlock,氣閘艙,,气闸舱,2015-09-16
2440601,altitude ignition,高空點火,,高空点火,2015-09-16
2440602,angular accelerometer,角加速計,,角加速度计,2015-09-16
2440603,anti-satellite technology,反衛星技術,,反卫星技术,2015-09-16
2440604,arcing discharge,電弧放電,,弧光放电,2015-09-16
2440605,argument of  perigee,近地點幅角,,近地点幅角,2015-09-16
2440606,artificial satellite,人造衛星,,人造地球卫星,2015-09-16
2440607,ascending phase,上升段,,上升段,2015-09-16
2440608,ascending/descending node,升/降交點,,升（降）交点,2015-09-16
2440609,astrodynamics,太空動力學,,航天动力学,2015-09-16
2440610,astronaut emergency protective equipment,太空人緊急防護設備,,航天员应急防护设备,2015-09-16
2440611,astronaut extravehicular activity (EVA),太空人艙外活動,,航天员舱外活动,2015-09-16
2440612,astronaut fatigue,太空人疲勞,,航天员疲劳,2015-09-16
2440613,astronaut health management,太空人健康管理,,航天员健康管理,2015-09-16
