ID,英文名稱,中文名稱,圖片,中國大陸譯名,更新日期
2440178,aviation,航空,,航空,2015-09-16
2440179,aerospace,航太;航空太空,,航空航天,2015-09-16
2440180,aeronautics,航空學,,航空学,2015-09-16
2440181,aeronautical technology,航空科技,,航空技术,2015-09-16
2440182,aeronautical engineering,航空工程,,航空工程,2015-09-16
2440183,aviation industry,航空產業；航空工業,,航空工业,2015-09-16
2440184,air law/aviation law,航空法,,航空法,2015-09-16
2440185,aviation  product,航空產品,,航空产品,2015-09-16
2440186,Civil Aviation law of People's Republic of China,中華人民共和國航空法,,中华人民共和国航空法,2015-09-16
2440187,aeronautical materials,航空材料,,航空材料,2015-09-16
2440188,aeronautical manufacturing,航空製造,,航空制造,2015-09-16
2440189,aeronautical process technology,航空工藝,,航空工艺,2015-09-16
2440190,airline,航空公司,,航空公司,2015-09-16
2440191,aviation exhibition,航空展覽會;航空博覽會,,航空展览会,2015-09-16
2440192,aviation museum,航空博物館,,航空博物馆,2015-09-16
2440193,aeroclub,航空俱樂部,,航空俱乐部,2015-09-16
2440194,aeronautical  education,航空教育,,航空教育,2015-09-16
2440195,International Civil Aviation Organization,國際民用航空組織；國際民航組織,,国际民用航空组织,2015-09-16
2440196,military aviation,軍事航空,,军事航空,2015-09-16
2440197,civil aviation,民用航空;民航,,民用航空,2015-09-16
2440198,general aviation,普通航空,,通用航空,2015-09-16
2440199,aerosport,航空運動,,航空运动,2015-09-16
2440200,aeromodel,航空模型,,航空模型,2015-09-16
2440201,aerial photograph,空中照相；空中攝影,,航空摄影,2015-09-16
2440202,aerial remote sensing technology,航空遙測技術,,航空遥感技术,2015-09-16
2440203,aerial reconnaissance,空中偵察,,航空侦察,2015-09-16
2440204,military airlift,軍事空運,,军事空运,2015-09-16
2440205,airborne landing,空降,,空降,2015-09-16
2440206,paradrop,傘投,,伞降,2015-09-16
2440207,airlanding,機降,,机降,2015-09-16
2440208,airdrop,空投,,空投,2015-09-16
2440209,air raid,空襲,,空袭,2015-09-16
2440210,air support,空中支援,,空中支援,2015-09-16
2440211,airborne early warning,空中預警,,空中预警,2015-09-16
2440212,airborne warning and control system aircraft,空中預警指揮機,,空中预警指挥机,2015-09-16
2440213,air maneuver,空中操練,,空中机动,2015-09-16
2440214,air rescue,空中搜救,,空中救援,2015-09-16
2440215,air-refuelling,空中加油,,空中加油,2015-09-16
2440216,air power,空中力量,,空中力量,2015-09-16
2440217,air defense,防空,,防空（空防）,2015-09-16
2440218,air force,空軍,,空军,2015-09-16
2440219,air defense forces,防空兵力,,防空兵,2015-09-16
2440220,air corps,航空部隊,,航空兵,2015-09-16
2440221,naval aviation,海軍航空,,海军航空兵,2015-09-16
2440222,army aviation,陸軍航空,,陆军航空兵,2015-09-16
2440223,airborne corps,空降部隊,,空降兵,2015-09-16
2440224,air weapon,空用武器,,航空武器装备,2015-09-16
2440225,mock-up,實體模型,,样机,2015-09-16
2440226,prototype,原型機,,原型机,2015-09-16
2440227,first flight,首次飛行,,首飞,2015-09-16
2440228,air transport,航空運輸,,航空运输,2015-09-16
2440229,aviation safety,航空安全,,航空安全,2015-09-16
2440230,flight accident,飛行失事,,飞行事故,2015-09-16
2440231,aviation supplies,航空補給,,航空器材,2015-09-16
2440232,airline operating license,航空公司營運許可證,,航线许可证,2015-09-16
2440233,flight frequency,航班班次；航班次數,,航班班次,2015-09-16
2440234,air transport capacity,航空運輸容量,,航空运力,2015-09-16
2440235,airworthiness,適航性；適航,,适航性,2015-09-16
2440236,airworthiness administration,適航管理,,适航管理,2015-09-16
2440237,airworthiness authoritiy,適航主管單位,,适航当局,2015-09-16
2440238,special flight permits,特許飛行證,,特许飞行证,2015-09-16
2440239,utility category airplanes,通用類飛機,,实用类飞机,2015-09-16
2440240,acrobatic category airplanes,特技類飛機,,科技类飞机,2015-09-16
2440241,commuter category airplanes,通勤類飛機,,通勤类飞机,2015-09-16
2440242,transport category airplanes,運輸類飛機,,运输类飞机,2015-09-16
2440243,Bilateral Airworthiness Agreement(BAA),雙邊適航協議,,双边适航协议,2015-09-16
2440244,Joint Aviation Requirements(JAR),［歐盟］聯合航空規範,,联合航空要求,2015-09-16
2440245,balloon,氣球,,气球,2015-09-16
2440246,airship,飛船；飛艇,,飞艇,2015-09-16
2440247,airplane,飛機,,飞机,2015-09-16
2440248,passenger aircraft,客機,,客机,2015-09-16
2440249,helicopter,直昇機,,直升机,2015-09-16
2440250,cargo aircraft,貨機,,货机,2015-09-16
2440251,trainer,教練機,,教练机,2015-09-16
2440252,unmanned aerial vehicle /UAV,無人航空載具,,无人机,2015-09-16
2440253,glider,滑翔機,,滑翔机,2015-09-16
2440254,ground-effect vehicle,地面效應載具,,地效飞行器,2015-09-16
2440255,aircraft nose section,機頭部分,,机头,2015-09-16
2440256,fuselage,機身,,机身,2015-09-16
2440257,pilot's cockpit,駕駛艙,,驾驶舱,2015-09-16
2440258,passenger cabin,客艙,,客舱,2015-09-16
2440259,cargo compartment,貨艙,,飞机货仓,2015-09-16
2440260,pressurized cabin,壓力艙,,增压座舱,2015-09-16
2440261,skin,蒙皮,,蒙皮,2015-09-16
2440262,fuel tank,油箱,,油箱,2015-09-16
2440263,entry door,機門,,登机门,2015-09-16
2440264,cabin window of airliner,客艙窗戶,,飞机舷窗,2015-09-16
2440265,emergency exit,緊急出口,,应急出口,2015-09-16
2440266,wing,機翼,,机翼,2015-09-16
2440267,landing gear/undercarriage,起落架,,起落架,2015-09-16
2440268,propeller,螺旋槳,,螺旋桨,2015-09-16
2440269,overall length,飛機長度,,机长,2015-09-16
2440270,overall height,飛機高度,,机高,2015-09-16
2440271,wing span,翼展,,翼展,2015-09-16
2440272,aspect ratio,展弦比,,机翼面积,2015-09-16
2440273,wing area,機翼面積,,展弦比,2015-09-16
2440274,ground angle,地面角,,停机角,2015-09-16
2440275,tail down angle,擦地角,,擦地角,2015-09-16
2440276,empty weight,空重,,空重,2015-09-16
2440277,take-off weight(TOW),起飛重量,,起飞重量,2015-09-16
2440278,landing weight,落地重量,,着陆重量,2015-09-16
2440279,maximum takeoff weight(MTOW),最大起飛重量,,最大起飞重量,2015-09-16
2440280,maximum design zero fuel weight(MZFW),最大設計無油重量；最大設計無燃料重量,,最大设计零油重量,2015-09-16
2440281,maximum store weight,最大外載重量,,最大外挂重量,2015-09-16
2440282,payload,酬載,,有效载重,2015-09-16
2440283,power loading,動力負載,,功率载荷,2015-09-16
2440284,maximum operational load factor,最大操作負載因數,,最大使用过载,2015-09-16
2440285,aircraft classification number(ACN),航空器分類號碼,,飞机等级数,2015-09-16
2440286,maximum level speed,最大平飛速度,,最大平飞速度,2015-09-16
2440287,minimum maneuver speed,最小操作速度,,最小机动速度,2015-09-16
2440288,ceiling,升限；雲幕高,,升限,2015-09-16
2440289,take-off distance,起飛距離,,起飞距离,2015-09-16
2440290,lift-off speed,離地速度,,起飞离地速度,2015-09-16
2440291,horizontal deceleration time,水平減速時間,,平飞减速时间,2015-09-16
2440292,minimum turn radius,最小轉彎半徑,,最小盘旋半径,2015-09-16
2440293,approach speed,進場速度,,进场速度,2015-09-16
2440294,landing distance on runway,跑道落地距離；跑道著陸距離,,着陆滑跑距离,2015-09-16
2440295,touch down speed,落地速度；著陸速度,,着陆接地速度,2015-09-16
2440296,landing distance,落地距離；著陸距離,,着陆距离,2015-09-16
2440297,landing length,落地長度；著陸長度,,着陆场长,2015-09-16
2440299,endurance,續航力；續航時間,,续航时间,2015-09-16
2440300,vortex,渦流,,漩涡,2015-09-16
2440301,wind tunnel,風洞,,风洞,2015-09-16
2440302,wind tunnel test,風洞試驗,,风洞试验,2015-09-16
2440303,airfoil/wing section,翼剖面；翼切面,,翼型,2015-09-16
2440304,angle of attack,攻角；衝角,,迎角,2015-09-16
2440305,flight qualities,飛行品質,,飞行品质,2015-09-16
2440306,flight performance,飛行性能,,飞行性能,2015-09-16
2440307,flight dynamics,飛行［動］力學,,飞行力学,2015-09-16
2440308,flight profile,飛行剖面圖,,飞行剖面,2015-09-16
2440309,drag,阻力,,阻力,2015-09-16
2440310,friction drag,摩擦阻力,,摩擦阻力,2015-09-16
2440311,angle of sideslip,側滑角,,侧滑角,2015-09-16
2440312,yaw angle,偏航角,,偏航角,2015-09-16
2440313,pitch angle,螺距角;俯仰角,,俯仰角,2015-09-16
2440314,roll angle/bank angle,滾轉角；傾斜角,,滚转角,2015-09-16
2440315,angle of climb,爬升角,,爬升角,2015-09-16
2440316,pressure center,壓力中心,,压力中心,2015-09-16
2440317,aerodynamic center,空氣動力中心；氣動力中心,,气动力中心,2015-09-16
2440318,controllability of aircraft,航空器（飛機）操縱性,,飞行器操纵性,2015-09-16
2440319,aircraft stability,航空器（飛機）穩定性,,飞机稳定性,2015-09-16
2440320,hovering,滯空,,悬停,2015-09-16
2440321,flight safety structure,飛行安全結構,,飞行安全结构,2015-09-16
2440322,aeronautic acoustics,航空聲學,,航空声学,2015-09-16
2440323,aircraft noise,航空器（飛機）噪音,,飞行器噪声,2015-09-16
2440324,flight mission profile,飛行任務剖面,,飞行任务剖面,2015-09-16
2440325,load,負載,,载荷,2015-09-16
2440326,Runway roughness,跑道粗糙度,,跑道粗糙度,2015-09-16
2440327,aircraft propulsion system,航空器（飛機）推進系統,,航空推进系统,2015-09-16
2440328,aircraft powerplant,航空器（飛機）發動機,,航空器动力装置,2015-09-16
2440329,aero-engine/aircraft engine,航空器（飛機）引擎；航空器（飛機）發動機,,航空发动机,2015-09-16
2440330,turboshaft engine,渦輪軸發動機,,涡轮轴发动机,2015-09-16
2440331,aircraft electrical system,航空器（飛機）電力系統,,飞机电气系统,2015-09-16
2440332,aircraft electrical power system,航空器（飛機）供電系統,,飞机供电系统,2015-09-16
2440333,aircraft electrical power generating system,航空器（飛機）電源系統,,飞机电源系统,2015-09-16
2440334,aircraft lighting system,航空器（飛機）照明系統,,飞机照明系统,2015-09-16
2440335,pneumatic system of aircraft,航空器（飛機）氣動系統,,飞机气压系统,2015-09-16
2440336,deploying speed of drag parachute,阻力傘展開速度,,放伞速度,2015-09-16
2440337,aircraft fuel,航空器（飛機）燃料,,航空燃油,2015-09-16
2440338,gravity refuelling,重力加油,,重力加油,2015-09-16
2440339,pressure refuelling,壓力加油,,压力加油,2015-09-16
2440340,in-flight fuel jettison,空中放油,,空中应急放油,2015-09-16
2440341,altitude correction,高度修正,,姿态修正,2015-09-16
2440342,density altitude,密度修正,,密度修正,2015-09-16
2440343,in-flight refuelling system,空中加油系統,,空中加油系统,2015-09-16
2440344,in-flight refuelling system of receiver aircraft,航空器空中加油系統,,空中受油系统,2015-09-16
2440345,flight control system,飛行操控系統,,飞行控制系统,2015-09-16
2440346,attitude hold,姿態保持,,姿态保持,2015-09-16
2440347,heading hold,航向保持,,航向保持,2015-09-16
2440348,altitude hold,高度保持,,高度保持,2015-09-16
2440349,trajectory control,航跡保持,,轨迹保持,2015-09-16
2440350,multi-mode control,多功能（模式）控制,,多模态控制,2015-09-16
2440351,airplane balance speed,飛機平衡速度,,飞机平衡速度,2015-09-16
2440352,pilot-in-the-loop,自動駕駛迴路{加拿大國家研究院（NRC）},,人机闭环,2015-09-16
2440353,flight boundary limit,飛行邊際限制；飛行邊界限制,,飞行边界限制,2015-09-16
2440354,flight management system,飛行管理系統,,飞行管理系统,2015-09-16
2440355,aircraft instrument,航空器儀表,,航空仪表,2015-09-16
2440356,parameters of flight status,飛航參數,,飞行状态参数,2015-09-16
2440357,flight instrument,飛行儀表,,飞行仪表,2015-09-16
2440358,navigation instrument,導航儀表；助航儀表,,导航仪表,2015-09-16
2440359,radio altimeter,無線電高度表,,无线电高度表,2015-09-16
2440360,airspeed indicator and mach meter,空速表與馬赫表,,空速表与马赫数表,2015-09-16
2440361,servo instrument,伺服儀表,,伺服仪表,2015-09-16
2440362,rate of climb indicator,升降速率表,,升降速度表,2015-09-16
2440363,gyro horizon,陀螺狀態儀,,陀螺地平仪,2015-09-16
2440364,attitude director indicator(ADI),狀態儀；姿態指示儀,,指引地平仪,2015-09-16
2440365,flight director system,飛航指引系統,,飞行指引系统,2015-09-16
