ID,英文名稱,中文名稱,圖片,中國大陸譯名,更新日期
2453348,See abnormal end,異常終止,,反常结束,2015-09-16
2453349,abort,打斷；放棄；異常中止；中斷；故障(測試；發射)；飛行故障；空中損壞,,夭折【动】,2015-09-16
2453350,accelerator,加速器,,加速器,2015-09-16
2453351,access,存取；進接；讀取；進出；擷取；,,访问,2015-09-16
2453352,access path,存取路徑,,访问路径,2015-09-16
2453353,access right,存取權；使用權限,,访问权,2015-09-16
2453354,accountability,可歸責性,,可核查性,2015-09-16
2453355,accumulator,存儲器；累加器；蓄電池；儲能電路,,累加器,2015-09-16
2453356,acknowledgment,應答,,确认,2015-09-16
2453357,adapter; adaptor,adapter 接頭；配接器；轉接器；接合器。adaptor 配接器,,适配器,2015-09-16
2453358,address,位址；地址,,地址,2015-09-16
2453359,addressing,尋址；選址；定址,,寻址,2015-09-16
2453360,affirmation,收信確認,,认定,2015-09-16
2453361,agent,代理者,,代理,2015-09-16
2453362,alarm,警報信號；警鈴；警報機,,报警,2015-09-16
2453363,algorithm,演算法(一套規則；方法),,算法,2015-09-16
2453364,alignment,調正；對齊；對準；；排列成行；軸線平行性,,对齐,2015-09-16
2453365,allocation,分配；配置；指派；配置算法,,分配,2015-09-16
2453366,alphabet,字符,,字母表,2015-09-16
2453367,alphanumeric,文數,,字母数字的【形】,2015-09-16
2453368,analog data,類比資料,,模拟数据,2015-09-16
2453369,analog-to-digital converter (ADC),類比-數位轉換器,,模数转换器,2015-09-16
2453370,AND gate,及閘,,“与”门,2015-09-16
2453371,animation,動畫,,动画,2015-09-16
2453372,application software,應用軟體,,应用软件,2015-09-16
2453373,arbitration,仲裁,,仲裁,2015-09-16
2453374,architecture,架構；結構,,体系结构,2015-09-16
2453375,arithmetic and logic unit,算術與邏輯單元,,运算器,2015-09-16
2453376,arithmetic operator,算術運算子,,算术运算符,2015-09-16
2453377,address resolution protocol，ARP,位址解析協定,,地址解析协议,2015-09-16
2453378,array,陣列,,数组,2015-09-16
2453379,artificial intelligence (AI),人工智慧,,人工智能,2015-09-16
2453380,ASCII character set,美國資訊交換標準碼字元集,,ASCII 字符集,2015-09-16
2453381,assembler,組合程式；組譯器,,汇编器,2015-09-16
2453382,assignment,指定；賦值,,赋值,2015-09-16
2453383,asynchronous,異步；非同步；異步的；非同步的,,异步的【形】,2015-09-16
2453384,attribute,屬性；特徵,,属性,2015-09-16
2453385,audio compression,聲頻壓縮,,音频压缩,2015-09-16
2453386,audit,審計；稽核；查帳,,审核,2015-09-16
2453387,authentication,鑑別；鑑定；鑑認；驗證；認證,,鉴别,2015-09-16
2453388,automated information system (AIS),自動化資訊系統,,自动化信息系统,2015-09-16
2453389,automated office,自動化辦公室,,自动化办公室,2015-09-16
2453390,automated teller machine,自動櫃員機,,自动柜员机,2015-09-16
2453391,automatic patching,自動修補系統,,自动修补,2015-09-16
2453392,auxiliary storage,輔助儲存器；輔助記憶體,,辅助存储器,2015-09-16
2453393,availability,可用性,,可用性,2015-09-16
2453394,background,後台；背景；底色,,背景,2015-09-16
2453395,background,後台；背景；底色,,后台,2015-09-16
2453396,backup,後備；備用；備份；備製,,后备,2015-09-16
2453397,backward recovery,反向恢復,,反向恢复,2015-09-16
2453398,bacterium,細菌,,细菌[程序],2015-09-16
2453399,banner,標題,,横幅,2015-09-16
2453400,bar code,條碼,,条码,2015-09-16
2453401,baseline,基線,,基线,2015-09-16
2453402,batch processing,批次處理；整批處理；程序組處理；成批處理,,批处理,2015-09-16
2453403,beacon,信標,,信标,2015-09-16
2453404,before image,前影像,,前像,2015-09-16
2453405,benchmark,基準；系統測試規範,,基准测试,2015-09-16
2453406,benign environment,良性病毒環境,,良性环境,2015-09-16
2453407,beta test,貝他測試,,β测试,2015-09-16
2453408,bias,偏差；偏移；偏壓,,偏移,2015-09-16
2453409,big endian,大端式,,大端式的【形】,2015-09-16
2453410,binary,二進制；二元,,二进制,2015-09-16
2453411,bind,連結；結合,,绑定【动】,2015-09-16
2453412,biometric,生物特徵量測學,,生物测定的【形】,2015-09-16
2453413,bipolar,雙極；雙極性,,双极[性]的【形】,2015-09-16
2453414,bistable,雙穩的,,双稳[态]的【形】,2015-09-16
2453415,bit,位元；比,,[二进制]位,2015-09-16
2453416,bit string,位元串,,位串,2015-09-16
2453417,bitmap,位元映像,,位图,2015-09-16
2453418,black box testing,黑箱測試,,黑盒测试,2015-09-16
2453419,blink,閃爍；閃視,,闪烁【动】,2015-09-16
2453420,block,塊；段；資料段；成塊；區塊；阻擋,,阻塞【动】,2015-09-16
2453421,block,塊；段；資料段；成塊；區塊；阻擋,,块,2015-09-16
2453422,block diagram,方塊圖,,框图,2015-09-16
2453423,board,板；接線板；交換台(電話),,板,2015-09-16
2453424,board computer,板電腦,,单板计算机,2015-09-16
2453425,bomb,炸彈,,炸弹,2015-09-16
2453426,bombing,病毒惡意轟炸,,轰炸,2015-09-16
2453427,Boolean,布林運算,,布尔的【形】,2015-09-16
2453428,Boolean operation,布林運算,,布尔运算,2015-09-16
2453429,boot,引導；啟動,,引导【动】,2015-09-16
2453430,bootstrap,自舉；自我啟動；啟動程式,,自展程序,2015-09-16
2453431,border,邊界,,边框,2015-09-16
2453432,bot,執行重複功能程式,,[网上]机器人,2015-09-16
2453433,bottom-up,由下而上,,自底向上的【形】,2015-09-16
2453434,bounding box,定界框,,限界框,2015-09-16
2453435,branch,分支；轉移；；分路；支路；分局；支局,,分支,2015-09-16
2453436,breach,破壞；違反,,攻破,2015-09-16
2453437,break,破裂；中斷；斷線；斷路；截斷,,停歇,2015-09-16
2453438,breakpoint,分界點；斷點；暫停點,,断点,2015-09-16
2453439,browse,瀏覽,,浏览【动】,2015-09-16
2453440,brute-force attack,蠻力攻擊；蠻攻,,蛮干攻击,2015-09-16
2453441,buffer,緩衝；緩衝器；緩衝區,,缓冲器,2015-09-16
2453442,bug,錯誤,,隐错,2015-09-16
2453443,built-in,內建,,内置的【形】,2015-09-16
2453444,bulletin board,佈告欄,,公告板,2015-09-16
2453445,bulletin board system (BBS),電子佈告欄系統,,公告板系统,2015-09-16
2453446,bus,匯流排,,总线,2015-09-16
2453447,bypass,旁路；跳過；略過,,旁路,2015-09-16
2453448,byte,位元組；拜,,字节,2015-09-16
2453449,cache,高速緩衝記憶體；快取,,高速缓存,2015-09-16
2453450,calculator,計算器,,计算器,2015-09-16
2453451,calendar program,行事曆程式,,日历程序,2015-09-16
2453452,call,呼叫；撥叫；召用,,调用,2015-09-16
2453453,callback,回撥；回叫；回呼,,回叫,2015-09-16
2453454,CAM,凸輪、電腦輔助製造,,计算机辅助制造,2015-09-16
2453455,campus wide information system,校園資訊系統,,校园信息系统,2015-09-16
2453456,capture,擷取,,捕获【动】,2015-09-16
2453457,card,卡；板,,卡,2015-09-16
2453458,card cage,卡片機架,,插件箱,2015-09-16
2453459,cardinal number,基數,,基数,2015-09-16
2453460,carriage return,輸送筒轉回；回車,,回车,2015-09-16
2453461,carry,進位,,进位【动】,2015-09-16
2453462,case sensitivity,大小寫敏感,,大小写敏感,2015-09-16
2453463,cell,細胞(行動通訊系統中的一個服務區),,表元,2015-09-16
2453464,cell,細胞(行動通訊系統中的一個服務區),,单元,2015-09-16
2453465,cell,細胞(行動通訊系統中的一個服務區),,小区,2015-09-16
2453466,certificate,憑證,,证书,2015-09-16
2453467,certification,認證,,认证,2015-09-16
2453468,chaining,鍊接；鏈結,,链接,2015-09-16
2453469,change file,變更檔案,,变更文件,2015-09-16
2453470,channel,通道,,通道,2015-09-16
2453471,character,字符；字元,,字符,2015-09-16
2453472,character display device,字元顯示裝置,,字符显示器,2015-09-16
2453473,character generator,字元產生器,,字符生成器,2015-09-16
2453474,character printer,字元列印機,,字符打印机,2015-09-16
2453475,character set,字元集,,字符集,2015-09-16
