ID,英文名稱,中文名稱,圖片,中國大陸譯名,更新日期
2446553,accessory; fashion accessory,飾品,,饰品,2015-09-16
2446554,air conditioner; air conditioning machinery,冷氣機；空氣調節機,,空调机,2015-09-16
2446555,air cooler; cold air machine,冷風機,,冷风机,2015-09-16
2446556,air freshener,空氣清新劑,,空气清新剂,2015-09-16
2446557,airbrush; aerograph,噴筆；噴槍,,喷笔,2015-09-16
2446558,alarm clock,鬧鐘,,闹钟,2015-09-16
2446559,alphabet recognition board; alphabet learning board,識字板,,识字板,2015-09-16
2446560,anklet; ankle bracelet,腳鍊,,脚链,2015-09-16
2446561,antidandruff shampoo,抗屑洗髮精,,去屑香波,2015-09-16
2446562,anti-freckle cream; anti-speckle cream,去斑霜,,祛斑霜,2015-09-16
2446563,antiperspirant,止汗劑,,止汗剂,2015-09-16
2446564,armoire; wardrobe,衣櫃,,衣柜,2015-09-16
2446565,assorted file set; assorted files,什錦銼刀,,什锦锉刀,2015-09-16
2446566,back cushion,靠墊；墊子,,靠垫,2015-09-16
2446567,balloon,氣球,,气球,2015-09-16
2446568,ballpoint pen,原子筆,,圆珠笔,2015-09-16
2446569,bamboo fan,竹扇,,竹扇,2015-09-16
2446570,bamboo mat,竹蓆,,竹席,2015-09-16
2446571,Barbie,芭比娃娃,,芭比娃娃,2015-09-16
2446572,bath salts,浴鹽,,浴盐=浴晶,2015-09-16
2446573,battery charger,充電器,,充电器,2015-09-16
2446574,bicycle; bike,腳踏車；自行車,,自行车,2015-09-16
2446575,black pottery,黑陶,,黑陶,2015-09-16
2446576,blow dryer; hair dryer,吹風機,,吹风机,2015-09-16
2446577,blue and white porcelain,青花瓷,,清花瓷,2015-09-16
2446578,blush; rouge,腮紅,,腮红,2015-09-16
2446579,body gel; shower gel,沐浴乳,,沐浴露,2015-09-16
2446580,bookcase,書櫃,,书柜,2015-09-16
2446581,bottle opener,開瓶器,,开瓶器,2015-09-16
2446582,bowl,碗,,碗,2015-09-16
2446583,box cutter; utility knife,美工刀,,美工刀,2015-09-16
2446584,bracelet,手鐲,,手镯,2015-09-16
2446585,brick caving,磚雕,,砖雕,2015-09-16
2446586,brooch,胸針；別針,,胸针,2015-09-16
2446587,brush washer,筆洗,,笔洗,2015-09-16
2446588,building blocks; building bricks; toy blocks,積木,,积木,2015-09-16
2446589,business card holder,名片簿,,名片册,2015-09-16
2446590,button cell,水銀電池,,纽扣电池,2015-09-16
2446591,cable lock; bicycle lock; wire lock,鋼絲鎖,,钢丝锁,2015-09-16
2446592,camel hair quilt,駝絨被,,驼绒被,2015-09-16
2446593,carpet; rug,地毯,,地毯,2015-09-16
2446594,carton box; carton,紙盒；紙箱,,纸盒,2015-09-16
2446595,cell; battery,電池,,电池,2015-09-16
2446596,ceramic glaze; porcelain glaze,瓷釉,,瓷釉,2015-09-16
2446597,ceramic; porcelain; chinaware,瓷器,,瓷器,2015-09-16
2446598,ceramics,陶藝,,陶艺,2015-09-16
2446599,ceramics; pottery and porcelain,陶瓷,,陶瓷,2015-09-16
2446600,chain bracelet,手鍊,,手链,2015-09-16
2446601,chair,椅子,,椅子,2015-09-16
2446602,chalk,粉筆,,粉笔,2015-09-16
2446603,children’s toys,兒童玩具,,儿童玩具,2015-09-16
2446604,Chinese checkers,跳棋,,跳棋,2015-09-16
2446605,Chinese chess,象棋,,象棋,2015-09-16
2446606,Chinese knot; Chinese knotting,中國結,,中国结,2015-09-16
2446607,Chinese yoyo; diabolo,扯鈴,,空竹,2015-09-16
2446608,chopsticks,筷子,,筷子,2015-09-16
2446609,Christmas candle,聖誕蠟燭,,圣诞烛,2015-09-16
2446610,Christmas card,聖誕卡,,圣诞卡,2015-09-16
2446611,Christmas hat,聖誕帽,,圣诞帽,2015-09-16
2446612,Christmas lights,聖誕燈,,圣诞灯,2015-09-16
2446613,Christmas stocking,聖誕襪,,圣诞袜,2015-09-16
2446614,Christmas tree,聖誕樹,,圣诞树,2015-09-16
2446615,clay figurine,泥人,,泥人,2015-09-16
2446616,clay sculpture,泥塑,,泥塑,2015-09-16
2446617,clipper; hair clipper,理髮剪；推剪,,推剪,2015-09-16
2446618,clock,時鐘,,时钟,2015-09-16
2446619,cloisonné,景泰藍,,景泰蓝,2015-09-16
2446620,coaster,杯墊,,杯垫,2015-09-16
2446621,coffee machine,咖啡機,,咖啡机,2015-09-16
2446622,coffee maker,電咖啡壺,,电咖啡壶,2015-09-16
2446623,coffee pot,咖啡壺,,咖啡壶,2015-09-16
2446624,collection,收藏品；收藏,,收藏品,2015-09-16
2446625,coloured drawing; colour decoration,彩繪,,彩绘,2015-09-16
2446626,combination lock,密碼鎖,,密码锁,2015-09-16
2446627,compass,圓規,,圆规,2015-09-16
2446628,computer desk,電腦桌,,电脑桌,2015-09-16
2446629,conditioning shampoo,洗髮潤絲精,,调理香波,2015-09-16
2446630,copper carving,銅雕,,铜雕,2015-09-16
2446631,crayon,蠟筆,,蜡笔,2015-09-16
2446632,cross-stitch,十字繡,,十字绣,2015-09-16
2446633,crystal ball,水晶球,,水晶球,2015-09-16
2446634,crystal glassware,水晶杯,,水晶杯,2015-09-16
2446635,cubbyhole,文件架,,文件架,2015-09-16
2446636,cupboard,廚櫃,,厨柜,2015-09-16
2446637,cupboard; cabinet,櫃子,,柜子,2015-09-16
2446638,curtain,窗簾,,窗帘,2015-09-16
2446639,curve saw; jig saw,曲線鋸；電動線鋸機,,曲线锯,2015-09-16
2446640,curved plate; French curve,曲線板；雲形尺,,曲线板,2015-09-16
2446641,cylinder lock,喇叭鎖,,把手锁,2015-09-16
2446642,deodorant,除臭劑,,除臭剂,2015-09-16
2446643,depilatory,除毛劑；脫毛劑,,脱毛剂,2015-09-16
2446644,desk,辦公桌,,办公桌,2015-09-16
2446645,desk; table,桌子,,桌子,2015-09-16
2446646,detergent,清潔劑；洗滌劑,,洗涤剂,2015-09-16
2446647,digital electronic lock,電子鎖,,电子锁,2015-09-16
2446648,digital pet; virtual pet; artificial pet,電子寵物,,电子宠物,2015-09-16
2446649,digital watch,電子錶,,电子表,2015-09-16
2446650,dining table; dinner table,餐桌,,餐桌,2015-09-16
2446651,disinfection cupboard,消毒櫃,,消毒柜,2015-09-16
2446652,doll,洋娃娃,,洋娃娃,2015-09-16
2446653,doorbell,門鈴,,门铃,2015-09-16
2446654,double bed,雙人床,,双人床,2015-09-16
2446655,dough figurine,捏麵人,,面人儿,2015-09-16
2446656,dough modelling,麵塑,,面塑,2015-09-16
2446657,down pillow,羽絨枕,,羽绒枕,2015-09-16
2446658,down quilt,羽絨被,,羽绒被,2015-09-16
2446659,drawing board; sketch board,製圖板；繪圖板,,画板,2015-09-16
2446660,dresser; dressing table,梳妝台；化妝台,,梳妆台,2015-09-16
2446661,drinking fountain,飲水機,,饮水机,2015-09-16
2446662,drive-by-wire toys,線控玩具,,线控玩具,2015-09-16
2446663,earring,耳環；耳飾,,耳环=耳饰,2015-09-16
2446664,electric baking pan,電烤盤,,电饼铛=电煎盘,2015-09-16
2446665,electric battery,蓄電池；電瓶,,蓄电池,2015-09-16
2446666,electric bicycle,電動自行車；電動腳踏車,,电动自行车,2015-09-16
2446667,electric blanket,電毯,,电热毯,2015-09-16
2446668,electric chafing dish,電火鍋,,电火锅,2015-09-16
2446669,electric cooker,電鍋,,电饭煲=电饭锅,2015-09-16
2446670,electric cup,電熱杯,,电热杯,2015-09-16
2446671,electric curly hair,電捲髮器,,电卷发器,2015-09-16
2446672,electric fan,電風扇；電扇,,电风扇,2015-09-16
2446673,electric fryer,電炸鍋,,电煎锅,2015-09-16
2446674,electric frying pan,電煎鍋；電平底鍋,,电炒锅,2015-09-16
2446675,electric hair clipper,電理髮剪；電推剪,,电推剪,2015-09-16
2446676,electric hair curler,電燙髮罩,,电热烫发罩,2015-09-16
2446677,electric hammer,電鎚,,电锤,2015-09-16
2446678,electric heater,電暖器；電熱器,,电暖器,2015-09-16
2446679,electric impact drill,衝擊電鑽,,冲击电钻,2015-09-16
2446680,electric iron,電熨斗,,电熨斗,2015-09-16
2446681,electric massage chair,電動按摩椅,,电动按摩椅,2015-09-16
2446682,electric massager,電動按摩器,,电动按摩器,2015-09-16
2446683,electric meat grinder,電動絞肉機,,电动绞肉机,2015-09-16
2446684,electric mosquito killer,電滅蚊器,,电灭蚊器,2015-09-16
2446685,electric screwdriver；electric turnscrew,電動起子,,电动螺丝刀,2015-09-16
2446686,electric sewing machine,電動縫紉機,,电动缝纫机,2015-09-16
2446687,electric shaver; shaver,電動刮鬍刀,,电动剃须刀=电须刀,2015-09-16
2446688,electric toys,電動玩具,,电动玩具,2015-09-16
2446689,electric water heater,電熱水器,,电热水器,2015-09-16
2446690,electric wrench,電動扳手,,电动扳手,2015-09-16
2446691,electrician's pliers; linemen's pliers,電工鉗,,电工钳,2015-09-16
2446692,electrothermal furnace,電熱爐,,电热炉,2015-09-16
2446693,enamel,搪瓷；琺瑯,,搪瓷,2015-09-16
2446694,enamel bathtub,搪瓷浴缸,,搪瓷浴缸,2015-09-16
2446695,enamel paint; enamel lacquer,瓷漆,,瓷漆,2015-09-16
2446696,enamel pan,搪瓷鍋；琺瑯鍋,,搪瓷锅,2015-09-16
2446697,enamel plate; enamel dish; enamel tray,搪瓷盤；琺瑯盤,,搪瓷盘,2015-09-16
2446698,enamel remover,去光水,,清除剂,2015-09-16
2446699,engraving,刻印,,刻印,2015-09-16
2446700,eye cream; eye gel,眼霜,,眼霜,2015-09-16
2446701,eyeliner,眼線筆,,眼线笔,2015-09-16
2446702,fabric softener,柔軟精,,柔顺剂,2015-09-16
2446703,facial cleanser,洗面乳,,洗面奶,2015-09-16
2446704,facial mask,面膜,,面膜,2015-09-16
2446705,famille-rose porcelain,粉彩瓷,,粉彩瓷,2015-09-16
2446706,feather picture; feather patchwork,羽毛畫,,羽毛画,2015-09-16
2446707,fingerprint lock,指紋鎖,,指纹锁,2015-09-16
2446708,flat-nose pliers; flat tongs,平口鉗,,平口钳,2015-09-16
2446709,flower vase,花瓶,,花瓶,2015-09-16
2446710,flowerpot,花盆,,花盆,2015-09-16
2446711,fluorescent highlighter; fluorescent marker,螢光筆,,荧光笔,2015-09-16
2446712,folder,文件夾；資料夾；檔案夾,,文件夹,2015-09-16
2446713,folding fan,摺扇,,折扇,2015-09-16
2446714,fork,叉子,,餐叉,2015-09-16
2446715,foundation make-up; foundation cream,粉底霜,,粉底霜,2015-09-16
2446716,freestanding sculpture; sculpture in a round,圓雕,,圆雕,2015-09-16
2446717,furniture; furnishings,家俱,,家具,2015-09-16
2446718,gas stove,瓦斯爐,,燃气灶,2015-09-16
2446719,gas water heater,瓦斯熱水器,,燃气热水器,2015-09-16
2446720,gift; present,禮品,,礼品,2015-09-16
2446721,glass flower,玻璃花,,玻璃花,2015-09-16
2446722,glass sphere,玻璃球,,玻璃球,2015-09-16
2446723,go; go game,圍棋,,围棋,2015-09-16
2446724,gold pen; gold fountain pen,金筆,,金笔,2015-09-16
2446725,gouache; guache,水粉筆；水彩筆,,水粉笔,2015-09-16
2446726,group sculpture,群雕,,群雕,2015-09-16
