ID,英文名稱,中文名稱,圖片,中國大陸譯名,更新日期
2459540,(Amorphophalms) konjac,蒟蒻；魔芋,,蒟蒻,2015-09-16
2459541,［common］ beet  ,甜菜; 根菾菜,,菾菜,2015-09-16
2459542,［common］ beet  ,甜菜; 根菾菜,,甜菜,2015-09-16
2459544,［common]olive,(西)洋橄欖,,油橄榄,2015-09-16
2459545,［pepper］mint,薄荷,,薄荷,2015-09-16
2459546,abomasum ,皺胃,,皱胃,2015-09-16
2459547,absolute humidity ,絕對濕度,,绝对湿度,2015-09-16
2459548,Abutilon theophrasti Medic.,苘麻,,苘麻,2015-09-16
2459549,accumulated temperature ,積溫,,积温,2015-09-16
2459550,Achnatherum splendens,芨芨草,,芨芨草,2015-09-16
2459551,Actinidia chinensis,奇異果；獼猴桃,,猕猴桃,2015-09-16
2459552,Actinidia sinensis,獼猴桃,,猕猴桃,2015-09-16
2459553,actinomycetes ,放線菌,,放线菌,2015-09-16
2459554,activated carbon,活性碳,,活性炭,2015-09-16
2459555,active carbon  ,活性碳,,活性炭,2015-09-16
2459556,Aesculus chinensis Bge.,七葉樹,,七叶树,2015-09-16
2459557,Aesculus chinensis Bge.,七葉樹,,七叶树,2015-09-16
2459558,afforestation,荒地造林;造林,,绿化,2015-09-16
2459559,agar,洋菜膠；瓊脂；洋菜,,石花菜,2015-09-16
2459560,agaric,木耳,,木耳,2015-09-16
2459561,agave,龍舌蘭,,龙舌兰,2015-09-16
2459562,Agave americana L.,龍舌蘭,,龙舌兰,2015-09-16
2459563,Agave sisalana Perrine,瓊麻,,剑麻,2015-09-16
2459564,agricultural meteorology,農業氣象學,,农业气象学,2015-09-16
2459565,agriculture,農業,,农艺,2015-09-16
2459566,agriculture ,農業,,农业,2015-09-16
2459567,agrometeorology,農業氣象學,,农业气象学,2015-09-16
2459568,air temperature ,氣溫,,气温,2015-09-16
2459569,Albizia julibrissin Durazz.,合歡,,合欢,2015-09-16
2459570,Albizzia julibrissin Durazz.,合歡,,合欢,2015-09-16
2459571,alder,赤楊木,,赤杨,2015-09-16
2459572,alfalfa ,苜蓿,,苜蓿,2015-09-16
2459573,algae ,藻類,,藻类,2015-09-16
2459574,Allium fistulosum L. var.giganteum Makino,大葱,,大葱,2015-09-16
2459575,Allium sativum L.,大蒜,,大蒜,2015-09-16
2459576,Allium tuberosum Rottl. ex Spreng.,韭菜,,韭菜,2015-09-16
2459577,almond ,扁桃,,巴旦杏,2015-09-16
2459578,alternate husbandry,轉作,,换茬,2015-09-16
2459579,Althaea rosa,蜀葵,,蜀葵,2015-09-16
2459580,ammonia water ,氨水,,氨水,2015-09-16
2459581,Amorpha fruticosa L.,紫穗槐,,紫穗槐,2015-09-16
2459582,Amorpha fruticosa L.,紫穗槐,,紫穗槐,2015-09-16
2459583,amur cork-tree,黃檗,,黄檗,2015-09-16
2459584,amur cork-tree,黃檗,,黄柏,2015-09-16
2459585,Anethum graveolens L.,蒔蘿,,莳萝,2015-09-16
2459586,animal husbandry ,畜牧業,,畜牧业,2015-09-16
2459587,annual ring ,年輪,,年轮,2015-09-16
2459588,antibiotic bacteria,抗生菌,,抗生菌,2015-09-16
2459589,aphid,蚜蟲,,蚜虫,2015-09-16
2459590,Apocynum venetum L.,羅布麻,,罗布麻,2015-09-16
2459591,apple,蘋果,,苹果,2015-09-16
2459592,Arachis hypogaea,［落］花生,,花生,2015-09-16
