ID,英文名稱,中文名稱,圖片,中國大陸譯名,更新日期
2454880,BeiDou Navigation Satellite System; COMPASS Navigation Satellite System,北斗衛星導航系統,,北斗卫星导航系统,2015-09-16
2454881,access,擷取；進接；存取,,接入,2015-09-16
2454882,access network; AN,存取網路,,接入网,2015-09-16
2454883,accreditation,身份鑑定,,认可,2015-09-16
2454884,activation,啟動，活動,,激活,2015-09-16
2454885,adaptive,自適應；適應性；適應；可調適,,自适应的【形】,2015-09-16
2454886,adaptive communication,適應式通信,,自适应通信,2015-09-16
2454887,add-drop multiplexer，ADM,同步數位階層塞取多工機,,分插复用,2015-09-16
2454888,addressing,尋址；選址；定址,,寻址,2015-09-16
2454889,all-optical network; AON,全光網路,,全光网,2015-09-16
2454890,amount of information,資訊量,,信息量,2015-09-16
2454891,amplitude modulation; AM,調幅；振幅調變,,调幅,2015-09-16
2454892,analog communication,類比通訊,,模拟通信,2015-09-16
2454893,analog signal,類比信號,,模拟信号,2015-09-16
2454894,analog-to-digital conversion,類比至數位轉換；類比對數位轉換；類比/數位轉換；類比數位轉換器,,模数转换,2015-09-16
2454895,antenna,天線,,天线,2015-09-16
2454896,antivirus,防毒,,防病毒,2015-09-16
2454897,anycast,任意傳送法,,任播,2015-09-16
2454898,application layer,應用層,,应用层,2015-09-16
2454899,asychronous transfer mode; ATM,非同步傳遞方式 ；非同步轉移方式,,异步转移模式,2015-09-16
2454900,attachment,附屬裝置；附件；輔助鏡頭；附著；連結,,附件,2015-09-16
2454901,audio frequency; AF,聲頻；音頻,,音频,2015-09-16
2454902,authorization,授權,,授权,2015-09-16
2454903,autodial,自動撥號(盤),,自动拨号,2015-09-16
2454904,backbone network,基幹網路,,主干网,2015-09-16
2454905,backward channel,反向通道,,反向信道,2015-09-16
2454906,band,頻帶，波段，光帶，能帶,,波段,2015-09-16
2454907,bandwidth; BW,頻寬,,带宽,2015-09-16
2454908,banner,標題,,页旗,2015-09-16
2454909,base station; BS,基地站；基站；基地電台,,基站,2015-09-16
2454910,baseband,基帶,,基带,2015-09-16
2454911,baseband transmission,基頻傳輸,,基带传输,2015-09-16
2454912,baud,鮑(調變速率之單位),,波特,2015-09-16
2454913,bidirectional,雙向的；雙向；雙向作用的,,双方向,2015-09-16
2454914,binary,二進制，二元,,二进制的【形】,2015-09-16
2454915,binary code,二進位碼，二元碼,,二进制码,2015-09-16
2454916,binary digit,（二進）位元。,,二进制数字,2015-09-16
2454917,bit rate,位元率,,比特率,2015-09-16
2454918,black list [of IMEI],作廢車票清單,,黑名单,2015-09-16
2454919,bluetooth,藍牙,,蓝牙[技术],2015-09-16
2454920,body area network; BAN,近身通訊,,人体域网,2015-09-16
2454921,bridge,橋；橋接器,,网桥,2015-09-16
2454922,bridging,橋接；橋形現象,,桥接,2015-09-16
2454923,broadband,寬頻，寬頻帶，寬波段,,宽带,2015-09-16
2454924,broadband network,寬頻網路,,宽带网,2015-09-16
2454925,broadcast,廣播,,广播,2015-09-16
2454926,browser,瀏覽器,,浏览器,2015-09-16
2454927,busy hour,忙時，繁忙小時,,忙时,2015-09-16
2454928,cable,纜線,,线缆,2015-09-16
