ID,英文名稱,中文名稱,圖片,中國大陸譯名,更新日期
3184824,abdominal muscle,腹肌,,腹肌,2017-07-24
3184825,abducent nerve,外展神經,,展神经,2017-07-24
3184826,abortion,墮胎；人工流產；流產； 不孕性；退化,,流产,2017-07-24
3184827,absorption,吸收,,吸收,2017-07-24
3184828,accessory nerve,副神經,,副神经,2017-07-24
3184829,acne,痤瘡；青春痘；粉刺,,粉刺,2017-07-24
3184830,acouophone,助聽器,,助听器,2017-07-24
3184831,Action potential,動作電位；動(作)電位；作用電位；作用潛力；動作潛力；(神經)動態電勢；作用潛能；動作電位,,动作电位,2017-07-24
3184832,adaptability,適應性；適應力；調適力；適合性；可適性；適應能力；適用度,,适应性,2017-07-24
3184833,adipose tissue,脂肪組織,,脂肪组织,2017-07-24
3184834,adrenal gland,腎上腺；副腎,,肾上腺,2017-07-24
3184835,Adverse Drug Reaction,藥物不良反應,,药品不良反应,2017-07-24
3184836,aflatoxin,黃麴毒素,,黄曲霉毒素,2017-07-24
3184837,alcohol,乙醇,,酒精,2017-07-24
3184838,alditol,醛醣醇,,糖醇,2017-07-24
3184839,algesia,痛覺過敏,,痛觉,2017-07-24
3184840,amblyopia,弱視；鈍視；視覺遲鈍,,弱视,2017-07-24
3184841,amenorrhea,停經,,闭经,2017-07-24
3184842,ammonia poisoning,氨中毒,,氨中毒,2017-07-24
3184843,ammonia water,錏水；氨水,,氨水,2017-07-24
3184844,amniotic fluid,羊水,,羊水,2017-07-24
3184845,amylin,澱粉素,,糊精,2017-07-24
3184846,an(a)emia,貧血,,贫血,2017-07-24
3184847,anal prolapse,肛門脫出,,脱肛,2017-07-24
3184848,analgesic,止痛劑；鎮痛劑,,镇痛药,2017-07-24
3184849,anesthesia,感覺缺失,,麻醉,2017-07-24
3184850,angina pectoris,心絞痛,,心绞痛,2017-07-24
3184851,ankle joint,踝關節,,踝关节,2017-07-24
3184852,anterior axillary line,腋前線,,腋前线,2017-07-24
3184853,anterior cranial fossa,顱前窩,,颅前窝,2017-07-24
3184854,anterior median line,前面中線,,前正中线,2017-07-24
3184855,antibiotic,抗生素,,抗生素,2017-07-24
3184856,anus,肛門,,肛门,2017-07-24
3184857,aorta,主動脈,,主动脉,2017-07-24
3184858,aphtha,口瘡,,口疮,2017-07-24
3184859,appendicitis,闌尾炎,,阑尾炎,2017-07-24
3184860,aqueous humor,前房液；眼房液；水狀液；水樣液,,房水,2017-07-24
3184861,arrhythmia,心律不整,,心律失常,2017-07-24
3184862,artery,動脈,,动脉,2017-07-24
3184863,arthritis,關節炎,,关节炎,2017-07-24
3184864,artificial insemination,人工授精,,人工授精,2017-07-24
3184865,artificial limb,人工肢,,假肢,2017-07-24
3184866,artificial respiration,人工呼吸,,人工呼吸,2017-07-24
3184867,ascariasis,蛔蟲病,,蛔虫病,2017-07-24
3184868,ascites,腹水症；腹水；水腹；水臌,,腹水,2017-07-24
3184869,asphyxia,窒息,,窒息,2017-07-24
