ID,英文名稱,中文名稱,圖片,所屬機關單位名稱,機關單位中文名稱,機關單位英文名稱,職等,單位中文名稱,單位英文名稱,單位中文名稱2,單位英文名稱2,更新日期
1472419,Civil Affairs Bureau,民政局,,,,,,,,,,2012-12-19
1472420,Finance Bureau,財政局,,,,,,,,,,2012-12-19
1472428,Education Bureau,教育局,,,,,,,,,,2012-12-19
1472432,Economic Affairs Bureau,建設局,,,,,,,,,,2012-12-19
1472436,Public Works Bureau,工務局,,,,,,,,,,2012-12-19
1472441,Social Affairs Bureau,社會局,,,,,,,,,,2012-12-19
1472444,Labor Affairs Bureau,勞工局,,,,,,,,,,2012-12-19
1472447,Police Bureau,警察局,,,,,,,,,,2012-12-19
1472448,Fire Bureau,消防局,,,,,,,,,,2012-12-19
1472449,Public Health Bureau,衛生局,,,,,,,,,,2012-12-19
1472454,Environmental Protection Bureau,環境保護局,,,,,,,,,,2012-12-19
1472457,Cultural Affairs Bureau,文化局,,,,,,,,,,2012-12-19
1472461,Transportation Bureau,交通局,,,,,,,,,,2012-12-19
1472463,Land Administration Office,地政處,,,,,,,,,,2012-12-19
1472464,Information Office,新聞處,,,,,,,,,,2012-12-19
1472466,Accounting and Statistics Office,主計處,,,,,,,,,,2012-12-19
1472467,Personnel Office,人事處,,,,,,,,,,2012-12-19
1472468,"Public Health Bureau, ____ City",___市衛生局,,,,,,,,,,2012-12-19
1472471,____ County (City) Police Bureau,1.___縣(市)警察局 2.___縣(市)政府警察局,,,,,,,,,,2012-12-19
1472475,____ City Police Bureau,1.___縣(市)警察局 2.___縣(市)政府警察局,,,,,,,,,,2012-12-19
1472481,"Fire Bureau, ____ County (City)",1.___縣(市)消防局 2.___縣政府消防局,,,,,,,,,,2012-12-19
1472485,"Public Health Bureau, ____ County (City)",1.___縣(市)衛生局 2.___縣政府衛生局,,,,,,,,,,2012-12-19
1472487,"Local Tax Bureau, ___ County (City)",1.___縣(市)政府地方稅務局 2.___ 縣(市)地方稅務局,,,,,,,,,,2012-12-19
1472491,___ County Government,縣(市)政府,,,,,,,,,,2012-12-19
1472503,___ County (City) Government,縣(市)政府,,,,,,,,,,2012-12-19
1472509,Yilan County Government,宜蘭縣政府,,,,,,,,,,2012-12-19
1472512,Miaoli County Government,苗栗縣政府,,,,,,,,,,2012-12-19
1472513,"Marine Life Propagation Station, Penghu County",澎湖縣政府,,,,,,,,,,2012-12-19
1472515,Kinmen County Government,連江縣政府,,,,,,,,,,2012-12-19
1472521,Kinmen County Government,金門縣政府,,,,,,,,,,2012-12-19
1472524,__ County (Municipal) Library,___縣(市)立圖書館,,,,,,,,,,2012-12-19
1472600,Seventh Directorate,第七組 ,,,,,,,,,,2012-12-19
1472604,Department of Civil Affairs,民政司 ,,,,,,,,,,2012-12-19
1472611,Department of Household Registration Affairs,戶政司 ,,,,,,,,,,2012-12-19
1472618,Department of Land Administration,地政司 ,,,,,,,,,,2012-12-19
1472620,Department of Social Affairs,社會司 ,,,,,,,,,,2012-12-19
1472625,Department of General Affairs,總務司,,,,,,,,,,2012-12-19
1472640,Domestic Violence and Sexual Assault Prevention Committee,家庭暴力及性侵害防治委員會 ,,,,,,,,,,2012-12-19
1472641,Department of Household Registration Affairs,中部辦公室戶政司 ,,,,,,,,,,2012-12-19
1472645,Department of Civil Affairs,中部辦公室民政司 ,,,,,,,,,,2012-12-19
1472652,Department of Land Administration,中部辦公室地政司 ,,,,,,,,,,2012-12-19
1472659,Department of Social Affairs,中部辦公室社會司 ,,,,,,,,,,2012-12-19
1472663,First Department,第一處,,,,,,,,,,2012-12-19
1472668,Second Department,第二處,,,,,,,,,,2012-12-19
1472671,Third Department,第三處,,,,,,,,,,2012-12-19
1472673,Fourth Department,第四處,,,,,,,,,,2012-12-19
1472676,Fifth Department,第五處,,,,,,,,,,2012-12-19
1472679,Sixth Department,第六處,,,,,,,,,,2012-12-19
1472681,Seventh Department,第七處,,,,,,,,,,2012-12-19
1472684,Eighth Department,第八處,,,,,,,,,,2012-12-19
1472686,Ninth Department,第九處,,,,,,,,,,2012-12-19
1472699,Department of Statistics,統計處,,,,,,,,,,2012-12-19
1472760,Central Region Office,中部辦公室,,,,,,,,,,2012-12-19
1472766,Department of Culture and Education,文教處 ,,,,,,,,,,2012-12-19
1472770,Department of General Affairs,綜合處 ,,,,,,,,,,2012-12-19
1472772,Data Office ,資料室,,,,,,,,,,2012-12-19
1472780,General Affairs Division ,行政組,,,,,,,,,,2012-12-19
1472782,Research Division ,研究組,,,,,,,,,,2012-12-19
1472784,Meeting Affairs Division ,議事組,,,,,,,,,,2012-12-19
1472787,Reserves Affairs Division,召集組,,,,,,,,,,2012-12-19
1472792,Enlistment and Training Division,甄訓組,,,,,,,,,,2012-12-19
1472800,Management Division ,管理組,,,,,,,,,,2012-12-19
1472803,Recruitment Division,徵集組,,,,,,,,,,2012-12-19
1472806,Rights and Benefits Division ,權益組,,,,,,,,,,2012-12-19
1472811,Entry and Exit Affairs Division,入出國事務組,,,,,,,,,,2012-12-19
1472817,Immigration Affairs Division,移民事務組,,,,,,,,95.8.15會地字第095016115號函復,,2012-12-19
1472820,International Affairs Division,國際事務組,,,,,,,,95.8.15會地字第095016115號函復,,2012-12-19
1472824,Immigration Information Division,移民資訊組,,,,,,,,95.8.15會地字第095016115號函復,,2012-12-19
1472863,Service Affairs Corps,服務事務大隊,,,,,,,,95.8.15會地字第095016115號函復,,2012-12-19
1472868,Detention Affairs Corps,收容事務大隊,,,,,,,,95.8.15會地字第095016115號函復,,2012-12-19
1472881,First Specialized Operation Corps,專勤事務第一大隊,,,,,,,,95.8.15會地字第095016115號函復,,2012-12-19
1472892,Second Specialized Operation Corps,專勤事務第二大隊,,,,,,,,95.8.15會地字第095016115號函復,,2012-12-19
1472909,Border Affairs Corps,國境事務大隊,,,,,,,,,,2012-12-19
1472917,"Secretariat, Board of Directors",董事會秘書室,,,,,,,,,,2012-12-19
1472920,"Auditing Office, Board of Directors",董事會稽核室,,,,,,,,,,2012-12-19
1472924,Department of Planning,企劃部,,,,,,,,,,2012-12-19
1472934,Department of Credit Management,審查部,,,,,,,,,,2012-12-19
1472941,Department of Business (I),營業部(一),,,,,,,,,,2012-12-19
1472945,Department of Business (II),營業部(二),,,,,,,,,,2012-12-19
1472954,Department of Circulation,發行部,,,,,,,,,,2012-12-19
1472958,Department of Public Treasury,公庫部,,,,,,,,,,2012-12-19
1472966,Department of International Banking,國外部,,,,,,,,,,2012-12-19
1472970,Department of Trusts,信託部,,,,,,,,,,2012-12-19
1472974,Department of Securities,證券部,,,,,,,,,,2012-12-19
1472980,Department of Treasury,財務部,,,,,,,,,,2012-12-19
1472982,Department of Consumer Banking,消費者金融部,,,,,,,,,,2012-12-19
1472985,Department of Electronic Banking,電子金融部,,,,,,,,,,2012-12-19
1472990,Credit Analysis Office,徵信室,,,,,,,,,,2012-12-19
1473004,General Affairs Office( II),總務室(二),,,,,,,,,,2012-12-19
1473021,Economic Research Office,經濟研究室,,,,,,,,,,2012-12-19
