ID,英文詞彙,中文名詞,更新日期
21378377,advance；advance against royalties,預付版稅,
21378378,American Standard Code for Information Interchange (ASCII),美國標準資訊交換碼,
21378379,backlist,（出版一年以上）現貨書目,
21378380,book layout and design (BLAD)；blad,樣品小冊,
21378381,(book) blurb,封底簡介,
21378382,bound proof,先讀本,
21378383,camera-ready copy (CRC) {出版業}；final draft {一般著作},完稿；定稿,
21378384,cromalin,彩色打樣,
21378385,cataloging in publication (CIP) data,出版品預行編目資料,
21378386,manuscript,原稿,
21378387,copy,拷貝,
21378388,copy editing,編輯改稿,
21378389,copyright,版權，著作權,
21378390,publishing consultant,出版顧問,
21378391,edition,版（次）,
21378392,version,版本,
21378393,hardback (edition)；cloth edition,精裝本,
21378394,paperback (edition),平裝本,
21378395,mass market edition,普及本,
21378396,pocket edition,袖珍本,
21378397,abridged edition,節縮本,
21378398,unabridged edition,全本,
21378399,endpaper；endsheet,襯頁；襯底,
21378400,page count；extent,圖書頁數,
21378401,(printing) film ,底片；菲林,
21378402,printing format,版式,
21378403,frontlist,新書目錄,
21378404,halftone,網版,
21378405,International Standard Book Number (ISBN),國際標準書碼,
21378406,International Standard Serial Number (ISSN),國際標準期刊號,
21378407,line drawing；line art；line artwork,線條畫（黑白）,
21378408,new book announcement,新書通告,
21378409,list price,定價；碼洋,
21378410,net receipt,實收款 ,
21378411,origination；prepress,印前（操作）,
21378412,Portable Document Format (PDF),美國資訊交換標準碼,
21378413,permissions,授權許可,
21378414,plate section,彩圖頁,
21378415,front matter；prelims,（引介）正文之前的部分,
21378416,proof, 校樣,
21378417,Standard Generalised Markup Language (SGML),標準通用標記語言,
21378418,reissue；re-release,重新發行,
21378419,reprint ,再刷,
21378420,revised edition,修訂再版,
21378421,manuscript review；review,審稿,
21378422,revises；revised proofs,改正打樣,
21378423,royalties,版稅,
21378424,the book trade,書業,
21378425,typesetting,排版,
21378426,minute taker；recorder,紀錄；紀錄者,
21378427,present,出席；出席人員 ,
21378428,attendance,出席 {研討會},
21378429,attendee,出席人員{研討會},
21378430,apologies for absence ,請假或無法出席 {會議},
21378431,absent,缺席,
21378432,guest,列席,
21378433,call to order,宣布開會,
21378434,announcements,報告事項,
21378435,agenda,議程 ,
21378436,approval of previous meeting minutes,確認上次會議紀錄,
21378437,motions；discussion of proposals,提案討論,
21378438,motion 1；proposal 1,提案一,
21378439,extempore motion；extempore；any other business (AOB),臨時動議,
21378440,resolution,決議,
