ID,英文名稱,中文名稱,圖片,更新日期
3526035,Abel integral equation,阿貝耳積分方程式,,2018-03-22
3526036,Abel transform,阿貝耳轉換,,2018-03-22
3526037,ablation rate,剝蝕率,,2018-03-22
3526038,abnormal tide,異常潮,,2018-03-22
3526039,abrasion,磨蝕；磨耗,,2018-03-22
3526040,absolute acceleration,絕對加速度,,2018-03-22
3526041,absolute head,絕對水頭,,2018-03-22
3526042,absolute motion,絕對運動,,2018-03-22
3526043,absolute porosity,絕對孔隙率,,2018-03-22
3526044,absolute pressure,絕對壓力,,2018-03-22
3526045,absolute reaction rate,絕對反應率,,2018-03-22
3526046,absolute retardation,絕對運滯性,,2018-03-22
3526047,absolute roughness,絕對糙度,,2018-03-22
3526048,absolute speed,絕對速率,,2018-03-22
3526049,absolute stiffness,絕對勁度,,2018-03-22
3526050,absolute system of units,絕對單位制,,2018-03-22
3526051,absolute temperature,絕對溫度,,2018-03-22
3526052,absolute velocity,絕對速度,,2018-03-22
3526053,absolute viscosity,絕對黏度,,2018-03-22
3526054,absolute zero,絕對零度,,2018-03-22
3526055,absorbing-emitting media,吸收發射介質,,2018-03-22
3526056,absorptance,吸收比,,2018-03-22
3526057,absorption,吸收,,2018-03-22
3526058,absorption coefficient,吸收係數,,2018-03-22
3526059,absorption factor,吸收因數,,2018-03-22
3526060,absorption line,吸收譜線,,2018-03-22
3526061,absorption rate,吸收率,,2018-03-22
3526062,absorption spectrum,吸收光譜,,2018-03-22
3526063,absorptivity,吸收性；吸收率,,2018-03-22
3526064,accelerated flow,加速流,,2018-03-22
3526065,accelerated motion,加速運動,,2018-03-22
3526066,accelerating wave,加速波,,2018-03-22
3526067,acceleration,加速度,,2018-03-22
3526068,acceleration gradient,加速（度）梯度,,2018-03-22
3526069,acceleration hodograph,加速矢（坐標）圖,,2018-03-22
3526070,acceleration of gravity,重力加速度,,2018-03-22
3526071,acceleration response spectrum,加速度回應譜,,2018-03-22
3526072,accelerometer,加速儀；加速錶,,2018-03-22
3526073,accommodation coefficient,調節係數；適應係數,,2018-03-22
3526074,accumulated inflow,入流累積量,,2018-03-22
3526075,accumulative sedimentation method,累積沈澱法,,2018-03-22
3526076,Achimedes's principle,亞基米德原理,,2018-03-22
3526077,acoustic admittance,聲導納,,2018-03-22
3526078,acoustic analogue,音響類比；聲波類比,,2018-03-22
3526079,acoustic damping,聲波阻尼,,2018-03-22
3526080,acoustic doublet,聲源偶,,2018-03-22
3526081,acoustic emission,聲波發射,,2018-03-22
3526082,acoustic excitation,聲波激發,,2018-03-22
3526083,acoustic filter,濾聲器,,2018-03-22
3526084,acoustic impedance,聲波阻抗,,2018-03-22
3526085,acoustic intensity,聲波強度,,2018-03-22
3526086,acoustic phase lag,聲波相滯,,2018-03-22
3526087,acoustic power,聲功率,,2018-03-22
3526088,acoustic pressure,聲壓,,2018-03-22
3526089,acoustic reactance,聲抗,,2018-03-22
3526090,acoustic resistance,聲阻,,2018-03-22
3526091,acoustic velocity,音速；聲速,,2018-03-22
3526092,acoustic wave,聲波,,2018-03-22
3526093,acoustical energy,聲能,,2018-03-22
3526094,acoustical reciprocity theorem,聲學互換定理,,2018-03-22
3526095,acoustical strain gage,聲波應變計,,2018-03-22
3526096,acoustics,聲學,,2018-03-22
3526097,activated complex,活化複合體,,2018-03-22
3526098,activated energy,活化能,,2018-03-22
3526099,activation energy,活化能,,2018-03-22
3526100,active center,活化中心,,2018-03-22
3526101,active fault,活斷層,,2018-03-22
3526102,active transport,主動輸送,,2018-03-22
3526103,activity,活性；活度,,2018-03-22
3526104,activity coefficient,活性係數,,2018-03-22
3526105,activity sphere,活力圈[天],,2018-03-22
3526106,actual gas,實際氣體,,2018-03-22
3526107,actual stress,實際應力,,2018-03-22
3526108,actual trajectory,實際彈道,,2018-03-22
3526109,actual velocity,實際速度,,2018-03-22
3526110,Adams formula,亞當斯公式,,2018-03-22
3526111,added mass,附加質量,,2018-03-22
3526112,adhering nappe,貼面水舌,,2018-03-22
3526113,adhesion,附著（力）；外聚（力）；黏附（力）,,2018-03-22
3526114,adhesive force,附著力,,2018-03-22
3526115,adhesive water,附著水,,2018-03-22
3526116,adiabatic change,絕熱變化,,2018-03-22
3526117,adiabatic compression,絕熱壓縮,,2018-03-22
3526118,adiabatic cooling,絕熱冷卻,,2018-03-22
3526119,adiabatic ellipse,絕熱橢圓,,2018-03-22
3526120,adiabatic flame temperature,絕熱火焰溫度,,2018-03-22
3526121,adiabatic flow,絕熱流,,2018-03-22
3526122,adiabatic invariant,絕熱不變量,,2018-03-22
3526123,adiabatic momentum change,絕熱動量變化,,2018-03-22
3526124,adiabatic process,絕熱過程,,2018-03-22
