ID,英文名稱,中文名稱,圖片,更新日期
300428,HYDROZOA,水螅綱,,2012-11-26
300429,3β-hydroxysteroid sulfotrasferase,3β-羥酯轉磺酶,,2012-11-26
300430,20α-hydroxysteroid oxidoreductase,20α-羥酯氧化還原酶,,2012-11-26
300431,17β-hydroxysteroid oxidoreductase,17β-羥酯氧化還原酶,,2012-11-26
300432,hydroxysteroid oxidoreductase,羥酯氧化還原酶,,2012-11-26
300433,hydroxyproline oxidase,羥脯胺酸氧化酶,,2012-11-26
300434,hydroxyproline,羥脯胺酸,,2012-11-26
300435,hydroxyprogesterone caproate,羥孕酮巳酯,,2012-11-26
300436,hydroxyphenylpyruvic acid,P-羥苯酮丙酸,,2012-11-26
300437,hydroxymethylfurfural,羥甲基呋喃醛,,2012-11-26
300438,5-hydroxymethycytosine,5-羥甲基胞嘧啶,,2012-11-26
300439,hydroxyl group,氫氧基,,2012-11-26
300440,β-hydroxylase,β羥化酶,,2012-11-26
300441,3-hydroxy-7-ketochol amic acid,3-羥-7酮膽汁液,,2012-11-26
300442,β-hydroxy-glutamic acid,β羥基麩酸,,2012-11-26
300443,hydroxycobalamin,羥基鈷胺；維生素B12,,2012-11-26
300444,β-hydroxybutyric acid,β羥基丁酸,,2012-11-26
300445,hydroxyapatite,羥磷石灰,,2012-11-26
300446,hydroxide ion,羥離子,,2012-11-26
300447,hydrotropism,向水性,,2012-11-26
300448,hydrothermal vent,深海熱泉,,2012-11-26
300449,hydrotheca,水螅鞘,,2012-11-26
300450,hydrotaxis,趨水性,,2012-11-26
300451,hydrostatic skeleton,靜水骨骼,,2012-11-26
300452,hydrostatic pressure,靜水壓,,2012-11-26
300453,hydrostatic organ,水壓器官,,2012-11-26
300454,hydrosphere,水圈,,2012-11-26
300455,Hydrosaurus ambionensis,帆脊蜥,,2020-03-09
300456,hydrorhiza,共根；螅根,,2012-11-26
300457,hydroquinone; dihydroxoybenzene,氫醌,,2012-11-26
300458,hydroquinine,氫化奎寧,,2012-11-26
300459,HYDROPTILIDAE,姬石蠶科,,2012-11-26
300460,Hydropotes inermis ,中國獐鹿,,2012-11-26
300461,HYDROPSYCHIDAE,縞石蠶科,,2012-11-26
300462,Hydropotes ,獐鹿（屬）,,2012-11-26
300463,hydropolyp; hydroid polyp,水螅型芽體；水螅多足體,,2012-11-26
300464,hydropic degeneration,水腫變性,,2012-11-26
300465,hydrophobic,厭水的,,2012-11-26
300466,hydrophobic interaction,厭水互動,,2012-11-26
300467,hydrophobia,恐水病；狂犬病,,2012-11-26
300468,Hydrophis spiralis ,環帶海蛇,,2012-11-26
300469,Hydrophis ornatus ,麗斑海蛇,,2012-11-26
300470,Hydrophis melanocephalus ,黑頭海蛇,,2012-11-26
300471,Hydrophis godeffroyi ,麗斑海蛇,,2012-11-26
300472,Hydrophis cyanocinctus ,青環海蛇,,2012-11-26
300473,Hydrophis ,海蛇（屬）,,2012-11-26
300474,hydrophilous,親水性,,2012-11-26
300475,HYDROPHILIDAE,牙蟲科,,2012-11-26
300476,hydrophilic molecules,親水分子,,2012-11-26
300477,hydrophilic,親水的,,2012-11-26
300478,HYDROPHIINAE,普通海蛇亞目,,2012-11-26
300479,HYDROPHIIDAE,海蛇科,,2012-11-26
300480,Hydrophasianus chirurgus ,水雉,,2012-11-26
300481,Hydromys chrysogaster ,金腹水鼠,,2012-11-26
300482,Hydromys ,澳洲水鼠（屬）,,2012-11-26
300483,HYDROMETRIDAE,絲水黽科,,2012-11-26
300484,hydromethylglutaric acid,羥甲基戊二酸,,2012-11-26
300485,hydromedusa,水螅水母,,2012-11-26
300486,hydrolytic enzymes,水解酶,,2012-11-26
300487,hydrolysis reaction,水解反應,,2012-11-26
300488,hydrolysis,水解作用,,2012-11-26
300489,HYDROIDA,水螅目,,2012-11-26
300490,hydrolase,水解酶,,2012-11-26
300491,hydroid,水螅型,,2012-11-26
300492,hydrogenation,氫化作用,,2012-11-26
300493,hydrogen transfer,氫轉移,,2012-11-26
300494,hydrogen sulfide,硫化氫,,2012-11-26
300495,hydrogen peroxide hydrogen peroxidetest,過氧化氫,,2012-11-26
300496,hydrogen peroxidase,過氧化氫酶,,2012-11-26
300497,hydrogen ion concentration,氫離子濃度,,2012-11-26
300498,hydrogen donor,供氫體,,2012-11-26
300499,hydrogen cyanide,氫化氰；氫氟酸,,2012-11-26
300500,hydrogen carriers,氫載體,,2012-11-26
300501,hydrogen bond,氫鍵,,2012-11-26
300502,hydrogen acceptor,氫受體,,2012-11-26
300503,hydrogen,氫,,2012-11-26
300504,hydrofluoric acid,氟化氫；氫氟酸,,2012-11-26
300505,Hydrodamalis gigas ,史特拉海牛,,2012-11-26
300506,Hydrocynus ,水狗鮭鯉（屬）,,2012-11-26
300507,hydrocortisone,氫皮（質）酮,,2012-11-26
300508,hydrocorticosterone,羥基腎上腺皮質酮,,2012-11-26
300509,hydrocole,水棲的,,2012-11-26
300510,hydrocoel,水管系,,2012-11-26
300511,hydrochloric acid,鹽酸,,2012-11-26
300512,Hydrochaeris hydrochaeris ,水豚,,2012-11-26
300513,Hydrochaeris ,水豚（屬）,,2012-11-26
300514,HYDROCHAERIDAE,水豚科,,2012-11-26
300515,hydrocephalus,水腦,,2012-11-26
300516,hydrocaulis,水螅共肉莖,,2012-11-26
300517,hydrocarbons,烴；碳氫化合物,,2012-11-26
300518,hydrobiolody,水生生物學,,2012-11-26
300519,hydrobilirubin; stercobilin,氫基膽紅素,,2012-11-26
300520,HYDROBATIDAE,海燕科,,2012-11-26
300521,hydride ions,氫化物離子,,2012-11-26
300522,hydrencephal ocele,水腫性；腦膨出,,2012-11-26
300523,Hydrellia sasakii  Yuasa et Ishitani,稻心蠅,,2012-11-26
300524,hydrelatic,液流促進作用的,,2012-11-26
300525,hydrazine,胼聯胺,,2012-11-26
300526,hydraulic mechanism,水壓機制,,2012-11-26
300527,hydratuba; scyphistoma; scyphula,盃狀紡體；盃狀體,,2012-11-26
300528,hydration,水合作用；加水作用,,2012-11-26
300529,hydrase,水化酶；加水酶,,2012-11-26
300530,hydranth,營養個蟲；營養個員；水螅體,,2012-11-26
300531,hydramnion,羊膜充水；羊膜積水,,2012-11-26
300532,hydradenoma,汗腺瘤,,2012-11-26
300533,HYDRACHNIDAE,水壁蝨科,,2012-11-26
300534,hydra,水螅,,2012-11-26
300535,HYDATINIDAE,水囊螺科,,2012-11-26
300536,hydatidiform mole,水囊狀胎塊,,2012-11-26
300537,hydatidiform; hydatiform,水囊狀的,,2012-11-26
300538,hydatides terminales; hydatids of Morgagni; appeudix vesiculosis,囊狀附件,,2012-11-26
300539,hydathode,水孔；排水器,,2012-11-26
300540,hybridoma,雜種瘤,,2012-11-26
300541,hybridization,雜交作用,,2012-11-26
300542,hybridism,雜種狀；雜種性,,2012-11-26
300543,hybrid vigor,雜種優勢,,2012-11-26
300544,hybrid theory,雜交說,,2012-11-26
300545,hybrid sterility,雜種不孕,,2012-11-26
300546,hybrid inviability,雜種不活性,,2012-11-26
300547,hybrid incapacitation,雜種（生存；生殖）無能,,2012-11-26
300548,hybrid cline,雜種漸變群,,2012-11-26
300549,hybrid breakdown,雜種衰落,,2012-11-26
300550,hybrid,雜種,,2012-11-26
300551,HYBODONTIFORMES,弓鮫目（化石）,,2012-11-26
300552,HYBODONTIDAE,弓鮫科（化石）,,2012-11-26
300553,hyaluronidase,玻尿酸酶,,2012-11-26
300554,hyaluronic acid,透明質酸；玻糖醛酸,,2012-11-26
300555,HYALOSPONGIAE,玻璃海綿綱,,2012-11-26
300556,Hyalopterus pruni  (Geoffroy),桃大尾蚜,,2012-11-26
300557,hyaloplasm; hyaloplasma,透明質；玻璃原質,,2012-11-26
300558,hyalomere,明區,,2012-11-26
300559,hyaloid membrane,透明膜,,2012-11-26
300560,hyaloid gossa,透明窩,,2012-11-26
300561,hyaloid canal,透明管,,2012-11-26
300562,hyaloid artery,透明動脈,,2012-11-26
300563,hyaline cartilage,透明軟骨,,2012-11-26
300564,HYAENODONTIA,肉齒獸亞目,,2012-11-26
300565,Hyaenodon ,肉齒獸（屬）,,2012-11-26
300566,HYAENIDAE,鬛狗科,,2012-11-26
300568,H-Y antigen,H-Y抗原,,2012-11-26
300569,Hyaena brunnea ,棕鬛狗,,2012-11-26
300570,Hwa-Mei,晝眉,,2012-11-26
300571,Huso dauricus ,鰉,,2012-11-26
300572,Huxley's layer,赫胥黎氏層；毛囊內根鞘之一層,,2012-11-26
300573,Hurria rhynchops ,水蛇,,2012-11-26
300574,Hurthle cell adenoma,何氏細胞腺瘤,,2012-11-26
300575,hurmal scute,肱盾,,2012-11-26
300576,hurmal plate,肱板,,2012-11-26
300577,hurmal lobe,肩瓣,,2012-11-26
300578,Huntington's chorea,漢廷頓氏舞蹈病,,2012-11-26
300579,huntering-gathering,打獵-採集,,2012-11-26
300580,hunger; in world population,饑荒;世界人口,,2012-11-26
300581,Hundred-pace Snake; Deinagkistrodon acutus ,百步蛇,,2012-11-26
300582,humus,腐殖質,,2012-11-26
300583,humpback whale,大翅鯨,,2012-11-26
300584,humoral theory,體液免疫說,,2012-11-26
300585,hump,駝峰,,2012-11-26
300586,humoral immunity,體液免疫,,2012-11-26
