ID,英文名稱,中文名稱,圖片,更新日期
1446547,phenomercurine,啡汞,,2021-01-26
1446548,isoarsindole,異砷哚,,2012-11-26
1446549,arsindole,砷哚,,2012-11-26
1446550,isoarsinoline,異砷啉,,2012-11-26
1446551,arsinoline,砷啉,,2012-11-26
1446552,arsanthridine,砷啡啶,,2012-11-26
1446553,acridarsine,吖砷啶,,2012-11-26
1446554,arsanthrene,砷嗯,,2012-11-26
1446555,isophosphindole,異磷哚,,2012-11-26
1446556,phosphindole,磷哚,,2012-11-26
1446557,isophosphinoline,異磷啉,,2012-11-26
1446558,phosphinoline,磷啉,,2012-11-26
1446559,phosphanthrene,磷嗯,,2012-11-26
1446560,tellurophene,碲吩,,2012-11-26
1446561,selenophene,硒吩,,2012-11-26
1446562,selenanthrene,硒嗯,,2012-11-26
1446563,thiophene,噻吩,,2012-11-26
1446564,thianthrene,噻嗯,,2012-11-26
1446565,phenothiarsine,啡噻砷,,2012-11-26
1446566,furan,呋喃,,2012-11-26
1446567,pyran,哌喃,,2012-11-26
1446568,isobenzofuran,異苯并呋喃,,2012-11-26
1446569,isochromene,異【口克】唏,,2012-11-26
1446570,chromene,【口克】唏,,2012-11-26
1446571,xanthene,【口山】【口星】,,2012-11-26
1446572,phenoxastibinine,啡【口咢】銻,,2012-11-26
1446573,phenoxarsinine,啡【口咢】砷,,2012-11-26
1446574,phenoxaphosphinine,啡【口咢】磷,,2012-11-26
1446575,phenoxatellurine,啡【口咢】碲,,2012-11-26
1446576,phenoxaselenine,啡【口咢】硒,,2012-11-26
1446577,phenoxathiine,啡【口咢】噻,,2012-11-26
1446578,pyrrole,吡咯,,2012-11-26
1446579,imidazole,咪唑,,2012-11-26
1446580,pyrazole,吡唑,,2012-11-26
1446581,isothiazole,異噻唑,,2012-11-26
1446582,isoxazole,異【口咢】唑,,2012-11-26
1446583,pyridine,吡啶,,2012-11-26
1446584,pyrazine,吡【口井】,,2012-11-26
1446585,pyrimidine,嘧啶,,2012-11-26
1446586,pyridazine,嗒【口井】,,2012-11-26
1446587,1H-pyrrolizine,1H-吲【口巾】,,2012-11-26
1446588,indolizine,吲【口巾】,,2012-11-26
1446589,isoindole,異吲哚,,2012-11-26
1446590,indole,吲哚,,2012-11-26
1446591,indazole,吲唑,,2012-11-26
1446592,purine,嘌呤,,2012-11-26
1446593,4H-quinolizine,4H-喹【口巾】,,2012-11-26
1446594,isoquinoline,異喹啉,,2012-11-26
1446595,quinoline,喹啉,,2012-11-26
1446596,phthalazine,呔【口井】,,2012-11-26
1446597,naphthyridine,【口奈】啶,,2012-11-26
1446598,quinoxaline,喹【口咢】啉,,2012-11-26
1446599,quinazoline,喹唑啉,,2012-11-26
1446600,cinnoline,【口辛】啉,,2012-11-26
1446601,pteridine,喋啶,,2012-11-26
1446602,4aH-carbazole,4aH-咔唑,,2012-11-26
1446603,carbazole,咔唑,,2012-11-26
1446604,β-carboline,β-咔啉,,2012-11-26
1446605,phenanthridine,啡啶,,2012-11-26
1446606,acridine,吖啶,,2012-11-26
1446607,perimidine,呸啶,,2012-11-26
1446608,phenanthroline,啡啉,,2012-11-26
1446609,phenazine,啡【口井】,,2012-11-26
1446610,phenomercurazine,啡汞【口井】,,2012-11-26
1446611,phenarsazinine,啡砷【口井】,,2012-11-26
1446612,phenophosphazinine,啡磷【口井】,,2012-11-26
1446613,phenotellurazine,啡碲【口井】,,2012-11-26
1446614,phenoselenazine,啡硒【口井】,,2012-11-26
1446615,phenothiazine,啡噻【口井】,,2012-11-26
1446616,phenoxazine,啡【口咢】【口井】,,2012-11-26
