ID,英文名稱,中文名稱,圖片,中國大陸譯名,更新日期
1211185,"1,2,3-trimethylbenzene","1,2,3-三甲苯",,"偏三甲苯；1,2,3-三甲苯 ",2012-11-26
1211186,"1,2,4-trimethylbenzene","1,2,4-三甲苯",,"偏三甲苯；1,2,4-三甲苯 ",2012-11-26
1211187,"1,3,5-trimethylbenzene","1,3,5-三甲苯",,"均三甲苯；1,3,5-三甲苯 ",2012-11-26
1211188,"1,4-dioxane","二【口咢】烷；1,4-二氧陸圜{舊譯}",,1，4-二氧六环,2012-11-26
1211189,18-crown-6,18-冠-6,,18-冠-6,2012-11-26
1211190,1-butanol,1-丁醇,,正丁醇,2012-11-26
1211191,1-chlorobutane,1-氯丁烷,,1-氯丁烷,2012-11-26
1211192,1-naphthol,1-萘酚,,"1-萘酚,α-萘酚",2012-11-26
1211193,1-nonanol,1-壬醇,,1-壬醇,2012-11-26
1211194,1-propanol,1-丙醇,,1-丙醇,2012-11-26
1211195,"2,3-dimethylpentanedioic acid","2,3-二甲基戊二酸 ",,"2,3-二甲基戊二酸 ",2012-11-26
1211196,"2,4,6-tribromophenol","2,4,6-三溴苯酚",,"2,4,6-三溴苯酚",2012-11-26
1211197,"2,4-dimethyl-1-pentanol","2,4-二甲基-1-戊醇",,"2,4-二甲基-1-戊醇",2012-11-26
1211198,2-bromopropane,2-溴丙烷,,异丙基溴,2012-11-26
1211199,2-methyl-2-butanol,2-甲基-2-丁醇,,2-甲基-2-丁醇,2012-11-26
1211200,2-methyl-3-pentanone,2-甲基-3-戊酮,,2-甲基-3-戊酮,2012-11-26
1211201,2-propanol,2-丙醇,,"异丙醇,  2-丙醇",2012-11-26
1211202,3-methyl-2-butanol,3-甲基-2-丁醇,,3-甲基-2-丁醇,2012-11-26
1211203,3-methyl-2-butenoic acid,3-甲基-2-丁烯酸,,3-甲基-2-丁烯酸,2012-11-26
1211204,3-methylbutanal,3-甲基丁醛,,3-甲基丁醛,2012-11-26
1211205,3-methylbutyramide,3-甲基丁醯胺,,异戊酰胺,2012-11-26
1211206,3-methylpentanoic acid,3-甲基戊酸,,3-甲基戊酸,2012-11-26
1211207,4-methyl-2-pentanone,4-甲基-2-戊酮,,4-甲基-2-戊酮,2012-11-26
1211208,absolute alcohol,絕對酒精,,无水酒精,2012-11-26
1211209,absolute temperature,絕對溫度,,绝对温度 ,2012-11-26
1211210,absolute temperature scale,絕對溫標,,绝对温标,2012-11-26
1211211,absolute zero,絕對零度,,绝对零度 ,2012-11-26
1211212,acetamide,乙醯胺,,乙酰胺,2012-11-26
