ID,英文名稱,中文名稱,圖片,中國大陸譯名,備註,更新日期
2287387,[18F]-FDG {[18F]-fluorodeoxyglucose},[18F]-氟代去氧葡萄糖,,[18F]-氟代脱氧葡萄糖,,2015-05-25
2287388,[18F]-fluorodeoxyglucose {= [18F]-FDG},[18F]-氟代去氧葡萄糖,,[18F]-氟代脱氧葡萄糖,,2015-05-25
2287389,"1,2-benzoquinone","1,2-苯醌；鄰-苯醌",,<p>邻苯醌</p>,<p>20250513修訂</p>,2015-05-25
2287390,"1,2-diazine","1,2-二【口井】；嗒【口井】",,哒嗪,,2015-05-25
2287391,"1,3,5-trioxacyclohexane","1,3,5-三氧環己烷；三【口咢】【口山】",,"1,3,5-三氧杂环己烷",,2015-05-25
2287392,"1,3-diazine","1,3-二【口井】；嘧啶",,嘧啶,,2015-05-25
2287393,"1,4-addition","1,4-加成",,"1,4-加成",,2015-05-25
2287394,"1,4-benzoquinone","1,4-苯醌；對苯醌",,对苯醌,,2015-05-25
2287395,"1,4-diazacyclohexane","1,4-二氮環己烷；哌【口井】",,"1,4-二氮杂环己烷",,2015-05-25
2287396,"1,4-diazine","1,4-二【口井】；吡【口井】",,吡嗪,,2015-05-25
2287397,"1,4-dithiacyclohexane","1,4-二硫環己烷；二噻【口山】",,"1,4-二硫杂环己烷",,2015-05-25
2287398,13C nuclear magnetic resonance {= 13C-NMR},碳-13核磁共振,,碳-13核磁共振,,2015-05-25
2287400,14C dating,碳-14定年法　,,碳-14年代测定,,2015-05-25
2287401,18-valence electron rule {= 18-VE rule},18-價電子規則,,18-价电子规则,,2015-05-25
2287402,18-VE rule {18-valence electron rule},18-價電子規則,,18-价电子规则,,2015-05-25
2287403,1H-benzopyrazole,1H-苯并吡唑 {吲唑},,1H-苯并吡唑,,2015-05-25
2287404,"1H-indole-2,3-dione","1H-吲哚-2,3-二酮 {靛紅}",,"1H-吲哚-2,3-二酮",,2015-05-25
2287405,1-nitroso-2-naphthol,1-亞硝-2-萘酚,,1-亚硝基-2-萘酚,,2015-05-25
2287406,1-oxacyclopentan-2-one,1-氧環戊-2-酮；γ-丁內酯,,1-氧杂环戊-2-酮,,2015-05-25
2287407,1st FFR {first field-free region},第一無場區,,第一无场区,,2015-05-25
2287408,"2,2¢-biquinoline","亞銅試劑；2,2'-聯喹啉",,"亚铜试剂；2,2'-联二喹啉",,2015-05-25
2287409,"2,3-dihyrobenzopyran",二氫苯并哌喃 {【口克】唍},,"2,3-二氢苯并吡喃",,2015-05-25
2287410,"2,4-dihydroxybenzo[g]pteridine","2,4-二羥基苯并喋啶 {咯肼}",,"2,4-二羟基苯并蝶啶",,2015-05-25
2287411,"2,5-dioxopiperazine","2,5-哌【口井】二酮；2,5-二側氧哌【口井】",,"2,5-二氧基哌嗪；哌嗪-2,5-二酮",,2015-05-25
2287412,"2,7-dichlorofluorescein","2,7-二氯螢光黃",,"2,7-二氯荧光素",,2015-05-25
2287413,2-azacyclopentanone,1-氮環戊-2-酮 {α-吡咯啶酮},,1-氮杂环戊-2-酮,,2015-05-25
2287414,2D NMR  spectrum {two-dimensional  nuclear magnetic resonance spectrum},二維核磁共振譜,,二维核磁共振谱,,2015-05-25
2287415,2H-benzopyran-2-one,2H-苯并哌喃-2-酮 {香豆素},,2H-苯并吡喃-2-酮,,2015-05-25
2287416,2H-chromen-2-one,2H-苯并哌喃-2-酮 {香豆素},,2H-苯并吡喃-2-酮,,2015-05-25
2287417,2nd FFR {second field-free region},第二無場區,,第二无场区,,2015-05-25
2287418,"3,4-dihydroxyphenylalanine {= DOPA}",多巴,,"多巴 {3-(3,4-dihydroxyphenyl) alanine}",,2015-05-25
2287419,4H-chromen-4-one,4H-苯并哌喃-4-酮；色酮,,4H-苯并吡喃-4-酮,,2015-05-25
2287420,4-sphingenine,神經[鞘]胺醇,,鞘氨醇；神经氨基醇,,2015-05-25
2287421,"5,6-naphthoquinoline","5,6-苯并喹啉",,"5,6-萘喹啉",,2015-05-25
2287422,5-hydroxytryptophane,5-羥色胺酸,,5-羟色氨酸,,2015-05-25
2287423,8-hydroxyquinoline,8-羥喹啉,,8-羟基喹啉,,2015-05-25
2287424,8-quinoline carboxylic acid,8-喹啉甲酸,,8-喹啉羧酸,,2015-05-25
2287425,9-acridone,吖啶酮,,9-吖啶酮,,2015-05-25
2287426,9-thiaxanthone,"二苯并[b,e]噻喃酮",,"二苯并[b,e]噻喃酮",,2015-05-25
