ID,英文名稱,中文名稱,圖片,原子序,符號,音,讀,更新日期
530778,hydrogen,氫,,1,H,ㄑㄧㄥ,輕,2012-11-26
530779,helium,氦,,2,He,ㄏㄞˋ,亥,2012-11-26
530780,lithium,鋰,,3,Li,ㄌㄧˇ,里,2012-11-26
530781,beryllium,鈹,,4,Be,ㄆㄧˊ,皮,2012-11-26
530782,boron,硼,,5,B,ㄆㄥˊ,朋,2012-11-26
530783,carbon,碳,,6,C,ㄊㄢˋ,炭,2012-11-26
530784,nitrogen,氮,,7,N,ㄉㄢˋ,淡,2012-11-26
530785,oxygen,氧,,8,O,ㄧㄤˇ ,養,2012-11-26
530786,fluorine,氟,,9,F,ㄈㄨˊ ,弗,2012-11-26
530787,neon,氖,,10,Ne,ㄋㄞˇ,乃,2012-11-26
530788,sodium,鈉,,11,Na ,ㄋㄚˋ,納,2012-11-26
530789,magnesium,鎂,,12,Mg,ㄇㄟˇ,美,2012-11-26
530790,aluminium; aluminum*,鋁,,13,Al ,ㄌㄩˇ,呂,2012-11-26
530791,silicon,矽,,14,Si,ㄒㄧˋ,夕,2012-11-26
530792,phosphorus,磷,,15,P,ㄌㄧㄣˊ ,鄰,2012-11-26
530793,sulfur,硫,,16,S,ㄌㄧㄡˊ,流,2012-11-26
530794,chlorine,氯,,17,Cl,ㄌㄩˋ ,綠,2012-11-26
530795,argon,氬,,18,Ar,ㄧㄚˇ,亞,2012-11-26
530796,potassium,鉀,,19,K,ㄐㄧㄚˇ,甲,2012-11-26
530797,calcium,鈣,,20,Ca,ㄍㄞˋ ,丐,2012-11-26
530798,scandium,鈧,,21,Sc,ㄎㄤˋ ,亢,2012-11-26
530799,titanium,鈦,,22,Ti,ㄊㄞˋ ,太,2012-11-26
530800,vanadium,釩,,23,V,ㄈㄢˊ ,凡,2012-11-26
530801,chromium,鉻,,24,Cr,ㄍㄜˋ ,各,2012-11-26
530802,manganese,錳,,25,Mn,ㄇㄥˇ,猛,2012-11-26
530803,iron,鐵,,26,Fe,ㄊㄧㄝˇ ,帖,2012-11-26
530804,cobalt,鈷,,27,Co,ㄍㄨ,姑,2012-11-26
530805,nickel,鎳,,28,Ni,ㄋㄧㄝˋ,臬,2012-11-26
530806,copper,銅,,29,Cu,ㄊㄨㄥˊ ,同,2012-11-26
530807,zinc,鋅 ,,30,Zn,ㄒㄧㄣ,辛,2012-11-26
530808,gallium,鎵,,31,Ga,ㄐㄧㄚ,家,2012-11-26
530809,germanium,鍺,,32,Ge,ㄓㄜˇ ,者,2012-11-26
530810,arsenic,砷,,33,As,ㄕㄣ,申,2012-11-26
530811,selenium,硒,,34,Se,ㄒㄧ,西,2012-11-26
530812,bromine,溴,,35,Br,ㄒㄧㄡˋ,嗅,2012-11-26
530813,krypton,氪,,36,Kr,ㄎㄜˋ ,克,2012-11-26
530814,rubidium,銣,,37,Rb,ㄖㄨˊ,如,2012-11-26
530815,strontium,鍶,,38,Sr,ㄙ,思,2012-11-26
530816,yttrium,釔,,39,Y,ㄧˇ,乙,2012-11-26
530817,zirconium,鋯,,40,Zr,ㄍㄠˋ,告,2012-11-26
530818,niobium,鈮,,41,Nb,ㄋㄧˊ,尼,2012-11-26
530819,molybdenum; molybdenium*,鉬,,42,Mo,ㄇㄨˋ,目,2012-11-26
530820,technetium; technium*,鎝,,43,Tc,ㄊㄚˇ ,塔,2012-11-26
530821,ruthenium,釕,,44,Ru,ㄌㄧㄠˇ,了,2012-11-26
530822,rhodium,銠,,45,Rh,ㄌㄠˇ,老,2012-11-26
530823,palladium,鈀,,46,Pd,ㄅㄚ ,巴,2012-11-26
530824,silver,銀,,47,Ag,ㄧㄣˊ ,吟,2012-11-26
530825,cadmium,鎘,,48,Cd,ㄍㄜˊ,隔,2012-11-26
530826,indium,銦,,49,In,ㄧㄣ,因,2012-11-26
530827,tin,錫,,50,Sn,ㄒㄧˊ,席,2012-11-26
530828,antimony,銻,,51,Sb,ㄊㄧˋ,替,2012-11-26
530829,tellurium,碲,,52,Te,ㄉㄧˋ,帝,2012-11-26
530830,iodine,碘,,53,I,ㄉㄧㄢˇ,典,2012-11-26
530831,xenon,氙,,54,Xe,ㄒㄧㄢ,仙,2012-11-26
530832,caesium; cesium* ,銫,,55,Cs,ㄙㄜˋ,色,2012-11-26
530833,barium,鋇,,56,Ba,ㄅㄟˋ,貝,2012-11-26
530834,lanthanum,鑭,,57,La,ㄌㄢˊ,蘭,2012-11-26
530835,cerium,鈰,,58,Ce,ㄕˋ,市,2012-11-26
530836,praseodymium,鐠,,59,Pr,ㄆㄨˇ,普,2012-11-26
530837,neodymium,釹,,60,Nd,ㄋㄩˇ,女,2012-11-26
530838,promethium,鉕,,61,Pm,ㄆㄛˇ,叵,2012-11-26
530839,samarium,釤,,62,Sm,ㄕㄢ,杉,2012-11-26
530840,europium,銪,,63,Eu,ㄧㄡˇ,有,2012-11-26
530841,gadolinium,釓,,64,Gd,ㄍㄚˊ,軋,2012-11-26
530842,terbium,鋱,,65,Tb,ㄊㄜˋ,特,2012-11-26
530843,dysprosium,鏑,,66,Dy,ㄉㄧ,滴,2012-11-26
530844,holmium,鈥,,67,Ho,ㄏㄨㄛˇ,火,2012-11-26
530845,erbium,鉺,,68,Er,ㄦˇ,耳,2012-11-26
530846,thulium,銩,,69,Tm,ㄉㄧㄡ,丟,2012-11-26
530847,ytterbium,鐿,,70,Yb,ㄧˋ,意,2012-11-26
530848,lutetium,鎦,,71,Lu,ㄌㄧㄡˊ,留,2012-11-26
530849,hafnium,鉿,,72,Hf,ㄏㄚ,哈,2012-11-26
530850,tantalum,鉭,,73,Ta,ㄉㄢˋ,旦,2012-11-26
530851,tungsten,鎢,,74,W,ㄨ,烏,2012-11-26
530852,rhenium,錸,,75,Re,ㄌㄞˊ,來,2012-11-26
530853,osmium,鋨,,76,Os,ㄜˊ,娥,2012-11-26
530854,iridium,銥,,77,Ir,ㄧ,衣,2012-11-26
530855,platinum; platinium*,鉑,,78,Pt,ㄅㄛˊ,伯,2012-11-26
530856,gold,金,,79,Au,ㄐㄧㄣ,今,2012-11-26
530857,mercury,汞,,80,Hg,ㄍㄨㄥˇ,拱,2012-11-26
530858,thallium,鉈,,81,Tl,ㄊㄚ,他,2012-11-26
530859,lead,鉛,,82,Pb,ㄑㄧㄢ,千,2012-11-26
530860,bismuth,鉍,,83,Bi,ㄅㄧˋ,必,2012-11-26
530861,polonium,釙,,84,Po,ㄆㄛˋ,破,2012-11-26
530862,astatine,砈,,85,At,ㄜˋ,厄,2019-07-26
530863,radon,氡,,86,Rn,ㄉㄨㄥ,冬,2012-11-26
530864,francium,鍅,,87,Fr,ㄈㄚˇ,法,2012-11-26
530865,radium,鐳,,88,Ra,ㄌㄟˊ,雷,2012-11-26
530866,actinium,錒,,89,Ac,ㄚ,阿,2012-11-26
