ID,英文名稱,中文名稱,圖片,部首,音,讀,更新日期
3354108,,【口山】,,口部,ㄕㄢ,山,2018-03-20
3354109,,【口久】,,口部,ㄐㄧㄡˇ,久,2018-03-20
3354110,,吖,,口部,ㄧㄚ,鴉,2018-03-20
3354111,,【口巾】,,口部,ㄐㄧㄣ,巾,2018-03-20
3354112,,吲,,口部,ㄧㄣˇ,引,2018-03-20
3354113,,【口元】,,口部,ㄨㄢˊ,玩,2018-03-20
3354114,,呃,,口部,ㄜˋ,厄,2018-03-20
3354115,,吩,,口部,ㄈㄣ,分,2018-03-20
3354116,,呋,,口部,ㄈㄨ,夫,2018-03-20
3354117,,【口井】,,口部,ㄐㄧㄥˇ,井,2018-03-20
3354118,,吡,,口部,ㄅㄧˇ,比,2018-03-20
3354119,,呔,,口部,ㄊㄞˋ,太,2018-03-20
3354120,,呠,,口部,ㄅㄣˇ,本,2018-03-20
3354121,,呸,,口部,ㄆㄟ,胚,2018-03-20
3354122,,呱,,口部,ㄍㄨㄚ,瓜,2018-03-20
3354123,,【口末】,,口部,ㄇㄛˋ,末,2018-03-20
3354124,,咔,,口部,ㄎㄚˇ,卡,2018-03-20
3354125,,呾,,口部,ㄉㄢˋ,旦,2018-03-20
3354126,,呤,,口部,ㄌㄧㄥˊ,鈴,2018-03-20
3354127,,咹,,口部,ㄢ,安,2018-03-20
3354128,,【口叵】,,口部,ㄆㄛˇ,剖,2018-03-20
3354129,,哚,,口部,ㄉㄨㄛˇ,朵,2018-03-20
3354130,,咯,,口部,ㄌㄨㄛˋ,洛,2018-03-20
3354131,,哌,,口部,ㄆㄞˋ　,派,2018-03-20
3354132,,哢,,口部,ㄋㄨㄥˋ,弄,2018-03-20
3354133,,唑,,口部,ㄗㄨㄛˋ,坐,2018-03-20
3354134,,啶,,口部,ㄉㄧㄥˋ,定,2018-03-20
3354135,,唍,,口部,ㄨㄢˊ,完,2018-03-20
3354136,,呯,,口部,ㄆㄧㄥˊ,平,2018-03-20
3354137,,【口半】,,口部,ㄅㄢˋ,半,2018-03-20
3354138,,咁,,口部,ㄍㄢ,甘,2018-03-20
