ID,英文名稱,中文名稱,圖片,更新日期
334918,Zewail,齊威爾,,2012-11-26
334919,Wöhler,烏勒,,2012-11-26
334920,Werner,維爾納,,2012-11-26
334921,van’t Hoff,凡特何夫 ,,2012-11-26
334922,Ugarte,烏加特,,2012-11-26
334923,Torricelli,托里切利,,2012-11-26
334924,Thomson,湯姆森,,2012-11-26
334925,Taube,陶比,,2012-11-26
334926,Sørensen,索任生,,2012-11-26
334927,Smalley,斯莫里,,2018-11-07
334928,Shirakawa,白川,,2012-11-26
334929,Rydberg,芮得柏,,2012-11-26
334930,Rutherford,拉塞福,,2012-11-26
334931,Ramsay,拉姆賽,,2016-04-22
334932,Proust,普魯斯特,,2012-11-26
334933,Priestley,卜利士力,,2012-11-26
334934,Planck,普朗克,,2012-11-26
334935,Pauling,鮑林,,2012-11-26
334936,Pauli,包立,,2012-11-26
334937,Paschen,帕申,,2012-11-26
334938,Pascal ,帕斯卡,,2012-11-26
334939,P. Heroult,埃魯,,2012-11-26
334940,Ostwald,奧士華,,2012-11-26
334941,Onnes,沃斯,,2012-11-26
334942,Newton,牛頓,,2012-11-26
336873,Moseley,莫斯利,,2012-11-26
336874,Millikan,密立坎,,2012-11-26
336875,Mendeleev,門得列夫,,2012-11-26
336876,Markovnikov,馬可尼可夫,,2012-11-26
336877,Maggraf,馬格拉夫,,2012-11-26
336878,Lyman,來曼,,2012-11-26
336879,Lowry,洛瑞,,2012-11-26
336880,Liebig,李比希,,2012-11-26
336881,Lewis,路易斯,,2012-11-26
336882,Lavoisier,拉瓦節,,2012-11-26
336883,Kroto,柯羅托,,2018-11-07
336884,Kossel,柯色耳,,2012-11-26
336885,Kohlrausch,科耳洛希,,2012-11-26
336886,Kelvin,克耳文,,2012-11-26
336887,Kekulé ,克古列；克庫雷,,2021-01-26
336888,Joule,焦耳,,2012-11-26
336889,Hund,洪德,,2012-11-26
336890,Hofmann,何夫曼,,2012-11-26
336891,Hideki Shirakawa {H. Shirakawa} ,白川英樹,,2012-11-26
336892,Hess,赫斯,,2012-11-26
336893,Hertz ,赫茲 ,,2012-11-26
336894,Herschbach,赫休巴赫,,2012-11-26
336895,Henry,亨利,,2012-11-26
336896,Haber,哈柏,,2012-11-26
336897,Graham,格雷姆,,2012-11-26
336898,Gay-Lussac,給呂薩克,,2012-11-26
336899,Galileo,伽利略,,2012-11-26
336900,Florence,佛羅倫斯,,2012-11-26
336901,Faraday,法拉第 ,,2012-11-26
336902,Einstein ,愛因斯坦 ,,2012-11-26
336903,Dobereiner,徳貝萊納,,2012-11-26
336904,Dalton ,道耳頓 ,,2012-11-26
336905,Curl,柯爾,,2012-11-26
336906,Crookes,克魯克斯,,2012-11-26
336907,Charles,查理{法}；查爾斯{英},,2012-11-26
336908,Chadwick,查兌克,,2012-11-26
336909,Cerenkov; Cherenkov ,契忍可夫,,2012-11-26
336910,Cavendish,卡文迪西,,2012-11-26
336911,Buckminster Fuller,巴克明斯特•富勒,,2012-11-26
336912,Brønsted,布忍斯特,,2012-11-26
336913,Boyle,波以耳,,2012-11-26
336914,Bosch,波希,,2012-11-26
336915,Bohr,波耳,,2012-11-26
336916,Berzelius,貝吉里斯,,2012-11-26
336917,Berthollet,柏瑟列,,2012-11-26
336918,Bernoulli,白努利,,2012-11-26
336919,Bergmann,柏格曼,,2012-11-26
336920,Bartlett,巴勒,,2012-11-26
336921,Balmer,巴耳末,,2012-11-26
336922,Balard,巴拉德,,2012-11-26
336923,Avogadro,亞佛加厥,,2012-11-26
336924,Arrhenius,阿瑞尼斯,,2012-11-26
17634350,Lise Meitner,莉澤·邁特納,,2022-07-15
