ID,英文名稱,中文名稱,圖片,更新日期
80942,nonlinear optical crystal,非線性光學晶體,,2012-11-26
181177,uncontrollable factor,不可控因素,,2012-11-26
181178,unconformability; unconformity,非整合性,,2012-11-26
181179,uncompetitive inhibition,非競爭型抑制,,2012-11-26
181180,unconditional transfer,無條件轉移,,2012-11-26
181181,uncompensated heat,非補償熱,,2012-11-26
181182,uncoated lens,無鍍膜透鏡,,2012-11-26
181183,unclean bomb,髒彈,,2012-11-26
181184,uncoated laser,無鍍膜雷射,,2012-11-26
181185,uncharged carrier electrode,未荷電載體電極,,2012-11-26
181186,uncharged carrier,未荷電載體,,2012-11-26
181187,uncharged acid,未荷電酸,,2012-11-26
181188,uncertainty relation,測不準關係,,2012-11-26
181189,uncertainty principle,測不準原理,,2012-11-26
181190,uncertainty,不確定度；不準度,,2012-11-26
181191,uncertain systematic error,未定系統誤差,,2012-11-26
181192,unbound water,非結合水,,2012-11-26
181193,unburned brick,不燒磚,,2012-11-26
181194,unbleached pulp,未漂白紙漿,,2012-11-26
181195,unbiased test,無偏檢驗,,2012-11-26
181196,unbiased statistics,無偏統計,,2012-11-26
181197,unbiased sample,無偏樣本,,2012-11-26
181198,unbiased estimator,無偏估計值；無偏估計量,,2012-11-26
181199,unbiased estimate of population variance,均方；總體變異無偏估計,,2012-11-26
181200,unbiased,無偏性,,2012-11-26
181201,unattackable electrode,不可侵害電極,,2012-11-26
181202,unactivated state,未活化態,,2012-11-26
181203,umpolung,極性逆轉；極性反轉,,2015-04-29
181204,umpire analysis,仲裁分析,,2012-11-26
181205,U-mode ,U型,,2012-11-26
181206,umbelliferone,繖[形]酮,,2012-11-26
181207,ultraviolet-visible-photoacoustic spectrometer {= UV-vis-PAS},紫外-可見光-光聲光譜儀,,2012-11-26
181208,ultraviolet-visible spectrophotometer,紫外-可見光分光光度計,,2012-11-26
181209,ultraviolet-visible effluent monitor,紫外-可見光流出物監測器,,2012-11-26
181210,ultraviolet-visible detector,紫外-可見光偵檢器,,2012-11-26
181211,ultraviolet-visible colorimeter monitor,紫外-可見光比色監控器,,2012-11-26
181212,ultraviolet spectrum,紫外光譜,,2012-11-26
181213,ultraviolet spectroscopy,紫外光譜學；紫外光譜法,,2012-11-26
181214,ultraviolet spectrophotometry,紫外線光譜測定法,,2012-11-26
181215,ultraviolet spectrometry,紫外光譜法,,2012-11-26
181216,ultraviolet spectrometer,紫外光譜儀,,2012-11-26
181217,ultraviolet spectrograph,紫外線攝譜儀,,2012-11-26
181218,ultraviolet spectrogram,紫外光譜圖,,2012-11-26
181219,ultraviolet region,紫外[光]區,,2012-11-26
181220,ultraviolet sensitive paper,紫外[光]感光紙,,2012-11-26
181221,ultraviolet ray transmitting glass,紫外線透光玻璃,,2012-11-26
181222,ultraviolet ray microscope,紫外線顯微鏡,,2012-11-26
181223,ultraviolet ray intercepting glass,紫外[線]吸收玻璃；防紫外線玻璃,,2012-11-26
181224,ultraviolet ray filter,紫外線濾光片,,2012-11-26
181225,ultraviolet ray absorbing glass,紫外線吸光玻璃  ,,2012-11-26
181226,ultraviolet radiation,紫外線輻射,,2012-11-26
181227,ultraviolet plate,紫外感光板,,2012-11-26
181228,ultraviolet photometric titration,紫外線光度滴定[法],,2012-11-26
181229,ultraviolet photoelectron spectroscopy {= UPS},紫外光電子光譜學；紫外光電子光譜法,,2012-11-26
181230,ultraviolet photoelectron spectrometry {= UPS},紫外光電子光譜法,,2012-11-26
181231,ultraviolet monitor,紫外監測器,,2012-11-26
181232,ultraviolet light,紫外光,,2012-11-26
181233,ultraviolet laser,紫外雷射,,2012-11-26
181234,ultraviolet lamp; ultraviolet ray lamp,紫外線燈,,2012-11-26
181235,ultraviolet ionizing laser,紫外離子化雷射,,2012-11-26
181236,ultraviolet detector,紫外偵檢器,,2012-11-26
181237,ultraviolet fluorescence {= UVF},紫外螢光,,2012-11-26
181238,ultraviolet and visible light detector,紫外及可見光偵檢器,,2012-11-26
181239,ultraviolet absorption spectrum,紫外吸收光譜,,2012-11-26
181240,ultraviolet absorption spectrometry,紫外吸收光譜法,,2012-11-26
181241,ultraviolet absorption detector,紫外吸收偵檢器,,2012-11-26
181242,ultraviolet absorption,紫外線吸收,,2012-11-26
