ID,英文名稱,中文名稱,圖片,更新日期
273208,zygacine,棋盤花生鹼,207.0,2012-11-26
273209,yohimbine,育亨賓[鹼],211.0,2012-11-26
273210,xanthoplanine,竹葉椒鹼,214.0,2012-11-26
273211,xanthaline,鴨片黃鹼,216.0,2012-11-26
273212,wilfordine,雷公藤鹼,218.0,2012-11-26
273213,vomicine,番木虌次鹼,221.0,2012-11-26
273214,vittatine,條紋鹼,222.0,2012-11-26
273215,viridiflorine,綠花倒提壺鹼,224.0,2012-11-26
273216,vindolinine,長春尼寧；文采尼寧鹼,227.0,2012-11-26
273217,vindoline,長春多寧；文朵靈鹼,229.0,2012-11-26
273218,vincristine,長春新鹼,231.0,2012-11-26
273219,vincoline,長春考靈；文考靈鹼,234.0,2012-11-26
273220,vinblastine,長春鹼,236.0,2012-11-26
273221,venoterpine,喜樹次鹼,238.0,2012-11-26
273222,vellosimine,維洛斯明鹼,240.0,2012-11-26
273223,vasicolinone,鴨嘴花考林酮鹼,244.0,2012-11-26
273224,valerine,纈草鹼,246.0,2012-11-26
273225,ushinsunine,黃心樹寧鹼,248.0,2012-11-26
273226,usaramine,光萼豬屎豆鹼,250.0,2012-11-26
273227,tylocrebrine,娃兒藤鹼,252.0,2012-11-26
273228,tuduranine,土藤鹼,254.0,2012-11-26
273229,tuberostemonine,對葉百部鹼,256.0,2012-11-26
273230,tropine,托品鹼,258.0,2012-11-26
273231,trilobine,木防己鹼,260.0,2012-11-26
273232,trigonelline,葫蘆巴鹼,262.0,2012-11-26
273233,trichodesmine,毛束草鹼,264.0,2012-11-26
273234,triacanthin,三刺皂莢鹼,265.0,2012-11-26
273235,tomatine,番茄鹼,268.0,2012-11-26
273236,thermopsine,黃華鹼,273.0,2012-11-26
273237,theophylline,茶鹼,274.0,2012-11-26
273238,theobromine,可可豆鹼,277.0,2012-11-26
273239,thebaine,蒂巴因[鹼],279.0,2012-11-26
273240,thalidezine,芬式唐松草[真]鹼,282.0,2012-11-26
273241,thalictricine,黃唐松草生鹼；黃唐松草星鹼,284.0,2012-11-26
273242,thalicsimidine,箭頭唐松草米定鹼,286.0,2012-11-26
273243,thalicmine,小唐松草鹼,287.0,2012-11-26
273244,thalicberine,唐松草檗鹼,288.0,2012-11-26
273245,thalfoetidine,香唐松草鹼,290.0,2012-11-26
273246,thalcimine,箭頭唐松草鹼,291.0,2012-11-26
273247,tetrodotoxin,河豚毒素,293.0,2012-11-26
273248,tetrandrine,漢防己鹼；粉防己鹼,295.0,2012-11-26
273249,terminaline,粉蕊黃楊醇鹼,296.0,2012-11-26
273250,tazettine,多花水仙鹼,298.0,2012-11-26
273251,taxol,紫杉醇,300.0,2012-11-26
273252,takatonine,高唐鹼,303.0,2012-11-26
273253,tabersonine,水甘草鹼；它波寧,305.0,2012-11-26
273254,stylopine,人血草鹼,306.0,2012-11-26
273255,strychnine,番木虌鹼,307.0,2012-11-26
273256,steponine,異千金藤鹼,308.0,2012-11-26
273257,stepholidine,光千金藤定鹼,309.0,2012-11-26
273258,stepharine,光千金藤鹼,311.0,2012-11-26
273259,stephanine,千金藤鹼,313.0,2012-11-26
273260,ste(i)nine,百步次鹼,320.0,2012-11-26
273261,stemoine,百部鹼,321.0,2012-11-26
273262,stebisimine,千金藤比斯鹼,322.0,2012-11-26
273263,stachydrine,水蘇鹼,323.0,2012-11-26
273264,spiropachysine,螺粉蕊黃楊鹼,324.0,2012-11-26
273265,spiradine A,繡線菊鹼A,327.0,2012-11-26
273266,sparteine,鷹爪豆鹼,328.0,2012-11-26
273267,sophoridine,槐定鹼,330.0,2012-11-26
273268,sophoramine,槐胺鹼,333.0,2012-11-26
273269,sophocarpine,槐根鹼,335.0,2012-11-26
273270,songorine,準葛爾烏頭鹼,337.0,2012-11-26
273271,solasurine,刺茄鹼,339.0,2012-11-26
273272,solasonine,澳洲茄鹼,341.0,2012-11-26
273273,solanocapsine,毛葉冬珊瑚鹼,343.0,2012-11-26
