ID,英文名稱,中文名稱,圖片,化學式,更新日期
334697,sodium diethyl dithiocarbamate,二乙二硫胺甲酸鈉,,(C<Sub>2</Sub><Font>H</Font><Sub>5</Sub><Font>)</Font><Sub>2</Sub><Font>NCS</Font><Sub>2</Sub><Font>Na</Font>,2012-11-26
334698,"sodium 2,4-dichloro-phenoxyacetate","2,4-二氯苯氧乙酸鈉",,Cl<Sub>2</Sub><Font>C</Font><Sub>6</Sub><Font>H</Font><Sub>3</Sub><Font>OCH</Font><Sub>2</Sub><Font>COONa</Font>,2012-11-26
334699,sodium cyclohexylsulfamate,環己胺磺酸鈉,,C<Sub>6</Sub><Font>H</Font><Sub>11</Sub><Font>NHSO</Font><Sub>3</Sub><Font>Na</Font>,2012-11-26
334700,"sodium citrazinate; sodium 2,6-dihydroxy-isonicotinate","西吖酸鈉；2,6-二羥異菸鹼酸鈉",,C<Sub>6</Sub><Font>H</Font><Sub>4</Sub><Font>NO</Font><Sub>4</Sub><Font>Na</Font>,2012-11-26
334701,sodium cinnamate,桂皮酸鈉；肉桂酸鈉,,<p>NaC<sub>9</sub>H<sub>7</sub>O<sub>2</sub></p>,2012-11-26
334702,sodium citrate,檸檬酸鈉,,Na<Sub>3</Sub><Font>C</Font><Sub>6</Sub><Font>H</Font><Sub>5</Sub><Font>O</Font><Sub>7</Sub>,2012-11-26
334703,sodium chloroacetate,氯乙酸鈉,,ClCH<Sub>2</Sub><Font>COONa</Font>,2012-11-26
334704,sodium catechol acetate,兒茶酚乙酸鈉,,Na(HOC<Sub>6</Sub><Font>H</Font><Sub>4</Sub><Font>OCH</Font><Sub>2</Sub><Font>COO)</Font>,2012-11-26
334705,sodium carbide; sodium acetylide,碳化鈉；乙炔鈉,,Na<Sub>2</Sub><Font>C</Font><Sub>2</Sub>,2012-11-26
334706,sodium carbolate,石炭酸鈉；酚鈉,,C<Sub>6</Sub><Font>H</Font><Sub>5</Sub><Font>ONa</Font>,2012-11-26
334707,sodium caproate,己酸鈉,,C<Sub>5</Sub><Font>H</Font><Sub>11</Sub><Font>COONa</Font>,2012-11-26
334708,sodium caprylate,辛酸鈉,,C<Sub>7</Sub><Font>H</Font><Sub>15</Sub><Font>COONa</Font>,2012-11-26
334709,sodium caprate,癸酸鈉,,C<Sub>9</Sub><Font>H</Font><Sub>19</Sub><Font>COONa</Font>,2012-11-26
334710,sodium butylate,丁醇鈉,,<p>C<sub>4</sub>H<sub>9</sub>ONa</p>,2012-11-26
