ID,英文名稱,中文名稱,圖片,類號,化學式,更新日期
454292,α-tolueneboronic acid; benzylboric acid,苄硼酸,,11098,"<Font html:Color=""#000000"">C</Font><Sub><Fonthtml:Color=""#000000"">6</Font></Sub><Font html:Color=""#000000"">H</Font><Sub><Fonthtml:Color=""#000000"">5</Font></Sub><Font html:Color=""#000000"">CH</Font><Sub><Fonthtml:Color=""#000000"">2</Font></Sub><Font html:Color=""#000000"">B(OH)</Font><Sub><Fonthtml:Color=""#000000"">2</Font></Sub>",2012-11-26
454296,zinc tetraborate,四硼酸鋅,,化學化合物,"<Font html:Color=""#000000"">ZnB</Font><Sub><Fonthtml:Color=""#000000"">4</Font></Sub><Font html:Color=""#000000"">O</Font><Sub><Fonthtml:Color=""#000000"">7</Font></Sub>",2012-11-26
454297,zinc metaborate,偏硼酸鋅,,化學化合物,"<Font html:Color=""#000000"">Zn(BO</Font><Sub><Fonthtml:Color=""#000000"">2</Font></Sub><Font html:Color=""#000000"">)</Font><Sub><Fonthtml:Color=""#000000"">2</Font></Sub>",2012-11-26
454298,uranium boron hydride,硼氫化鈾(IV),,化學化合物,"<Font html:Color=""#000000"">U(BH</Font><Sub><Fonthtml:Color=""#000000"">4</Font></Sub><Font html:Color=""#000000"">)</Font><Sub><Fonthtml:Color=""#000000"">4</Font></Sub>",2012-11-26
454299,zinc borate,硼酸鋅,,化學化合物,"<Font html:Color=""#000000"">3ZnO·2B</Font><Sub><Fonthtml:Color=""#000000"">2</Font></Sub><Font html:Color=""#000000"">O</Font><Sub><Fonthtml:Color=""#000000"">3</Font></Sub>",2012-11-26
454300,tri-α-naphthylborine,三-α-萘硼[烷],,11509,"<Font html:Color=""#000000"">B(C</Font><Sub><Fonthtml:Color=""#000000"">10</Font></Sub><Font html:Color=""#000000"">H</Font><Sub><Fonthtml:Color=""#000000"">7</Font></Sub><Font html:Color=""#000000"">)</Font><Sub><Fonthtml:Color=""#000000"">3</Font></Sub>",2012-11-26
454301,tri-β-naphthyl borate,硼酸三-β-萘酯,,化學化合物,"<Font html:Color=""#000000"">B(OC</Font><Sub><Fonthtml:Color=""#000000"">10</Font></Sub><Font html:Color=""#000000"">H</Font><Sub><Fonthtml:Color=""#000000"">7</Font></Sub><Font html:Color=""#000000"">)</Font><Sub><Fonthtml:Color=""#000000"">3</Font></Sub>",2012-11-26
454302,tri-tert-butylborine,參三級-丁硼[烷],,11244,"<Font html:Color=""#000000"">B(C</Font><Sub><Fonthtml:Color=""#000000"">4</Font></Sub><Font html:Color=""#000000"">H</Font><Sub><Fonthtml:Color=""#000000"">9</Font></Sub><Font html:Color=""#000000"">)</Font><Sub><Fonthtml:Color=""#000000"">3</Font></Sub>",2021-09-28
454303,tri-p-xylylborine,三對茬硼[烷],,11609,"<Font html:Color=""#000000"">B(CH</Font><Sub><Fonthtml:Color=""#000000"">3</Font></Sub><Font html:Color=""#000000"">C</Font><Sub><Fonthtml:Color=""#000000"">6</Font></Sub><Font html:Color=""#000000"">H</Font><Sub><Fonthtml:Color=""#000000"">3</Font></Sub><Font html:Color=""#000000"">CH</Font><Sub><Fonthtml:Color=""#000000"">3</Font></Sub><Font html:Color=""#000000"">)</Font><Sub><Fonthtml:Color=""#000000"">3</Font></Sub>",2012-11-26
454304,tripropylborine; tripropylborane; tripropylboron,三丙硼[烷],,11567,"<Font html:Color=""#000000"">B(C</Font><Sub><Fonthtml:Color=""#000000"">3</Font></Sub><Font html:Color=""#000000"">H</Font><Sub><Fonthtml:Color=""#000000"">7</Font></Sub><Font html:Color=""#000000"">)</Font><Sub><Fonthtml:Color=""#000000"">3</Font></Sub>",2012-11-26
