ID,英文名稱,中文名稱,圖片,中國大陸譯名,更新日期
2928574,abatement,減量；降低,,减量,2017-06-03
2928575,abherent,防黏著劑,,防粘剂,2017-06-03
2928576,ablation,剝蝕,,烧蚀,2017-06-03
2928577,abnormal reaction,異常反應,,非正常反应,2017-06-03
2928578,abrasion,磨耗；磨损,,磨损,2017-06-03
2928579,abrasion index,磨耗指數,,磨耗指数,2017-06-03
2928580,abrasion resistance,耐磨性；磨耗阻力,,耐磨性,2017-06-03
2928581,abrasion test,磨耗試驗,,磨耗试验,2017-06-03
2928582,abrasive,[研]磨料,,磨料,2017-06-03
2928583,abrasive cleaner,擦潔劑,,擦洗剂,2017-06-03
2928584,abrasive paper,磨擦紙；砂紙,,砂纸,2017-06-03
2928585,abrasiveness,抗磨性,,磨耗度,2017-06-03
2928586,absinthium,苦艾,,苦艾,2017-06-03
2928587,absolute alcohol,無水酒精，絕對酒精,,无水乙醇,2017-06-03
2928588,absolute boiling point,絕對沸點,,绝对沸点,2017-06-03
2928589,absolute color value,絕對色值,,绝对色值,2017-06-03
2928590,absolute counting,絕對計數,,绝对计数,2017-06-03
2928591,absolute deviation,絕對偏差,,绝对偏差,2017-06-03
2928592,absolute dry fiber,絕對乾纖維,,绝对干纤维,2017-06-03
2928593,absolute entropy,絕對熵,,绝对熵,2017-06-03
2928594,absolute humidity,絕對濕度,,绝对湿度,2017-06-03
2928595,absolute juice,原汁,,原汁,2017-06-03
2928596,absolute moisture content,絕對含水量,,绝对湿含量,2017-06-03
2928597,absolute pressure,絕對壓力,,绝对压力,2017-06-03
2928598,absolute pressure gauge,絕對壓力計,,绝对压力计,2017-06-03
2928599,absolute reaction rate,絕對反應速率,,绝对反应速率,2017-06-03
2928600,absolute specificity,絕對專一性,,绝对专一性,2017-06-03
2928601,absolute stability,絕對穩定性,,绝对稳定性,2017-06-03
2928602,absolute temperature,絕對溫度,,绝对温度,2017-06-03
2928603,absolute thermodynamic temperature scale,絕對熱力溫標,,绝对热力学温标,2017-06-03
2928604,absolute turbidity,絕對濁度,,绝对浊度,2017-06-03
2928605,absolute value,絕對值,,绝对值,2017-06-03
2928606,absolute viscosity,絕對黏度,,绝对黏度,2017-06-03
2928607,absolute zero,絕對零度,,绝对零度,2017-06-03
2928608,absorbance,吸收率；吸光度,,吸光度,2017-06-03
2928609,absorbed dose,吸收劑量,,吸收剂量,2017-06-03
2928610,absorbency curve,吸收率曲線,,吸收度曲线,2017-06-03
2928611,absorbent,吸收劑,,吸收剂,2017-06-03
2928612,absorbent bed,吸收床,,吸收层,2017-06-03
2928613,absorbent cellulose,吸收性纖維素,,吸收性纤维素,2017-06-03
2928614,absorbent filter,吸收過濾器,,吸收过滤器,2017-06-03
2928615,absorber,吸收塔；吸收槽；吸收器,,吸收器,2017-06-03
2928616,absorbing apparatus,吸收裝置,,吸收装置,2017-06-03
2928617,absorption,吸收,,吸收,2017-06-03
2928618,absorption band,吸收帶；吸光帶,,吸收谱带,2017-06-03
2928619,absorption base,吸收基質,,吸收基质,2017-06-03
2928620,absorption cell,吸收槽,,吸收池,2017-06-03
2928621,absorption chromatography,吸收層析[法],,吸收色谱,2017-06-03
2928622,absorption coefficient,吸收係數,,吸收系数,2017-06-03
2928623,absorption column,吸收管；吸收塔,,吸收柱,2017-06-03
2928624,absorption correction,吸收修正,,吸收校正,2017-06-03
2928625,absorption cross-section,吸收截面,,吸收截面,2017-06-03
2928626,absorption curve,吸收曲線,,吸收曲线,2017-06-03
2928627,absorption discontinuity,吸收不連續性,,吸收不连续性,2017-06-03
2928628,absorption factor,吸收因子；吸收因數,,吸收因子,2017-06-03
2928629,absorption field,吸收場,,吸收场,2017-06-03
2928630,absorption heat,吸收熱,,吸收热,2017-06-03
2928631,absorption index,吸收指數,,吸收指数,2017-06-03
2928632,absorption indicator,吸收指示劑,,吸收指示剂,2017-06-03
2928633,absorption isotherm,吸收等溫線,,吸收等温线,2017-06-03
2928634,absorption number,吸收數,,吸收数,2017-06-03
2928635,absorption oil,吸收油,,吸收油,2017-06-03
2928636,absorption ointment base,吸收性軟膏基,,吸收性软膏基,2017-06-03
2928637,absorption power,吸收能力,,吸收能力,2017-06-03
2928638,absorption process,吸收程序,,吸收过程,2017-06-03
2928639,absorption rate,吸收速率,,吸收速率,2017-06-03
2928640,absorption ratio,吸收比,,吸收率,2017-06-03
2928641,absorption reaction,吸收反應,,吸收反应,2017-06-03
2928642,absorption refrigeration,吸收[式]製冷,,吸收制冷,2017-06-03
2928643,absorption spectrum,吸收光譜,,吸收光谱,2017-06-03
2928644,absorption system,吸收系統,,吸收系统,2017-06-03
2928645,absorption test,吸收試驗,,吸收试验,2017-06-03
2928646,absorption tower,吸收塔,,吸收塔,2017-06-03
2928647,absorptive-type filter,吸收式濾器,,吸收式过滤器,2017-06-03
2928648,absorptivity,吸收率,,吸收率,2017-06-03
2928649,abundance,豐度,,丰度,2017-06-03
2928650,abundance curve,豐度曲線,,丰度曲线,2017-06-03
2928651,abutment,拱臺,,支座,2017-06-03
2928652,acaricide,殺蟎劑,,杀螨剂,2017-06-03
2928653,accelerated aging,加速老化,,加速老化,2017-06-03
2928654,accelerated cement,快乾水泥；速凝水泥,,速凝水泥,2017-06-03
2928655,accelerated gum,速成膠,,速成胶质,2017-06-03
2928656,acceleration error coefficient,加速誤差係數,,加速度误差系数,2017-06-03
2928657,accelerator,加速器；加速劑,,加速剂，加速器,2017-06-03
2928658,accelerator of vulcanization,硫化加速劑,,硫化加速剂,2017-06-03
2928659,accelerometer,加速計,,加速度计,2017-06-03
2928660,acceptable quality level,合格品質水準,,合格质量标准,2017-06-03
2928661,acceptable return,可接受[的]報酬,,可接受报酬,2017-06-03
2928662,acceptance sampling,驗收取樣,,验收抽样,2017-06-03
