ID,英文名稱,中文名稱,圖片,更新日期
3288905,abatement,減量；降低,,2018-03-15
3288906,abherent,防黏著劑,,2018-03-15
3288907,ablation,剝蝕,,2018-03-15
3288908,abnormal reaction,異常反應,,2018-03-15
3288909,abrasion,磨耗；磨损,,2018-03-15
3288910,abrasion index,磨耗指數,,2018-03-15
3288911,abrasion resistance,耐磨性；磨耗阻力,,2018-03-15
3288912,abrasion test,磨耗試驗,,2018-03-15
3288913,abrasive,[研]磨料,,2018-03-15
3288914,abrasive cleaner,擦潔劑,,2018-03-15
3288915,abrasive paper,磨擦紙；砂紙,,2018-03-15
3288916,abrasiveness,抗磨性,,2018-03-15
3288917,ABS{acrylonitrile-butadiene-styrene resin},丙烯腈/丁二烯/苯乙烯樹脂,,2018-03-15
3288918,absinthium,苦艾,,2018-03-15
3288919,absolute alcohol,無水酒精；絕對酒精,,2018-03-15
3288920,absolute boiling point,絕對沸點,,2018-03-15
3288921,absolute color value,絕對色值,,2018-03-15
3288922,absolute counting,絕對計數,,2018-03-15
3288923,absolute deviation,絕對偏差,,2018-03-15
3288924,absolute dry fiber,絕對乾纖維,,2018-03-15
3288925,absolute entropy,絕對熵,,2018-03-15
3288926,absolute humidity,絕對濕度,,2018-03-15
3288927,absolute juice,原汁,,2018-03-15
3288928,absolute moisture content,絕對含水量,,2018-03-15
3288929,absolute pressure,絕對壓力,,2018-03-15
3288930,absolute pressure gauge,絕對壓力計,,2018-03-15
3288931,absolute reaction rate,絕對反應速率,,2018-03-15
3288932,absolute specificity,絕對專一性,,2018-03-15
3288933,absolute stability,絕對穩定性,,2018-03-15
3288934,absolute temperature,絕對溫度,,2018-03-15
3288935,absolute thermodynamic temperature scale,絕對熱力溫標,,2018-03-15
3288936,absolute turbidity,絕對濁度,,2018-03-15
3288937,absolute value,絕對值,,2018-03-15
3288938,absolute viscosity,絕對黏度,,2018-03-15
3288939,absolute zero,絕對零度,,2018-03-15
3288940,absorbance,吸收率；吸光度,,2018-03-15
3288941,absorbed dose,吸收劑量,,2018-03-15
3288942,absorbency curve,吸收率曲線,,2018-03-15
3288943,absorbent,吸收劑,,2018-03-15
3288944,absorbent bed,吸收床,,2018-03-15
3288945,absorbent cellulose,吸收性纖維素,,2018-03-15
3288946,absorbent filter,吸收過濾器,,2018-03-15
3288947,absorber,吸收塔；吸收槽；吸收器,,2018-03-15
3288948,absorbing apparatus,吸收裝置,,2018-03-15
3288949,absorption,吸收,,2018-03-15
3288950,absorption band,吸收帶；吸光帶,,2018-03-15
3288951,absorption base,吸收基質,,2018-03-15
3288952,absorption cell,吸收槽,,2018-03-15
3288953,absorption chromatography,吸收層析[法],,2018-03-15
3288954,absorption coefficient,吸收係數,,2018-03-15
3288955,absorption column,吸收管；吸收塔,,2018-03-15
3288956,absorption correction,吸收修正,,2018-03-15
3288957,absorption cross-section,吸收截面,,2018-03-15
3288958,absorption curve,吸收曲線,,2018-03-15
3288959,absorption discontinuity,吸收不連續性,,2018-03-15
3288960,absorption factor,吸收因子；吸收因數,,2018-03-15
3288961,absorption field,吸收場,,2018-03-15
3288962,absorption heat,吸收熱,,2018-03-15
3288963,absorption index,吸收指數,,2018-03-15
3288964,absorption indicator,吸收指示劑,,2018-03-15
3288965,absorption isotherm,吸收等溫線,,2018-03-15
3288966,absorption number,吸收數,,2018-03-15
3288967,absorption oil,吸收油,,2018-03-15
3288968,absorption ointment base,吸收性軟膏基,,2018-03-15
3288969,absorption power,吸收能力,,2018-03-15
3288970,absorption process,吸收程序,,2018-03-15
3288971,absorption rate,吸收速率,,2018-03-15
3288972,absorption ratio,吸收比,,2018-03-15
3288973,absorption reaction,吸收反應,,2018-03-15
3288974,absorption refrigeration,吸收[式]製冷,,2018-03-15
3288975,absorption spectrum,吸收光譜,,2018-03-15
3288976,absorption system,吸收系統,,2018-03-15
3288977,absorption test,吸收試驗,,2018-03-15
3288978,absorption tower,吸收塔,,2018-03-15
3288979,absorptive-type filter,吸收式濾器,,2018-03-15
3288980,absorptivity,吸收率,,2018-03-15
3288981,abundance,豐度,,2018-03-15
3288982,abundance curve,豐度曲線,,2018-03-15
3288983,abutment,拱臺,,2018-03-15
3288984,acaricide,殺蟎劑,,2018-03-15
3288985,accelerated aging,加速老化,,2018-03-15
3288986,accelerated cement,快乾水泥；速凝水泥,,2018-03-15
3288987,accelerated gum,速成膠,,2018-03-15
3288988,acceleration error coefficient,加速誤差係數,,2018-03-15
3288989,accelerator,加速器；加速劑,,2018-03-15
3288990,accelerator of vulcanization,硫化加速劑,,2018-03-15
3288991,accelerometer,加速計,,2018-03-15
3288992,acceptable quality level,合格品質水準,,2018-03-15
3288993,acceptable return,可接受[的]報酬,,2018-03-15
3288994,acceptance sampling,驗收取樣,,2018-03-15
3288995,acceptance sampling plan,驗收取樣計畫,,2018-03-15
3288996,acceptance test,驗收試驗,,2018-03-15
3288997,acceptor,受體；接收器,,2018-03-15
3288998,acclimation,馴化,,2018-03-15
3288999,acclimation sludge,馴化污泥,,2018-03-15
3289000,accumulation rate,累積速率,,2018-03-15
3289001,accumulative crystallization,聚集結晶,,2018-03-15
3289002,accuracy,準確度；準確性,,2018-03-15
3289003,acentric factor,偏心因子,,2018-03-15
3289004,acetal,縮醛,,2018-03-15
3289005,acetal resin,縮醛樹脂,,2018-03-15
3289006,acetate film,醋酸酯膜；乙酸酯膜,,2018-03-15
3289007,acetate rayon,醋酸嫘縈；乙酸嫘縈,,2018-03-15
3289008,acetic acid bacteria,醋酸菌,,2018-03-15
3289009,acetonitrile,乙腈,,2018-03-15
3289010,acetyl cellulose,乙酸纖維素；醋酸纖維素,,2018-03-15
3289011,acetyl value,乙醯值,,2018-03-15
3289012,acetylation,乙醯化,,2018-03-15
3289013,acetylene black,乙炔黑,,2018-03-15
3289014,achromycin,鉑黴素{四環素},,2018-03-15
3289015,acid acceptor,酸受體,,2018-03-15
3289016,acid catalysis,酸催化,,2018-03-15
3289017,acid chrome dye,酸性鉻媒染料,,2018-03-15
3289018,acid color,酸性染料,,2018-03-15
3289019,acid component,酸性成分,,2018-03-15
3289020,acid cooler,酸冷卻器,,2018-03-15
3289021,acid dye,酸性染料,,2018-03-15
3289022,acid feed box,飼酸箱,,2018-03-15
3289023,acid fertilizer,酸性肥料,,2018-03-15
3289024,acid firebrick,酸性耐火磚,,2018-03-15
3289025,acid fume,酸煙,,2018-03-15
3289026,acid gas,酸性氣體,,2018-03-15
3289027,acid measuring tank,量酸槽,,2018-03-15
3289028,acid mist,酸霧,,2018-03-15
3289029,acid number,酸值,,2018-03-15
3289030,acid process,酸法,,2018-03-15
3289031,acid pump,酸泵,,2018-03-15
3289032,acid rain,酸雨,,2018-03-15
3289033,acid refractory,酸性耐火材,,2018-03-15
3289034,acid refractory brick,酸性耐火磚,,2018-03-15
3289035,acid resistance,耐酸性,,2018-03-15
3289036,acid resistant,耐酸,,2018-03-15
3289037,acid sludge,酸性污泥,,2018-03-15
3289038,acid tank,酸液儲槽,,2018-03-15
3289039,acid tank car,酸槽車,,2018-03-15
3289040,acid-forming bacteria,產酸[細]菌,,2018-03-15
3289041,acidic catalysis,酸性催化[作用],,2018-03-15
3289042,acidic catalyst,酸性觸媒,,2018-03-15
3289043,acidification,酸化,,2018-03-15
3289044,acidifier,酸化劑,,2018-03-15
3289045,acidity,酸性；酸度,,2018-03-15
3289046,acidity index,酸度指數,,2018-03-15
