ID,英文名稱,中文名稱,圖片,備註,更新日期
1954646,Yangqiao Hall,仰喬樓,,,2013-10-08
1954647,General Affairs Office,秘書室,,,2013-10-08
1954648,Documentation (Section),a.文書,,,2013-10-08
1954649,Cashier (Section),b.出納,,,2013-10-08
1954650,Engineering & Maintenance (Section),c.工務組,,,2013-10-08
1954651,Drivers' Lounge,d.駕駛室,,,2013-10-08
1954652,Tea & Water Room,e.茶水間,,,2013-10-08
1954653,Archive Room,f.檔案開放應用區,,,2013-10-08
1954654,Wheelchair Accesible Restroom,g.專用廁所,,,2013-10-08
1954655,R&D and International Affairs Office,1.綜合規劃室,,,2013-10-08
1954656,Testing & Assessment Research Center,2.測驗及評量研究中心,,,2013-10-08
1954657,President's Office,3.院長室,,,2013-10-08
1954658,Vice President's Office,a.副院長室,,,2013-10-08
1954659,Chief Secretary's Office,b.主任秘書室,,,2013-10-08
1954660,NAER History Room,Object,,,2013-10-08
1954661,Conference Room,d.會議室,,,2013-10-08
1954662,Personnel Office,4. 人事室,,,2013-10-08
1954663,Accounting & Statistics Office,5. 主計室,,,2013-10-08
1954664,Duosheng Hall,鐸聲館,,,2013-10-08
1954665,Education System & Policy Research Center,6.教育制度及政策研究中心,,,2013-10-08
1954666,Conference Room,a.會議室,,,2013-10-08
1954667,Janitor's Room / Janitor,b.管理室,,,2013-10-08
1954668,Electrical Control Room,c.電氣室,,,2013-10-08
1954669,Multifunction Classroom,d.綜合教室,,,2013-10-08
1954670,VIP Room,e.貴賓室,,,2013-10-08
1954671,Display Room,f.展示室,,,2013-10-08
1954672,Director's Office,g.主任室,,,2013-10-08
1954673,Media Lab,h.媒體工作室,,,2013-10-08
1954674,Researchers' Rooms,i.研究人員研究室,,,2013-10-08
1954675,Network Server Room,j.網路主機房,,,2013-10-08
1954676,Meeting Room,k.討論室,,,2013-10-08
1954677,IT Taskforce,l.資訊推動小組,,,2013-10-08
1954678,Chuanxi Hall,傳習苑,,,2013-10-08
1954679,Liangshi Hall,良師園,,,2013-10-08
1954680,Staff Residence,單身宿舍,,,2013-10-08
1954681,Educational Leadership & Professional Development Center,7.教育人力及發展中心,,,2013-10-08
1954682,Multifunction Classroom,a.綜合教室,,,2013-10-08
1954683,Janitor's Room / Janitor,b.管理室,,,2013-10-08
1954684,VIP Room,c.貴賓室,,,2013-10-08
1954685,Health Station,d.保健室,,,2013-10-08
1954686,Dormitory,e.寢室,,,2013-10-08
1954687,Lounge,f.交誼廳,,,2013-10-08
1954688,Breastfeeding Room,g.哺集乳室,,,2013-10-08
1954689,Wenhui Hall,文薈堂,,,2013-10-08
1954690,Wenhui Dining Hall,文薈堂餐廳,,,2013-10-08
1954691,Dining Hall,餐廳,,,2013-10-08
1954692,Auditorium,大禮堂,,,2013-10-08
1954693,Alumni Association,院友會,,,2013-10-08
1954694,Fitness Room,健身房,,,2013-10-08
