ID,英文名稱,中文名稱,圖片,更新日期
17602698,land arm,著陸桿,,2022-07-15
17602699,land arm mode,預備降落模式,,2022-07-15
17602700,land attack missile,攻陸飛彈,,2022-07-15
17602701,land base system,岸站系統,,2022-07-15
17602702,land boundary,陸界,,2022-07-15
17602703,land breeze,陸上微風，陸風,,2022-07-15
17602704,land campaign,陸上戰役,,2022-07-15
17602705,land combat support system,陸戰支援系統,,2022-07-15
17602706,land configuration,地形,,2022-07-15
17602707,land control,制陸,,2022-07-15
17602708,land control operations,陸地管制作戰,,2022-07-15
17602709,land dredger,挖泥機,,2022-07-15
17602710,land effect,地面效應,,2022-07-15
17602711,land forces,地面部隊,,2022-07-15
17602712,land line,電報線，電話線,,2022-07-15
17602713,land mile,哩,,2022-07-15
17602714,land mine,地雷，陸雷，空投雷,,2022-07-15
17602715,land navigation,陸上方位判定，陸地導航術，地面導航,,2022-07-15
17602716,land odograph,陸地計距器,,2022-07-15
17602717,land power,陸權，陸權國，陸軍，陸上(地面)武力,,2022-07-15
17602718,land projection operations,陸路投射作戰,,2022-07-15
17602719,land return,大地回波,,2022-07-15
17602720,land search,地面搜索,,2022-07-15
17602721,land skip,山崩,,2022-07-15
17602722,land sky,陸空,,2022-07-15
17602723,land special security force,陸上特種警戒部隊,,2022-07-15
17602724,land station,陸地電臺,,2022-07-15
17602725,land subsidence,地盤下陷,,2022-07-15
17602726,land surface-to-air anti-missile air defense,地對空反飛彈防空系統,,2022-07-15
17602727,land survey,大地測量,,2022-07-15
17602728,land tail,陸運後續隊,,2022-07-15
17602729,land terminal,陸運末站,,2022-07-15
17602730,land transport,陸上運輸,,2022-07-15
17602731,land transportation,陸上運輸,,2022-07-15
17602732,"land, sea, or  aerospace protection operations",陸地，海洋或空域保護作戰,,2022-07-15
17602733,land-air,陸空,,2022-07-15
17602734,land-attack destroyer,攻陸驅逐艦,,2022-07-15
17602735,land-based,陸用的，陸基的，以陸地為基地的,,2022-07-15
17602736,land-based smoke generator,陸上發煙器,,2022-07-15
17602737,landfall,初見陸地，落地，天體位置線航行法，接近陸地,,2022-07-15
17602738,landing,卸載區，登陸，降落,,2022-07-15
17602739,landing aid,降落補助設備,,2022-07-15
17602740,landing angle,著陸角,,2022-07-15
17602741,landing approach,著陸進場,,2022-07-15
17602742,landing area,登陸地區，著陸地區，起落地區,,2022-07-15
17602743,landing attack,登陸攻擊,,2022-07-15
17602744,landing barge,登陸駁船,,2022-07-15
17602745,landing beach,登陸灘頭,,2022-07-15
17602746,landing beacon,落地信標，著陸導航指標,,2022-07-15
17602747,landing beam,著陸導航波束，落地波束,,2022-07-15
17602748,landing boat,登陸舟艇,,2022-07-15
17602749,landing bridge,碼頭浮橋，棧橋,,2022-07-15
17602750,landing chart,機場狀況圖,,2022-07-15
17602751,landing check,著陸檢查,,2022-07-15
17602752,landing circle,著陸盤旋,,2022-07-15
17602753,landing clearance,落地許可,,2022-07-15
17602754,landing cord,著陸索,,2022-07-15
17602755,landing craft,登陸艇,,2022-07-15
17602756,landing craft air-cushioned,氣墊登陸艇,,2022-07-15
17602757,landing craft and amphibious vehicle assignment table,登陸艇及兩棲車輛編配表,,2022-07-15
17602758,landing craft assembly table,登陸小艇空舟待命區,,2022-07-15
17602759,landing craft availability table,登陸小艇現有數量表,,2022-07-15
17602760,landing craft employment plan,登陸小艇運用計畫,,2022-07-15
17602761,landing craft repair ship,登陸艦修理艦,,2022-07-15
17602762,landing craft utility,通用登陸艇,,2022-07-15
17602763,landing craft vehicle and personnel,車輛人員登陸艇,,2022-07-15
17602764,landing crew,登艇地勤組,,2022-07-15
17602765,landing deck,起落甲板,,2022-07-15
17602766,landing diagram,登陸圖解,,2022-07-15
17602767,landing direction indicator,起落方向指示器,,2022-07-15
17602768,landing distance,著陸距離,,2022-07-15
17602769,landing field (advanced),(前進)著陸場,,2022-07-15
17602770,landing flap,降落襟翼,,2022-07-15
17602771,landing flare,落地照明彈,,2022-07-15
17602772,landing force,登陸部隊,,2022-07-15
17602773,landing force commander,登陸部隊指揮官,,2022-07-15
17602774,landing force reserves,登陸部隊預備補給品,,2022-07-15
17602775,landing force supplies,登陸部隊補給品,,2022-07-15
17602776,landing ground,降落場地,,2022-07-15
17602777,landing group,登陸支隊,,2022-07-15
17602778,landing helicopter assault,直升機突擊登陸艦，兩棲突擊登陸母艦,,2022-07-15
17602779,landing helicopter dock ship,直升機船塢登陸艦,,2022-07-15
17602780,landing interval,著陸間隔,,2022-07-15
17602781,landing lane,跑道,,2022-07-15
17602782,landing light,著陸(落地)燈,,2022-07-15
17602783,landing load,落地載荷，著陸負荷,,2022-07-15
17602784,landing mat,登陸墊,,2022-07-15
17602785,landing minimums,落地最低天候標準,,2022-07-15
17602786,landing operation,登陸作戰,,2022-07-15
17602787,landing parachute,著陸傘，降落傘,,2022-07-15
17602788,landing party,登陸部隊,,2022-07-15
17602789,landing pattern,落地航線,,2022-07-15
17602790,landing permission,落地許可,,2022-07-15
17602791,landing pier,棧橋，碼頭浮橋腳，棧橋腳,,2022-07-15
17602792,landing plan,登陸計畫,,2022-07-15
17602793,landing platform dock,兩棲船塢運輸艦,,2022-07-15
17602794,landing point,著陸點,,2022-07-15
17602795,landing ramp,登陸跳板,,2022-07-15
17602796,landing rocket,登陸火箭,,2022-07-15
17602797,landing roll,著陸滾行(地面),,2022-07-15
17602798,landing run,降落滾行(水面，雪面，冰面),,2022-07-15
17602799,landing schedule,登陸時間表,,2022-07-15
17602800,landing sequence table,登陸順序表,,2022-07-15
17602801,landing ship,登陸艦,,2022-07-15
17602802,landing ship dock,船塢登陸艦,,2022-07-15
17602803,landing ship logistics,後勤登陸艦,,2022-07-15
17602804,landing site,登陸地帶，著陸位置,,2022-07-15
17602805,landing skid,登陸跳板,,2022-07-15
17602806,landing speed,著陸速率,,2022-07-15
17602807,landing stage,浮動碼頭,,2022-07-15
17602808,landing strake,著陸外板(船底板),,2022-07-15
17602809,landing strip,簡便機場，起落地帶,,2022-07-15
17602810,landing team,登陸加強營,,2022-07-15
17602811,landing team battalion,登陸加強營,,2022-07-15
17602812,landing threshold,著陸門檻,,2022-07-15
17602813,landing vehicle (tracked),登陸車(履帶式),,2022-07-15
17602814,landing vehicle tractor,兩棲牽引車輛,,2022-07-15
17602815,"landing vehicle, tracked, engineer",兩棲履帶工程車,,2022-07-15
17602816,"landing vehicle, tracked, howitzer l",兩棲履帶榴砲車,,2022-07-15
17602817,landing velocity,落地速度,,2022-07-15
17602818,landing wave,登陸舟波,,2022-07-15
17602819,landing weight,落地重量,,2022-07-15
17602820,landing wheel,起落輪,,2022-07-15
17602821,landing wire,落地線,,2022-07-15
17602822,landing zone,登陸區，著陸區,,2022-07-15
17602823,landing zone control,著陸區管制,,2022-07-15
17602824,landing zone control party,著陸區管制組,,2022-07-15
17602825,"landing, subsidiary",助登陸,,2022-07-15
17602826,landing-area floodlight,著陸區探照燈(泛光燈),,2022-07-15
17602827,landing-bay pier,著陸節橋腳,,2022-07-15
17602828,landing-gear,起落架，起落輪，起落裝置,,2022-07-15
17602829,landing-gear light,起落架警告燈,,2022-07-15
17602830,landing-gear motor,起落架電動機,,2022-07-15
17602831,landing-gear tread,起落架輪距,,2022-07-15
17602832,landing-gear warning system,起落架警告系統,,2022-07-15
17602833,landing-on deck,降落甲板,,2022-07-15
17602834,landline communication,陸線通信,,2022-07-15
17602835,landlocked,陸地所包圍,,2022-07-15
17602836,landlocked sea,內陸海,,2022-07-15
17602837,landmark,陸上標誌，陸標，界標,,2022-07-15
17602838,landmark beacon,地標信標，地形燈標,,2022-07-15
17602839,landmark navigation,地標航行,,2022-07-15
17602840,landmine warfare,地雷戰,,2022-07-15
17602841,landplane,陸基飛機,,2022-07-15
17602842,lands,陽膛線,,2022-07-15
17602843,landside slope,內側坡(陸側坡),,2022-07-15
17602844,landwarnet,地面作戰網系統,,2022-07-15
17602845,land-water area,水陸地區,,2022-07-15
17602846,land-water installation,水陸設施,,2022-07-15
17602847,lane,航路，航道，通路，狹路,,2022-07-15
17602848,lane marker,雷區通路標誌,,2022-07-15
17602849,lane marker (landmine warfare),雷區通路標誌(地雷戰),,2022-07-15
17602850,lane marking,車道標記,,2022-07-15
17602851,langrage,開花彈,,2022-07-15
17602852,Langs lay wire rope,直紋絞鋼索,,2022-07-15
17602853,lantern ring,燈籠形環,,2022-07-15
17602854,lantern wheel,燈形輪,,2022-07-15
17602855,"lantern, magic",幻燈,,2022-07-15
17602856,lantern-pinion,燈籠形小形齒輪,,2022-07-15
17602857,lanterns electric float,電力浮燈,,2022-07-15
