ID,英文名稱,中文名稱,圖片,更新日期
7639974,80/20 Rule,80/20法則,,2020-05-07
7639975,A Programming Language {=APL},APL程式語言,,2020-05-07
7639976,abbreviated cataloging,簡略編目,,2020-05-07
7639977,abbreviation,縮寫,,2020-05-07
7639978,abridged edition,節縮版,,2020-05-07
7639979,abridgement,節縮；節縮本,,2020-05-07
7639980,absence circulation system,外借中流通系統,,2020-05-07
7639981,absolute address,絕對位址,,2020-05-07
7639982,absolute language,絕對語言；機器語言,,2020-05-07
7639983,absolute location,絕對位址,,2020-05-07
7639984,abstract,摘要,,2020-05-07
7639985,abstract bulletin,摘要通報,,2020-05-07
7639986,abstract classification,抽象分類,,2020-05-07
7639987,abstract standard,摘要標準,,2020-05-07
7639988,abstracting and indexing service,摘要與索引服務,,2020-05-07
7639989,abstracting and indexing tool {=A&I tool},摘要與索引工具,,2020-05-07
7639990,abstracting and indexing {=A&I},摘要與索引,,2020-05-07
7639991,abstracting service,摘要服務,,2020-05-07
7639992,academic freedom,學術自由,,2020-05-07
7639993,academic librarianship,學術圖書館學；學術圖書館事業；學術圖書館專業,,2020-05-07
7639994,academic library,學術圖書館,,2020-05-07
7639995,academic status,學術職銜地位,,2020-05-07
7639996,Academy of Certified Archivists{=ACA},檔案人員認證學會,,2020-05-07
7639997,academy publication,學術機構出版品,,2020-05-07
7639998,access,入口；近用；取用,,2020-05-07
7639999,access censorship,取用檢查；取用審查,,2020-05-07
7640000,access copy,取用本,,2020-05-07
7640001,Access Copyright,取用著作權集體組織,,2020-05-07
7640002,access level record,取用層次的書目紀錄,,2020-05-07
7640003,access management,取用管理,,2020-05-07
7640004,access point,檢索點,,2020-05-07
7640005,access services,取用服務,,2020-05-07
7640006,access time,取用時間,,2020-05-07
7640007,accession,登錄,,2020-05-07
7640008,accession book,登錄簿,,2020-05-07
7640009,accession catalog,登錄目錄,,2020-05-07
7640010,accession file,登錄檔,,2020-05-07
7640011,accession number,登錄號,,2020-05-07
7640012,accession order,登錄順序,,2020-05-07
7640013,accession record,登錄紀錄,,2020-05-07
7640014,accessioning,登錄,,2020-05-07
7640015,accident,意外,,2020-05-07
7640016,accompanying material,附件,,2020-05-07
7640017,accordion binding,經摺裝；經本式裝訂；手風琴摺頁裝訂,,2020-05-07
7640018,accordion fold,經本式摺頁；手風琴摺頁,,2020-05-07
7640019,accordion-fold book,經摺裝圖書；手風琴摺頁書,,2020-05-07
7640020,accountability,責任歸屬,,2020-05-07
7640021,accreditation of library education,圖書館專業教育認可制度,,2020-05-07
7640022,accreditation standard,認可標準,,2020-05-07
7640023,acetate,醋酸鹽膠片,,2020-05-07
7640024,acid-free paper,除酸紙；無酸紙,,2020-05-07
7640025,acidic paper,酸性紙,,2020-05-07
7640026,acoustic ceiling,吸音天花板,,2020-05-07
7640027,acquisition,採購,,2020-05-07
7640028,acquisition number,採購號,,2020-05-07
7640029,acquisition policy,採訪政策,,2020-05-07
7640030,acquisition services,採訪服務,,2020-05-07
7640031,acquisitions,採訪,,2020-05-07
7640032,acquisitions budget,採訪預算,,2020-05-07
7640033,acquisitions department,採訪部門,,2020-05-07
7640034,acquisitions files,採訪檔,,2020-05-07
7640035,acquisitions librarian,採訪館員；徵集館員,,2020-05-07
7640036,acquisitions module,採訪模組,,2020-05-07
7640037,acquisitions searching,採訪查詢,,2020-05-07
7640038,acquistions budget,圖書館館藏購置預算,,2020-05-07
7640039,across the grain,逆紋；斜紋；橫絲流,,2020-05-07
7640040,acting edition,演出腳本,,2020-05-07
7640041,active file,現行檔,,2020-05-07
7640042,active learning,主動學習,,2020-05-07
7640043,active learning activity,主動式學習活動,,2020-05-07
7640044,active listening,主動傾聽,,2020-05-07
7640045,active records,現行文件；現行文書,,2020-05-07
7640046,ad interim copyright,暫時性著作權,,2020-05-07
7640047,Ada Programming Language,Ada程式語言,,2020-05-07
7640048,adaptation,改寫,,2020-05-07
7640049,adaptive system,適性系統,,2020-05-07
7640050,adaptive technology,適性科技,,2020-05-07
7640051,added copy,複本,,2020-05-07
7640052,added edition,增訂版,,2020-05-07
7640053,added entry,附加款目,,2020-05-07
7640054,added title page,附加題名頁,,2020-05-07
7640055,addendum,附錄,,2020-05-07
7640056,address,位址,,2020-05-07
7640057,adhesive binding,膠裝,,2020-05-07
