ID,英文名稱,中文名稱,圖片,更新日期
3134091,1∶1 type clay mineral,1:1型黏土礦物,,2017-07-20
3134092,2∶1 type clay mineral,2:1型黏土礦物,,2017-07-20
3134093,a horizon,A層；表土層,,2017-07-20
3134094,a4/a6 ratio of humic acid,腐植酸a4/a6比值,,2017-07-20
3134095,abandoned field,廢耕地,,2017-07-20
3134096,abnormal erosion,異常侵蝕,,2017-07-20
3134097,abnormal soil profile,異常土壤剖面,,2017-07-20
3134098,abrupt textural change,質地驟變,,2017-07-20
3134099,absolute age of soil,土壤絕對年齡,,2017-07-20
3134100,absolute water content,絕對含水量,,2017-07-20
3134101,absorbing bond,吸著鍵,,2017-07-20
3134102,absorption,吸收[作用],,2017-07-20
3134103,absorption-type terrace,蓄水階段,,2017-07-20
3134104,accelerated erosion,加速侵蝕,,2017-07-20
3134105,accumulation,積聚作用,,2017-07-20
3134106,acetylene reduction assay,乙炔還原測定,,2017-07-20
3134107,acid humification,酸性腐植化作用,,2017-07-20
3134108,acid humus,酸性腐植質,,2017-07-20
3134109,acid indicator plant,酸性指標植物,,2017-07-20
3134110,acid rain,酸雨,,2017-07-20
3134111,acid soil,酸性土壤,,2017-07-20
3134112,acid soluble nutrient,酸可溶養分,,2017-07-20
3134113,acid sulphate soil,酸性硫酸鹽土,,2017-07-20
3134114,acid-hydrolyzable nitrogen,酸水解氮,,2017-07-20
3134115,acidic fertilizer,酸性肥料,,2017-07-20
3134116,acidification,酸化作用,,2017-07-20
3134117,acidity,酸度,,2017-07-20
3134118,acidity equivalent,酸度當量,,2017-07-20
3134119,acrisol,低活性强酸土,,2017-07-20
3134120,act of soil and water conservation,水土保持法,,2017-07-20
3134121,actinomycetes,放射線菌,,2017-07-20
3134122,activated sludge,活性污泥,,2017-07-20
3134123,activated sludge treatment,活性污泥處理法,,2017-07-20
3134124,activation of soil enzyme,土壤酵素活化,,2017-07-20
3134125,active acidity,活性酸度,,2017-07-20
3134126,active humus,活性腐植質,,2017-07-20
3134127,active nutrient uptake,養分主動吸收,,2017-07-20
3134128,active nutrient,活性養分,,2017-07-20
3134129,active water uptake,水分主動吸收,,2017-07-20
3134130,activity of clay,黏粒活性,,2017-07-20
3134131,actual evapotranspiration,實際蒸發散[作用],,2017-07-20
3134132,adhesion,黏著力,,2017-07-20
3134133,adsorbed ion,吸附態離子,,2017-07-20
3134134,adsorption,吸附[作用],,2017-07-20
3134135,adsorptive capacity,吸附容量,,2017-07-20
3134136,aeolian deposit,風積物,,2017-07-20
3134137,aeolian sandy soil,風積砂土,,2017-07-20
3134138,aeolian soil,風積土,,2017-07-20
3134139,aerobic bacteria,好氧性細菌,,2017-07-20
3134140,aerobic decomposition,好氧分解,,2017-07-20
3134141,aerobic enzyme,好氧酵素,,2017-07-20
3134142,aerobic exoenzyme,好氧胞外酵素,,2017-07-20
3134143,aged soil,老年土,,2017-07-20
3134144,aggregate,團粒,,2017-07-20
3134145,aggregate analysis,團粒分析,,2017-07-20
3134146,aggregate disintegration,團粒崩解,,2017-07-20
3134147,aggregate slaking,團粒消散,,2017-07-20
3134148,aggregation,團粒作用,,2017-07-20
3134149,agric horizon,耕犁層,,2017-07-20
3134150,agrochemistry,農業化學,,2017-07-20
3134151,agroecosystem,農業生態系統,,2017-07-20
3134152,agroforestry,農林混作,,2017-07-20
3134153,agropedology,農業土壤學,,2017-07-20
3134154,air capacity,空氣容量,,2017-07-20
3134155,air dried soil,風乾土,,2017-07-20
3134156,air flux,氣體流通量,,2017-07-20
3134157,air phase volume,氣相體積,,2017-07-20
3134158,air porosity,空氣孔隙度,,2017-07-20
3134159,air premeability,通氣性,,2017-07-20
3134160,airfilled pore,充氣孔隙,,2017-07-20
3134161,albic horizon,漂白層,,2017-07-20
3134162,albic material,漂白物質,,2017-07-20
3134163,alfisol,淋溶土,,2017-07-20
3134164,algae,藻類,,2017-07-20
3134165,Alisol,高活性强酸土,,2017-07-20
3134166,alkali soil,鹼土,,2017-07-20
3134167,alkali-hydrolyzable nitrogen,鹼可水解氮,,2017-07-20
3134168,alkaline fertilizer,鹼性肥料,,2017-07-20
3134169,alkaline indicator plant,鹼性指標植物,,2017-07-20
3134170,alkaline meadow soil,鹼性濕草原土,,2017-07-20
3134171,alkaline soil,鹼性土,,2017-07-20
3134172,alkalinity,鹼度,,2017-07-20
3134173,alkalization,鹼土化作用,,2017-07-20
3134174,allelopathy,植物相剋作用,,2017-07-20
3134175,allophane,鋁英石,,2017-07-20
3134176,alluvial deposit,沖積物,,2017-07-20
3134177,alluvial fan,沖積扇,,2017-07-20
3134178,alluvial soil,沖積土,,2017-07-20
3134179,alluvium,沈積層；沈積物,,2017-07-20
3134180,alpine frost desert soil,高山沙漠凍土,,2017-07-20
3134181,alpine frost soil,高山凍土,,2017-07-20
3134182,alpine humus soil,高山腐植土,,2017-07-20
3134183,alpine meadow soil,高山濕草原土,,2017-07-20
3134184,alpine soil,高山土,,2017-07-20
3134185,alpine steppe soil,高山草原土,,2017-07-20
3134186,alternation of drying and wetting,乾濕交替作用,,2017-07-20
3134187,alternation of freezing and thawing,凍融交替作用,,2017-07-20
3134188,aluminosilicate,鋁矽酸鹽,,2017-07-20
3134189,aluminum polymerization,鋁聚合作用,,2017-07-20
3134190,aluminum toxicity,鋁毒害,,2017-07-20
3134191,amide nitrogen,胺態氮,,2017-07-20
3134192,amide nitrogen fertilizer,胺態氮肥料,,2017-07-20
3134193,aminization,胺化作用,,2017-07-20
3134194,ammonia nitrogen fertilizer,氨態氮肥料,,2017-07-20
3134195,ammonia toxicity,氨毒害,,2017-07-20
3134196,ammoniacal nitrogen,氨態氮,,2017-07-20
3134197,ammonia-oxidizing bacteria,氨氧化細菌,,2017-07-20
3134198,ammonification,銨化作用,,2017-07-20
3134199,ammonifying bacteria,銨化細菌,,2017-07-20
3134200,ammonium and nitrate nitrogen fertilizer,銨態與硝酸態氮肥料,,2017-07-20
3134201,ammonium fixation,固銨作用,,2017-07-20
3134202,ammonium nitrogen,銨態氮,,2017-07-20
3134203,ammonium nitrogen fertilizer,銨態氮肥料,,2017-07-20
3134204,amorphous structure,無定形構造,,2017-07-20
3134205,ampholytoid,兩性膠體,,2017-07-20
3134206,amphoteric character,兩電性,,2017-07-20
3134207,amphoteric point,等電點,,2017-07-20
3134208,anaerobic bacteria,厭氧性細菌,,2017-07-20
3134209,anaerobic decomposition,厭氧分解,,2017-07-20
3134210,anauxite,多矽高嶺石,,2017-07-20
3134211,andic soil property,火山灰土壤特性,,2017-07-20
3134212,andisol,火山灰土,,2017-07-20
3134213,ando soil,火山灰土,,2017-07-20
3134214,angle of repose,安息角,,2017-07-20
3134215,angular blocky structure,角塊狀構造,,2017-07-20
3134216,animal furrow,動物穴,,2017-07-20
3134217,anion,陰離子,,2017-07-20
3134218,anion adsorption,陰離子吸附,,2017-07-20
3134219,anion exchange,陰離子交換,,2017-07-20
3134220,anion exchange capacity,陰離子交換容量,,2017-07-20
3134221,anion exclusion,陰離子排斥,,2017-07-20
3134222,anion penetration,陰離子穿透,,2017-07-20
3134223,anion retention,陰離子吸持,,2017-07-20
3134224,ant channel,蟻道,,2017-07-20
3134225,ant mound,蟻坵,,2017-07-20
3134226,antagonism,擷抗作用,,2017-07-20
3134227,anthropic epipedon,人為表層,,2017-07-20
3134228,anthropogenic fertility,人為肥力,,2017-07-20
3134229,Anthrosol,人為土,,2017-07-20
3134230,anthrostagnic epipedon,人為淹水表育層,,2017-07-20
3134231,antibiosis,抗生作用,,2017-07-20
3134232,Ao horizon,Ao層,,2017-07-20
3134233,Ap horizon,Ap層,,2017-07-20
3134234,apoplast transport,胞外傳輸,,2017-07-20
3134235,apparent density,假密度,,2017-07-20
3134236,apparent mean residence time{=AMRT},表觀平均停留時間,,2017-07-20
3134237,apparent specific gravity,假比重,,2017-07-20
3134238,aquic condition,潮濕狀態,,2017-07-20
3134239,aquic moisture regime,潮濕水分境況,,2017-07-20
3134240,arbuscular mycorrhiza,叢枝菌根,,2017-07-20
3134241,Arenosol,砂性土,,2017-07-20
3134242,argic horizon,黏聚層,,2017-07-20
3134243,argillan,黏粒膜,,2017-07-20
3134244,argillic horizon,黏聚層,,2017-07-20
3134245,aridic moisture regime,乾旱水分境况,,2017-07-20
3134246,aridisol,旱境土,,2017-07-20
3134247,aridity,乾燥度,,2017-07-20
3134248,ash,灰分,,2017-07-20
3134249,ash element,灰分元素,,2017-07-20
3134250,aspergillus niger method,黑微法,,2017-07-20
3134251,associative nitrogen fixation,協和固氮作用,,2017-07-20
3134252,assorting effect,選移作用,,2017-07-20
3134253,ATPase,腺苷三磷酸酶,,2017-07-20
3134254,Atterberg limits,阿太堡限度,,2017-07-20
3134255,autogenic soil,自形土,,2017-07-20
3134256,automorphous soil,自形土,,2017-07-20
3134257,autoradiography,放射顯影術,,2017-07-20
3134258,autotrophic bacteria,自營性細菌,,2017-07-20
3134259,availability,有效性,,2017-07-20
3134260,available nutrient,有效性養分,,2017-07-20
3134261,available water,有效水分,,2017-07-20
3134262,azonal soil,泛域土,,2017-07-20
3134263,azotobacter,非共生好氧性固氮菌,,2017-07-20
3134264,b horizon,B層；底土層；心土層,,2017-07-20
3134265,background value of soil element,土壤元素背景值,,2017-07-20
3134266,bacteria,細菌,,2017-07-20
3134267,bacteriophage,噬菌體,,2017-07-20
3134268,bacterium radicicola,根瘤菌,,2017-07-20
3134269,bacterium radicicola,根瘤菌,,2017-07-20
3134270,bacteroid,類菌體,,2017-07-20
3134271,balanced- nutrient fertilization,養分平衡施肥,,2017-07-20
3134272,band application,條狀施肥,,2017-07-20
3134273,basal fertilizer,基肥,,2017-07-20
3134274,base exchange,鹽基交換,,2017-07-20
3134275,base exchange capacity,鹽基交換容量,,2017-07-20
3134276,base saturation percentage,鹽基飽和度,,2017-07-20
3134277,basicity equivalent,鹼度當量,,2017-07-20
3134278,basing listing,穴耕,,2017-07-20
3134279,bauxite laterite,鋁質磚紅壤,,2017-07-20
3134280,bauxiteI,鐵鋁氧石,,2017-07-20
3134281,bca horizon,鈣積層,,2017-07-20
3134282,bedrock,母岩；底岩；基岩,,2017-07-20
3134283,beidellite,拜萊石,,2017-07-20
3134284,bench terrace,平臺堦段,,2017-07-20
3134285,betonite,皂白石,,2017-07-20
3134286,bidellite,多鋁蒙特石,,2017-07-20
3134287,biochemical capacity,生化容量,,2017-07-20
3134288,biochemical oxygen demand,生化需氧量,,2017-07-20
3134289,bioconversion,生物性轉化,,2017-07-20
3134290,biodegradability,生物降解性,,2017-07-20
3134291,biodegradation,生物性降解,,2017-07-20
3134292,biodeterioration,生物性變質,,2017-07-20
3134293,biological accumulation,生物累積作用,,2017-07-20
3134294,biological enrichment,生物富集,,2017-07-20
3134295,biological immobilization,生物固持作用,,2017-07-20
3134296,biological measures for soil and water conservation,水土保持生物措施,,2017-07-20
3134297,biological nitrogen fixation,生物固氮作用,,2017-07-20
3134298,biological treatment,生物處理,,2017-07-20
3134299,biological weathering,生物風化[作用],,2017-07-20
3134300,black alkali soil,黑鹼土,,2017-07-20
3134301,black box theory,黑箱理論,,2017-07-20
3134302,black cotton soil,黑棉土,,2017-07-20
3134303,black earth,黑鈣土,,2017-07-20
3134304,black prairie soil,草原黑土,,2017-07-20
3134305,bleached horizon,漂白層,,2017-07-20
3134306,bleached paddy soil,漂白水田土,,2017-07-20
3134307,blended fertilizer,拌合肥料,,2017-07-20
3134308,blind gully,隱式溝壑,,2017-07-20
3134309,blocky structure,塊狀構造,,2017-07-20
3134310,blown out land,風侵地,,2017-07-20
3134311,bog iron ore,沼澤鐵礦,,2017-07-20
3134312,bog lime,沼澤石灰,,2017-07-20
3134313,bog muck,沼澤腐泥土,,2017-07-20
3134314,bog soil,沼澤土,,2017-07-20
3134315,bog type of soil formation,沼澤土壤生成作用,,2017-07-20
3134316,bottom soil,底土,,2017-07-20
3134317,boundary of soil horizons,土層界限,,2017-07-20
3134318,branch gully,側溝,,2017-07-20
3134319,bravaisite,卜來水化雲母,,2017-07-20
3134320,brittle,脆性(結持度),,2017-07-20
3134321,broad base terrace,寬壠階段；寬壟堦段,,2017-07-20
3134322,broadcasting,撒施,,2017-07-20
3134323,broken bond,斷鍵,,2017-07-20
3134324,brown calcic soil,棕鈣土,,2017-07-20
3134325,brown coniferous forest soil,棕色針葉林土,,2017-07-20
3134326,brown desert soil,棕漠土,,2017-07-20
3134327,brown forest soil,棕色森林土,,2017-07-20
3134328,brown podzolic soil,棕灰土,,2017-07-20
3134329,brown soil,棕土,,2017-07-20
3134330,brownification,棕土成土作用,,2017-07-20
3134331,brown-red soil,棕紅土；棕紅壤,,2017-07-20
3134332,brucite,氫氧鎂石,,2017-07-20
3134333,buffer action,緩衝作用,,2017-07-20
3134334,buffer capacity,緩衝容量,,2017-07-20
3134335,buffer curve,緩衝曲線,,2017-07-20
3134336,buffer factor,緩衝因子,,2017-07-20
3134337,buffer strip,緩衝帶,,2017-07-20
3134338,bulk density,總體密度,,2017-07-20
3134339,buried horizon,埋藏層,,2017-07-20
3134340,buried soil,埋藏土,,2017-07-20
3134341,burnt symptom,焦灼徵狀,,2017-07-20
3134342,burozem,棕土[棕壤],,2017-07-20
3134343,C horizon,C層；母質層,,2017-07-20
3134344,C/N ratio,碳氮比,,2017-07-20
3134345,cake fertilizer,餅狀肥料,,2017-07-20
3134346,calcareous concretions,石灰質結核,,2017-07-20
3134347,calcareous pan,石灰質磐,,2017-07-20
3134348,calcareous soil,石灰質土,,2017-07-20
3134349,calcareous spot,石灰質斑點,,2017-07-20
3134350,calcic horizon,聚鈣層,,2017-07-20
3134351,calcification,鈣化作用,,2017-07-20
