ID,英文詞彙,中文名詞,備註,更新日期
21388847,30th highest hourly volume,第30最高小時交通量,公路,
21388848,A B shift,雙班制,公路,
21388849,abrasion resistance of aggregate,粒料之耐磨性,公路,
21388850,absorption of aggregate,粒料之吸水性,公路,
21388851,abutment,橋台,公路,
21388852,accelerating admixture for concrete,混凝土速凝劑；混凝土早強劑,公路,
21388853,accidents involving damage to vehicle or property,車輛或財物受損之事故,公路,
21388854,accidents involving death or personal injury,死傷事故,公路,
21388855,acid rock,酸性岩,公路,
21388856,active earth pressure,主動土壓力,公路,
21388857,additional panel,標誌附牌,公路,
21388858,additive for bituminous mixtures,瀝青混合料添加劑,公路,
21388859,admixture for concrete,混凝土摻料；混凝土摻劑,公路,
21388860,age limit for driver,駕駛人[最低]年齡限制,公路,
21388861,aggregate,粒料；骨材；凝聚,公路,
21388862,air brake,氣韌；空壓煞車,公路,
21388863,air filter,空氣濾清器,公路,
21388864,air-conditioned bus,空氣調節客車,公路,
21388865,air-entrained concrete,輸氣混凝土,公路,
21388866,air-entraining admixture of concrete,混凝土輸氣劑,公路,
21388867,air-entraining portland cement,輸氣卜德蘭水泥,公路,
21388868,alcohol intoxication,酒醉｛交通執法｝,公路,
21388869,all risks,全險｛交通監理｝,公路,
21388870,alluvial cone,冲積錐,公路,
21388871,alluvial fan,沖積扇,公路,
21388872,alluvial soil,冲積土壤,公路,
21388873,alluvium,冲積層,公路,
21388874,all-wheel drive,全輪驅動,公路,
21388875,amphibious vehicle,水陸兩用車,公路,
21388876,anchored bulkhead,錨定式板樁岸壁,公路,
21388877,angle of approach,接近角,公路,
21388878,angle of departure,分離角,公路,
21388879,angle of kingpin,大王梢傾角,公路,
21388880,angle of repose,安息角；靜止角,公路,
21388881,angle of steering lock,最大轉向角,公路,
21388882,angle of turn,轉向角,公路,
21388883,animal-drawn vehicle,獸力車,公路,
21388884,anticlinal stratum,背斜層,公路,
21388885,arch bridge,拱橋,公路,
21388886,arterial highway,幹線公路,公路,
21388887,artificial aggregate,人造粒料,公路,
21388888,asphalt,瀝青,公路,
21388889,asphalt cement,瀝青膠泥,公路,
21388890,asphalt concrete finishing machine,瀝青混凝土整平機,公路,
21388891,asphalt concrete mixer,瀝青混凝土拌合機,公路,
21388892,asphalt concrete mixing plant,瀝青混凝土拌合廠,公路,
21388893,asphalt concrete surface course,瀝青混凝土面層,公路,
21388894,asphalt kettle,瀝青鍋,公路,
21388895,asphalt macadam surface,瀝青碎石路面,公路,
21388896,asphalt mastic,瀝青砂膠,公路,
21388897,asphalt oven,瀝青試驗用烘箱,公路,
21388898,asphalt plant,瀝青拌合廠,公路,
21388899,asphalt prime coat,瀝青透層,公路,
21388900,asphalt slurry,瀝青糊,公路,
21388901,asphalt surface treatment,瀝青表面處理,公路,
21388902,asphalt-coated metal pipe,塗瀝青金屬管,公路,
21388903,at-grade intersection,平面交叉；平面交叉口,公路,
21388904,automobile hire business,包車租賃業,公路,
21388905,automobile-transportation trailer,運車拖車,公路,
21388906,auto-silo park,停車塔,公路,
21388907,auxiliary lane,輔助車道,公路,
21388908,average daily traffic,平均日交通量,公路,
21388909,average highway speed,平均公路速率,公路,
21388910,average spot speed,定點平均速率,公路,
21388911,axle-load limitation,軸重限制,公路,
21388912,backflling,回填,公路,
21388913,baggage volume limit,行李體積限制,公路,
21388914,baggage weight limit,行李重量限制,公路,
21388915,ball mill,鋼球磨石機；球磨機,公路,
21388916,bar mat for concrete reinforcement,混凝土用鋼筋網,公路,
21388917,barricade,防柵,公路,
21388918,bascule bridge,上開橋,公路,
21388919,base course,底層,公路,
21388920,basic capacity,基本容量,公路,
21388921,basic fare,基本運價,公路,
21388922,basic mileage,基本里程,公路,
21388923,basic rates,基本運費,公路,
21388924,batching plant,拌合廠,公路,
21388925,batter pile,斜樁,公路,
21388926,bearing,軸承；支承；承壓；方向角,公路,
