ID,英文名稱,中文名稱,圖片,組別,審定日期,更新日期
21381261,pound per square inch (psi),每平方英吋磅數,,營建管理,114.05.10,
21381262,powder activated fastener,火藥驅動緊固件,,營建管理,114.05.10,
21381263,powder-actuated tool (PAT),火藥釘槍,,營建管理,114.05.10,
21381264,power shovel,動力鏟；動力鏟裝機,,營建管理,113.08.10,
21381265,power vent,機械排氣通道,,營建管理,114.05.10,
21381266,preassembled steel bridge,預組鋼橋,,結構工程,113.04.13,
21381267,prebid meeting,標前會議,,營建管理,113.07.20,
21381268,precast deck slab,預鑄橋版,,結構工程,113.04.13,
21381269,precast prestressed deck,預鑄預力橋面版,,結構工程,113.04.13,
21381270,precedence network,先行網狀圖,,營建管理,114.03.15,
21381271,preconstruction,施工前,,營建管理,113.09.28,
21381272,preconstruction submittal,施工前提交[文件],,營建管理,114.03.15,
21381273,prefabrication clause,預製勞資條款,,營建管理,113.07.20,
21381274,preheating,預熱,,結構工程,113.04.13,
21381275,preheating temperature,預熱溫度,,結構工程,113.04.13,
21381276,pre-hire agreement,雇前協議,,營建管理,114.03.15,
21381277,prehire labor agreement,預先雇工協議,,營建管理,113.07.20,
21381278,prejudgement remedy (PJR),預先裁定救濟措施；假扣押,,營建管理,114.05.10,
21381279,preliminary coordination,初步協調；先期協調,,營建管理,114.03.15,
21381280,preliminary estimate,初步估價,,營建管理,114.03.15,
21381281,preliminary program,初步計畫,,營建管理,114.03.15,
21381282,pre-manufactured component,預製構件；預製組件,,營建管理,113.09.28,
21381283,premium basis,保費基準,,營建管理,114.03.15,
21381284,pre-project planning (PPP),前置專案規劃,,營建管理,113.07.20,
21381285,prequalification,資格預審,,營建管理,113.07.20,
21381286,prequalification of contractors,承包商資格預審,,營建管理,113.07.20,
21381287,prequalified joint,預檢定接點,,結構工程,113.04.13,
21381288,prequalified welding joint,預檢定銲接接合,,結構工程,113.04.13,
21381289,prescriptive specification,指示性規範；指示性規格,,營建管理,113.09.28,
21381290,present worth analysis,現值分析,,營建管理,113.08.10,
21381291,preset distortion,預扭曲變形；預置扭曲變形,,結構工程,113.04.13,
21381292,pre-solicitation notice,預先邀標通知,,營建管理,113.07.20,
21381293,presplitting,預劈裂,,營建管理,113.08.10,
21381294,pressure slab,承壓板,,營建管理,114.05.10,
21381295,pressurization,增壓；加壓,,營建管理,114.05.10,
21381296,pre-tensioned concrete,先拉法預力混凝土,,營建管理,114.05.10,
21381297,preventive device,預防裝置,,營建管理,113.09.28,
21381298,primacord,導爆索；引爆導線,,營建管理,113.08.10,
21381299,primary boycott,直接抵制{抵制貨品、服務},,營建管理,113.07.20,
21381300,primary electric,主供電[服務],,營建管理,114.05.10,
21381301,priority specification,優先規格；優先規範,,營建管理,114.05.10,
21381302,privacy set,內鎖；隱私鎖,,營建管理,114.05.10,
21381303,private funding,私有資金,,營建管理,113.09.28,
21381304,procedural decision,程序決策,,營建管理,114.03.15,
21381305,procedural fairness,程序公平,,營建管理,114.03.15,
21381306,procedure outline,程序大綱,,營建管理,114.03.15,
21381307,procedure qualification record (PQR),銲接程序檢定紀錄,,結構工程,113.04.13,
21381308,Proctor curve,夯實曲線,,大地工程及結構,113.06.08,
21381309,procurement modification,採購修正,,營建管理,114.03.15,
21381310,procurement requirement,採購要求,,營建管理,114.03.15,
21381311,procuremment schedule,採購進度[表],,營建管理,114.05.10,
21381312,product description,產品說明,,營建管理,114.03.15,
21381313,product representative,產品代表,,營建管理,114.03.15,
21381314,production enhancement,製程提昇,,營建管理,114.03.15,
21381315,production rate,生產率,,營建管理,113.07.20,
21381316,products-completed operations coverage,完工產品運營保險,,營建管理,114.03.15,
21381317,professional body,專業團體；專業機構,,營建管理,113.08.10,
21381318,progress chart,進度表,,營建管理,113.08.10,
21381319,progress evaluation and control,進度評估與控制,,營建管理,113.09.28,
21381320,progress photograph,進度照片,,營建管理,113.09.28,
21381321,progressive placement,前進式安裝；漸進式安裝,,結構工程,113.04.13,
21381322,progressive welding,前進式熔填銲接,,結構工程,113.04.13,
21381323,project acceleration,專案趕工,,營建管理,113.09.28,
21381324,project agreement,專案協議；專案契約,,營建管理,114.03.15,
21381325,project alliance,專案聯盟,,營建管理,113.09.28,
21381326,project chronology,專案時序記錄,,營建管理,113.09.28,
21381327,project closeout,專案結案,,營建管理,113.09.28,
21381328,project communication,專案溝通,,營建管理,113.09.28,
21381329,project completion,專案完成,,營建管理,113.09.28,
21381330,project control cycle,專案控制循環,,營建管理,113.09.28,
21381331,project field office,專案現場辦公室,,營建管理,114.03.15,
21381332,project identification,專案識別,,營建管理,114.03.15,
21381333,project income,專案收入,,營建管理,113.08.10,
21381334,project labor agreement,專案勞動協議,,營建管理,114.05.10,
21381335,project liability insurance,專案責任險,,營建管理,113.07.20,
21381336,project network,專案網圖,,營建管理,113.07.20,
21381337,project participant,專案參與者,,營建管理,113.09.28,
21381338,project planning,專案規劃,,營建管理,113.07.20,
21381339,project property insurance,專案財產保險,,營建管理,113.07.20,
21381340,project punch out,完成履約,,營建管理,114.05.10,
21381341,project scheduling,專案排程,,營建管理,113.07.20,
21381342,project specification,專案規範,,營建管理,114.03.15,
21381343,project superintendent,專案工地主任,,營建管理,113.07.20,
21381344,project task force,專案任務執行小組,,營建管理,114.03.15,
21381345,promissory estoppel,允諾後禁反言,,營建管理,113.07.20,
21381346,prompt payment,限期支付,,營建管理,113.07.20,
21381347,Prompt Payment Act of 1982,美國1982年限期支付法,,營建管理,113.07.20,
21381348,property insurance,產物保險；產險,,營建管理,114.05.10,
21381349,property survey,地籍測量,,營建管理,114.03.15,
21381350,proposal request,服務建議書邀請,,營建管理,113.09.28,
21381351,proprietary designation,專有指定,,營建管理,114.03.15,
21381352,proprietary information,專有資訊,,營建管理,114.03.15,
21381353,proprietary specification,專用性規範；專用性規格,,營建管理,113.09.28,
21381354,proprietorship,所有權,,營建管理,113.07.20,
21381355,prorated warranty,依[時間]比例分配保固,,營建管理,114.03.15,
21381356,protective casing,保護套管,,大地工程及結構,113.06.08,
21381357,protective device,保護裝置,,營建管理,113.09.28,
21381358,protective filter,保護濾層,,大地工程及結構,113.06.08,
21381359,prying action,槓抬作用；撬起作用,,結構工程,113.04.13,
21381360,Public Building Service (PBS),[美國]公有建築服務處,,營建管理,114.03.15,
21381361,public funding,公有資金,,營建管理,113.09.28,
21381362,public relation,公共關係；公關,,營建管理,113.09.28,
21381363,pull technique,後退銲法,,結構工程,113.04.13,
21381364,punch out,下班打卡,,營建管理,114.05.10,
21381365,punch out list,缺失清單,,營建管理,114.05.10,
21381366,punch thru,貫穿,,營建管理,114.05.10,
21381367,punching,沖孔,,結構工程,113.04.13,
21381368,punitive damages,懲罰性損害賠償；懲罰性損害賠償金,,營建管理,113.07.20,
21381369,purchase recommendation,採購建議,,營建管理,114.03.15,
21381370,purchasing agent,採購代理人；採購經紀人,,營建管理,113.09.28,
21381371,purchasing contract,採購契約,,營建管理,114.03.15,
21381372,purchasing warranty,採購保固,,營建管理,114.03.15,
21381373,push technique,前進銲法,,結構工程,113.04.13,
21381374,putty knife,油灰刀；膩子刀；批刀,,營建管理,114.05.10,
21381375,qualification of bidders,投標資格,,營建管理,113.08.10,
21381376,qualitative requirement,定性要求,,營建管理,114.03.15,
21381377,quality of design,設計品質,,營建管理,114.03.15,
21381378,quality requirement,品質要求,,營建管理,114.03.15,
21381379,queueing theory,排隊理論,,營建管理,113.08.10,
21381380,quick asset,速動資產,,營建管理,113.07.20,
21381381,rabbet,槽口,,營建管理,114.05.10,
21381382,radiating crack,放射狀裂縫；輻射狀裂縫,,結構工程,113.04.13,
21381383,radiograph test (RT),放射性檢測,,結構工程,113.04.13,
21381384,rail girder,軌道梁,,結構工程,113.04.13,
21381385,range estimating,區間估計,,營建管理,113.07.20,
21381386,rank and file,基層人員,,營建管理,113.08.10,
21381387,rat slab,舖底[混凝土]板,,營建管理,114.05.10,
21381388,rated power,額定功率,,營建管理,113.08.10,
21381389,rearc,再起弧,,結構工程,113.04.13,
21381390,rebar chair,鋼筋墊座；鋼筋墊隔器,,營建管理,114.05.10,
21381391,rebar insertion,鋼筋安裝；鋼筋安插,,結構工程,113.04.13,
21381392,recap sheet,彙整表；匯總表,,營建管理,113.07.20,
21381393,reconnaissance,踏勘；勘查；偵察,,營建管理,113.08.10,
21381394,recycling requirement,回收要求,,營建管理,114.03.15,
21381395,redecking,橋面板重新鋪築,,結構工程,113.04.13,
21381396,re-engineering,工程再造,,營建管理,113.09.28,
21381397,reentrant surface,開孔凹角面,,結構工程,113.04.13,
21381398,reference materials,參考材料；參考資料,,營建管理,114.03.15,
21381399,reflected ceiling,天花板反射平面圖；天花板配置圖,,營建管理,114.05.10,
21381400,reflected ceiling plan,天花板反射平面圖；天花板配置圖,,營建管理,114.05.10,
21381401,regulatory compliance,法規符合,,營建管理,114.03.15,
21381402,regulatory requirement,法規要求,,營建管理,114.03.15,
21381403,reheat crack,再熱裂縫{銲接},,結構工程,113.04.13,
21381404,reimbursable contract,成本歸墊契約,,營建管理,113.09.28,
21381405,reinforced concrete pipe (RCP),混凝土管,,營建管理,114.05.10,
21381406,relief valve,釋壓閥；洩壓閥,,營建管理,114.05.10,
21381407,relief vent,釋壓通風管道,,營建管理,114.05.10,
21381408,remedy,補償；救濟,,營建管理,113.07.20,
21381409,repair welding,修補銲接,,結構工程,113.04.13,
21381410,repetitive operation,重複操作；重複作業,,營建管理,113.08.10,
21381411,repetitive scheduling method (RSM),重複排程法,,營建管理,114.03.15,
21381412,reporting service,報表服務,,營建管理,113.07.20,
21381413,request for qualifications (RFQ),資格要求,,營建管理,114.03.15,
21381414,request for quote (RFQ),詢價,,營建管理,114.03.15,
21381415,requisition,申請；徵用,,營建管理,113.08.10,
21381416,research and development (R&D),研究與發展；研發,,營建管理,113.09.28,
21381417,reserved gate system,保留通道系統{罷工},,營建管理,113.07.20,
21381418,residual current circuit breaker (RCCB),漏電斷路器,,營建管理,114.05.10,
21381419,residual current device (RCD),漏電斷路器,,營建管理,114.05.10,
21381420,resistance welding,電阻銲接,,結構工程,113.04.13,
21381421,resource constraint,資源限制,,營建管理,113.08.10,
21381422,resource scheduling,資源排程,,營建管理,113.07.20,
21381423,restart of weld,銲接再起銲點；再起弧點,,結構工程,113.04.13,
21381424,restraint jig,拘束治具,,結構工程,113.04.13,
21381425,retract start technique,後退起銲法,,結構工程,113.04.13,
21381426,review comments,審查意見,,營建管理,114.03.15,
21381427,review process,審查流程,,營建管理,114.03.15,
21381428,revised page method,修訂頁法,,營建管理,114.03.15,
21381429,Richardson Engineering Database,Richardson工料價格資料庫,,營建管理,114.03.15,
21381430,ridge beam,屋脊梁,,營建管理,114.05.10,
21381431,right to work,工作權；勞動權,,營建管理,113.07.20,
21381432,rights at work,職場權利,,營建管理,113.07.20,
21381433,rigid insulation,硬質絕緣；硬質隔熱材,,營建管理,114.05.10,
21381434,ripple effect,漣漪效應,,營建管理,113.07.20,
21381435,rippled casing,波紋收邊,,營建管理,114.05.10,
21381436,riser,立管；豎井,,營建管理,114.05.10,
21381437,rock blasting,岩石鑽炸,,營建管理,113.08.10,
