ID,英文名稱,中文名稱,圖片,職等,直轄、縣市政府類別,機關名稱,所屬機關名稱中文,所屬機關名稱英譯,一級單位名稱中文,一級單位名稱英譯,一級單位主管職稱中文,一級單位主管職稱英譯,職等.1,二級單位名稱中文,二級單位名稱英譯,備註,更新日期
1500532,Chief,主任,,9,直轄市政府,秘書處,,,室,Office,,,,,,,2012-11-26
1500533,Chief,主任,,9,直轄市政府,民政局,,,室,Office,,,,,,,2012-11-26
1500534,Chief,主任,,9,直轄市政府,財政局,,,室,Office,,,,,,,2012-11-26
1500535,Chief,主任,,9,直轄市政府,教育局,,,室,Office,,,,,,,2012-11-26
1500536,Chief,主任,,9,直轄市政府,建設局,,,室,Office,,,,,,,2012-11-26
1500537,Chief,主任,,9,直轄市政府,海洋局,,,室,Office,,,,,,,2012-11-26
1500538,Chief,主任,,9,直轄市政府,社會局,,,室,Office,,,,,,,2012-11-26
1500539,Chief,主任,,9,直轄市政府,勞工局,,,室,Office,,,,,,,2012-11-26
1500540,Chief,主任,,警正一階,直轄市政府,警察局,,,室,Office,,,,,,,2012-11-26
1500541,Chief,主任,,警正一階,直轄市政府,警察局,,,中心,Center,,,,,,,2012-11-26
1500542,Chief,主任,,9(警正),直轄市政府,消防局,,,中心,Center,,,,,,,2012-11-26
1500543,Chief,主任,,9,直轄市政府,文化局,,,室,Office,,,,,,,2012-11-26
1500544,Chief,處長,,9-10,直轄市政府,文化局,,,中正文化中心管理處,Zhongzheng Cultural Center,,,,,,,2012-11-26
1500545,Chief,組長 ,,9,直轄市政府,公教人力發展局,,,組,Division,,,,,,,2012-11-26
1500546,Chief,科長,,9,直轄市政府,法制局,,,科,Divosion,,,,,,,2012-11-26
1500547,Chief,主任,,9,直轄市政府,法制局,,,室,Office,,,,,,,2012-11-26
1500548,Chief,主任,,9,直轄市政府,兵役處,,,室,Office,,,,,,,2012-11-26
1500549,Chief,主任,,9,直轄市政府,地政處,,,室,Office,,,,,,,2012-11-26
1500550,Chief,主任,,9,直轄市政府(以高雄市為例),新聞處,,,室,Office,,,,,,,2012-11-26
1500551,Chief,科長,,9,直轄市政府(以高雄市為例),主計處,,,科,Division,,,,,,,2012-11-26
1500552,Chief,主任 ,,9,直轄市政府(以高雄市為例),主計處,,,室,Office,,,,,,,2012-11-26
1500553,Chief,科長,,9,直轄市政府(以高雄市為例),人事處,,,科,Division,,,,,,,2012-11-26
1500554,Chief,主任,,9,直轄市政府(以高雄市為例),人事處,,,室,Office,,,,,,,2012-11-26
1500555,Chief,科長,,9,直轄市政府(以高雄市為例),政風處,,,科,Division,,,,,,,2012-11-26
1500556,Chief,主任,,9,直轄市政府(以高雄市為例),政風處,,,室,Office,,,,,,,2012-11-26
1500557,Chief,組長,,9,直轄市政府(以高雄市為例),研究發展考核委員會,,,組,Division,,,,,,,2012-11-26
1500558,Chief,主任,,9,直轄市政府(以高雄市為例),研究發展考核委員會,,,室,Office,,,,,,,2012-11-26
1500559,Chief,主任,,9,直轄市政府(以高雄市為例),研究發展考核委員會,,,中心,Center,,,,,,,2012-11-26
1500560,Chief,組長,,9,直轄市政府(以高雄市為例),原住民事務委員會,,,組       ,Division,,,,,,,2012-11-26
1500561,Curator,館長,,,直轄市政府,市立空中大學,,,館,Library,,,,,,,2012-11-26
1500562,Director,主任,,,直轄市政府,市立空中大學,,,室,Office,,,,,,,2012-11-26
1500563,Chair,主任,,,直轄市政府,市立空中大學,,,系,Department,,,,,,,2012-11-26
1500564,Chief,課長,,7-8,直轄市政府(以高雄市為例),___區公所,,,課,Section,,,,,,,2012-11-26
1500565,Chief,主任 ,,7-8,直轄市政府(以高雄市為例),___區公所,,,室,Office,,,,,,,2012-11-26
1500566,Chief,課長 ,,6-7,直轄市政府(以高雄市為例),民政局,高雄市___區戶政事務所,"___ District Household Registration Office, Kaohsiung City",課,Section,,,,,,,2012-11-26
