ID,英文名稱,中文名稱,圖片,機關名稱中文,機關名稱英譯,一級單位名稱中文,一級單位名稱英譯,備註,更新日期
1498067,Section,股,,都市發展局,Urban Development Bureau,科,Division,,2012-11-26
1498068,Section,課,,都市發展局,Urban Development Bureau,都市開發處,Department of Special Projects,,2012-11-26
1498069,Section,股,,都市發展局,Urban Development Bureau,資訊室,Information Management Office,,2012-11-26
1498070,Section,課,,工務局,Public Works Bureau,建築管理處,Department of Buidling Affairs,,2012-11-26
1498071,Section,股,,工務局,Public Works Bureau,秘書室,Secretariat,,2012-11-26
1498072,Unions Section,工會股,,勞工局,Labor Affairs Bureau,第一科,First Division,,2012-11-26
1498073,Education Section,勞教股,,勞工局,Labor Affairs Bureau,第一科,First Division,,2012-11-26
1498074,Labor Relations Section,勞資股,,勞工局,Labor Affairs Bureau,第二科,Second Division,,2012-11-26
1498075,Labor Standards Section,條件股,,勞工局,Labor Affairs Bureau,第二科,Second Division,,2012-11-26
1498076,Safety and Health Section,安衛股,,勞工局,Labor Affairs Bureau,第二科,Second Division,,2012-11-26
1498077,Training Section,職訓股,,勞工局,Labor Affairs Bureau,第三科,Third Division,,2012-11-26
1498078,Welfare Section,福利股,,勞工局,Labor Affairs Bureau,第三科,Third Division,,2012-11-26
1498079,Disabled Affairs Section,身心障礙股,,勞工局,Labor Affairs Bureau,第三科,Third Division,,2012-11-26
1498080,General Affairs Section,事務股,,勞工局,Labor Affairs Bureau,第四科,Fourth Division,,2012-11-26
1498081,Planning Section,綜規股,,勞工局,Labor Affairs Bureau,第四科,Fourth Division,,2012-11-26
1498082,,營業衛生股,,衛生局,Public Health Bureau,職場衛生科,Occupational Health Division,,2012-11-26
1498083,,職業衛生股,,衛生局,Public Health Bureau,職場衛生科,Occupational Health Division,,2012-11-26
1498084,Medical Administration Section,醫政股,,衛生局,Public Health Bureau,醫政科,Medical Affairs Division,,2012-11-26
1498085,Municipal Hospital Management Section,市醫管理股,,衛生局,Public Health Bureau,醫政科,Medical Affairs Division,,2012-11-26
1498086,Medical Care Section,醫護股,,衛生局,Public Health Bureau,醫政科,Medical Affairs Division,,2012-11-26
1498087,Mental Health Section,精神衛生股,,衛生局,Public Health Bureau,醫政科,Medical Affairs Division,,2012-11-26
1498088,Pharmaceutical Management Section,藥物股,,衛生局,Public Health Bureau,藥政科,Pharmaceutical Affairs Division,,2012-11-26
