ID,英文名稱,中文名稱,圖片,地方機關,地方一級機關銜稱中文,地方一級機關銜稱英文,備註,更新日期
1490326,___ District Household Registration Office,___區戶政事務所,,直轄市政府,民政局,Civil Affairs Bureau,,2012-11-26
1490327,Mortuary Services Office,殯葬管理所,,直轄市政府,民政局,Civil Affairs Bureau,,2012-11-26
1490328,Revenue Service Office,稅捐稽徵處,,直轄市政府,財政局,Finance Bureau,,2012-11-26
1490329,Disbursement Office,集中支付處,,直轄市政府,財政局,Finance Bureau,,2012-11-26
1490330,Collateral Office,動產質借所,,直轄市政府,財政局,Finance Bureau,,2012-11-26
1490331,Stadium,體育場,,直轄市政府,教育局,Education Bureau,,2012-11-26
1490332,Senior High School,高級中學,,直轄市政府,教育局,Education Bureau,,2012-11-26
1490333,Vocational High School,高級職業學校,,直轄市政府,教育局,Education Bureau,,2012-11-26
1490334,Special Education School,啟智學校,,直轄市政府,教育局,Education Bureau,,2012-11-26
1490335,Municipal Junior High School,市立國民中學,,直轄市政府,教育局,Education Bureau,,2012-11-26
1490336,Municipal Elementary School,市立國民小學,,直轄市政府,教育局,Education Bureau,,2012-11-26
1490337,Kindergarten,幼稚園,,直轄市政府,教育局,Education Bureau,,2012-11-26
1490338,Market Administration Office,市場管理處,,直轄市政府,建設局,Economic Affairs Bureau ,,2012-11-26
1490339,Scenic Area Administration Office,風景區管理所,,直轄市政府,建設局,Economic Affairs Bureau ,,2012-11-26
1490340,Animal Health and Inspection Institute,家畜衛生檢驗所,,直轄市政府,建設局,Economic Affairs Bureau ,,2012-11-26
1490341,Construction Office,新建工程處,,直轄市政府,工務局,Public Works Bureau,,2012-11-26
1490342,Maintenance Office,養護工程處,,直轄市政府,工務局,Public Works Bureau,,2012-11-26
1490343,Sewage Systems Office,下水道工程處,,直轄市政府,工務局,Public Works Bureau,,2012-11-26
1490344,Building Violations Enforcement Corps,違章建築處理大隊,,直轄市政府,工務局,Public Works Bureau,,2012-11-26
1490345,Ren'ai Senior Citizens' Home,仁愛之家,,直轄市政府,社會局,Social Affairs Bureau,,2012-11-26
1490346,Senior Citizens' Service Center,長青綜合服務中心,,直轄市政府,社會局,Social Affairs Bureau,,2012-11-26
1490347,Children's Service Center,兒童福利服務中心,,直轄市政府,社會局,Social Affairs Bureau,,2012-11-26
1490348,Home for the Disabled,無障礙之家,,直轄市政府,社會局,Social Affairs Bureau,,2012-11-26
1490349,Domestic Violence and Sexual Assault Prevention Center,家庭暴力及性侵害防治中心,,直轄市政府,社會局,Social Affairs Bureau,,2012-11-26
1490350,Occupational Safety Office,勞工檢查所,,直轄市政府,勞工局,Labor Affairs Bureau,,2012-11-26
1490351,Training and Employment Center,訓練就業中心,,直轄市政府,勞工局,Labor Affairs Bureau,,2012-11-26
1490352,Bo-ai Vocational Training Center,博愛職業技能訓練中心,,直轄市政府,勞工局,Labor Affairs Bureau,,2012-11-26
1490353,Labor Recreation Center,勞工育樂中心,,直轄市政府,勞工局,Labor Affairs Bureau,,2012-11-26
1490354,Precinct,分局,,直轄市政府,警察局,Police Bureau,,2012-11-26
1490355,Corps,大隊,,直轄市政府,警察局,Police Bureau,,2012-11-26
1490356,Company,各中隊,,直轄市政府,消防局,Fire Bureau,,2012-11-26
1490357,____ Municipal Minsheng Hospital,____市立民生醫院,,直轄市政府,衛生局,Public Health Bureau,,2012-11-26
1490358,Municipal Hospital ,各市立醫院,,直轄市政府,衛生局,Public Health Bureau,,2012-11-26
1490359,Disease Control Office,疾病管制處,,直轄市政府,衛生局,Public Health Bureau,,2012-11-26
1490360,___ District Public Health Center,各區衛生所,,直轄市政府,衛生局,Public Health Bureau,,2012-11-26
1490361,Southern District Waste Management Plant,南區資源回收廠,,直轄市政府,環境保護局,Environmental Protection Bureau,,2012-11-26
1490362,Central District Waste Management Plant,中區資源回收廠,,直轄市政府,環境保護局,Environmental Protection Bureau,,2012-11-26
1490363,Library,圖書館,,直轄市政府,文化局,Cultural Affairs Bureau,,2012-11-26
1490364,Museum of Fine Arts,美術館,,直轄市政府,文化局,Cultural Affairs Bureau,,2012-11-26
1490365,Social Education Center,社會教育館,,直轄市政府,文化局,Cultural Affairs Bureau,,2012-11-26
1490366,Kaohsiung City Archives ,文獻委員會,,直轄市政府,文化局,Cultural Affairs Bureau,,2012-11-26
1490367,History Museum,歷史博物館,,直轄市政府,文化局,Cultural Affairs Bureau,,2012-11-26
1490368,Motor Vehicles Office,監理處,,直轄市政府,交通局,Transportation Bureau,,2012-11-26
1490369,Traffic Accident Investigation Committee,車輛行車事故委員會,,直轄市政府,交通局,Transportation Bureau,,2012-11-26
1490370,City Bus and Ferry Management Office,公共車船管理處,,直轄市政府,交通局,Transportation Bureau,,2012-11-26
1490371,Land Office,地政事務所,,直轄市政府,地政處,Land Administration Office,,2012-11-26
1490372,____ Radio Station,____廣播電台,,直轄市政府,新聞處,Information Office,,2012-11-26
1490373,____ Film Library,____市電影圖書館,,直轄市政府,新聞處,Information Office,,2012-11-26
1490374,Information Management Center,資訊中心,,直轄市政府,主計處,Accounting and Statistics Office,,2012-11-26
1490375,Public Service Housing and Welfare Committee,公教人員住宅輔建及福利互助委員會,,直轄市政府,人事處,Personnel Office,,2012-11-26
1490376,___ District Public Health Center,___區衛生所,,縣(市)政府,___市衛生局,"Public Health Bureau, ____ City",,2012-11-26
1490377,"___ Precinct, ___ County (City) Police Bureau",1.___縣警察局___分局  2.___縣政府警察局___分局,,縣(市)政府,1.___縣(市)警察局  2.___縣(市)政府警察局,____ County (City) Police Bureau,,2012-11-26
1490378,Police Station,分駐所,,縣(市)政府,1.___縣(市)警察局  2.___縣(市)政府警察局,____ County (City) Police Bureau,,2012-11-26
1490379,Police Station,派出所,,縣(市)政府,1.___縣(市)警察局  2.___縣(市)政府警察局,____ County (City) Police Bureau,,2012-11-26
1490380,First Precinct,第一分局,,縣(市)政府,1.___縣(市)警察局  2.___縣(市)政府警察局,____ City Police Bureau,,2012-11-26
1490381,Second Precinct,第二分局,,縣(市)政府,1.___縣(市)警察局  2.___縣(市)政府警察局,____ City Police Bureau,,2012-11-26
1490382,Third Precinct,第三分局,,縣(市)政府,1.___縣(市)警察局  2.___縣(市)政府警察局,____ City Police Bureau,,2012-11-26
1490383,Fourth Precinct,第四分局,,縣(市)政府,1.___縣(市)警察局  2.___縣(市)政府警察局,____ City Police Bureau,,2012-11-26
1490384,Fifth Precinct,第五分局,,縣(市)政府,1.___縣(市)警察局  2.___縣(市)政府警察局,____ City Police Bureau,,2012-11-26
1490385,Sixth Precinct,第六分局,,縣(市)政府,1.___縣(市)警察局  2.___縣(市)政府警察局,____ City Police Bureau,,2012-11-26
1490386,___ Branch,___分隊,,縣(市)政府,1.___縣(市)消防局  2.___縣政府消防局,"Fire Bureau, ____ County (City)",,2012-11-26
1490387,First Corps,第一大隊,,縣(市)政府,1.___縣(市)消防局  2.___縣政府消防局,"Fire Bureau, ____ County (City)",,2012-11-26
1490388,Second Corps,第二大隊,,縣(市)政府,1.___縣(市)消防局  2.___縣政府消防局,"Fire Bureau, ____ County (City)",,2012-11-26
1490389,Third Corps,第三大隊,,縣(市)政府,1.___縣(市)消防局  2.___縣政府消防局,"Fire Bureau, ____ County (City)",,2012-11-26
1490390,Fourth Corps,第四大隊,,縣(市)政府,1.___縣(市)消防局  2.___縣政府消防局,"Fire Bureau, ____ County (City)",,2012-11-26
1490391," ___ Township  (Town, Borough)  Public Health Center","___鄉(鎮,市)衛生所",,縣(市)政府,1.___縣(市)衛生局  2.___縣政府衛生局,"Public Health Bureau, ____ County (City)",,2012-11-26
1490392,Chronic Disease Center,慢性病防治所,,縣(市)政府,1.___縣(市)衛生局  2.___縣政府衛生局,"Public Health Bureau, ____ County (City)",,2012-11-26
1490393,___ Municipal Hospital,___市立醫院,,縣(市)政府,1.___縣(市)衛生局  2.___縣政府衛生局,"Public Health Bureau, ____ County (City)",,2012-11-26
1490394,___ County Hospital,___縣立醫院,,縣(市)政府,1.___縣(市)衛生局  2.___縣政府衛生局,"Public Health Bureau, ____ County (City)",,2012-11-26
1490395,         Branch ,     分處,,縣(市)政府,1.___縣(市)政府地方稅務局 2.___ 縣(市)地方稅務局,"Local Tax Bureau, ___ County (City)",,2012-11-26
1490396,"1.Animal Health Inspection and Quarantine Institute, ___ County (City) 2.Animal Disease Control Center參考業務執掌選用",___縣(市)動物防疫所,,縣(市)政府,縣(市)政府,___ County (City) Government,,2012-11-26
1490397,__ County (Municipal) Stadium,___縣(市)立體育場,,縣(市)政府,縣(市)政府,___ County (City) Government,,2012-11-26
1490398,__ County (Municipal) Library,___縣(市)立圖書館,,縣(市)政府,縣(市)政府,___ County (City) Government,,2012-11-26
1490399,"___ Township  (Town,Borough)  Household Registration Office, ___ County","___縣___鄉(鎮,市)戶政事務所",,縣(市)政府,縣(市)政府,___ County Government,,2012-11-26
1490400,"___ District Household Registration Office, ___ City",___市___區戶政事務所,,縣(市)政府,縣(市)政府,___ City Government,,2012-11-26
1490401,"___ Land Office, ___ County (City)",___縣(市) ___地政事務所,,縣(市)政府,縣(市)政府,___ County (City) Government,,2012-11-26
