ID,英文名稱,中文名稱,圖片,地方機關,機關名稱,職等,備註,更新日期
1499656,Mayor,市長,,直轄市政府,直轄市政府,,,2012-11-26
1499657,Deputy Mayor,副市長,,直轄市政府,直轄市政府,,,2012-11-26
1499658,Secretary-general,秘書長,,直轄市政府,秘書處,13-14,,2012-11-26
1499659,Director-general,局長,,直轄市政府,民政局,13,,2012-11-26
1499660,Director,主任,,民政局,____市___區戶政事務所,8-9,,2012-11-26
1499661,Director,所長,,民政局,殯喪管理所,9,,2012-11-26
1499662,Director-general,局長,,直轄市政府,財政局,13,,2012-11-26
1499663,Director,處長,,財政局,稅捐稽徵處,11,,2012-11-26
1499664,Director,處長,,財政局,集中支付處,10,,2012-11-26
1499665,Manager,經理,,財政局,動產質借所,8-9,,2012-11-26
1499666,Director-general,局長,,直轄市政府,教育局,13,,2012-11-26
1499667,Director,場長,,教育局,體育場,9,,2012-11-26
1499668,Principal,校長,,教育局,高級中學,,,2012-11-26
1499669,Principal,校長,,教育局,高級職業學校,,,2012-11-26
1499670,Principal,校長,,教育局,啟智學校,,,2012-11-26
1499671,Principal,校長,,教育局,市立國民中學,,,2012-11-26
1499672,Principal,校長,,教育局,市立國民小學,,,2012-11-26
1499673,Head,園長,,教育局,幼稚園,,,2012-11-26
1499674,Director-general,局長,,直轄市政府,建設局,13,,2012-11-26
1499675,Director,處長,,建設局,市場管理處,11,,2012-11-26
1499676,Director,所長,,建設局,風景區管理所,9,,2012-11-26
1499677,Director,所長,,建設局,家畜衛生檢驗所,9,,2012-11-26
1499678,Director-general,局長,,直轄市政府,海洋局,13,,2012-11-26
1499679,Director-general,局長,,直轄市政府,都市發展局,13,,2012-11-26
1499680,Director-general,局長,,直轄市政府,工務局,13,,2012-11-26
1499681,Director,處長,,工務局,新建工程處,11,,2012-11-26
1499682,Director,處長,,工務局,養護工程處,11,,2012-11-26
1499683,Director,處長,,工務局,下水道工程處,11,,2012-11-26
1499684,Director,大隊長,,工務局,違章建築處理大隊,9,,2012-11-26
1499685,Director-general,局長,,直轄市政府,社會局,13,,2012-11-26
1499686,Director,主任,,社會局,仁愛之家,9,,2012-11-26
1499687,Director,主任,,社會局,長青綜合服務中心,9,,2012-11-26
1499688,Director,主任,,社會局,兒童福利服務中心,9,,2012-11-26
1499689,Director,主任,,社會局,無障礙之家,10,,2012-11-26
1499690,Director,主任,,社會局,家庭暴力及性侵害防治中心,9-10,,2012-11-26
1499691,Director-general,局長,,直轄市政府,勞工局,13,,2012-11-26
1499692,Director,所長,,勞工局,勞工檢查所,9-10,,2012-11-26
1499693,Director,主任,,勞工局,訓練就業中心,10,,2012-11-26
1499694,Director,主任,,勞工局,博愛職業技能訓練中心,9,,2012-11-26
1499695,Director,主任,,勞工局,勞工育樂中心,9,,2012-11-26
1499696,Director-general,局長(警監一階),,直轄市政府,警察局,,,2012-11-26
1499697,Director,分局長(警正一階),,警察局,分局,,,2012-11-26
1499698,Commander,大隊長(警正一階),,警察局,大隊,,,2012-11-26
1499699,Director-general,局長,,直轄市政府,消防局,13,,2012-11-26
1499700,Chief,中隊長(警正),,消防局,各中隊,,,2012-11-26
1499701,Director-general,局長,,直轄市政府,衛生局,13,,2012-11-26
1499702,Superintendent,院長 (師級),,衛生局,各市立醫院,,,2012-11-26
1499703,Director,處長,,衛生局,疾病管制處,10,,2012-11-26
1499704,Director,所長,,衛生局,各區衛生所,8-9,,2012-11-26
1499705,Director-general,局長,,直轄市政府,環境保護局,13,,2012-11-26
1499706,Director,廠長,,環境保護局,南區資源回收廠,10,,2012-11-26
1499707,Director,廠長,,環境保護局,中區資源回收廠,10,,2012-11-26
1499708,Director-general,局長,,直轄市政府,捷運工程局,13,,2012-11-26
1499709,Director-general,局長,,直轄市政府,文化局,13,,2012-11-26
1499710,Director,館長,,文化局,圖書館,9,,2012-11-26
1499711,Curator,館長,,文化局,美術館,10,,2012-11-26
1499712,Director,館長,,文化局,社會教育館,9,,2012-11-26
1499713,Chairperson,主任委員,,文化局,文獻委員會,10,,2012-11-26
1499714,Director,館長,,文化局,歷史博物館,10,,2012-11-26
1499715,Director-general,局長,,直轄市政府,交通局,13,,2012-11-26
1499716,Director,處長,,交通局,監理處,11,,2012-11-26
1499717,Chairperson,主任委員,,交通局,車輛行車事故委員會,9,,2012-11-26
1499718,Director,處長,,交通局,公共車船管理處,11,,2012-11-26
1499719,Director-general,局長,,直轄市政府,公教人力發展局,13,,2012-11-26
1499720,Director-general,局長,,直轄市政府,法制局,13,,2012-11-26
