ID,英文名稱,中文名稱,圖片,中國大陸譯名,更新日期
1215670,absolute magnitude,絕對星等,,绝对星等,2012-11-26
1215671,absorption,吸收；吸附作用,,吸收;吸收[性];吸收[作用],2012-11-26
1215672,absorption line,吸收線,,吸收[谱]线,2012-11-26
1215673,absorption spectrum,吸收譜,,吸收谱 ,2012-11-26
1215674,abyssal plain,深海平原,,深海平原 ,2012-11-26
1215675,accelerometer,加速計；加速度計,,加速度计 ,2012-11-26
1215676,acid rain,酸雨,,酸雨 ,2012-11-26
1215677,active fault,活動斷層,,活动断层,2012-11-26
1215678,aerosol,氣膠；氣懸膠,,气溶胶,2012-11-26
1215679,aerosol particle,氣膠粒子；氣懸膠粒子,,气溶胶粒子；气胶粒子,2012-11-26
1215680,aerosphere,氣界；氣圈,,大气圈，大气层,2012-11-26
1215681,air mass,氣團,,气团,2012-11-26
1215682,air pollution,空氣污染,,空气污染 ,2012-11-26
1215683,air pressure ,氣壓,,气压,2012-11-26
1215684,airborne LIDAR,機載光達；空載光達,,空载光达,2012-11-26
1215685,airflow,氣流,,气流,2012-11-26
1215686,air-sea interaction,海氣交互作用,,海气相互作用 ,2012-11-26
1215687,albedo,反照率,,反照率,2012-11-26
1215688,algae bloom,藻華,,藻花，藻华,2012-11-26
1215689,altazimuth,經緯儀,,经纬仪,2012-11-26
1215690,amino acid,胺基酸；氨基酸,,氨基酸,2012-11-26
1215691,ammonite,菊石,,菊石,2012-11-26
1215692,andesite,安山岩,,安山岩 ,2012-11-26
1215693,Andromeda galaxy,仙女座星系,,仙女座星系；仙女座星云,2012-11-26
1215694,angular resolution,角解析度,,角分辨率 ,2012-11-26
1215695,anomaly,異常；距平；偏差,,异常，不规则,2012-11-26
1215696,Antarctic Plate,南極板塊,,南极洲板块 ,2012-11-26
1215697,anticline,背斜,,背斜,2012-11-26
1215698,anticyclone,反氣旋,,反气旋 ,2012-11-26
1215699,aphelion,遠日點,,远日点,2012-11-26
1215700,apparent brightness,視亮度,,视亮度,2012-11-26
1215701,apparent magnitude,視星等,,视星等,2012-11-26
1215702,aqueous vapor,水氣,,水蒸汽，水汽,2012-11-26
1215703,Arabian plate,阿拉伯板塊,,阿拉伯板块,2012-11-26
1215704,Archean Eon,太古元；太古宙,,太古宙,2012-11-26
1215705,artificial rain,人造雨,,人工降雨,2012-11-26
1215706,asteroid,小行星；小游星,,小行星 ,2012-11-26
1215707,asteroid belt,小行星帶,,小行星带,2012-11-26
1215708,asthenosphere,軟流圈,,软流层，软流圈 ,2012-11-26
1215709,astronomy,天文學,,天文学,2012-11-26
1215710,atmosphere,大氣；大氣圈；氣圈,,大气圈；大气 ,2012-11-26
1215711,atmospheric circulation,大氣環流,,大气环流,2012-11-26
1215712,atmospheric pressure,氣壓；大氣壓力,,气压,2012-11-26
1215713,atmospheric sciences,大氣科學,,大气科学,2012-11-26
1215714,atmospheric window,大氣窗,,大气窗口；大气窗,2012-11-26
1215715,atom,原子,,原子,2012-11-26
1215716,atomic nucleus,原子核,,原子核,2012-11-26
1215717,aurora,極光,,极光,2012-11-26
1215718,autumnal equinox,秋分,,秋分,2012-11-26
1215719,azimuth,方位；方位角；地平經度,,方位；方位角 ,2012-11-26
1215720,Banded Iron Formation (BIF),帶狀鐵礦床；縞狀鐵礦床,,带状铁矿建造,2012-11-26
1215721,barred spiral galaxy,棒狀旋星系,,棒旋星系 ,2012-11-26
1215722,basalt,玄武岩,,玄武岩 ,2012-11-26
1215723,beach,灘；海灘,,海滩,2012-11-26
1215724,binary,二進制,,二进制,2012-11-26
1215725,binocular telescope,雙目望遠鏡；雙筒望遠鏡,,双目望远镜 ,2012-11-26
1215726,biosphere,生物圈,,生物圈,2012-11-26
1215727,black hole,黑洞,,黑洞 ,2012-11-26
1215728,breaker,碎波,,破碎波,2012-11-26
1215729,brightness,亮度,,亮度,2012-11-26
1215730,bulge,核球(星系),,核球（星系）,2012-11-26
1215731,calcium carbonate,碳酸鈣,,碳酸钙,2012-11-26
1215732,Cambium,形成層,,形成层,2012-11-26
1215733,Cambrian,寒武紀；寒武系,,寒武纪；寒武系,2012-11-26
