ID,英文名稱,中文名稱,圖片,更新日期
2713912,A/D convertor,類比數位轉換器,,2016-10-24
2713913,absolute age,絕對年齡,,2016-10-24
2713914,absolute chronology,絕對編年,,2016-10-24
2713915,absorption,吸收,,2016-10-24
2713916,acceleration,加速度,,2016-10-24
2713917,acceleration sensor,加速度感應器,,2016-10-24
2713918,accelerometer,加速度儀；加速度計,,2016-10-24
2713919,accuracy,準確度,,2016-10-24
2713920,aclinic line,磁赤道,,2016-10-24
2713921,acoustic bearing,聲測方位,,2016-10-24
2713922,acoustic sounding,聲測,,2016-10-24
2713923,acoustic velocity logging,聲速井測,,2016-10-24
2713924,acoustic wave,聲波,,2016-10-24
2713925,acoustics,聲學,,2016-10-24
2713926,acquisition range,接收範圍,,2016-10-24
2713927,active fault,活動斷層,,2016-10-24
2713928,adherence,黏著性；附著性,,2016-10-24
2713929,adhesion,黏著力；附著力,,2016-10-24
2713930,adhesiveness,黏性,,2016-10-24
2713931,adiabat,絕熱線,,2016-10-24
2713932,adiabatic,絕熱的,,2016-10-24
2713933,aftershock,餘震,,2016-10-24
2713934,age,期；時代；年齡,,2016-10-24
2713935,agonic line,零磁偏角線,,2016-10-24
2713936,air wave,空氣波,,2016-10-24
2713937,airborne magnetometer,空載磁力儀,,2016-10-24
2713938,alignment,校直；列綫,,2016-10-24
2713939,altimeter,測高儀；高度計,,2016-10-24
2713940,altitude,高度；海拔,,2016-10-24
2713941,amplification,放大倍率,,2016-10-24
2713942,amplitude,振幅,,2016-10-24
2713943,analog,類比,,2016-10-24
2713944,analog/digital convertor,類比數位轉換器,,2016-10-24
2713945,analogous end,類比端,,2016-10-24
2713946,angle of emergence,出射角,,2016-10-24
2713947,angle of incidence,入射角,,2016-10-24
2713948,angle of inclination,傾[斜]角,,2016-10-24
2713949,angle of polarization,偏極角,,2016-10-24
2713950,angle of reflection,反射角,,2016-10-24
2713951,angle of refraction,折射角,,2016-10-24
2713952,angle of repose,安息角,,2016-10-24
2713953,angle of rotation,旋轉角,,2016-10-24
2713954,angular acceleration,角加速度,,2016-10-24
2713955,angular distance,角距,,2016-10-24
2713956,angular frequency,角頻率,,2016-10-24
2713957,angular momentum,角動量,,2016-10-24
2713958,angular velocity,角速度,,2016-10-24
2713959,anisotropic body,各向異性的,,2016-10-24
2713960,anisotropy,各向異性；非均向性,,2016-10-24
2713961,antipodal,對極點,,2016-10-24
2713962,apparent dip,視傾斜,,2016-10-24
2713963,apparent thickness,視厚度,,2016-10-24
2713964,apparent velocity,視速度,,2016-10-24
2713965,aquiclude,微[透]水層,,2016-10-24
2713966,aquifer,含水層,,2016-10-24
2713967,aquifuge,不透水層,,2016-10-24
2713968,archaeomagnetism,考古地磁學；地磁定年術,,2016-10-24
2713969,aseismic region,無震的,,2016-10-24
2713970,asthenosphere,軟流圈,,2016-10-24
2713971,attenuation,衰減,,2016-10-24
2713972,attenuation coefficient,衰減係數,,2016-10-24
2713973,attenuation constant,衰減常數,,2016-10-24
2713974,auxiliary fault,輔助斷層,,2016-10-24
2713975,azimuth,方位角,,2016-10-24
2713976,backward scattering,反向散射,,2016-10-24
2713977,basisseism,深地顫,,2016-10-24
2713978,bathymetric chart,等深線圖,,2016-10-24
2713979,bathymetric line,等深線,,2016-10-24
2713980,bathymetry,測深法,,2016-10-24
2713981,bodily tide,固體潮,,2016-10-24
2713982,body tide,固體潮[地球],,2016-10-24
2713983,body wave,體波,,2016-10-24
2713984,borehole,井孔；鑽孔,,2016-10-24
2713985,borehole seismometer,井下地震儀,,2016-10-24
2713986,boring,鑽探,,2016-10-24
2713987,Bouguer anomaly,布蓋異常,,2016-10-24
2713988,Bouguer gravity anomaly,布蓋重力異常,,2016-10-24
2713989,bradyseism,緩地顫,,2016-10-24
2713990,brontides,地聲,,2016-10-24
2713991,bulk modulus,體彈性模數,,2016-10-24
2713992,buoyancy,浮力,,2016-10-24
2919075,Caribbean Plate,加勒比板塊,,2017-04-11
2919076,Cocos Plate,科克斯板塊,,2017-04-11
2919077,caliper,井徑,,2017-04-11
2919078,causative fault,致震斷層,,2017-04-11
2919079,centrifugal force,離心力,,2017-04-11
2919080,collision zone,碰撞帶,,2017-04-11
2919081,compressional wave,壓縮波,,2017-04-11
2919082,coseismal line,同[到時]震線,,2017-04-11
2919083,coseismic,同震的,,2017-04-11
2919084,coseismic deformation,同震變形,,2017-04-11
2919085,cross-correlation,互相關；交相關,,2017-04-11
2919086,crustal structure,地殼構造,,2017-04-11
2919087,cut-off frequency,截斷頻率,,2017-04-11
2919088,caliper log,井徑記錄,,2017-04-11
2919089,Cancani's seismic intensity scale,坎氏震度階,,2017-04-11
2919090,carrier wave,載波,,2017-04-11
2919091,casing,套管,,2017-04-11
2919092,cellular convection,環狀對流,,2017-04-11
2919093,cement grouting,灌漿,,2017-04-11
2919094,cement; cementing material,膠結物,,2017-04-11
2919095,cementation,膠結〔作用〕,,2017-04-11
2919096,cementation zone,膠結區,,2017-04-11
2919097,centripetal force,向心力,,2017-04-11
2919098,coda,尾波,,2017-04-11
2919099,coherence,同調性,,2017-04-11
2919100,compensation current,補償電流,,2017-04-11
2919101,compensation depth,補償深度,,2017-04-11
2919102,compressibility,壓縮係數；壓縮性,,2017-04-11
2919103,compressional fault,擠壓斷層,,2017-04-11
2919104,compressional-dilatational wave,疏密波,,2017-04-11
