ID,英文名稱,中文名稱,圖片,更新日期
21395290,valley-floor increment,谷底堆積,,
21395291,valley-in-valley,谷中谷,,
21395292,valley-moraine lake,谷磧〔阻塞〕湖,,
21395293,valley-plain terrace,谷底平原階地,,
21395294,valley-side moraine,谷邊磧；側磧,,
21395295,valley-side slope,谷側坡,,
21395296,valve,殼 ；殼瓣；裂瓣,,
21395297,Van Allen radiation belt,范艾倫輻射帶,,
21395298,vanadate,釩酸鹽,,
21395299,vanadian augite,釩輝石,,
21395300,vanadic mica,釩雲母,,
21395301,vanadic ocher,釩赭石；釩土,,
21395302,vanadinite,釩鉛礦；褐鉛礦,,
21395303,vanadium mica,釩雲母,,
21395304,vanadium mineral,釩礦物,,
21395305,vandenbrandeite,綠鈾礦,,
21395306,vandendriesschreite,橙黃鈾礦,,
21395307,vane,葉片 {古生物}；視準器； 風向標,,
21395308,vanthoffite,斜鈉鎂礬,,
21395309,vaporization,蒸發〔作用〕; 氣化,,
21395310,<em>Varanosaurus</em>,巨蜥龍屬 {爬行類},,
21395311,variability,變異性；易變性,,
21395312,variable,變數,,
21395313,variable slip model,可變滑移模式,,
21395314,variation,變異；演變,,
21395315,variation diagram,成分變化圖 {火成岩},,
21395316,variegated,斑駁狀；雜色的,,
21395317,variegated copper ore,斑銅礦,,
21395318,variegated pyrite,斑銅礦,,
21395319,variegated sandstone,雜色砂岩,,
21395320,varietal mineral,特性礦物,,
21395321,variety,變種；種類,,
21395322,varigradation,差異均夷作用,,
21395323,variole,球顆,,
21395324,variolite,球顆玄武岩；球顆,,
21395325,variolitic structure,球顆構造,,
21395326,variolitization,球顆化〔作用〕,,
21395327,Variscian,瓦立西運動 {古生代後期},,
21395328,Variscian orogeny,瓦立西造山運動,,
21395329,variscite,磷鋁石,,
21395330,varlamoffite,水錫石,,
21395331,varve,紋泥；季候泥,,
21395332,varved clay,紋泥；季候泥,,
21395333,varzea,氾濫平原,,
21395334,vascular arcusta,彎脈管,,
21395335,vascular bundle,維管束,,
21395336,vascular marking,體腔痕,,
21395337,vascular media,中脈管,,
21395338,vascular plant,維管植物,,
21395339,vashegyite,多水磷鋁石,,
21395340,vauclusian spring,地下河源泉；洞泉,,
21395341,vaughanite,細緻石灰岩,,
21395342,vaugnerite,暗花崗閃長岩,,
21395343,vauquelinite,磷鉻銅鉛礦,,
21395344,vauxite,藍磷鋁鐵礦,,
